latitude,longitude,brightness,acq_date
33.4154,-110.8606,303.9,2024-01-01
33.4206,-110.8634,331.8,2024-01-02
33.4192,-110.8523,314.3,2024-01-02
33.4148,-110.8679,304.4,2024-01-02
33.4168,-110.8645,305.7,2024-01-06
33.4201,-110.8555,313.3,2024-01-06
33.4237,-110.8621,309.6,2024-01-06
33.4218,-110.8635,326.0,2024-01-08
32.5696,-109.9591,317.7,2024-01-08
34.289,-114.0759,360.7,2024-01-09
34.291,-114.0997,324.8,2024-01-09
31.8111,-109.643,303.3,2024-01-09
31.8105,-109.7157,304.4,2024-01-09
35.1543,-112.2512,314.1,2024-01-09
35.1585,-112.2454,311.8,2024-01-09
32.5748,-109.9705,307.3,2024-01-09
33.4188,-110.8622,317.1,2024-01-09
35.1512,-112.2147,300.7,2024-01-09
36.764,-112.2066,323.4,2024-01-09
36.7696,-112.1791,335.9,2024-01-09
36.7742,-112.1606,303.1,2024-01-09
35.234,-112.2063,306.4,2024-01-10
35.2498,-111.6147,345.0,2024-01-10
35.247,-111.6001,318.0,2024-01-10
32.5643,-109.9663,302.1,2024-01-10
32.5695,-109.9495,304.9,2024-01-10
34.5846,-114.4142,335.5,2024-01-10
34.5774,-114.4278,346.2,2024-01-10
32.5637,-109.9563,304.3,2024-01-10
32.5622,-109.9692,303.2,2024-01-10
32.6746,-109.8875,324.8,2024-01-10
34.5744,-114.3969,309.6,2024-01-10
34.5712,-114.4183,337.0,2024-01-10
34.5784,-114.431,300.7,2024-01-10
35.2471,-111.6155,317.5,2024-01-10
35.9567,-112.1169,312.1,2024-01-10
36.7276,-112.188,316.7,2024-01-10
36.7601,-112.2315,305.1,2024-01-10
36.757,-112.2557,322.3,2024-01-10
33.4144,-110.8606,331.7,2024-01-12
32.323,-109.9695,307.4,2024-01-12
32.3166,-109.9729,332.2,2024-01-12
32.3181,-109.9625,309.5,2024-01-12
33.4121,-110.8596,312.8,2024-01-12
33.4411,-112.2943,303.9,2024-01-12
35.2031,-112.1383,316.5,2024-01-13
32.3119,-109.9623,303.9,2024-01-13
32.3087,-109.9674,305.0,2024-01-13
33.4209,-110.8625,302.2,2024-01-14
33.4112,-110.8634,300.7,2024-01-14
31.3531,-109.2611,304.9,2024-01-24
31.4574,-109.6,306.5,2024-01-26
33.4142,-110.868,306.4,2024-01-26
33.4153,-110.8607,306.4,2024-01-26
33.4214,-110.8627,305.0,2024-01-29
31.6153,-111.5161,308.9,2024-01-29
31.6096,-111.5234,302.2,2024-01-29
31.6175,-111.5127,310.6,2024-01-29
31.6161,-111.5234,323.2,2024-01-29
32.7886,-114.3733,311.3,2024-01-29
32.7869,-114.3841,316.8,2024-01-29
33.0004,-113.2817,309.8,2024-01-30
32.9894,-113.2926,310.9,2024-01-30
33.4201,-110.8641,300.0,2024-01-31
34.9922,-111.6519,330.6,2024-01-31
34.9953,-111.677,374.0,2024-01-31
34.9968,-111.6896,321.2,2024-01-31
35.0017,-111.65,318.9,2024-01-31
35.0032,-111.6627,363.7,2024-01-31
34.9763,-111.6803,353.5,2024-01-31
34.9858,-111.6787,358.1,2024-01-31
34.9937,-111.6644,362.5,2024-01-31
32.9949,-113.2955,334.1,2024-01-31
34.1614,-114.2624,304.5,2024-01-31
34.1757,-109.9445,303.0,2024-01-31
34.1771,-109.9553,316.5,2024-01-31
31.6215,-111.5161,319.9,2024-01-31
31.6185,-111.5201,313.7,2024-01-31
34.6614,-111.1143,314.1,2024-01-31
34.9814,-111.6685,314.9,2024-01-31
34.9796,-111.68,349.7,2024-01-31
34.9777,-111.6915,329.2,2024-01-31
34.9925,-111.6543,305.1,2024-01-31
34.9906,-111.6656,330.4,2024-01-31
34.9888,-111.6771,335.4,2024-01-31
34.9869,-111.6885,335.9,2024-01-31
35.0015,-111.6564,313.3,2024-01-31
34.9997,-111.6678,331.7,2024-01-31
34.9978,-111.6793,351.7,2024-01-31
35.3932,-111.4705,303.7,2024-01-31
32.5797,-111.6747,338.5,2024-02-01
32.5847,-111.6983,318.5,2024-02-01
32.582,-111.6806,339.5,2024-02-01
31.8677,-109.4728,308.0,2024-02-04
33.4214,-110.8579,302.9,2024-02-05
31.3472,-109.2618,333.6,2024-02-05
31.3399,-109.2749,307.3,2024-02-05
31.3381,-109.2638,345.4,2024-02-05
31.3363,-109.2526,333.0,2024-02-05
31.8701,-109.4662,308.8,2024-02-05
31.8684,-109.4553,301.1,2024-02-05
31.349,-109.273,328.2,2024-02-05
31.3393,-109.274,317.9,2024-02-05
33.4177,-110.8652,309.2,2024-02-05
31.3407,-109.2629,316.5,2024-02-05
33.4197,-110.8667,304.3,2024-02-08
33.4197,-110.872,301.3,2024-02-08
31.6225,-111.5152,303.5,2024-02-12
32.8644,-113.4636,300.9,2024-02-12
31.621,-111.5215,320.0,2024-02-12
32.6201,-114.5909,308.4,2024-02-12
33.3322,-112.9043,316.0,2024-02-12
33.3302,-112.9162,313.5,2024-02-12
33.3376,-112.9305,326.3,2024-02-12
31.6228,-111.5106,308.9,2024-02-12
33.0562,-111.8888,303.8,2024-02-13
33.0618,-111.8817,303.7,2024-02-13
31.6338,-111.5066,307.9,2024-02-13
31.6383,-111.5289,304.2,2024-02-13
33.7519,-114.48,317.4,2024-02-13
31.637,-111.5297,305.2,2024-02-14
31.6351,-111.5079,316.1,2024-02-14
31.6336,-111.514,319.2,2024-02-14
31.6274,-111.5234,309.7,2024-02-14
32.1379,-109.7515,313.1,2024-02-14
31.6327,-111.5023,310.0,2024-02-14
32.1386,-109.743,311.5,2024-02-14
31.6295,-111.5195,313.8,2024-02-14
31.6308,-111.5063,313.4,2024-02-14
33.0611,-111.8909,305.1,2024-02-14
33.745,-114.4702,321.2,2024-02-14
33.7419,-114.4762,322.0,2024-02-14
33.0577,-111.8876,310.2,2024-02-15
33.0596,-111.8991,305.9,2024-02-15
32.1,-110.8093,306.0,2024-02-15
31.6336,-111.5216,306.3,2024-02-15
31.6316,-111.5093,314.8,2024-02-15
32.1022,-110.8223,312.5,2024-02-15
33.5074,-114.7214,309.0,2024-02-16
33.5054,-114.7271,310.5,2024-02-16
33.5144,-114.7519,309.4,2024-02-16
32.7532,-113.8217,310.8,2024-02-16
33.9553,-114.4314,307.8,2024-02-16
33.9661,-114.3887,306.5,2024-02-16
34.0718,-109.2038,305.5,2024-02-19
34.0703,-109.1899,345.1,2024-02-19
32.7379,-113.9812,319.5,2024-02-19
33.9078,-114.4368,324.3,2024-02-20
33.8989,-114.4388,326.0,2024-02-20
33.8973,-114.428,311.9,2024-02-20
33.494,-112.4245,308.0,2024-02-20
33.3411,-112.9311,309.9,2024-02-20
33.339,-112.919,309.8,2024-02-20
33.337,-112.9068,310.2,2024-02-20
32.5764,-114.6283,313.6,2024-02-20
33.5978,-114.5796,308.1,2024-02-21
33.4119,-110.8561,313.3,2024-02-21
33.4082,-110.8745,310.1,2024-02-21
34.0501,-109.1835,325.4,2024-02-22
34.8903,-114.5756,334.9,2024-02-22
34.8805,-114.5772,337.4,2024-02-22
34.0482,-109.1722,327.8,2024-02-22
32.1065,-109.7782,327.2,2024-02-22
32.1156,-109.7762,332.0,2024-02-22
32.8562,-113.4621,315.6,2024-02-22
32.8576,-113.4732,314.1,2024-02-22
32.6938,-111.5584,319.9,2024-02-22
32.698,-111.553,327.2,2024-02-22
32.6965,-111.5657,320.1,2024-02-22
33.4184,-110.8551,312.9,2024-02-24
33.4165,-110.8758,308.0,2024-02-24
33.0607,-111.8826,309.4,2024-02-27
34.1614,-114.2514,314.9,2024-02-27
33.059,-111.8718,310.3,2024-02-27
33.423,-110.8572,309.9,2024-02-28
33.4212,-110.8684,319.5,2024-02-28
32.0462,-109.7255,303.9,2024-02-29
31.9313,-109.9623,304.2,2024-02-29
33.4146,-110.8613,307.5,2024-02-29
31.9283,-109.9631,310.2,2024-02-29
33.0501,-111.8848,322.5,2024-02-29
33.8474,-114.4829,339.7,2024-02-29
36.5117,-114.7463,308.0,2024-03-01
34.5837,-113.2657,303.5,2024-03-01
32.585,-114.6638,311.9,2024-03-01
33.4187,-110.8667,311.8,2024-03-02
33.4195,-110.8643,310.0,2024-03-02
33.4175,-110.8527,304.5,2024-03-02
33.4158,-110.8635,343.5,2024-03-02
33.4173,-110.8537,309.3,2024-03-03
