latitude,longitude,brightness,acq_date
19.4052,-155.2772,315.4,2024-01-18
21.4671,-158.0154,314.5,2024-02-29
21.4157,-158.0327,321.3,2024-03-22
21.4141,-158.0278,321.7,2024-04-03
21.4121,-158.0397,319.1,2024-04-03
21.5029,-158.0966,311.5,2024-04-17
19.2592,-155.8857,311.3,2024-05-17
19.4062,-155.2773,317.6,2024-05-21
20.8435,-156.4915,326.4,2024-05-23
19.371,-155.3158,415.3,2024-06-03
19.3794,-155.2996,347.5,2024-06-03
19.3685,-155.3014,438.7,2024-06-03
19.8977,-155.7734,321.1,2024-06-04
19.8961,-155.7598,328.9,2024-06-04
19.9007,-155.7663,328.1,2024-06-04
19.3643,-155.3099,338.8,2024-06-05
19.3672,-155.3085,311.8,2024-06-05
21.988,-159.6705,305.2,2024-06-13
21.9792,-159.6615,317.9,2024-06-13
19.4068,-155.2811,319.9,2024-06-14
21.1504,-157.2029,319.7,2024-06-20
21.1628,-157.2066,330.2,2024-06-20
21.1499,-157.2075,319.4,2024-06-20
21.1663,-157.1903,319.4,2024-06-20
21.1623,-157.2112,325.5,2024-06-20
21.1188,-157.0775,310.9,2024-07-02
20.7636,-156.2623,335.1,2024-07-11
20.7528,-156.2619,358.9,2024-07-11
20.7514,-156.2745,325.6,2024-07-11
20.7599,-156.265,324.2,2024-07-11
20.7498,-156.2656,345.8,2024-07-11
20.7582,-156.2516,309.0,2024-07-11
20.748,-156.2655,335.2,2024-07-11
20.7517,-156.2628,339.0,2024-07-13
20.742,-156.2594,346.0,2024-07-13
20.7495,-156.2607,306.8,2024-07-13
20.7482,-156.27,307.2,2024-07-13
19.4088,-155.2741,320.4,2024-07-13
21.915,-159.5908,350.2,2024-07-16
21.9227,-159.6076,344.2,2024-07-16
21.9241,-159.5981,341.2,2024-07-16
21.9122,-159.6099,429.3,2024-07-16
21.9136,-159.6003,392.6,2024-07-16
21.9956,-159.7166,305.0,2024-07-19
22.0023,-159.7031,314.1,2024-07-19
22.0041,-159.7023,314.2,2024-07-19
21.996,-159.6943,313.0,2024-07-20
21.9852,-159.7157,317.6,2024-07-20
21.9889,-159.6954,319.4,2024-07-20
19.2815,-155.1504,311.6,2024-08-02
19.1787,-155.4448,316.4,2024-08-13
20.5089,-156.667,314.5,2024-08-14
21.0998,-157.1561,311.6,2024-08-31
21.1011,-157.1467,311.3,2024-08-31
20.5078,-156.6672,315.1,2024-09-10
19.2837,-155.2004,315.5,2024-09-10
19.3742,-155.1382,408.0,2024-09-17
19.384,-155.1401,318.2,2024-09-17
19.3755,-155.1478,465.9,2024-09-17
19.3715,-155.119,322.0,2024-09-17
19.3665,-155.1491,326.6,2024-09-17
19.3652,-155.1395,316.1,2024-09-17
19.3693,-155.1487,311.7,2024-09-18
19.3695,-155.1411,353.4,2024-09-19
19.3794,-155.1429,323.1,2024-09-19
19.3675,-155.153,350.8,2024-09-19
19.3774,-155.1548,319.7,2024-09-19
19.3734,-155.1397,331.1,2024-09-19
19.3717,-155.1502,334.3,2024-09-19
19.3849,-155.1511,327.5,2024-09-19
19.3812,-155.1251,312.3,2024-09-19
19.3834,-155.1463,342.5,2024-09-19
19.3694,-155.1317,317.4,2024-09-19
19.3718,-155.1526,322.6,2024-09-19
19.3825,-155.1299,319.5,2024-09-19
19.38,-155.1391,374.4,2024-09-19
19.3742,-155.134,380.3,2024-09-19
19.3703,-155.1443,456.2,2024-09-20
19.383,-155.1461,327.5,2024-09-20
19.3785,-155.1374,363.7,2024-09-20
19.3759,-155.1631,342.4,2024-09-20
19.3704,-155.1422,332.6,2024-09-22
19.369,-155.1526,321.7,2024-09-22
19.3706,-155.1534,321.3,2024-09-22
19.3818,-155.1429,311.8,2024-09-22
19.3804,-155.1548,304.2,2024-09-22
19.372,-155.1415,339.7,2024-09-22
19.382,-155.151,305.3,2024-09-22
19.3806,-155.1413,343.7,2024-09-22
19.3716,-155.1427,331.5,2024-09-22
19.3685,-155.1454,316.8,2024-09-22
19.3773,-155.144,319.3,2024-09-22
19.3704,-155.1406,326.8,2024-09-24
19.3687,-155.1511,332.8,2024-09-24
19.3763,-155.1481,306.4,2024-09-24
19.3678,-155.1403,319.0,2024-09-25
19.3712,-155.1332,317.1,2024-09-25
19.3743,-155.1503,317.0,2024-09-25
19.3747,-155.1385,323.0,2024-09-25
19.3707,-155.1472,327.8,2024-09-27
19.3693,-155.1377,324.5,2024-09-27
19.3731,-155.1494,329.4,2024-09-29
19.3745,-155.1398,319.1,2024-09-29
21.3268,-157.9975,347.7,2024-09-29
21.3246,-158.0102,322.9,2024-09-29
19.3729,-155.1529,304.9,2024-09-29
19.3742,-155.1437,326.6,2024-09-29
19.3791,-155.1429,305.4,2024-09-30
19.378,-155.1483,305.1,2024-10-01
19.3773,-155.1382,317.6,2024-10-02
19.3789,-155.1486,314.7,2024-10-02
19.368,-155.1397,316.5,2024-10-02
19.3708,-155.1516,323.4,2024-10-04
19.3722,-155.1423,332.0,2024-10-04
19.3761,-155.1484,308.3,2024-10-04
19.3707,-155.1476,316.6,2024-10-04
19.3683,-155.141,316.4,2024-10-07
21.4263,-158.1575,322.4,2024-10-07
