latitude,longitude,brightness,acq_date
38.2326,-88.3174,301.7,2024-02-03
37.6733,-84.8335,302.1,2024-02-05
36.5639,-87.5224,342.7,2024-02-05
36.5623,-87.5334,323.8,2024-02-05
36.5727,-87.5244,313.6,2024-02-05
36.6094,-87.6637,327.5,2024-02-05
36.6078,-87.6747,309.1,2024-02-05
37.587,-87.0589,304.5,2024-02-05
37.7787,-87.2134,307.2,2024-02-05
37.8912,-87.1257,303.5,2024-02-05
38.6716,-87.4245,303.5,2024-02-05
39.1249,-88.795,301.8,2024-02-05
37.5152,-89.0542,312.5,2024-02-06
38.1094,-83.8092,301.1,2024-02-07
36.6728,-82.1829,308.8,2024-02-07
36.6978,-82.8935,305.2,2024-02-07
36.5621,-87.6172,310.6,2024-02-07
36.5597,-87.6306,325.2,2024-02-07
37.0141,-85.7064,321.9,2024-02-07
37.0231,-85.7022,305.5,2024-02-07
37.0212,-85.7137,307.2,2024-02-07
37.4955,-86.1185,303.5,2024-02-07
37.5854,-88.4384,303.4,2024-02-07
37.5828,-88.4525,301.8,2024-02-07
37.4328,-87.8708,303.2,2024-02-08
38.4787,-89.1576,307.8,2024-02-13
37.8872,-89.193,301.4,2024-02-14
37.6824,-89.0694,330.4,2024-02-14
37.6935,-89.073,334.0,2024-02-14
37.6157,-89.4573,337.3,2024-02-14
37.6264,-89.4447,309.9,2024-02-14
37.6223,-89.4643,327.1,2024-02-14
38.0557,-89.256,314.0,2024-02-14
38.0568,-89.2411,302.0,2024-02-14
38.0529,-89.2599,312.8,2024-02-14
39.0861,-84.0982,320.6,2024-02-14
38.9541,-87.1512,351.2,2024-02-14
38.9515,-87.1654,365.8,2024-02-14
36.6232,-85.8642,303.1,2024-02-14
37.6861,-89.0508,316.2,2024-02-14
38.9978,-88.0924,302.2,2024-02-14
37.8081,-87.7922,301.9,2024-02-15
37.8098,-87.8033,300.7,2024-02-15
38.1386,-89.3795,306.1,2024-02-15
36.5879,-87.6809,306.5,2024-02-15
37.2476,-89.4263,302.5,2024-02-15
37.3455,-88.9344,322.2,2024-02-15
37.3556,-88.9362,312.2,2024-02-15
37.6096,-89.2904,308.8,2024-02-15
37.608,-89.3046,347.1,2024-02-15
38.9069,-87.7364,306.8,2024-02-15
36.8001,-82.3314,302.8,2024-02-19
36.6195,-85.8696,301.3,2024-02-19
37.5253,-84.4201,303.1,2024-02-19
36.8787,-89.4368,303.0,2024-02-19
37.4871,-86.1898,302.4,2024-02-19
36.9942,-89.4932,305.7,2024-02-19
36.9902,-89.4972,310.5,2024-02-19
37.913,-85.8302,314.0,2024-02-19
37.5759,-88.6768,302.7,2024-02-19
38.2991,-84.3701,302.1,2024-02-19
38.2976,-84.3815,300.7,2024-02-19
37.7987,-88.5841,300.1,2024-02-19
38.6789,-86.5102,304.2,2024-02-19
39.0112,-84.7576,300.6,2024-02-19
37.7077,-87.6397,314.0,2024-02-20
