latitude,longitude,brightness,acq_date
42.5947,-72.0338,313.2,2024-02-15
41.4281,-71.8285,300.4,2024-02-15
42.4402,-72.4485,301.9,2024-02-27
41.6714,-71.2574,300.9,2024-03-12
42.7283,-71.1207,300.9,2024-03-12
41.957,-71.5163,305.1,2024-03-12
41.819,-70.6422,301.3,2024-03-13
41.8171,-70.6627,307.2,2024-03-13
41.817,-70.6487,310.4,2024-03-13
42.5626,-72.5864,300.1,2024-03-14
42.4867,-73.1629,304.4,2024-03-14
42.2542,-71.9752,300.7,2024-03-14
41.8306,-71.2808,304.1,2024-03-14
42.071,-72.7511,303.6,2024-03-14
42.1548,-73.2906,304.3,2024-03-14
41.7477,-71.9359,301.5,2024-03-14
41.8188,-70.6695,306.7,2024-03-14
41.8159,-70.6488,304.9,2024-03-14
41.8235,-70.6472,303.0,2024-03-14
41.4118,-71.7331,301.8,2024-03-17
41.9622,-71.5166,315.8,2024-03-17
41.9601,-71.5292,316.4,2024-03-17
41.4097,-71.746,305.6,2024-03-17
42.1968,-72.5037,305.9,2024-03-21
41.8702,-72.5579,302.1,2024-03-29
41.8794,-72.5608,301.3,2024-03-29
41.8679,-72.5712,304.4,2024-03-29
41.603,-71.4348,305.0,2024-04-09
42.3769,-73.3307,300.1,2024-04-16
41.6322,-70.5645,312.5,2024-04-17
41.6344,-70.5515,373.7,2024-04-17
41.5617,-72.049,303.9,2024-04-22
42.5641,-72.5315,326.6,2024-04-29
41.9435,-71.1385,310.5,2024-05-07
41.6069,-71.437,307.8,2024-05-13
41.8158,-70.6697,323.5,2024-05-13
41.8044,-70.6653,347.2,2024-05-13
42.5418,-71.5928,311.4,2024-05-25
41.6019,-71.4309,311.5,2024-05-25
41.4787,-72.8088,312.4,2024-05-26
41.6046,-71.4261,311.0,2024-06-02
41.8621,-72.718,319.8,2024-06-02
42.0954,-71.0147,304.7,2024-06-17
41.7989,-73.1203,311.8,2024-06-19
42.795,-71.5382,312.4,2024-06-19
41.4159,-72.8374,310.1,2024-06-19
41.4752,-72.8127,313.4,2024-06-19
41.9273,-70.6461,312.9,2024-06-21
41.6022,-73.1154,311.8,2024-06-21
42.1339,-71.0614,314.2,2024-06-26
42.1417,-71.0624,311.9,2024-07-01
42.5429,-71.5915,318.2,2024-07-08
41.6054,-71.4375,318.5,2024-07-08
41.479,-72.8113,321.4,2024-07-08
42.0698,-72.032,314.7,2024-07-08
42.1694,-72.7354,312.0,2024-07-13
42.5442,-71.5907,321.2,2024-07-13
41.9261,-72.6779,314.2,2024-07-17
41.9263,-72.685,314.9,2024-07-17
41.6685,-70.2952,311.3,2024-07-21
41.415,-72.8422,315.4,2024-07-28
41.4796,-72.807,315.0,2024-07-28
41.8602,-72.7162,316.3,2024-07-28
42.5486,-71.5928,315.0,2024-07-28
42.1381,-72.5567,316.6,2024-08-14
42.5408,-71.6013,310.1,2024-08-14
41.6057,-71.44,311.5,2024-08-14
41.5636,-72.9034,312.9,2024-08-14
42.1078,-71.6749,310.0,2024-08-14
42.1074,-71.6807,309.1,2024-08-14
41.8623,-72.7242,314.4,2024-08-16
41.6119,-71.6593,307.6,2024-08-23
41.6008,-71.4395,314.7,2024-08-23
41.6041,-71.435,313.5,2024-08-26
41.6126,-71.6574,307.8,2024-08-26
41.8743,-72.5626,310.2,2024-09-02
41.8855,-72.5526,311.3,2024-09-02
42.5465,-71.5912,309.6,2024-09-05
41.5433,-72.8958,308.8,2024-09-05
41.5999,-71.43,307.4,2024-09-05
41.867,-72.5536,312.8,2024-09-05
41.8764,-72.5506,325.7,2024-09-05
41.8883,-72.5615,316.5,2024-09-05
41.8977,-72.5585,313.9,2024-09-05
42.4521,-73.2347,310.3,2024-09-05
41.8838,-72.5651,305.0,2024-09-10
41.8909,-72.5463,304.7,2024-09-10
41.6523,-72.1596,308.9,2024-09-14
42.502,-70.9479,311.9,2024-09-14
42.5413,-71.6012,313.9,2024-09-14
42.5921,-72.5541,306.2,2024-09-27
42.632,-72.8998,303.7,2024-09-27
42.4214,-72.533,305.4,2024-09-27
42.4815,-73.169,306.0,2024-09-27
42.3197,-72.5426,303.9,2024-09-27
42.3116,-72.9491,302.3,2024-09-27
42.181,-72.3417,303.8,2024-09-27
41.8323,-71.2886,305.2,2024-09-27
42.1882,-72.5463,302.5,2024-10-01
41.4118,-71.7436,304.2,2024-10-06
41.5592,-71.5051,305.0,2024-10-06
41.9604,-71.5248,310.6,2024-10-06
42.0378,-71.6178,311.8,2024-10-06
42.1056,-71.6458,302.8,2024-10-06
42.5272,-72.0177,301.9,2024-10-06
42.1455,-72.4972,308.9,2024-10-06
42.2785,-72.0152,303.6,2024-10-06
42.2882,-72.0185,302.8,2024-10-06
42.5184,-71.6782,324.9,2024-10-06
42.0676,-72.7471,303.0,2024-10-11
41.4061,-71.7467,301.8,2024-10-11
41.9004,-72.8036,309.6,2024-10-11
41.9128,-72.7922,304.8,2024-10-11
41.9101,-72.8069,317.4,2024-10-11
42.0339,-72.5291,305.1,2024-10-11
41.7936,-73.164,304.4,2024-10-19
42.2217,-71.7905,303.4,2024-10-19
42.1683,-72.1989,302.8,2024-10-19
42.2002,-72.5525,301.4,2024-10-19
41.9755,-72.5053,305.4,2024-10-19
42.0737,-72.9583,301.1,2024-10-19
42.4303,-73.2973,303.2,2024-10-21
41.5808,-72.7604,307.6,2024-10-22
42.4953,-70.9444,308.2,2024-10-27
42.2161,-71.7871,301.6,2024-10-28
41.7444,-71.0043,303.0,2024-10-31
41.8487,-70.5688,305.3,2024-10-31
42.0373,-72.3778,304.6,2024-11-01
41.7341,-71.5202,300.5,2024-11-05
41.7903,-71.0772,301.6,2024-11-05
41.4863,-71.6258,302.3,2024-11-07
41.4869,-71.6315,302.1,2024-11-07
41.5173,-71.6873,302.6,2024-11-07
41.6377,-72.0502,314.9,2024-11-07
42.6323,-71.0253,301.7,2024-11-18
42.6447,-71.0271,307.6,2024-11-18
42.1572,-73.3346,307.9,2024-11-20
42.1547,-73.3206,313.4,2024-11-20
42.1549,-73.3201,314.3,2024-11-20
42.1533,-73.332,330.9,2024-11-20
42.1797,-73.3386,307.5,2024-11-20
