latitude,longitude,brightness,acq_date
45.9368,-94.4451,303.7,2024-01-27
44.5175,-94.5276,304.3,2024-01-29
44.0811,-91.9822,304.5,2024-01-29
44.2772,-93.9502,309.0,2024-01-29
44.2596,-94.2858,323.2,2024-01-29
44.2574,-94.2989,317.1,2024-01-29
44.843,-97.0908,311.7,2024-01-30
44.8414,-97.078,310.8,2024-01-30
48.1839,-93.7539,313.1,2024-01-31
46.6478,-91.2296,356.4,2024-02-05
43.8685,-93.8273,324.6,2024-02-11
44.0209,-92.5821,301.0,2024-02-20
46.0519,-94.6106,310.9,2024-02-21
46.4162,-95.7513,306.1,2024-02-21
43.578,-92.3221,303.1,2024-02-22
43.8346,-90.7691,300.4,2024-02-22
44.1373,-92.6861,316.1,2024-02-22
44.1356,-92.6985,307.2,2024-02-22
44.4681,-95.6555,310.5,2024-02-22
44.466,-95.6683,319.6,2024-02-22
47.8734,-95.2424,304.6,2024-02-23
47.8714,-95.2742,305.4,2024-02-23
47.8794,-95.2799,301.8,2024-02-23
47.9638,-95.4144,345.3,2024-02-24
47.9594,-95.3936,300.8,2024-02-24
47.9531,-95.4194,302.3,2024-02-24
43.5129,-97.188,304.9,2024-02-24
44.3639,-92.0272,301.5,2024-02-24
43.5037,-97.2044,301.2,2024-02-24
45.3944,-92.6745,303.9,2024-02-24
45.3921,-92.688,306.5,2024-02-24
47.9486,-95.4271,301.5,2024-02-24
43.8615,-93.951,300.7,2024-02-25
48.9289,-96.5551,307.9,2024-02-25
44.304,-91.3849,306.7,2024-02-27
44.3045,-91.3755,304.0,2024-02-27
43.7395,-91.0513,305.0,2024-02-27
43.7378,-91.0677,307.3,2024-02-27
45.4257,-94.4264,301.4,2024-02-29
43.5023,-93.1274,302.7,2024-02-29
46.4056,-95.8235,303.6,2024-03-01
46.4108,-95.8293,306.3,2024-03-01
44.0834,-93.3122,302.4,2024-03-01
45.4613,-92.9674,304.0,2024-03-03
45.4596,-92.986,304.9,2024-03-03
46.1477,-96.2164,317.4,2024-03-03
46.1662,-96.2211,332.9,2024-03-03
46.1754,-96.2234,314.8,2024-03-03
46.1474,-96.2237,302.1,2024-03-04
46.158,-96.2282,336.7,2024-03-04
46.1541,-96.2474,329.2,2024-03-04
46.1597,-96.2344,302.8,2024-03-04
43.5831,-89.603,310.0,2024-03-05
44.0497,-90.6969,302.5,2024-03-05
44.0519,-90.7027,302.0,2024-03-05
44.076,-90.6636,309.8,2024-03-05
44.0743,-90.6781,300.4,2024-03-05
43.6793,-94.5145,313.5,2024-03-05
44.0239,-92.5892,302.6,2024-03-05
43.7723,-95.9943,320.7,2024-03-05
43.7702,-96.007,309.8,2024-03-05
43.5145,-92.2229,300.1,2024-03-06
44.0655,-90.1573,306.8,2024-03-07
44.0549,-90.167,303.5,2024-03-07
44.0742,-90.1598,325.3,2024-03-07
43.5277,-92.3455,311.8,2024-03-07
45.872,-96.6608,300.5,2024-03-07
45.1871,-96.0706,313.1,2024-03-08
45.1941,-96.0775,300.7,2024-03-08
46.2491,-92.7869,322.2,2024-03-09
46.251,-92.774,341.2,2024-03-09
43.7181,-95.33,300.4,2024-03-09
44.3042,-96.6134,324.4,2024-03-09
44.2985,-96.6065,321.8,2024-03-09
44.4233,-95.6737,304.5,2024-03-09
44.4298,-95.6467,345.4,2024-03-09
44.4253,-95.6676,322.6,2024-03-09
44.4316,-95.6405,338.1,2024-03-09
44.2966,-96.644,305.1,2024-03-09
