latitude,longitude,brightness,acq_date
30.2438,-91.2198,321.1,2024-01-01
30.2423,-91.2311,304.9,2024-01-01
30.5583,-89.991,305.3,2024-01-01
30.7087,-91.5364,307.6,2024-01-01
31.4299,-88.1552,318.3,2024-01-01
31.5622,-90.5202,300.4,2024-01-01
31.8398,-89.1508,301.8,2024-01-01
31.8894,-89.1889,302.6,2024-01-01
31.762,-90.384,301.9,2024-01-01
32.4255,-89.4898,301.2,2024-01-01
30.5631,-91.3161,356.0,2024-01-01
30.5616,-91.3273,329.9,2024-01-01
30.5915,-91.3735,303.8,2024-01-01
30.6007,-91.3752,318.3,2024-01-01
30.7024,-91.5126,357.2,2024-01-01
30.701,-91.5237,336.4,2024-01-01
30.6995,-91.5348,310.5,2024-01-01
33.4573,-89.7843,311.0,2024-01-01
33.9632,-88.5417,304.0,2024-01-01
34.7663,-91.0572,320.8,2024-01-01
34.7648,-91.0706,303.3,2024-01-01
32.6357,-89.496,302.2,2024-01-01
32.6325,-89.5002,302.6,2024-01-02
30.51,-89.608,300.8,2024-01-02
30.5042,-89.6103,302.6,2024-01-02
30.6757,-91.5854,306.5,2024-01-02
30.2841,-91.2753,311.6,2024-01-02
30.2845,-91.2793,308.3,2024-01-02
30.6016,-91.3482,305.2,2024-01-02
30.6025,-91.3564,305.1,2024-01-02
30.5618,-91.5941,309.0,2024-01-02
30.5612,-91.5974,307.5,2024-01-02
30.6755,-91.5933,305.9,2024-01-02
32.5941,-88.9534,301.2,2024-01-02
30.8289,-91.6525,309.1,2024-01-03
31.3397,-89.5884,305.4,2024-01-03
31.3382,-89.5987,304.2,2024-01-03
31.4369,-89.5496,319.2,2024-01-03
31.4354,-89.5599,305.6,2024-01-03
30.719,-91.6007,306.6,2024-01-04
30.7168,-91.6276,304.1,2024-01-04
31.4227,-89.1872,302.2,2024-01-04
31.8298,-90.6158,308.3,2024-01-04
31.8298,-90.6239,303.3,2024-01-04
33.933,-88.467,304.3,2024-01-04
33.2506,-89.7893,304.3,2024-01-04
33.9354,-88.418,304.0,2024-01-04
33.937,-88.4268,309.1,2024-01-04
30.5501,-91.2956,306.8,2024-01-10
30.6088,-90.5652,307.6,2024-01-10
30.5286,-91.2987,324.7,2024-01-10
30.5265,-91.311,318.2,2024-01-10
30.5265,-91.5433,316.6,2024-01-10
30.5244,-91.5559,351.0,2024-01-10
30.5362,-91.5456,320.7,2024-01-10
30.5341,-91.5582,358.0,2024-01-10
34.0638,-89.2889,319.9,2024-01-10
33.4009,-89.1968,314.6,2024-01-11
30.6093,-90.5664,307.1,2024-01-11
30.6029,-90.5708,305.2,2024-01-11
31.6654,-90.6208,300.9,2024-01-12
31.3197,-90.5612,305.9,2024-01-12
33.4388,-88.5735,301.1,2024-01-12
31.3161,-90.5794,301.0,2024-01-12
31.323,-90.5532,301.0,2024-01-13
31.3186,-90.5757,305.3,2024-01-13
31.3224,-90.5585,307.4,2024-01-13
30.2944,-91.2642,308.8,2024-01-13
30.4811,-91.3196,327.8,2024-01-13
30.4796,-91.3322,319.6,2024-01-13
30.8836,-90.2958,304.5,2024-01-13
31.3199,-90.5696,304.6,2024-01-13
31.951,-88.579,306.5,2024-01-13
31.9572,-88.587,300.3,2024-01-13
31.1338,-89.3464,301.4,2024-01-14
31.7055,-89.662,300.0,2024-01-17
30.6945,-91.213,304.4,2024-01-17
30.1873,-91.0594,303.4,2024-01-20
