latitude,longitude,brightness,acq_date
40.091,-94.5484,308.8,2024-01-01
36.6118,-90.5904,325.3,2024-01-03
36.871,-90.9793,304.8,2024-01-03
36.0132,-91.531,300.6,2024-01-03
36.8241,-93.3411,310.0,2024-01-03
36.6133,-90.5794,313.2,2024-01-03
38.8281,-95.4306,310.7,2024-01-03
39.6533,-94.6634,302.6,2024-01-03
37.7271,-91.6366,309.6,2024-01-03
37.8909,-94.342,300.0,2024-01-03
37.7043,-94.7202,304.3,2024-01-16
37.8276,-94.8489,300.3,2024-01-18
40.2334,-94.0792,300.5,2024-01-29
40.2309,-94.0928,301.7,2024-01-29
37.9349,-95.408,320.9,2024-01-30
37.9369,-95.42,317.8,2024-01-30
37.9303,-95.4298,303.3,2024-01-30
37.9245,-95.4218,314.4,2024-01-30
37.932,-95.4139,310.9,2024-01-30
36.5369,-94.6668,300.1,2024-02-02
40.3265,-91.449,304.2,2024-02-03
39.6309,-93.0481,306.2,2024-02-03
36.0832,-94.294,301.2,2024-02-05
39.5183,-94.6464,300.7,2024-02-05
38.4682,-90.8016,304.7,2024-02-05
38.4662,-90.8136,313.2,2024-02-05
38.4642,-90.8257,307.6,2024-02-05
39.2385,-90.3556,312.3,2024-02-05
39.2366,-90.3674,301.3,2024-02-05
39.6004,-89.6954,323.1,2024-02-05
38.9949,-93.8886,300.4,2024-02-05
38.9918,-93.9049,303.1,2024-02-05
38.9986,-93.8951,304.7,2024-02-05
39.2772,-93.1535,332.9,2024-02-05
39.7523,-93.2226,301.5,2024-02-05
40.1971,-95.3516,300.5,2024-02-05
37.3158,-89.8444,325.6,2024-02-06
39.6981,-91.0709,300.0,2024-02-06
39.6886,-91.0737,303.3,2024-02-06
38.3743,-91.2165,302.0,2024-02-06
37.3187,-89.8379,345.7,2024-02-06
37.3155,-89.8212,318.7,2024-02-06
37.3127,-89.8279,328.1,2024-02-06
38.0228,-91.2192,306.1,2024-02-07
40.3545,-94.8289,300.5,2024-02-08
36.2053,-94.7445,327.0,2024-02-08
36.2037,-94.7554,330.9,2024-02-08
36.2141,-94.7465,325.3,2024-02-08
36.2125,-94.7574,344.7,2024-02-08
36.2108,-94.7683,311.5,2024-02-08
36.379,-94.8197,315.3,2024-02-08
37.7827,-93.3095,302.0,2024-02-08
38.6244,-91.0847,308.1,2024-02-08
38.698,-92.2704,321.7,2024-02-08
38.6964,-92.2831,337.9,2024-02-08
39.0508,-92.5944,308.3,2024-02-08
39.1523,-94.0187,343.2,2024-02-08
39.183,-94.4716,301.2,2024-02-08
39.2045,-92.0782,305.7,2024-02-09
40.091,-95.2713,312.9,2024-02-09
40.0902,-95.2632,315.3,2024-02-09
40.537,-90.3142,327.2,2024-02-10
40.5399,-90.3199,303.8,2024-02-10
40.5382,-90.304,310.2,2024-02-10
40.1561,-94.9087,303.4,2024-02-10
39.6185,-92.9585,315.1,2024-02-10
39.6274,-92.9609,342.5,2024-02-10
39.6255,-92.9727,321.7,2024-02-10
39.584,-93.286,303.7,2024-02-10
39.582,-93.298,302.2,2024-02-10
39.593,-93.2885,309.1,2024-02-10
39.5181,-94.0642,300.3,2024-02-10
39.8617,-92.1797,310.1,2024-02-10
40.4026,-89.9336,306.9,2024-02-10
39.942,-93.4861,307.6,2024-02-10
40.1585,-94.8952,302.9,2024-02-10
39.9655,-94.0677,303.1,2024-02-11
39.9675,-94.0798,347.1,2024-02-11
40.5742,-90.1959,304.8,2024-02-11
40.5686,-90.1899,305.9,2024-02-11
40.5193,-91.424,300.3,2024-02-12
40.5163,-91.4319,306.4,2024-02-12
38.3451,-93.6729,301.8,2024-02-12
39.9972,-89.8035,329.4,2024-02-12
40.0063,-89.8061,315.1,2024-02-12
40.5073,-91.446,303.7,2024-02-12
39.6234,-93.9114,332.3,2024-02-13
39.6219,-93.8992,326.6,2024-02-13
39.5869,-93.8443,307.1,2024-02-13
39.5778,-93.8462,301.0,2024-02-13
39.4768,-94.5132,379.4,2024-02-13
39.4752,-94.5005,332.9,2024-02-13
39.5045,-94.9489,302.6,2024-02-13
38.4787,-89.1576,307.8,2024-02-13
38.837,-93.2554,300.2,2024-02-13
38.0655,-95.0681,307.9,2024-02-13
37.5807,-93.1081,301.0,2024-02-13
37.502,-94.1607,302.5,2024-02-13
36.7439,-95.5234,313.4,2024-02-13
36.7396,-95.5308,303.1,2024-02-13
37.7867,-91.4234,302.6,2024-02-13
37.7955,-91.4212,310.2,2024-02-13
39.1646,-91.0221,302.4,2024-02-13
39.1674,-91.0154,304.5,2024-02-13
38.9858,-91.737,310.5,2024-02-13
38.9748,-91.7351,331.5,2024-02-13
38.7122,-91.6189,311.2,2024-02-13
38.342,-93.6759,302.2,2024-02-13
38.4556,-90.8275,308.8,2024-02-13
38.4567,-90.8411,300.6,2024-02-13
38.4586,-90.8207,305.2,2024-02-13
38.1227,-93.4666,305.3,2024-02-13
38.4446,-90.1601,305.7,2024-02-13
38.0885,-92.9529,313.2,2024-02-13
38.0901,-92.9381,331.9,2024-02-13
38.08,-92.9362,317.2,2024-02-13
