latitude,longitude,brightness,acq_date
34.0693,-80.3535,306.2,2024-01-02
34.6069,-77.5439,302.5,2024-01-02
34.0001,-83.1619,302.1,2024-01-02
35.1037,-79.3645,306.0,2024-01-02
35.1156,-79.3509,318.5,2024-01-02
35.1559,-79.1205,306.7,2024-01-02
35.3886,-81.3575,305.2,2024-01-02
36.2915,-77.1822,304.6,2024-01-02
36.3081,-78.0839,314.2,2024-01-02
36.5669,-79.4415,310.2,2024-01-04
34.3199,-78.7652,308.3,2024-01-04
34.0389,-80.8811,319.6,2024-01-04
34.036,-80.8962,317.4,2024-01-04
34.0492,-80.884,308.2,2024-01-04
34.8131,-78.9735,302.2,2024-01-04
34.9313,-79.5405,302.7,2024-01-04
35.0458,-79.3039,319.7,2024-01-04
35.1595,-79.0918,301.1,2024-01-04
35.1656,-79.0864,307.5,2024-01-04
35.1418,-79.3981,314.1,2024-01-04
35.4992,-79.8508,309.6,2024-01-04
35.5088,-79.8532,321.5,2024-01-04
35.5065,-79.866,305.4,2024-01-04
36.2773,-80.8222,302.3,2024-01-04
35.7961,-77.8689,300.6,2024-01-11
35.3494,-77.478,303.4,2024-01-11
35.0536,-79.3448,300.1,2024-01-11
35.1459,-78.9474,303.9,2024-01-11
34.821,-80.5444,301.0,2024-01-18
35.8548,-78.0214,300.6,2024-01-18
36.4296,-76.9848,300.2,2024-01-18
33.9021,-80.5023,302.8,2024-01-18
33.8978,-80.5231,300.1,2024-01-18
33.9983,-80.8165,305.0,2024-01-18
34.6378,-81.3998,300.3,2024-01-18
35.1435,-78.9531,303.2,2024-01-18
35.3493,-79.5846,306.5,2024-01-18
34.4478,-80.2821,304.2,2024-01-19
35.8367,-80.4847,303.9,2024-01-19
34.4461,-80.294,325.9,2024-01-19
36.4079,-77.0372,310.8,2024-01-21
36.3533,-76.8,307.4,2024-01-21
36.5328,-77.768,302.6,2024-01-21
36.3556,-76.8132,300.8,2024-01-21
34.0251,-81.6039,302.4,2024-01-21
34.0233,-81.6151,304.7,2024-01-21
34.8734,-80.243,318.6,2024-01-21
35.0709,-79.173,313.3,2024-01-21
35.0798,-79.1748,317.7,2024-01-21
35.0783,-79.1858,323.6,2024-01-21
35.4226,-79.4281,301.5,2024-01-21
35.964,-80.7964,303.3,2024-01-22
33.8706,-79.2265,303.1,2024-01-22
33.882,-79.2279,306.8,2024-01-22
33.8503,-79.6662,302.3,2024-01-22
33.8439,-79.6704,303.4,2024-01-22
33.9847,-78.1544,307.1,2024-01-26
35.1252,-79.2546,301.9,2024-01-28
34.2654,-78.6292,382.9,2024-01-28
34.2638,-78.6399,309.1,2024-01-28
34.2771,-80.1749,302.5,2024-01-28
34.267,-78.6186,396.4,2024-01-28
34.5961,-80.2009,316.8,2024-01-29
34.6099,-80.2022,327.1,2024-01-29
34.6032,-80.1781,304.7,2024-01-29
34.6012,-80.2065,335.6,2024-01-29
35.0845,-79.2722,306.0,2024-01-29
34.156,-78.3882,304.0,2024-01-29
33.8846,-79.2328,310.5,2024-01-30
34.6961,-80.0796,303.8,2024-01-30
35.5137,-77.0867,322.5,2024-01-30
34.1633,-78.3814,314.4,2024-01-30
34.1618,-78.3863,314.2,2024-01-30
