latitude,longitude,brightness,acq_date
46.8212,-100.5764,301.9,2024-02-12
48.0598,-98.9012,312.3,2024-02-14
46.1972,-100.7552,303.4,2024-02-17
48.7147,-99.7663,315.5,2024-02-18
46.9194,-98.5989,320.3,2024-02-21
46.929,-98.5749,306.5,2024-02-21
46.9272,-98.6081,313.3,2024-02-21
48.9289,-96.5551,307.9,2024-02-25
47.2865,-98.5008,307.4,2024-02-26
47.2821,-98.5092,306.5,2024-02-26
45.9428,-96.6735,306.1,2024-03-12
45.9433,-96.6834,307.0,2024-03-12
48.1899,-97.1446,300.9,2024-03-14
46.8492,-103.5119,313.7,2024-03-15
46.8464,-103.5268,308.1,2024-03-15
46.1092,-102.5382,335.0,2024-03-18
46.1109,-102.5237,320.9,2024-03-18
46.0998,-102.536,373.6,2024-03-18
46.1015,-102.5214,354.3,2024-03-18
48.6866,-97.4734,305.5,2024-03-21
48.6884,-97.487,300.0,2024-03-21
48.5123,-98.1399,319.4,2024-03-22
48.7523,-98.3652,301.7,2024-03-25
48.2274,-98.2242,314.1,2024-04-01
48.0267,-103.2404,302.4,2024-04-03
47.1961,-98.8231,301.2,2024-04-03
46.5735,-100.8679,304.5,2024-04-03
46.9586,-103.5081,303.2,2024-04-03
46.9576,-103.5313,308.6,2024-04-03
47.5189,-98.4311,376.7,2024-04-03
47.517,-98.444,319.7,2024-04-03
47.8423,-98.0489,401.3,2024-04-03
47.8404,-98.062,333.7,2024-04-03
46.9511,-103.5102,308.4,2024-04-03
46.9477,-103.5272,314.8,2024-04-03
46.9609,-103.5145,309.2,2024-04-03
48.3977,-102.913,319.0,2024-04-03
47.8463,-99.0441,303.7,2024-04-03
48.237,-99.3587,309.9,2024-04-03
48.4524,-98.6514,308.5,2024-04-03
47.9352,-101.8784,305.2,2024-04-03
47.9327,-101.8929,314.0,2024-04-03
45.9679,-98.0196,300.2,2024-04-04
48.3432,-98.3113,314.6,2024-04-04
48.5088,-98.8064,305.9,2024-04-04
48.5154,-98.8069,305.1,2024-04-04
48.3528,-98.3253,312.0,2024-04-04
48.365,-98.2825,312.2,2024-04-04
48.3553,-98.2684,305.4,2024-04-04
48.9898,-96.9044,305.5,2024-04-04
48.3592,-98.2831,306.0,2024-04-04
48.3574,-98.318,307.2,2024-04-04
48.9915,-96.8618,305.1,2024-04-04
48.9888,-96.8662,305.2,2024-04-04
48.9873,-96.9089,301.9,2024-04-04
48.9715,-98.5712,308.2,2024-04-04
48.1886,-98.377,322.4,2024-04-05
48.0626,-98.4929,300.7,2024-04-05
48.0602,-98.4789,315.3,2024-04-05
47.5002,-96.9581,320.2,2024-04-05
47.8359,-99.6794,323.4,2024-04-05
48.2085,-97.8717,302.6,2024-04-05
48.2059,-97.8571,310.1,2024-04-05
47.4929,-96.9597,313.3,2024-04-05
47.4985,-96.9672,310.1,2024-04-05
47.3988,-98.5069,308.4,2024-04-06
47.698,-97.2758,324.2,2024-04-06
47.6961,-97.299,321.2,2024-04-06
48.5179,-98.9562,304.3,2024-04-06
48.9,-101.1848,315.3,2024-04-09
48.9018,-101.2126,311.3,2024-04-09
48.305,-96.6115,327.1,2024-04-09
48.2982,-96.64,327.9,2024-04-09
48.3172,-96.6182,333.2,2024-04-09
48.3104,-96.6467,336.8,2024-04-09
48.3032,-96.6147,313.3,2024-04-09
48.2962,-96.6432,309.3,2024-04-09
48.3154,-96.6215,347.6,2024-04-09
48.3085,-96.6499,335.8,2024-04-09
48.4636,-98.5692,337.4,2024-04-09
48.467,-98.5784,319.7,2024-04-09
46.816,-98.3107,322.8,2024-04-10
46.9967,-97.7129,305.5,2024-04-10
46.9905,-97.752,308.1,2024-04-10
46.9885,-97.7651,306.3,2024-04-10
47.0272,-97.6932,316.4,2024-04-11
47.029,-97.7214,300.5,2024-04-11
47.01,-103.4888,306.2,2024-04-11
46.9977,-103.4949,328.9,2024-04-11
46.9853,-103.5011,305.2,2024-04-11
47.0024,-103.5237,313.1,2024-04-11
47.0235,-97.7105,313.8,2024-04-11
46.0487,-98.0395,337.0,2024-04-12
46.0506,-98.0522,326.7,2024-04-12
46.2106,-98.1285,310.6,2024-04-12
46.2125,-98.1412,319.3,2024-04-12
48.3563,-98.4875,348.2,2024-04-12
46.2279,-98.3727,320.1,2024-04-12
46.224,-98.3917,317.1,2024-04-12
46.2384,-98.3772,317.1,2024-04-12
46.2345,-98.3962,316.6,2024-04-12
46.8247,-98.1815,315.0,2024-04-12
48.2181,-97.6784,310.5,2024-04-12
48.2149,-97.695,311.0,2024-04-12
48.1448,-99.0682,311.9,2024-04-12
48.142,-99.0529,313.7,2024-04-12
48.3528,-98.5054,363.4,2024-04-12
48.3519,-98.4906,355.1,2024-04-12
48.3483,-98.5085,336.2,2024-04-12
48.9574,-99.2779,325.6,2024-04-12
48.9713,-99.2892,332.2,2024-04-12
48.9752,-99.2704,312.3,2024-04-12
48.9611,-99.2843,342.2,2024-04-12
48.965,-99.2655,317.7,2024-04-12
46.0748,-98.0129,314.4,2024-04-13
46.3603,-102.3585,320.8,2024-04-13
46.3584,-102.3711,320.7,2024-04-13
47.9105,-98.5368,308.0,2024-04-13
47.9088,-98.5532,319.0,2024-04-13
48.152,-98.5559,356.9,2024-04-13
48.1502,-98.5725,381.7,2024-04-13
48.1825,-98.4604,316.9,2024-04-13
48.1931,-98.4511,323.0,2024-04-13
48.1791,-98.5849,323.6,2024-04-13
48.2047,-98.4367,321.5,2024-04-13
48.203,-98.4535,396.8,2024-04-13
48.2306,-98.2861,318.3,2024-04-13
48.3724,-98.2028,326.7,2024-04-13
48.3237,-98.6609,316.5,2024-04-13
48.3219,-98.6775,317.5,2024-04-13
48.3825,-98.2051,383.3,2024-04-13
48.3807,-98.2225,357.8,2024-04-13
48.9524,-99.2878,328.1,2024-04-14
48.9503,-99.3012,318.2,2024-04-14
48.9486,-99.2826,324.8,2024-04-14
48.5402,-98.9226,309.3,2024-04-14
48.2269,-98.347,319.8,2024-04-14
48.2171,-98.3492,339.8,2024-04-14
