latitude,longitude,brightness,acq_date
33.692,-82.9358,308.0,2024-01-01
32.1117,-81.4115,313.7,2024-01-02
32.1099,-81.4226,305.3,2024-01-02
32.0365,-82.1437,300.4,2024-01-02
32.1958,-81.8034,312.6,2024-01-02
32.194,-81.8148,316.7,2024-01-02
32.2381,-81.8368,305.5,2024-01-02
32.2363,-81.8482,302.0,2024-01-02
32.2432,-81.8435,313.1,2024-01-02
32.2338,-82.1899,306.2,2024-01-02
32.2318,-82.2017,324.1,2024-01-02
32.1986,-82.5167,307.7,2024-01-02
32.1966,-82.5289,322.8,2024-01-02
32.1202,-82.9772,310.4,2024-01-02
32.118,-82.99,317.4,2024-01-02
32.206,-82.5312,315.5,2024-01-02
32.1277,-82.9924,312.7,2024-01-02
32.3407,-81.9917,302.3,2024-01-02
32.3388,-82.0032,327.3,2024-01-02
32.3541,-82.5786,307.2,2024-01-02
32.5859,-81.452,311.6,2024-01-02
32.5967,-81.443,320.0,2024-01-02
32.5949,-81.454,366.5,2024-01-02
32.5932,-81.465,328.9,2024-01-02
32.7287,-80.722,305.4,2024-01-02
32.3888,-82.8637,323.2,2024-01-02
32.3867,-82.8762,316.3,2024-01-02
32.3312,-83.1953,315.4,2024-01-02
32.5085,-82.2733,308.2,2024-01-02
32.5065,-82.2851,319.3,2024-01-02
32.5187,-82.5292,315.8,2024-01-02
32.5166,-82.5413,309.7,2024-01-02
32.4481,-83.0548,325.9,2024-01-02
32.4459,-83.0676,308.9,2024-01-02
32.7162,-81.6832,302.5,2024-01-02
32.7144,-81.6944,332.0,2024-01-02
32.8065,-81.5832,312.3,2024-01-02
32.8047,-81.5944,318.8,2024-01-02
32.8138,-81.5964,331.5,2024-01-02
32.5703,-83.2446,302.6,2024-01-02
32.568,-83.2576,314.4,2024-01-02
32.842,-82.2665,348.4,2024-01-02
32.84,-82.2782,302.8,2024-01-02
32.7892,-83.0568,301.8,2024-01-02
32.8537,-83.2798,304.8,2024-01-02
33.1512,-81.803,305.7,2024-01-02
32.992,-82.8268,312.0,2024-01-02
33.1585,-81.875,304.6,2024-01-02
33.1567,-81.8863,311.6,2024-01-02
33.1643,-81.8819,307.4,2024-01-02
33.0189,-83.1524,321.1,2024-01-02
33.0285,-83.1547,306.0,2024-01-02
33.4873,-80.96,300.8,2024-01-02
33.6551,-80.8322,304.1,2024-01-02
33.3878,-82.5069,332.0,2024-01-02
33.3858,-82.5188,311.5,2024-01-02
33.6854,-82.6214,341.0,2024-01-02
33.6834,-82.6333,318.1,2024-01-02
34.0693,-80.3535,306.2,2024-01-02
34.0001,-83.1619,302.1,2024-01-02
35.1037,-79.3645,306.0,2024-01-02
35.1156,-79.3509,318.5,2024-01-02
35.1559,-79.1205,306.7,2024-01-02
32.3244,-82.995,325.1,2024-01-04
32.0421,-82.3548,313.7,2024-01-04
32.0406,-82.3438,320.8,2024-01-04
33.6505,-80.8275,315.9,2024-01-04
33.0378,-81.0655,316.0,2024-01-04
33.0364,-81.055,300.3,2024-01-04
33.081,-83.0985,326.8,2024-01-04
32.8553,-83.2674,312.8,2024-01-04
33.0371,-81.0691,312.5,2024-01-04
33.034,-81.0851,303.6,2024-01-04
32.3947,-82.9127,307.5,2024-01-04
32.3904,-82.9339,305.8,2024-01-04
32.3961,-82.9179,311.9,2024-01-04
32.7736,-81.7619,314.6,2024-01-04
32.7701,-81.7797,313.5,2024-01-04
32.6621,-82.7849,315.6,2024-01-04
32.6579,-82.8056,300.6,2024-01-04
33.0344,-81.0617,304.6,2024-01-04
33.0315,-81.0777,317.9,2024-01-04
33.5811,-82.2219,300.5,2024-01-04
34.3199,-78.7652,308.3,2024-01-04
34.0389,-80.8811,319.6,2024-01-04
34.036,-80.8962,317.4,2024-01-04
34.0492,-80.884,308.2,2024-01-04
34.8131,-78.9735,302.2,2024-01-04
34.9313,-79.5405,302.7,2024-01-04
35.0458,-79.3039,319.7,2024-01-04
35.1595,-79.0918,301.1,2024-01-04
35.1656,-79.0864,307.5,2024-01-04
35.1418,-79.3981,314.1,2024-01-04
32.9525,-82.9679,312.3,2024-01-05
32.5856,-82.8744,308.0,2024-01-05
32.819,-82.6441,300.2,2024-01-05
32.5905,-82.8975,304.4,2024-01-05
