latitude,longitude,brightness,acq_date
31.7996,-103.2413,304.1,2024-01-01
28.0583,-97.4363,306.8,2024-01-01
31.4229,-94.3453,307.5,2024-01-01
31.507,-100.6963,302.5,2024-01-01
30.6822,-94.151,301.6,2024-01-01
30.6892,-98.2013,302.6,2024-01-01
30.6865,-98.2163,303.3,2024-01-01
31.8749,-93.7017,333.7,2024-01-01
31.8734,-93.7121,365.4,2024-01-01
32.2197,-94.8638,305.9,2024-01-01
31.2661,-100.2376,300.6,2024-01-01
32.2286,-94.8657,301.2,2024-01-01
31.9288,-99.3636,354.1,2024-01-01
31.9256,-99.3804,316.8,2024-01-01
31.7898,-94.6549,304.0,2024-01-01
31.9167,-94.6657,300.4,2024-01-01
35.3719,-96.26,311.8,2024-01-01
36.2091,-98.6705,303.7,2024-01-01
32.5927,-93.984,302.8,2024-01-02
30.8503,-93.8855,304.6,2024-01-02
30.8472,-93.8932,303.4,2024-01-02
35.4559,-94.4922,321.2,2024-01-03
35.4543,-94.4815,301.1,2024-01-03
33.6851,-96.5939,312.9,2024-01-03
33.7207,-97.5383,307.0,2024-01-03
34.3854,-95.6206,303.1,2024-01-03
34.0505,-95.1296,300.1,2024-01-03
33.8446,-95.1718,323.8,2024-01-03
33.7107,-96.6477,300.5,2024-01-03
33.6836,-96.5825,309.8,2024-01-03
29.5348,-99.6113,304.1,2024-01-03
29.7575,-93.8764,310.2,2024-01-03
31.4573,-94.8733,300.1,2024-01-03
31.2746,-95.9911,317.4,2024-01-03
33.8006,-94.0148,302.8,2024-01-03
34.0445,-95.1183,332.1,2024-01-03
34.0417,-95.1331,317.6,2024-01-03
34.0548,-95.121,318.6,2024-01-03
34.052,-95.1359,311.5,2024-01-03
35.4534,-94.4927,301.3,2024-01-03
35.9054,-94.0408,301.8,2024-01-03
32.6411,-93.9151,304.8,2024-01-04
33.4294,-94.8278,310.5,2024-01-04
33.4305,-94.8338,311.0,2024-01-04
32.6422,-93.9498,324.5,2024-01-04
32.633,-93.9114,302.9,2024-01-04
32.6501,-93.9536,316.5,2024-01-04
26.2949,-97.8912,312.6,2024-01-04
30.7541,-94.9678,300.2,2024-01-04
32.1639,-94.101,302.9,2024-01-04
31.3525,-96.1738,300.0,2024-01-04
32.1696,-94.1071,303.0,2024-01-04
31.8846,-97.854,302.8,2024-01-04
31.8831,-97.8657,332.9,2024-01-04
31.8925,-97.8674,304.9,2024-01-04
32.3225,-94.7715,306.6,2024-01-04
32.3208,-94.7891,312.3,2024-01-04
32.2541,-96.3772,302.3,2024-01-04
32.6437,-93.9562,301.3,2024-01-04
32.6394,-93.9426,304.8,2024-01-04
33.0218,-94.6223,313.9,2024-01-04
33.5184,-93.644,301.4,2024-01-04
35.9044,-94.0214,314.9,2024-01-04
35.9025,-94.0432,304.2,2024-01-04
35.9069,-94.0284,320.6,2024-01-04
28.9801,-98.8763,301.7,2024-01-05
30.2099,-99.7217,301.6,2024-01-05
30.2034,-99.7293,304.2,2024-01-05
29.6367,-98.2273,304.2,2024-01-06
32.691,-98.6152,313.6,2024-01-06
31.8962,-97.8579,345.8,2024-01-06
31.8941,-97.8454,324.2,2024-01-06
31.7402,-99.0456,304.7,2024-01-06
31.1137,-98.2322,312.4,2024-01-06
30.5508,-98.4322,300.4,2024-01-06
27.9345,-97.8237,309.6,2024-01-06
29.5769,-99.2118,303.6,2024-01-06
29.0865,-97.9685,301.9,2024-01-06
27.937,-97.8375,306.2,2024-01-06
27.9383,-97.8286,315.5,2024-01-06
29.4936,-97.067,303.4,2024-01-06
26.0948,-97.7136,310.7,2024-01-06
28.0674,-98.7862,309.4,2024-01-06
29.5285,-96.9021,308.1,2024-01-06
31.4897,-98.0882,302.0,2024-01-06
30.0562,-97.9049,300.5,2024-01-06
31.0683,-97.9417,302.6,2024-01-06
31.1131,-98.2437,300.1,2024-01-06
31.2216,-97.965,311.0,2024-01-06
31.1846,-98.2535,301.8,2024-01-06
31.3894,-100.5609,302.9,2024-01-06
31.3858,-100.5667,300.2,2024-01-06
31.8882,-97.8514,313.1,2024-01-06
31.8865,-97.8622,308.8,2024-01-06
31.8972,-97.8534,304.3,2024-01-06
31.8955,-97.8642,305.1,2024-01-06
32.0854,-99.7643,301.0,2024-01-06
34.332,-105.8161,305.3,2024-01-06
30.8463,-99.8985,302.7,2024-01-07
32.3252,-101.8091,303.4,2024-01-09
28.5775,-99.5823,308.8,2024-01-09
28.5843,-99.5753,308.5,2024-01-09
27.8064,-97.5948,301.9,2024-01-09
27.804,-97.5955,320.1,2024-01-09
27.4646,-97.5493,338.5,2024-01-09
27.463,-97.5631,327.9,2024-01-09
27.4701,-97.5558,331.1,2024-01-09
29.0682,-95.2532,321.7,2024-01-09
28.5777,-99.5864,313.4,2024-01-09
29.7226,-98.5754,310.5,2024-01-09
29.7342,-98.5636,343.9,2024-01-09
29.7327,-98.5768,398.2,2024-01-09
29.7311,-98.5899,330.1,2024-01-09
29.7324,-98.5688,360.1,2024-01-09
29.7309,-98.5819,366.6,2024-01-09
29.7425,-98.5702,315.0,2024-01-09
29.741,-98.5834,330.0,2024-01-09
32.2757,-101.9335,302.5,2024-01-09
32.32,-101.8106,303.8,2024-01-09
32.3185,-101.8213,301.1,2024-01-09
27.8063,-97.5975,303.3,2024-01-10
27.4644,-97.5591,300.6,2024-01-10
27.4756,-97.5483,306.8,2024-01-10
27.8053,-97.5908,307.4,2024-01-10
34.3761,-95.626,311.8,2024-01-10
32.6037,-93.9975,305.7,2024-01-10
