latitude,longitude,brightness,acq_date
42.3365,-107.6081,364.5,2024-01-23
42.3336,-107.6232,317.4,2024-01-23
44.6074,-107.1349,311.9,2024-01-23
44.2832,-104.1228,301.3,2024-01-23
42.3468,-107.6131,303.2,2024-01-24
42.3338,-107.6136,320.6,2024-01-24
42.3297,-107.6253,344.6,2024-01-24
42.3321,-107.6323,321.4,2024-01-24
43.6081,-104.7801,300.4,2024-01-31
44.311,-106.853,302.8,2024-01-31
44.3092,-106.8718,300.9,2024-01-31
44.8902,-108.22,347.2,2024-02-13
44.8845,-108.2448,341.2,2024-02-13
44.445,-104.5061,319.1,2024-02-20
44.266,-106.8852,300.2,2024-02-20
44.4439,-104.5073,308.5,2024-02-20
41.1123,-104.9195,322.1,2024-02-24
41.1106,-104.9079,344.4,2024-02-24
41.109,-104.8963,346.3,2024-02-24
41.1073,-104.8847,341.7,2024-02-24
41.1086,-104.9564,309.8,2024-02-24
41.1069,-104.9448,337.2,2024-02-24
41.1052,-104.9332,318.5,2024-02-24
41.1035,-104.9217,346.1,2024-02-24
41.1019,-104.9101,347.8,2024-02-24
41.3813,-104.0865,311.9,2024-02-25
41.1862,-105.0453,315.8,2024-03-01
41.1714,-105.0514,313.9,2024-03-01
41.1749,-105.0549,324.3,2024-03-01
41.1826,-105.0443,325.2,2024-03-01
41.1696,-105.0497,321.5,2024-03-01
41.2016,-104.9263,340.8,2024-03-01
41.1991,-104.9404,328.6,2024-03-01
41.203,-104.9321,321.9,2024-03-01
41.2075,-104.963,325.4,2024-03-01
42.6145,-106.4191,305.8,2024-03-01
42.612,-106.4234,303.9,2024-03-01
44.4022,-108.0424,302.7,2024-03-08
44.0159,-104.4304,314.9,2024-03-09
44.027,-104.4324,313.4,2024-03-09
44.0278,-104.4396,311.9,2024-03-09
44.2845,-108.0146,356.5,2024-03-09
44.2828,-108.0284,349.7,2024-03-09
44.6596,-104.7336,320.2,2024-03-09
44.2902,-106.8939,317.9,2024-03-12
44.4181,-108.1502,314.6,2024-03-15
44.4203,-108.1633,318.9,2024-03-15
44.167,-107.9581,307.2,2024-03-15
44.42,-108.158,307.3,2024-03-15
44.5144,-107.9375,304.4,2024-03-17
44.5023,-108.3505,305.4,2024-03-18
43.9288,-107.9814,315.2,2024-03-18
44.0342,-104.4424,335.2,2024-03-19
44.0359,-104.4557,308.0,2024-03-19
43.9547,-108.0122,315.9,2024-03-19
43.9528,-108.0347,314.1,2024-03-19
44.9268,-108.0318,344.0,2024-03-19
44.9251,-108.0532,345.0,2024-03-19
44.937,-108.0555,314.3,2024-03-19
44.3593,-108.2729,311.8,2024-03-20
41.8816,-110.0849,323.6,2024-03-20
44.457,-108.4642,308.1,2024-03-20
44.4545,-108.4497,308.3,2024-03-20
43.9523,-107.9866,311.2,2024-03-20
43.9546,-108.0321,313.4,2024-03-20
44.0246,-107.9282,320.8,2024-03-20
44.0203,-107.9485,327.9,2024-03-20
44.1385,-107.8953,312.1,2024-03-20
44.5279,-107.8423,313.5,2024-03-20
44.5238,-107.862,317.7,2024-03-20
44.9776,-109.0622,307.1,2024-03-20
44.8052,-108.7228,319.9,2024-04-03
44.7961,-108.725,355.8,2024-04-03
44.7945,-108.7119,313.3,2024-04-03
44.5285,-109.267,300.3,2024-04-12
43.2263,-108.5603,320.5,2024-04-13
43.2352,-108.5577,331.4,2024-04-13
