latitude,longitude,brightness,acq_date
31.151,-87.9931,300.1,2024-01-01
31.4299,-88.1552,318.3,2024-01-01
32.0345,-87.4372,302.6,2024-01-01
30.5927,-85.0442,302.8,2024-01-02
30.5893,-85.0619,318.7,2024-01-02
30.5071,-85.4816,305.1,2024-01-02
30.5033,-85.5005,318.8,2024-01-02
30.7304,-85.1112,313.8,2024-01-02
30.5716,-86.0282,302.9,2024-01-02
30.5675,-86.0486,318.4,2024-01-02
30.9034,-86.2962,302.1,2024-01-02
31.18,-86.0394,300.3,2024-01-02
31.176,-86.0594,303.7,2024-01-02
31.184,-86.0477,310.4,2024-01-02
31.3745,-85.6519,301.2,2024-01-02
31.3691,-85.655,301.8,2024-01-02
31.4224,-85.8567,301.6,2024-01-02
31.4341,-85.9831,312.6,2024-01-02
31.8806,-85.5548,304.2,2024-01-02
32.2624,-85.2699,302.4,2024-01-02
32.7897,-86.1462,302.5,2024-01-02
33.3245,-86.2759,302.6,2024-01-02
32.2684,-84.9935,302.0,2024-01-04
30.5985,-87.5932,301.0,2024-01-04
30.5985,-87.5966,300.2,2024-01-04
33.933,-88.467,304.3,2024-01-04
33.9354,-88.418,304.0,2024-01-04
33.937,-88.4268,309.1,2024-01-04
30.5306,-86.0422,306.9,2024-01-05
31.2667,-84.9144,302.4,2024-01-05
31.8882,-85.4163,315.0,2024-01-05
32.1483,-85.1338,306.1,2024-01-05
31.603,-87.8439,319.3,2024-01-07
30.8212,-87.0802,308.1,2024-01-10
30.8171,-87.0781,309.9,2024-01-10
30.8157,-87.0887,306.8,2024-01-10
32.8077,-85.1028,302.9,2024-01-10
32.7789,-85.7697,303.2,2024-01-10
33.3198,-85.6806,301.0,2024-01-10
33.9187,-87.7541,307.2,2024-01-14
31.3036,-85.1562,302.8,2024-01-15
30.7742,-85.7841,319.8,2024-01-15
30.785,-85.7857,316.5,2024-01-15
31.2958,-85.1499,321.3,2024-01-15
31.2939,-85.1677,324.5,2024-01-15
31.2925,-85.155,323.2,2024-01-15
31.2908,-85.1727,309.0,2024-01-15
31.304,-85.1565,308.4,2024-01-15
31.3183,-87.7283,310.5,2024-01-15
31.3168,-87.7408,300.0,2024-01-15
30.7241,-86.6787,316.8,2024-01-17
30.5973,-87.2905,302.0,2024-01-17
31.3449,-85.9347,304.1,2024-01-17
31.2315,-87.7467,306.1,2024-01-17
32.3492,-85.7164,300.5,2024-01-17
30.6979,-86.6993,327.8,2024-01-19
30.6818,-86.13,304.1,2024-01-19
31.6048,-85.2385,301.3,2024-01-19
31.1466,-87.9907,300.2,2024-01-19
30.5881,-86.098,308.4,2024-01-19
30.7569,-85.1451,300.2,2024-01-19
30.7011,-86.6971,304.4,2024-01-19
30.6987,-86.7103,305.0,2024-01-19
30.9125,-86.4801,300.7,2024-01-20
31.1379,-86.5919,300.3,2024-01-20
31.391,-86.0829,304.7,2024-01-20
32.2061,-85.167,313.9,2024-01-20
32.1658,-86.1077,311.2,2024-01-20
32.2111,-85.1726,314.8,2024-01-20
32.1634,-86.1127,304.5,2024-01-20
32.4143,-87.1437,306.4,2024-01-21
32.1715,-86.0926,301.6,2024-01-21
32.5565,-85.5729,316.2,2024-01-21
30.5592,-86.7599,312.3,2024-01-21
30.8663,-86.3757,301.1,2024-01-21
31.1044,-86.5777,304.1,2024-01-21
31.0997,-86.6003,308.1,2024-01-21
31.1169,-86.5813,320.8,2024-01-21
31.1295,-86.5848,334.9,2024-01-21
31.1289,-86.5914,326.3,2024-01-21
31.8342,-86.0199,315.8,2024-01-21
32.553,-85.5912,308.0,2024-01-21
32.5526,-85.5767,321.8,2024-01-21
30.5854,-85.0249,307.1,2024-01-22
30.5915,-85.0387,302.6,2024-01-22
30.5873,-85.0178,301.2,2024-01-22
30.8067,-86.7945,340.0,2024-01-22
30.5876,-85.063,302.8,2024-01-22
30.6745,-85.2817,309.5,2024-01-22
30.6729,-85.2956,309.8,2024-01-22
30.8088,-85.3432,306.4,2024-01-22
30.9197,-85.0797,317.2,2024-01-22
30.8053,-86.8062,318.7,2024-01-22
31.0543,-86.6246,300.1,2024-01-22
31.0638,-86.6262,302.5,2024-01-22
31.1096,-86.6896,358.8,2024-01-22
31.1191,-86.6912,354.3,2024-01-22
31.1271,-86.7048,321.4,2024-01-22
31.0441,-87.7916,325.7,2024-01-22
31.0521,-87.7877,307.7,2024-01-22
31.0507,-87.7985,305.1,2024-01-22
31.2148,-86.8101,301.3,2024-01-22
31.4587,-86.1471,304.4,2024-01-22
31.6272,-86.3559,311.2,2024-01-22
31.6257,-86.3684,331.0,2024-01-22
31.8837,-85.1997,309.0,2024-01-22
31.816,-86.1379,300.4,2024-01-22
31.0188,-86.8751,308.9,2024-01-29
30.9413,-88.0117,315.2,2024-01-29
30.7017,-86.6989,307.8,2024-01-29
30.6961,-86.7011,337.0,2024-01-29
30.3462,-86.1548,331.7,2024-01-29
30.3448,-86.1656,311.5,2024-01-29
30.3553,-86.1564,327.8,2024-01-29
30.5807,-86.0538,312.8,2024-01-29
30.5742,-86.8554,316.8,2024-01-29
30.5728,-86.8658,312.7,2024-01-29
30.6947,-86.7116,304.5,2024-01-29
30.9192,-85.0742,300.8,2024-01-29
30.9294,-85.4207,301.5,2024-01-29
30.997,-85.3783,301.5,2024-01-29
30.812,-86.8642,307.9,2024-01-29
30.8224,-86.8554,307.8,2024-01-29
30.821,-86.8658,311.5,2024-01-29
31.0211,-86.8833,302.9,2024-01-29
30.9361,-88.0098,302.8,2024-01-29
30.9346,-88.0201,302.2,2024-01-29
30.945,-88.0116,300.5,2024-01-29
31.0541,-87.3137,302.7,2024-01-29
31.1259,-87.1943,302.6,2024-01-29
31.6035,-85.2392,307.1,2024-01-29
32.041,-85.8364,301.0,2024-01-29
32.4986,-85.8526,304.3,2024-01-29
32.9821,-86.8176,306.6,2024-01-29
30.9441,-88.0141,301.4,2024-01-30
31.0028,-85.38,313.0,2024-01-30
30.979,-85.0409,301.2,2024-01-30
30.9779,-85.0048,300.8,2024-01-30
31.9456,-85.1718,303.7,2024-01-30
31.9518,-85.178,301.2,2024-01-30
31.534,-88.1235,301.4,2024-01-30
30.7487,-86.9216,309.8,2024-01-30
30.746,-86.9643,309.1,2024-01-30
30.76,-87.0081,308.3,2024-01-30
30.7517,-86.9266,313.0,2024-01-30
30.7492,-86.9692,305.7,2024-01-30
30.7467,-87.012,315.8,2024-01-30
31.082,-87.397,300.0,2024-01-30
31.3369,-85.3535,301.9,2024-01-31
31.5231,-87.0036,314.9,2024-01-31
30.6759,-85.1867,305.2,2024-01-31
30.6744,-85.1765,300.4,2024-01-31
30.7013,-86.7029,355.3,2024-01-31
30.6999,-86.6922,306.4,2024-01-31
30.4221,-85.588,311.9,2024-01-31
30.4204,-85.5988,317.8,2024-01-31
30.3471,-86.1684,305.2,2024-01-31
30.3452,-86.1798,328.2,2024-01-31
30.6843,-84.9205,312.7,2024-01-31
30.805,-85.2119,322.0,2024-01-31
30.8034,-85.2225,333.7,2024-01-31
30.8607,-84.9092,309.5,2024-01-31
30.8123,-85.2244,306.4,2024-01-31
30.8941,-85.2375,304.6,2024-01-31
30.6555,-86.7823,314.3,2024-01-31
30.66,-86.7762,314.9,2024-01-31
30.658,-86.7882,327.8,2024-01-31
30.7026,-86.6992,316.6,2024-01-31
30.7006,-86.7111,318.9,2024-01-31
30.8187,-86.1739,302.2,2024-01-31
30.8168,-86.1852,304.6,2024-01-31
30.7089,-86.8373,314.4,2024-01-31
30.8261,-86.1872,303.7,2024-01-31
30.7204,-86.8274,325.1,2024-01-31
30.7184,-86.8394,332.3,2024-01-31
30.7299,-86.8295,354.6,2024-01-31
30.7279,-86.8416,348.9,2024-01-31
30.7259,-86.8536,330.3,2024-01-31
31.0455,-84.9774,310.1,2024-01-31
30.8803,-86.6296,306.7,2024-01-31
30.8783,-86.6413,334.4,2024-01-31
30.8877,-86.6434,303.4,2024-01-31
30.8858,-86.6552,302.2,2024-01-31
31.154,-85.0493,326.1,2024-01-31
31.1523,-85.0598,332.4,2024-01-31
31.1629,-85.0512,365.9,2024-01-31
31.1613,-85.0617,373.9,2024-01-31
30.8637,-86.9605,320.8,2024-01-31
30.8616,-86.9727,334.5,2024-01-31
30.8732,-86.9627,308.3,2024-01-31
30.8712,-86.9749,312.1,2024-01-31
31.2852,-85.0401,316.3,2024-01-31
31.031,-86.6951,311.9,2024-01-31
31.0482,-86.6501,309.1,2024-01-31
31.0517,-86.6564,305.3,2024-01-31
31.0477,-86.6799,306.6,2024-01-31
31.1596,-86.181,320.3,2024-01-31
31.1577,-86.1923,310.1,2024-01-31
31.1185,-86.7821,303.0,2024-01-31
31.1245,-86.7778,300.2,2024-01-31
31.3912,-85.1943,303.6,2024-01-31
31.3896,-85.2048,306.2,2024-01-31
30.9186,-88.0676,306.0,2024-01-31
30.9385,-88.0152,304.2,2024-01-31
31.0965,-87.1735,306.0,2024-01-31
31.0943,-87.1859,305.0,2024-01-31
31.0665,-87.6419,341.1,2024-01-31
31.0643,-87.6549,308.7,2024-01-31
31.068,-87.6341,311.6,2024-01-31
31.0656,-87.6471,326.9,2024-01-31
30.9937,-88.4002,304.4,2024-01-31
31.4115,-86.1219,303.2,2024-01-31
31.2558,-87.0953,302.9,2024-01-31
31.0822,-88.1921,311.6,2024-01-31
31.0797,-88.206,305.0,2024-01-31
31.4971,-85.8164,322.4,2024-01-31
31.4953,-85.8273,304.6,2024-01-31
31.6294,-85.2682,324.5,2024-01-31
31.6278,-85.2787,315.9,2024-01-31
31.6383,-85.2701,324.2,2024-01-31
31.6367,-85.2807,310.9,2024-01-31
31.5697,-85.9968,347.8,2024-01-31
31.5679,-86.0079,353.4,2024-01-31
31.3897,-87.2602,361.0,2024-01-31
31.3876,-87.2726,309.2,2024-01-31
31.3993,-87.2624,341.2,2024-01-31
31.3972,-87.2748,305.5,2024-01-31
31.4792,-87.2238,301.4,2024-01-31
31.4771,-87.2362,305.3,2024-01-31
31.6813,-86.2182,302.8,2024-01-31
31.3357,-88.2721,304.4,2024-01-31
31.3458,-88.2746,310.1,2024-01-31
31.7562,-86.1655,309.8,2024-01-31
31.946,-85.1969,315.5,2024-01-31
31.9565,-85.1882,310.1,2024-01-31
31.9549,-85.1988,330.0,2024-01-31
31.7955,-86.5567,303.1,2024-01-31
32.2255,-84.9973,301.8,2024-01-31
32.1028,-85.7954,300.6,2024-01-31
32.0807,-86.217,302.9,2024-01-31
32.0789,-86.2282,301.6,2024-01-31
31.8765,-87.7293,302.7,2024-01-31
32.3804,-85.1947,302.0,2024-01-31
32.1473,-87.1705,308.7,2024-01-31
32.4537,-85.5629,301.5,2024-01-31
32.4934,-85.6049,306.3,2024-01-31
32.4917,-85.6156,337.2,2024-01-31
32.49,-85.6264,315.0,2024-01-31
32.2899,-87.4845,308.0,2024-01-31
32.7039,-84.945,304.3,2024-01-31
32.2994,-87.4868,316.3,2024-01-31
32.6646,-86.795,306.0,2024-01-31
32.6627,-86.8066,305.0,2024-01-31
32.6927,-86.8917,306.3,2024-01-31
32.512,-88.408,300.4,2024-01-31
32.9955,-86.1754,315.6,2024-01-31
33.183,-85.0841,303.1,2024-01-31
32.8969,-87.3924,326.8,2024-01-31
32.9184,-88.2108,304.6,2024-01-31
32.9183,-88.2173,308.3,2024-01-31
33.388,-88.1269,301.1,2024-01-31
34.2335,-85.7184,304.4,2024-01-31
34.6385,-87.0877,301.9,2024-01-31
30.689,-84.9226,305.8,2024-02-01
31.2605,-87.0767,304.0,2024-02-01
31.2474,-87.0805,306.7,2024-02-01
30.6683,-85.2748,304.3,2024-02-01
30.9425,-86.8566,302.9,2024-02-01
30.9368,-86.8307,306.8,2024-02-01
30.9436,-86.8341,315.1,2024-02-01
32.9485,-87.3916,302.6,2024-02-01
33.6758,-88.251,302.1,2024-02-01
33.6199,-85.7802,310.3,2024-02-02
31.0562,-85.238,300.1,2024-02-02
30.6942,-86.6975,300.0,2024-02-02
32.9549,-87.0877,303.2,2024-02-03
32.9243,-87.3904,304.4,2024-02-03
32.9222,-87.378,305.1,2024-02-03
32.9148,-87.3926,303.5,2024-02-03
32.9127,-87.3802,303.8,2024-02-03
31.7669,-85.7341,302.7,2024-02-03
31.7639,-85.7182,305.3,2024-02-03
31.7617,-85.7251,312.6,2024-02-03
31.5982,-85.2173,314.2,2024-02-03
31.5949,-85.2002,317.5,2024-02-03
31.7977,-86.5619,301.9,2024-02-03
31.2929,-85.2666,303.4,2024-02-03
31.2128,-85.0309,302.8,2024-02-03
31.2094,-85.0132,308.3,2024-02-03
31.5762,-87.2457,312.3,2024-02-03
31.5664,-87.248,319.6,2024-02-03
31.2408,-87.0963,307.9,2024-02-03
31.1197,-86.532,313.7,2024-02-03
31.1171,-86.5174,327.0,2024-02-03
30.7072,-86.7064,301.7,2024-02-03
30.7046,-86.692,303.6,2024-02-03
30.5648,-85.9209,305.7,2024-02-03
30.7659,-87.0983,304.4,2024-02-03
30.36,-85.3845,311.8,2024-02-03
30.3487,-85.3873,304.0,2024-02-03
32.2272,-85.0106,310.4,2024-02-03
32.2254,-85.0282,300.1,2024-02-03
32.2682,-85.0588,307.8,2024-02-03
32.4625,-85.5976,301.1,2024-02-03
32.4651,-85.5871,300.4,2024-02-03
32.805,-84.9287,303.2,2024-02-03
32.8144,-84.9372,301.9,2024-02-03
33.2553,-86.1038,313.3,2024-02-03
33.266,-86.1054,330.7,2024-02-03
33.2767,-86.1071,314.9,2024-02-03
33.7804,-85.5228,306.4,2024-02-03
33.8438,-85.4597,302.1,2024-02-03
33.8436,-85.4664,303.2,2024-02-03
34.1,-87.3818,304.9,2024-02-03
34.6413,-85.7815,300.2,2024-02-05
34.9279,-86.4207,305.4,2024-02-05
30.8992,-86.7537,304.1,2024-02-06
30.9146,-86.7552,302.8,2024-02-06
30.9096,-86.7595,310.4,2024-02-06
31.2839,-86.9926,302.3,2024-02-06
30.5192,-88.2118,308.1,2024-02-07
30.9997,-86.6828,318.1,2024-02-07
30.9927,-86.69,310.7,2024-02-07
30.6979,-86.695,319.4,2024-02-07
30.6699,-85.2484,312.2,2024-02-07
30.5465,-86.6258,309.8,2024-02-07
30.542,-86.63,311.2,2024-02-07
30.8992,-85.135,305.2,2024-02-07
30.9318,-85.0573,303.8,2024-02-07
30.9298,-85.069,302.5,2024-02-07
30.697,-86.7043,306.9,2024-02-07
30.8563,-86.1501,301.7,2024-02-07
30.896,-86.7506,319.7,2024-02-07
30.9885,-86.6904,317.0,2024-02-07
30.998,-86.6847,309.7,2024-02-07
30.9954,-86.6987,319.7,2024-02-07
30.7632,-88.1697,316.3,2024-02-07
30.8967,-87.5281,311.9,2024-02-07
30.8937,-87.544,300.3,2024-02-07
31.3383,-85.0776,316.1,2024-02-07
31.3364,-85.0893,323.9,2024-02-07
31.3665,-85.0239,301.1,2024-02-07
31.0696,-86.8204,313.2,2024-02-07
31.408,-85.0389,307.2,2024-02-07
31.4061,-85.0505,309.9,2024-02-07
31.3117,-85.6092,309.0,2024-02-07
31.4336,-85.7343,314.8,2024-02-07
31.0652,-88.0511,303.3,2024-02-07
31.7889,-85.3642,304.4,2024-02-07
31.7983,-85.3663,311.9,2024-02-07
31.2753,-88.4151,307.1,2024-02-07
31.2865,-88.4182,308.3,2024-02-07
31.5524,-88.3051,301.2,2024-02-07
32.1058,-85.4806,309.1,2024-02-07
32.2906,-85.195,306.1,2024-02-07
32.4797,-85.581,308.4,2024-02-07
32.4777,-85.593,317.4,2024-02-07
32.7241,-85.1648,304.8,2024-02-07
32.7792,-84.9417,300.7,2024-02-07
32.6008,-86.5688,302.5,2024-02-07
32.6935,-86.1015,303.6,2024-02-07
32.6913,-86.114,309.1,2024-02-07
32.8719,-85.6062,311.1,2024-02-07
32.4154,-88.3074,314.8,2024-02-07
32.4122,-88.3241,317.9,2024-02-07
32.5272,-88.4488,306.5,2024-02-07
32.5272,-88.4557,306.6,2024-02-07
33.0958,-85.61,304.9,2024-02-07
33.0938,-85.6218,301.6,2024-02-07
33.0996,-86.0178,306.4,2024-02-07
33.3248,-86.274,305.7,2024-02-07
33.3227,-86.2866,312.9,2024-02-07
33.7099,-85.763,305.5,2024-02-07
33.9912,-84.948,319.2,2024-02-07
33.9894,-84.9592,323.5,2024-02-07
34.0981,-85.038,310.4,2024-02-07
34.0963,-85.0491,322.4,2024-02-07
34.0257,-85.5413,311.5,2024-02-07
34.5447,-84.9647,323.5,2024-02-07
34.5429,-84.9758,313.8,2024-02-07
34.6317,-85.412,322.7,2024-02-07
34.6426,-85.4027,316.3,2024-02-07
34.6408,-85.4141,328.0,2024-02-07
34.2078,-88.4353,309.2,2024-02-07
34.2049,-88.4511,311.3,2024-02-07
34.2111,-88.4428,317.8,2024-02-07
34.4539,-87.7064,301.3,2024-02-07
