latitude,longitude,brightness,acq_date
63.8553,-145.8493,314.2,2024-04-23
63.8247,-145.8755,350.7,2024-04-24
63.8348,-145.8712,325.9,2024-04-24
63.8372,-145.8985,312.2,2024-04-24
63.8223,-145.8477,302.5,2024-04-24
63.8271,-145.9028,352.8,2024-04-24
63.8174,-145.8629,304.4,2024-04-24
63.9197,-145.6026,314.4,2024-04-26
63.9824,-145.6545,303.2,2024-04-27
63.9801,-145.6917,302.7,2024-04-27
63.9882,-145.6604,319.5,2024-04-27
63.9719,-146.4166,304.9,2024-04-28
63.8203,-145.002,312.6,2024-05-02
64.8201,-147.6522,300.7,2024-05-02
64.706,-146.5537,314.1,2024-05-05
64.702,-146.5749,318.8,2024-05-05
64.0118,-145.0735,305.9,2024-05-15
63.9275,-148.8443,337.0,2024-05-16
63.925,-148.8647,305.1,2024-05-16
63.9363,-148.8503,328.8,2024-05-16
63.9474,-148.8649,300.1,2024-05-16
63.9363,-148.8328,305.5,2024-05-16
63.9303,-148.8403,324.1,2024-05-16
63.9378,-148.8414,308.9,2024-05-16
63.9257,-148.8257,319.1,2024-05-16
63.9365,-148.8165,319.3,2024-05-16
63.934,-148.8405,324.3,2024-05-16
63.9235,-148.8284,374.2,2024-05-16
63.9329,-148.8347,337.2,2024-05-16
63.2827,-142.7185,301.2,2024-05-17
63.2752,-142.7013,307.9,2024-05-17
63.2719,-142.7206,318.6,2024-05-17
63.2804,-142.7279,330.5,2024-05-17
64.0313,-145.1207,306.4,2024-05-17
64.0274,-145.1414,306.8,2024-05-17
63.9396,-148.7869,302.9,2024-05-18
63.9365,-148.8063,300.4,2024-05-18
63.9302,-148.8044,305.7,2024-05-18
63.9367,-148.7778,304.1,2024-05-18
63.9369,-148.9012,338.3,2024-05-20
63.9488,-148.8887,336.7,2024-05-20
63.9454,-148.9086,321.3,2024-05-20
65.931,-142.2467,300.0,2024-05-20
63.9283,-148.8854,311.2,2024-05-21
68.1563,-151.8095,300.8,2024-05-21
62.3542,-162.0182,303.6,2024-05-27
62.3468,-162.0034,301.4,2024-05-27
62.353,-162.0123,305.2,2024-05-28
62.3449,-162.0008,305.9,2024-05-28
61.0501,-153.1167,303.9,2024-05-28
64.3572,-145.5715,307.2,2024-05-31
67.0245,-158.3015,302.9,2024-06-02
63.4438,-141.9408,308.1,2024-06-07
63.9766,-145.1249,313.8,2024-06-07
64.3606,-147.109,317.6,2024-06-08
64.3632,-147.1259,302.0,2024-06-08
64.3569,-147.1361,323.7,2024-06-08
64.3567,-147.1282,328.1,2024-06-08
64.3691,-147.0996,311.7,2024-06-08
64.3851,-147.1954,308.3,2024-06-08
64.3651,-147.1528,344.8,2024-06-08
64.3615,-147.1729,308.6,2024-06-08
64.3736,-147.1609,388.1,2024-06-08
64.37,-147.181,381.8,2024-06-08
64.3637,-147.1046,332.9,2024-06-08
64.3602,-147.1247,364.7,2024-06-08
64.3722,-147.1127,313.2,2024-06-08
64.3686,-147.1327,374.9,2024-06-08
64.3669,-147.246,349.2,2024-06-09
64.3756,-147.2549,367.8,2024-06-09
64.3757,-147.1765,356.8,2024-06-09
64.3674,-147.0893,311.0,2024-06-09
64.3595,-147.1771,354.1,2024-06-09
64.3672,-147.1675,368.3,2024-06-09
64.3595,-147.0987,319.0,2024-06-09
64.3831,-147.2455,359.8,2024-06-09
64.3834,-147.1671,325.9,2024-06-09
64.374,-147.1173,319.5,2024-06-09
64.3654,-147.1113,315.8,2024-06-09
64.3628,-147.1314,315.1,2024-06-09
64.3714,-147.1375,314.7,2024-06-09
64.3774,-147.1637,322.0,2024-06-09
64.3881,-147.1551,302.3,2024-06-09
64.3854,-147.1752,322.2,2024-06-09
64.3828,-147.1954,320.2,2024-06-09
64.3888,-147.2218,307.8,2024-06-09
64.3835,-147.2621,328.6,2024-06-09
64.3809,-147.2822,327.5,2024-06-09
64.3895,-147.2883,328.8,2024-06-09
64.3981,-147.2944,315.9,2024-06-09
66.1451,-142.1736,306.2,2024-06-09
66.1494,-142.1682,327.0,2024-06-09
64.3548,-147.1311,395.0,2024-06-09
64.3571,-147.1651,356.1,2024-06-09
64.3772,-147.1235,349.4,2024-06-09
64.3525,-147.0972,350.9,2024-06-09
66.1483,-142.1878,313.7,2024-06-09
66.1379,-142.1517,309.8,2024-06-09
64.3658,-147.1906,351.4,2024-06-09
64.3591,-147.1117,337.0,2024-06-09
64.3574,-147.1583,372.7,2024-06-09
64.3675,-147.1441,345.9,2024-06-09
64.3759,-147.1764,332.1,2024-06-09
64.3692,-147.0975,331.4,2024-06-09
64.3861,-147.1623,354.4,2024-06-09
64.3944,-147.1946,346.4,2024-06-09
64.3962,-147.1482,353.4,2024-06-09
64.3489,-147.1259,333.1,2024-06-09
64.3596,-147.1119,324.5,2024-06-09
64.3473,-147.152,322.3,2024-06-09
64.3705,-147.13,351.6,2024-06-09
64.3582,-147.1703,348.2,2024-06-09
64.3813,-147.1481,376.0,2024-06-09
64.3665,-147.1317,343.6,2024-06-09
64.3541,-147.1717,344.1,2024-06-09
64.3898,-147.1096,364.4,2024-06-09
64.3774,-147.1498,370.1,2024-06-09
66.1468,-142.1719,323.1,2024-06-09
66.1498,-142.1845,321.1,2024-06-09
64.359,-147.2164,352.9,2024-06-09
64.3472,-147.1302,370.1,2024-06-09
64.3447,-147.1555,368.7,2024-06-09
64.3595,-147.1102,358.2,2024-06-09
64.3569,-147.1354,360.7,2024-06-09
64.3544,-147.1606,386.3,2024-06-09
64.3518,-147.1859,360.5,2024-06-09
64.3717,-147.0901,318.9,2024-06-09
64.3692,-147.1153,349.1,2024-06-09
64.3666,-147.1406,341.0,2024-06-09
64.3641,-147.1657,346.3,2024-06-09
64.3615,-147.191,385.3,2024-06-09
64.3498,-147.105,339.2,2024-06-09
64.3814,-147.0952,339.2,2024-06-09
64.3789,-147.1205,362.9,2024-06-09
64.3763,-147.1458,354.3,2024-06-09
64.3635,-147.2716,374.7,2024-06-09
64.3886,-147.1257,378.7,2024-06-09
64.386,-147.1509,378.1,2024-06-09
64.3835,-147.1761,362.5,2024-06-09
64.3758,-147.2518,349.3,2024-06-09
64.3983,-147.1309,427.3,2024-06-09
64.3957,-147.1561,483.3,2024-06-09
64.3932,-147.1813,458.0,2024-06-09
64.3906,-147.2065,447.7,2024-06-09
64.4054,-147.1613,468.3,2024-06-09
66.1339,-142.1792,324.3,2024-06-09
66.1458,-142.1822,352.9,2024-06-09
66.1437,-142.1921,305.3,2024-06-10
66.1438,-142.2024,304.5,2024-06-10
66.1485,-142.1767,321.9,2024-06-10
66.157,-142.1871,312.8,2024-06-10
64.4148,-147.196,328.7,2024-06-10
64.4444,-147.1807,348.8,2024-06-10
64.4418,-147.1546,371.7,2024-06-10
64.4345,-147.1858,339.0,2024-06-10
64.4319,-147.1597,350.8,2024-06-10
64.4246,-147.1909,326.3,2024-06-10
64.407,-147.1179,322.9,2024-06-10
64.4096,-147.1439,321.0,2024-06-10
64.4122,-147.1699,326.3,2024-06-10
64.4195,-147.1388,323.1,2024-06-10
64.4221,-147.1648,326.0,2024-06-10
64.3956,-147.0848,405.4,2024-06-10
64.3928,-147.0651,355.0,2024-06-10
68.2466,-147.337,301.6,2024-06-10
68.2513,-147.3152,305.4,2024-06-11
64.4459,-147.1246,311.8,2024-06-11
64.4453,-147.1478,310.3,2024-06-11
64.452,-147.2426,309.4,2024-06-11
64.4493,-147.2632,319.2,2024-06-11
65.7253,-162.4768,306.4,2024-06-12
65.7258,-162.477,321.0,2024-06-12
65.7342,-162.4686,349.7,2024-06-12
65.7307,-162.4478,315.0,2024-06-12
65.7223,-162.4562,311.8,2024-06-12
65.7372,-162.4744,316.8,2024-06-12
65.724,-162.4662,326.9,2024-06-12
65.7356,-162.4538,324.4,2024-06-12
65.7434,-162.4661,309.4,2024-06-12
65.7401,-162.4865,313.3,2024-06-12
65.7324,-162.4742,350.8,2024-06-12
67.9268,-162.0814,326.0,2024-06-13
67.9154,-162.1193,322.0,2024-06-13
67.9257,-162.0707,316.8,2024-06-13
65.7155,-162.4768,327.6,2024-06-13
65.7128,-162.4993,316.7,2024-06-13
64.8581,-151.6747,300.1,2024-06-13
68.222,-154.2219,303.5,2024-06-14
65.6974,-162.4467,316.7,2024-06-14
65.6911,-162.4738,328.2,2024-06-14
65.698,-162.4912,306.2,2024-06-14
65.7003,-162.4465,302.6,2024-06-14
65.6958,-162.449,301.5,2024-06-14
66.159,-142.1528,311.5,2024-06-14
66.1486,-142.1456,322.6,2024-06-14
66.1469,-142.1514,322.5,2024-06-14
66.1447,-142.1965,306.9,2024-06-14
66.1544,-142.1277,304.3,2024-06-15
66.1505,-142.1497,322.6,2024-06-15
66.1589,-142.1594,328.8,2024-06-15
65.6698,-162.4981,309.2,2024-06-15
65.6782,-162.5056,330.2,2024-06-15
65.7033,-162.5282,319.3,2024-06-15
67.8191,-162.4078,300.6,2024-06-15
67.9136,-162.0638,303.4,2024-06-15
66.1562,-142.1416,314.4,2024-06-15
65.6881,-162.5435,313.1,2024-06-15
65.6865,-162.4971,314.1,2024-06-15
65.6778,-162.5264,318.8,2024-06-15
65.6869,-162.5155,318.3,2024-06-15
65.6926,-162.542,325.1,2024-06-15
66.1569,-142.1557,316.9,2024-06-15
66.1485,-142.1482,316.0,2024-06-15
66.1454,-142.169,313.5,2024-06-15
65.6784,-162.5523,312.2,2024-06-15
65.6927,-162.5088,305.2,2024-06-15
67.8351,-162.4216,301.9,2024-06-15
65.6808,-162.5424,331.2,2024-06-16
65.6979,-162.5373,318.8,2024-06-16
65.6951,-162.5609,307.2,2024-06-16
65.6897,-162.5497,323.0,2024-06-16
67.8336,-162.4027,309.6,2024-06-16
67.8213,-162.4229,313.2,2024-06-16
67.8242,-162.3956,314.8,2024-06-16
66.1547,-142.1129,321.2,2024-06-16
66.3212,-146.8413,315.3,2024-06-16
66.3182,-146.8624,311.2,2024-06-16
66.1555,-142.13,323.0,2024-06-16
67.7938,-162.4179,320.6,2024-06-16
67.8999,-162.0401,311.1,2024-06-16
67.9005,-161.9777,313.8,2024-06-16
67.8118,-162.4405,308.2,2024-06-16
66.1572,-142.1074,321.4,2024-06-16
66.1506,-142.125,327.3,2024-06-16
66.1587,-142.1562,341.8,2024-06-16
66.1557,-142.1542,339.5,2024-06-16
65.6847,-162.5492,326.9,2024-06-16
65.6822,-162.5255,312.2,2024-06-16
66.1544,-142.1059,318.9,2024-06-16
66.1461,-142.1375,325.6,2024-06-16
66.1555,-142.1539,338.4,2024-06-16
60.0968,-150.4191,301.4,2024-06-16
66.1471,-142.122,336.1,2024-06-16
66.1445,-142.1558,314.9,2024-06-16
66.1579,-142.127,352.0,2024-06-16
66.1554,-142.16,388.5,2024-06-16
66.1529,-142.1933,341.9,2024-06-16
66.1547,-142.1838,310.9,2024-06-17
66.1659,-142.1319,328.7,2024-06-17
66.1603,-142.1579,340.2,2024-06-17
59.0768,-155.8073,303.6,2024-06-17
59.0737,-155.8251,309.2,2024-06-17
60.8654,-154.767,309.1,2024-06-17
65.6867,-162.5613,306.1,2024-06-17
64.3252,-147.0402,300.5,2024-06-17
66.1535,-142.0306,300.5,2024-06-17
66.1515,-142.0793,322.5,2024-06-17
66.1624,-142.1299,306.5,2024-06-17
66.1605,-142.1761,303.8,2024-06-17
66.1615,-142.1361,308.4,2024-06-17
67.7921,-162.4309,317.9,2024-06-17
67.8904,-162.0172,305.0,2024-06-17
67.8868,-162.0393,322.0,2024-06-17
67.9095,-161.9604,325.8,2024-06-17
67.9036,-162.1186,303.1,2024-06-17
67.9347,-162.0494,310.5,2024-06-17
65.6759,-162.5653,323.4,2024-06-17
65.676,-162.5726,320.7,2024-06-17
67.7955,-162.4366,302.4,2024-06-17
65.6738,-162.5537,311.3,2024-06-17
66.1464,-142.096,303.7,2024-06-17
66.162,-142.137,328.6,2024-06-17
66.1674,-142.1087,325.8,2024-06-17
