latitude,longitude,brightness,frp,frp_category,acq_date
38.1701,-120.5624,302.2,7.6,1,2024-01-01
37.5935,-120.7878,301.8,5.3,1,2024-01-01
37.6188,-121.2316,302.4,5.6,1,2024-01-01
41.5187,-120.3586,324.7,27.0,2,2024-01-01
32.8102,-115.6229,322.4,119.4,3,2024-01-02
32.8028,-115.6166,318.1,90.0,3,2024-01-02
32.7936,-115.655,309.4,41.8,2,2024-01-02
32.8008,-115.6613,308.3,38.0,2,2024-01-02
36.938,-120.4564,343.6,81.7,3,2024-01-03
36.9405,-120.4599,301.2,12.8,1,2024-01-04
38.6511,-119.8192,305.0,36.2,2,2024-01-04
37.8042,-120.0126,311.1,30.7,2,2024-01-04
37.8162,-120.0121,307.2,23.8,2,2024-01-04
37.8143,-120.0334,305.0,20.1,2,2024-01-04
37.8649,-120.9535,301.5,11.1,1,2024-01-04
37.8743,-120.9732,301.4,10.7,1,2024-01-04
38.1977,-120.0725,307.1,27.6,2,2024-01-04
40.2115,-120.885,301.9,19.9,1,2024-01-04
37.5035,-120.9272,305.9,16.0,1,2024-01-04
37.5067,-120.6457,302.0,12.0,1,2024-01-04
32.7487,-116.7037,315.8,16.5,1,2024-01-05
35.0672,-119.276,308.9,30.8,2,2024-01-05
35.0675,-119.2831,304.1,19.4,1,2024-01-05
37.6437,-120.7738,306.9,30.0,2,2024-01-05
37.6534,-120.7819,306.2,26.1,2,2024-01-05
36.4371,-119.1249,301.6,14.2,1,2024-01-05
37.6381,-120.7989,306.5,29.5,2,2024-01-05
36.8358,-120.2974,304.6,7.9,1,2024-01-08
37.807,-120.1958,305.0,9.6,1,2024-01-08
37.6451,-120.5707,309.5,11.8,1,2024-01-08
37.7999,-120.1821,311.2,14.9,1,2024-01-08
37.7981,-120.1936,314.5,17.4,1,2024-01-08
37.647,-120.559,301.0,6.1,1,2024-01-08
37.4836,-119.5641,302.4,10.9,1,2024-01-09
34.5774,-114.4278,346.2,61.5,3,2024-01-10
32.7284,-115.7182,315.8,11.3,1,2024-01-10
33.8041,-115.3683,315.9,9.8,1,2024-01-10
36.489,-119.5834,303.6,9.6,1,2024-01-10
34.5712,-114.4183,337.0,36.6,2,2024-01-10
34.5784,-114.431,300.7,2.8,1,2024-01-10
35.6491,-119.2608,312.3,20.6,2,2024-01-10
35.6536,-119.2953,325.8,41.2,2,2024-01-10
36.4921,-119.5676,304.6,10.5,1,2024-01-10
37.8436,-119.9651,300.0,16.9,1,2024-01-11
37.0664,-120.3039,305.4,18.5,1,2024-01-11
36.2654,-119.1653,301.1,16.9,1,2024-01-11
36.4947,-119.1967,304.1,13.4,1,2024-01-11
37.2357,-120.2172,310.5,19.2,1,2024-01-11
37.234,-120.2333,316.3,26.9,2,2024-01-11
37.8294,-119.9717,348.5,114.9,3,2024-01-11
37.8277,-119.9878,337.4,77.6,3,2024-01-11
37.8403,-119.9722,312.5,28.3,2,2024-01-11
37.8386,-119.9888,304.0,17.1,1,2024-01-11
37.9063,-120.9805,303.6,10.9,1,2024-01-11
38.5241,-122.6944,304.5,9.7,1,2024-01-11
40.8474,-121.3617,343.4,88.3,3,2024-01-11
32.676,-115.6652,366.0,127.1,3,2024-01-15
32.6217,-116.1256,303.1,5.3,1,2024-01-15
38.4348,-119.4967,309.6,15.5,1,2024-01-15
40.3365,-120.6767,324.2,40.7,2,2024-01-16
40.1123,-120.9882,310.6,25.0,2,2024-01-16
35.5667,-115.4415,322.4,22.5,2,2024-01-17
35.58,-115.4199,347.1,63.3,3,2024-01-17
35.5687,-115.4295,316.9,16.1,1,2024-01-17
37.802,-119.9171,321.7,51.1,3,2024-01-17
37.798,-119.9362,335.8,90.5,3,2024-01-17
34.4494,-119.8675,307.3,11.3,1,2024-01-18
37.8928,-119.9976,344.0,74.6,3,2024-01-18
37.8945,-119.9905,339.9,65.9,3,2024-01-18
37.893,-120.0045,323.0,33.2,2,2024-01-18
38.6435,-119.8283,314.4,22.1,2,2024-01-18
37.8945,-119.9834,336.8,56.8,3,2024-01-18
40.01,-120.7566,300.5,15.3,1,2024-01-23
37.8635,-119.8862,318.7,43.8,2,2024-01-23
40.0189,-121.0142,324.2,50.2,3,2024-01-23
41.7235,-121.9769,316.5,31.8,2,2024-01-23
41.7253,-121.9825,302.8,14.3,1,2024-01-23
38.7303,-119.8136,324.2,25.9,2,2024-01-25
38.7286,-119.8024,302.2,8.2,1,2024-01-25
34.7698,-118.4033,320.6,21.9,2,2024-01-25
34.793,-118.4237,326.0,28.3,2,2024-01-25
34.7167,-118.2901,314.6,17.9,1,2024-01-25
38.7294,-119.8042,317.5,20.2,2,2024-01-25
38.7183,-119.8158,319.0,22.2,2,2024-01-25
41.3558,-122.6775,308.5,13.4,1,2024-01-25
39.9733,-120.5709,306.7,11.1,1,2024-01-25
38.7278,-119.8174,349.0,75.8,3,2024-01-25
40.3535,-121.0855,308.8,15.1,1,2024-01-26
40.0041,-120.5747,306.0,12.6,1,2024-01-26
40.3517,-121.0973,307.0,13.8,1,2024-01-26
32.7265,-115.5437,343.1,48.3,2,2024-01-27
32.728,-115.5328,346.2,54.3,3,2024-01-27
32.7189,-115.5311,309.7,6.7,1,2024-01-27
32.7175,-115.542,309.7,7.0,1,2024-01-27
39.725,-120.6223,308.6,21.5,2,2024-01-28
34.2899,-118.0302,312.2,17.2,1,2024-01-29
38.153,-120.0576,303.9,12.7,1,2024-01-29
38.1498,-120.0742,304.9,13.3,1,2024-01-29
