latitude,longitude,brightness,acq_date
41.4281,-71.8285,300.4,2024-02-15
41.7477,-71.9359,301.5,2024-03-14
41.8702,-72.5579,302.1,2024-03-29
41.8794,-72.5608,301.3,2024-03-29
41.8679,-72.5712,304.4,2024-03-29
41.0208,-72.485,306.6,2024-04-09
41.5617,-72.049,303.9,2024-04-22
41.4787,-72.8088,312.4,2024-05-26
41.8621,-72.718,319.8,2024-06-02
41.1905,-73.2005,310.0,2024-06-18
41.7989,-73.1203,311.8,2024-06-19
41.4159,-72.8374,310.1,2024-06-19
41.4752,-72.8127,313.4,2024-06-19
41.6022,-73.1154,311.8,2024-06-21
41.479,-72.8113,321.4,2024-07-08
41.0468,-73.5398,312.3,2024-07-17
41.9261,-72.6779,314.2,2024-07-17
41.9263,-72.685,314.9,2024-07-17
41.415,-72.8422,315.4,2024-07-28
41.4796,-72.807,315.0,2024-07-28
41.8602,-72.7162,316.3,2024-07-28
41.5636,-72.9034,312.9,2024-08-14
41.8623,-72.7242,314.4,2024-08-16
41.8743,-72.5626,310.2,2024-09-02
41.8855,-72.5526,311.3,2024-09-02
41.5433,-72.8958,308.8,2024-09-05
41.867,-72.5536,312.8,2024-09-05
41.8764,-72.5506,325.7,2024-09-05
41.8883,-72.5615,316.5,2024-09-05
41.8977,-72.5585,313.9,2024-09-05
41.8838,-72.5651,305.0,2024-09-10
41.8909,-72.5463,304.7,2024-09-10
41.6523,-72.1596,308.9,2024-09-14
41.9004,-72.8036,309.6,2024-10-11
41.9128,-72.7922,304.8,2024-10-11
41.9101,-72.8069,317.4,2024-10-11
42.0339,-72.5291,305.1,2024-10-11
41.7936,-73.164,304.4,2024-10-19
41.9755,-72.5053,305.4,2024-10-19
41.5808,-72.7604,307.6,2024-10-22
41.5806,-73.7253,303.5,2024-10-24
42.0373,-72.3778,304.6,2024-11-01
41.6377,-72.0502,314.9,2024-11-07
