latitude,longitude,brightness,frp,frp_category,acq_date
38.6117,-75.623,300.0,6.1,1,2024-02-04
39.8107,-75.6511,303.8,10.5,1,2024-03-12
39.8214,-75.6477,334.7,66.8,3,2024-03-12
39.818,-75.6303,325.8,45.2,2,2024-03-12
39.8073,-75.6338,300.5,7.0,1,2024-03-12
38.5844,-75.6227,303.0,10.8,1,2024-03-12
38.9896,-75.6448,302.4,4.7,1,2024-04-07
39.2809,-75.6217,304.1,5.7,1,2024-04-22
39.2811,-75.6246,312.4,5.0,1,2024-05-21
39.2808,-75.6188,313.3,5.0,1,2024-05-28
39.2848,-75.6217,312.9,6.7,1,2024-06-02
39.2827,-75.6276,322.5,10.6,1,2024-06-12
39.2868,-75.6203,323.4,9.4,1,2024-06-19
39.2851,-75.6257,324.0,13.4,1,2024-06-19
39.2876,-75.6222,321.2,8.3,1,2024-06-24
39.451,-75.7222,306.0,11.1,1,2024-07-02
38.6633,-75.4933,314.3,6.2,1,2024-07-06
39.2852,-75.6163,321.3,6.8,1,2024-07-06
39.2834,-75.6225,323.4,10.0,1,2024-07-11
39.2832,-75.6199,307.2,7.8,1,2024-09-03
38.8587,-75.5639,306.7,5.9,1,2024-10-07
38.9904,-75.6801,308.3,6.8,1,2024-10-09
38.8543,-75.5617,304.7,4.8,1,2024-10-09
38.6592,-75.3998,317.4,17.0,1,2024-11-05
39.6421,-75.7057,311.0,10.3,1,2024-11-05
38.5948,-75.4712,308.9,14.5,1,2024-12-19
