latitude,longitude,brightness,acq_date
26.7767,-80.9896,303.9,2024-01-01
26.7738,-80.98,305.9,2024-01-01
26.8767,-80.5644,302.5,2024-01-01
27.9252,-81.7115,301.8,2024-01-02
27.8785,-81.5563,306.3,2024-01-02
27.5135,-82.3672,303.4,2024-01-02
28.1123,-81.8799,301.1,2024-01-02
30.4634,-83.3037,309.7,2024-01-02
30.6685,-83.4734,314.6,2024-01-02
30.6659,-83.4876,314.1,2024-01-02
30.6356,-84.5166,328.4,2024-01-02
30.6325,-84.5329,328.1,2024-01-02
30.5927,-85.0442,302.8,2024-01-02
30.5893,-85.0619,318.7,2024-01-02
30.5071,-85.4816,305.1,2024-01-02
30.5033,-85.5005,318.8,2024-01-02
30.9326,-83.275,304.9,2024-01-02
30.8593,-83.8029,302.8,2024-01-02
30.7304,-85.1112,313.8,2024-01-02
30.5716,-86.0282,302.9,2024-01-02
30.5675,-86.0486,318.4,2024-01-02
30.9034,-86.2962,302.1,2024-01-02
28.4698,-81.6661,302.2,2024-01-02
28.6803,-81.9911,323.4,2024-01-02
28.69,-81.9933,314.7,2024-01-02
29.1117,-82.4817,306.1,2024-01-02
29.6202,-81.5044,303.1,2024-01-02
30.2381,-83.0591,310.7,2024-01-02
30.3122,-83.1426,300.4,2024-01-04
29.1631,-82.1879,301.3,2024-01-04
26.69,-81.6763,304.5,2024-01-04
27.3943,-80.5126,314.9,2024-01-04
27.1604,-81.2913,315.7,2024-01-04
26.6886,-81.6665,307.3,2024-01-04
28.4737,-81.6798,304.2,2024-01-04
28.4779,-81.6589,302.6,2024-01-04
30.5985,-87.5932,301.0,2024-01-04
30.5985,-87.5966,300.2,2024-01-04
30.3145,-84.1637,307.0,2024-01-05
30.3085,-84.1488,300.3,2024-01-05
30.5306,-86.0422,306.9,2024-01-05
30.723,-84.3349,300.5,2024-01-05
30.4504,-83.0718,310.4,2024-01-05
30.3161,-83.1423,308.2,2024-01-05
27.1724,-81.7796,310.8,2024-01-05
27.0583,-81.6463,317.5,2024-01-05
27.1739,-81.7677,313.9,2024-01-05
27.9245,-81.7118,311.6,2024-01-05
27.7976,-80.6567,316.8,2024-01-05
29.0101,-82.2626,316.5,2024-01-05
29.0086,-82.2746,304.6,2024-01-05
29.1595,-81.1706,301.0,2024-01-05
30.2216,-82.3377,306.1,2024-01-05
30.2201,-82.3502,320.9,2024-01-05
30.2313,-82.3393,316.5,2024-01-05
30.2298,-82.3518,326.0,2024-01-05
30.3144,-83.1459,310.9,2024-01-05
30.5186,-81.6377,302.5,2024-01-05
30.3098,-84.1606,324.0,2024-01-05
30.3202,-84.1516,310.4,2024-01-05
30.3188,-84.1623,361.8,2024-01-05
30.4593,-83.2998,303.1,2024-01-05
30.445,-84.0494,308.3,2024-01-05
30.8212,-87.0802,308.1,2024-01-10
