latitude,longitude,brightness,acq_date
33.692,-82.9358,308.0,2024-01-01
31.1465,-84.7733,300.6,2024-01-01
32.6415,-84.2363,311.2,2024-01-01
32.6391,-84.2408,309.0,2024-01-01
30.4634,-83.3037,309.7,2024-01-02
30.6685,-83.4734,314.6,2024-01-02
30.6659,-83.4876,314.1,2024-01-02
30.6356,-84.5166,328.4,2024-01-02
30.6325,-84.5329,328.1,2024-01-02
30.5927,-85.0442,302.8,2024-01-02
30.5893,-85.0619,318.7,2024-01-02
30.5071,-85.4816,305.1,2024-01-02
30.5033,-85.5005,318.8,2024-01-02
30.9326,-83.275,304.9,2024-01-02
31.1473,-82.1471,302.1,2024-01-02
30.8593,-83.8029,302.8,2024-01-02
31.1583,-82.1994,313.1,2024-01-02
31.1637,-82.1949,312.4,2024-01-02
30.7304,-85.1112,313.8,2024-01-02
31.0587,-83.4909,302.3,2024-01-02
31.3387,-81.9946,301.8,2024-01-02
31.3481,-81.9967,300.6,2024-01-02
31.3064,-82.246,300.3,2024-01-02
31.309,-82.6621,303.4,2024-01-02
31.3068,-82.6747,306.8,2024-01-02
31.3509,-82.7114,300.4,2024-01-02
31.3537,-82.7043,302.9,2024-01-02
31.1953,-83.9418,301.9,2024-01-02
31.2084,-83.9296,313.4,2024-01-02
31.2057,-83.9444,326.1,2024-01-02
31.4243,-83.0083,320.0,2024-01-02
31.4682,-82.9918,313.0,2024-01-02
31.4659,-83.0049,318.4,2024-01-02
31.5129,-82.9137,300.8,2024-01-02
31.5838,-83.0998,301.3,2024-01-02
31.5814,-83.113,314.6,2024-01-02
31.3604,-84.8099,311.2,2024-01-02
31.3745,-84.7963,301.1,2024-01-02
31.3713,-84.8128,324.8,2024-01-02
31.7604,-82.7341,306.8,2024-01-02
31.824,-82.8482,328.4,2024-01-02
32.1117,-81.4115,313.7,2024-01-02
32.1099,-81.4226,305.3,2024-01-02
32.0365,-82.1437,300.4,2024-01-02
31.9,-83.0586,345.2,2024-01-02
32.1958,-81.8034,312.6,2024-01-02
32.194,-81.8148,316.7,2024-01-02
31.7016,-84.7295,302.2,2024-01-02
32.2381,-81.8368,305.5,2024-01-02
32.2363,-81.8482,302.0,2024-01-02
32.2432,-81.8435,313.1,2024-01-02
31.841,-84.3595,301.7,2024-01-02
32.2338,-82.1899,306.2,2024-01-02
32.2318,-82.2017,324.1,2024-01-02
32.1986,-82.5167,307.7,2024-01-02
32.1966,-82.5289,322.8,2024-01-02
32.1202,-82.9772,310.4,2024-01-02
32.118,-82.99,317.4,2024-01-02
32.206,-82.5312,315.5,2024-01-02
32.1277,-82.9924,312.7,2024-01-02
32.0597,-83.385,318.6,2024-01-02
32.3407,-81.9917,302.3,2024-01-02
32.3388,-82.0032,327.3,2024-01-02
32.1119,-83.7823,309.7,2024-01-02
32.3541,-82.5786,307.2,2024-01-02
32.5859,-81.452,311.6,2024-01-02
32.5967,-81.443,320.0,2024-01-02
32.5949,-81.454,366.5,2024-01-02
32.5932,-81.465,328.9,2024-01-02
32.2477,-83.5491,300.3,2024-01-02
32.166,-84.0565,301.6,2024-01-02
31.8806,-85.5548,304.2,2024-01-02
32.3888,-82.8637,323.2,2024-01-02
32.3867,-82.8762,316.3,2024-01-02
32.3312,-83.1953,315.4,2024-01-02
32.5085,-82.2733,308.2,2024-01-02
32.5065,-82.2851,319.3,2024-01-02
32.1702,-84.2111,310.8,2024-01-02
32.1806,-84.2138,300.5,2024-01-02
32.5187,-82.5292,315.8,2024-01-02
32.5166,-82.5413,309.7,2024-01-02
32.4481,-83.0548,325.9,2024-01-02
32.4459,-83.0676,308.9,2024-01-02
32.7162,-81.6832,302.5,2024-01-02
32.7144,-81.6944,332.0,2024-01-02
32.3049,-84.0977,313.1,2024-01-02
32.4163,-83.6463,302.9,2024-01-02
32.8065,-81.5832,312.3,2024-01-02
32.8047,-81.5944,318.8,2024-01-02
32.8138,-81.5964,331.5,2024-01-02
32.5703,-83.2446,302.6,2024-01-02
32.568,-83.2576,314.4,2024-01-02
32.2624,-85.2699,302.4,2024-01-02
32.842,-82.2665,348.4,2024-01-02
32.84,-82.2782,302.8,2024-01-02
32.7892,-83.0568,301.8,2024-01-02
32.6213,-84.4047,306.5,2024-01-02
32.8537,-83.2798,304.8,2024-01-02
33.1512,-81.803,305.7,2024-01-02
32.992,-82.8268,312.0,2024-01-02
33.1585,-81.875,304.6,2024-01-02
33.1567,-81.8863,311.6,2024-01-02
33.1643,-81.8819,307.4,2024-01-02
33.0189,-83.1524,321.1,2024-01-02
