latitude,longitude,brightness,frp,frp_category,acq_date
42.6833,-111.587,306.7,15.6,1,2024-01-20
42.6877,-111.594,306.5,16.3,1,2024-01-20
42.6853,-111.5856,306.0,25.0,2,2024-02-25
42.6903,-111.5974,319.3,33.2,2,2024-02-26
43.3081,-116.4874,308.7,10.5,1,2024-03-13
43.7644,-116.8682,309.1,7.5,1,2024-03-14
44.0332,-116.9341,305.7,5.3,1,2024-03-14
43.0767,-115.7224,302.4,7.2,1,2024-03-15
46.2424,-116.1707,302.7,9.2,1,2024-03-15
46.2404,-116.1955,310.2,21.6,2,2024-03-15
46.2461,-116.1763,307.2,15.8,1,2024-03-15
46.2443,-116.2014,306.3,13.7,1,2024-03-15
42.6841,-111.5839,303.5,11.4,1,2024-03-16
42.6825,-111.5958,320.8,24.9,2,2024-03-16
42.6884,-111.5745,301.3,16.6,1,2024-03-16
42.6901,-111.5908,325.4,46.9,2,2024-03-16
46.2144,-116.0959,305.6,8.5,1,2024-03-16
46.9166,-116.7587,307.2,12.9,1,2024-03-16
48.7363,-116.1183,300.7,5.8,1,2024-03-18
48.7345,-116.1047,300.3,5.7,1,2024-03-18
42.5546,-113.5446,312.7,10.1,1,2024-03-18
42.4749,-113.3777,307.6,5.7,1,2024-03-18
42.4724,-113.3635,310.8,8.9,1,2024-03-18
42.4706,-113.3706,310.1,8.0,1,2024-03-18
45.5447,-113.9429,313.8,17.2,1,2024-03-18
42.4203,-114.2194,304.5,4.0,1,2024-03-18
46.1619,-116.0964,317.0,45.8,2,2024-03-18
46.2222,-116.2986,306.9,13.3,1,2024-03-18
46.2825,-116.2288,320.1,54.0,3,2024-03-18
46.2774,-116.2332,316.8,42.8,2,2024-03-18
46.2902,-116.2396,315.7,39.5,2,2024-03-18
46.5674,-116.5773,309.9,27.8,2,2024-03-18
46.5741,-116.5889,313.1,35.0,2,2024-03-18
46.1966,-116.265,308.2,31.7,2,2024-03-18
46.1954,-116.3205,317.3,89.1,3,2024-03-18
46.1907,-116.3113,318.0,94.0,3,2024-03-18
43.8489,-117.0066,307.9,14.9,1,2024-03-19
45.9777,-116.1141,358.2,76.6,3,2024-03-19
45.9864,-116.1167,322.2,15.4,1,2024-03-19
43.4208,-116.4414,313.2,6.2,1,2024-03-19
45.8905,-116.2708,324.1,16.2,1,2024-03-19
45.8887,-116.2834,317.0,8.8,1,2024-03-19
46.0476,-115.3066,337.4,38.2,2,2024-03-19
46.0564,-115.3091,332.8,31.2,2,2024-03-19
46.0546,-115.3218,311.8,9.0,1,2024-03-19
45.9795,-116.1015,315.2,8.9,1,2024-03-19
47.4907,-116.5598,316.6,13.9,1,2024-03-19
47.4519,-116.885,321.7,18.4,1,2024-03-19
46.2699,-116.2152,334.2,29.7,2,2024-03-19
46.2681,-116.2278,312.4,5.9,1,2024-03-19
46.2526,-116.3945,364.8,95.1,3,2024-03-19
46.2507,-116.4071,317.1,9.9,1,2024-03-19
