latitude,longitude,brightness,frp,frp_category,acq_date
40.3265,-91.449,304.2,11.3,1,2024-02-03
38.2326,-88.3174,301.7,8.3,1,2024-02-03
39.1249,-88.795,301.8,5.7,1,2024-02-05
39.2385,-90.3556,312.3,14.1,1,2024-02-05
39.2366,-90.3674,301.3,6.5,1,2024-02-05
39.6004,-89.6954,323.1,22.5,2,2024-02-05
39.7761,-88.8333,307.0,9.0,1,2024-02-05
39.7849,-88.8354,302.1,5.9,1,2024-02-05
39.6981,-91.0709,300.0,6.9,1,2024-02-06
39.6886,-91.0737,303.3,9.2,1,2024-02-06
37.5152,-89.0542,312.5,52.2,3,2024-02-06
37.5854,-88.4384,303.4,8.4,1,2024-02-07
37.5828,-88.4525,301.8,7.0,1,2024-02-07
40.537,-90.3142,327.2,46.8,2,2024-02-10
40.5399,-90.3199,303.8,14.7,1,2024-02-10
40.5382,-90.304,310.2,21.1,2,2024-02-10
40.4026,-89.9336,306.9,11.1,1,2024-02-10
40.5742,-90.1959,304.8,59.9,3,2024-02-11
40.5686,-90.1899,305.9,62.8,3,2024-02-11
39.9972,-89.8035,329.4,32.6,2,2024-02-12
40.0063,-89.8061,315.1,16.4,1,2024-02-12
40.8002,-87.5667,318.3,17.4,1,2024-02-12
40.7985,-87.5783,315.8,15.1,1,2024-02-12
42.1962,-88.3335,351.1,66.7,3,2024-02-12
42.1945,-88.3453,311.1,12.2,1,2024-02-12
40.0787,-87.581,306.1,13.4,1,2024-02-13
40.0794,-87.5866,308.2,15.4,1,2024-02-13
38.4787,-89.1576,307.8,12.4,1,2024-02-13
38.4446,-90.1601,305.7,16.5,1,2024-02-13
39.7835,-90.7048,304.5,14.0,1,2024-02-13
42.4198,-88.3357,311.0,55.7,3,2024-02-13
40.8783,-89.4352,301.6,42.4,2,2024-02-14
39.7069,-91.2359,300.9,25.2,2,2024-02-14
39.7071,-91.2407,302.1,26.6,2,2024-02-14
37.8872,-89.193,301.4,46.0,2,2024-02-14
37.6824,-89.0694,330.4,64.5,3,2024-02-14
37.6935,-89.073,334.0,72.4,3,2024-02-14
37.6157,-89.4573,337.3,91.1,3,2024-02-14
37.6264,-89.4447,309.9,20.1,2,2024-02-14
37.6223,-89.4643,327.1,57.9,3,2024-02-14
38.0557,-89.256,314.0,24.5,2,2024-02-14
38.0568,-89.2411,302.0,8.2,1,2024-02-14
38.0529,-89.2599,312.8,24.5,2,2024-02-14
37.6861,-89.0508,316.2,30.6,2,2024-02-14
40.255,-89.3459,321.2,37.0,2,2024-02-14
40.2214,-90.4963,309.3,23.8,2,2024-02-14
40.2281,-90.5033,302.5,12.1,1,2024-02-14
40.4473,-89.6197,301.6,9.7,1,2024-02-14
40.5822,-90.054,301.1,10.1,1,2024-02-14
41.6314,-87.5533,309.8,13.9,1,2024-02-14
41.739,-88.7818,304.6,10.8,1,2024-02-14
41.594,-89.8118,306.3,13.3,1,2024-02-14
41.5965,-89.8196,302.4,8.4,1,2024-02-14
42.1058,-88.1503,324.4,32.7,2,2024-02-14
42.1032,-88.1648,305.4,10.9,1,2024-02-14
42.4827,-87.9659,357.1,106.6,3,2024-02-14
42.4801,-87.98,301.2,7.9,1,2024-02-14
42.4326,-88.2998,311.0,16.6,1,2024-02-14
39.9922,-88.6568,301.2,7.5,1,2024-02-14
38.9978,-88.0924,302.2,8.4,1,2024-02-14
39.3707,-88.5313,303.2,9.7,1,2024-02-14
39.3675,-88.5477,301.4,7.9,1,2024-02-14
38.0526,-89.6074,318.8,21.1,2,2024-02-15
38.1386,-89.3795,306.1,10.0,1,2024-02-15
37.2476,-89.4263,302.5,5.0,1,2024-02-15
37.3455,-88.9344,322.2,26.5,2,2024-02-15
37.3556,-88.9362,312.2,12.9,1,2024-02-15
37.6096,-89.2904,308.8,12.0,1,2024-02-15
37.608,-89.3046,347.1,79.2,3,2024-02-15
38.9069,-87.7364,306.8,15.7,1,2024-02-15
41.3314,-89.3013,305.8,12.6,1,2024-02-18
41.8874,-89.3223,312.1,70.3,3,2024-02-18
37.5759,-88.6768,302.7,7.2,1,2024-02-19
37.7987,-88.5841,300.1,3.6,1,2024-02-19
