latitude,longitude,brightness,frp,frp_category,acq_date
41.6312,-87.1375,307.7,15.0,1,2024-01-29
41.6657,-87.4891,315.3,65.5,3,2024-02-01
41.669,-87.4669,304.1,16.4,1,2024-02-03
41.6296,-87.1389,304.3,18.3,1,2024-02-03
37.8912,-87.1257,303.5,5.7,1,2024-02-05
38.6716,-87.4245,303.5,6.0,1,2024-02-05
39.4713,-87.2288,304.0,7.6,1,2024-02-05
40.9011,-86.881,313.7,21.3,2,2024-02-09
40.8937,-86.8835,303.4,8.6,1,2024-02-09
40.8971,-86.8665,319.6,30.1,2,2024-02-09
39.9225,-86.7413,300.3,5.4,1,2024-02-09
40.9044,-86.864,312.3,19.0,1,2024-02-09
41.6314,-87.1372,305.1,13.7,1,2024-02-10
40.7976,-86.1791,300.0,5.1,1,2024-02-12
41.1145,-85.3548,301.7,6.0,1,2024-02-12
41.2457,-86.6258,311.8,12.6,1,2024-02-12
41.6355,-87.1454,316.2,15.7,1,2024-02-12
41.0445,-87.472,300.7,29.8,2,2024-02-13
38.9541,-87.1512,351.2,91.7,3,2024-02-14
38.9515,-87.1654,365.8,146.5,3,2024-02-14
40.5401,-86.9736,304.7,8.9,1,2024-02-14
41.3607,-84.9233,308.6,10.4,1,2024-02-14
41.7114,-86.495,326.1,29.6,2,2024-02-14
41.6301,-87.1441,309.8,11.8,1,2024-02-14
41.6355,-87.1371,313.6,17.6,1,2024-02-14
41.6332,-87.1505,302.3,8.3,1,2024-02-14
39.5408,-86.8949,300.9,5.9,1,2024-02-14
39.5504,-86.8978,309.3,13.0,1,2024-02-14
40.048,-85.7445,300.1,3.8,1,2024-02-14
40.0742,-86.0329,301.4,5.7,1,2024-02-14
40.336,-84.8274,300.1,4.4,1,2024-02-14
40.3342,-84.8391,306.2,7.9,1,2024-02-14
40.3644,-87.099,345.1,70.5,3,2024-02-14
40.5307,-86.9707,302.0,6.9,1,2024-02-14
41.6364,-87.1377,308.8,14.2,1,2024-02-16
41.6367,-87.1416,300.5,12.8,1,2024-02-18
38.6789,-86.5102,304.2,7.0,1,2024-02-19
39.5096,-85.7302,300.1,6.6,1,2024-02-19
41.634,-87.1336,301.9,7.5,1,2024-02-19
41.1175,-85.3479,303.0,9.4,1,2024-02-20
40.3477,-87.1504,300.5,13.3,1,2024-02-21
