latitude,longitude,brightness,frp,frp_category,acq_date
42.6253,-94.8726,316.4,22.7,2,2024-01-29
42.125,-96.2016,301.6,7.9,1,2024-02-01
42.1234,-96.2139,310.1,13.4,1,2024-02-01
42.5683,-91.55,313.8,17.5,1,2024-02-06
41.4796,-90.8333,315.8,21.1,2,2024-02-06
41.2034,-92.932,304.2,8.1,1,2024-02-08
40.7414,-93.1058,301.1,3.9,1,2024-02-08
41.0833,-91.8324,302.6,8.7,1,2024-02-11
40.5193,-91.424,300.3,30.1,2,2024-02-12
40.5163,-91.4319,306.4,42.6,2,2024-02-12
41.8035,-90.5381,305.8,8.3,1,2024-02-12
40.5073,-91.446,303.7,8.6,1,2024-02-12
40.6937,-94.0877,327.0,55.1,3,2024-02-12
40.6898,-94.1066,330.5,64.6,3,2024-02-12
41.4794,-90.8353,301.2,6.5,1,2024-02-12
41.8013,-90.5509,307.1,9.3,1,2024-02-12
41.8087,-90.545,317.0,19.3,1,2024-02-12
41.5406,-92.5531,300.0,7.0,1,2024-02-12
41.5787,-92.6316,306.7,13.4,1,2024-02-12
41.7707,-91.6962,302.7,7.5,1,2024-02-12
41.7682,-91.7103,310.6,14.5,1,2024-02-12
42.4285,-91.9754,302.8,7.0,1,2024-02-12
42.9766,-93.4019,300.5,8.0,1,2024-02-12
43.2104,-94.0282,301.2,9.0,1,2024-02-12
43.2137,-94.011,302.6,10.3,1,2024-02-12
41.0644,-94.5233,309.4,10.3,1,2024-02-13
41.2262,-93.4968,300.2,6.3,1,2024-02-13
41.4266,-93.9154,328.6,39.9,2,2024-02-13
41.4249,-93.9309,301.4,5.6,1,2024-02-13
42.591,-92.4785,300.5,18.0,1,2024-02-14
41.9166,-94.7375,314.5,33.7,2,2024-02-14
41.9125,-94.7177,310.6,27.7,2,2024-02-14
41.8427,-90.3348,301.2,9.2,1,2024-02-14
40.5975,-93.2107,303.3,6.3,1,2024-02-15
40.5959,-93.2224,306.4,8.2,1,2024-02-15
40.757,-95.212,300.1,4.0,1,2024-02-15
40.8413,-94.723,302.2,5.5,1,2024-02-15
41.4753,-90.8381,319.1,21.4,2,2024-02-17
41.8785,-95.7714,312.9,27.9,2,2024-02-17
41.477,-90.8264,313.9,17.0,1,2024-02-17
41.7351,-92.6666,308.3,11.2,1,2024-02-18
41.2916,-95.0252,300.6,6.5,1,2024-02-18
42.0741,-92.9638,314.5,15.5,1,2024-02-18
42.0688,-92.9728,304.6,17.6,1,2024-02-18
41.2213,-94.2341,325.3,49.8,2,2024-02-18
41.2224,-94.2214,312.5,24.1,2,2024-02-18
41.2206,-94.2413,317.2,32.2,2,2024-02-18
41.1241,-95.7113,304.6,7.9,1,2024-02-18
41.5225,-94.2867,301.1,13.3,1,2024-02-18
41.4089,-92.7146,303.9,10.4,1,2024-02-19
41.405,-92.7337,304.1,10.8,1,2024-02-19
41.4187,-92.7229,302.7,8.1,1,2024-02-19
42.0752,-92.9692,306.4,14.4,1,2024-02-19
42.4169,-91.6639,312.0,15.7,1,2024-02-20
42.4153,-91.65,310.3,14.1,1,2024-02-20
42.0248,-91.531,309.3,12.8,1,2024-02-20
41.6286,-91.528,310.8,14.3,1,2024-02-20
41.6271,-91.5147,305.4,9.9,1,2024-02-20
41.2348,-93.1036,303.0,7.9,1,2024-02-20
40.7048,-95.3324,305.3,13.2,1,2024-02-20
40.8157,-94.3555,331.2,30.0,2,2024-02-20
40.588,-94.5657,321.9,19.2,1,2024-02-20
40.8066,-94.3534,324.5,21.9,2,2024-02-20
