latitude,longitude,brightness,frp,frp_category,acq_date
38.8281,-95.4306,310.7,17.0,1,2024-01-03
39.5639,-96.0119,304.9,12.1,1,2024-01-03
37.7043,-94.7202,304.3,40.1,2,2024-01-16
37.8276,-94.8489,300.3,9.2,1,2024-01-18
37.7614,-97.9201,308.4,12.9,1,2024-01-18
37.4049,-99.9441,300.7,6.8,1,2024-01-28
38.4764,-97.6561,307.2,56.4,3,2024-01-29
38.4767,-97.6622,305.3,50.9,3,2024-01-29
38.4754,-97.6613,313.0,35.2,2,2024-01-29
38.4784,-97.6692,310.8,30.1,2,2024-01-29
39.9489,-97.889,302.5,8.8,1,2024-01-30
37.9349,-95.408,320.9,22.5,2,2024-01-30
37.9369,-95.42,317.8,19.2,1,2024-01-30
39.0469,-99.4624,306.4,6.6,1,2024-01-30
38.7781,-101.1461,304.4,5.1,1,2024-01-30
37.9303,-95.4298,303.3,7.5,1,2024-01-30
37.9245,-95.4218,314.4,20.0,1,2024-01-30
37.932,-95.4139,310.9,15.9,1,2024-01-30
39.1652,-96.7489,300.2,3.6,1,2024-02-08
39.6617,-95.9399,302.9,4.5,1,2024-02-08
37.702,-98.3862,305.4,9.7,1,2024-02-09
38.0667,-98.9214,300.3,17.7,1,2024-02-12
38.0655,-95.0681,307.9,10.2,1,2024-02-13
37.503,-95.538,305.8,6.1,1,2024-02-13
37.1276,-97.543,300.5,3.0,1,2024-02-13
37.1292,-97.532,305.9,6.2,1,2024-02-13
37.0368,-94.7295,300.1,4.1,1,2024-02-13
37.0298,-94.7347,300.1,3.6,1,2024-02-13
39.7401,-95.3206,301.3,9.5,1,2024-02-14
39.7359,-95.3008,300.3,8.2,1,2024-02-14
39.7397,-95.306,301.2,10.2,1,2024-02-14
37.9615,-97.0395,306.3,13.5,1,2024-02-14
37.9508,-97.0427,302.6,9.1,1,2024-02-14
38.1813,-94.9108,301.0,26.9,2,2024-02-14
38.3344,-97.1319,309.8,11.6,1,2024-02-15
38.3376,-97.1249,307.9,9.9,1,2024-02-15
38.7078,-97.7617,300.8,6.6,1,2024-02-15
38.7051,-97.7763,301.9,7.8,1,2024-02-15
38.7177,-97.7647,340.3,66.7,3,2024-02-15
38.715,-97.7793,375.9,208.0,3,2024-02-15
38.9438,-97.0947,303.0,7.0,1,2024-02-15
39.4139,-95.9878,310.0,11.8,1,2024-02-15
39.8643,-95.9658,311.1,12.0,1,2024-02-15
39.9634,-95.7647,302.5,5.6,1,2024-02-15
39.9719,-95.7599,302.1,5.3,1,2024-02-15
37.1396,-95.4497,301.7,6.8,1,2024-02-16
39.4687,-95.2498,301.0,14.4,1,2024-02-17
38.2177,-94.907,302.2,6.9,1,2024-02-18
37.2622,-94.8947,301.6,7.4,1,2024-02-18
37.4,-95.5846,302.6,6.0,1,2024-02-18
37.3984,-95.5986,304.6,7.5,1,2024-02-18
37.553,-95.5814,304.3,7.1,1,2024-02-18
37.5515,-95.5955,322.5,27.6,2,2024-02-18
38.1086,-94.6633,301.0,6.7,1,2024-02-18
38.1069,-94.6795,305.9,11.4,1,2024-02-18
38.6754,-97.7134,314.3,14.1,1,2024-02-18
