latitude,longitude,brightness,frp,frp_category,acq_date
37.6733,-84.8335,302.1,6.2,1,2024-02-05
37.587,-87.0589,304.5,6.1,1,2024-02-05
37.7787,-87.2134,307.2,7.8,1,2024-02-05
38.1094,-83.8092,301.1,8.2,1,2024-02-07
37.0141,-85.7064,321.9,20.4,2,2024-02-07
37.0231,-85.7022,305.5,6.3,1,2024-02-07
37.0212,-85.7137,307.2,7.5,1,2024-02-07
37.4955,-86.1185,303.5,6.0,1,2024-02-07
37.4328,-87.8708,303.2,7.0,1,2024-02-08
37.8081,-87.7922,301.9,5.3,1,2024-02-15
37.8098,-87.8033,300.7,4.9,1,2024-02-15
37.5253,-84.4201,303.1,5.9,1,2024-02-19
37.4871,-86.1898,302.4,5.0,1,2024-02-19
37.913,-85.8302,314.0,13.1,1,2024-02-19
38.2991,-84.3701,302.1,5.4,1,2024-02-19
38.2976,-84.3815,300.7,4.6,1,2024-02-19
39.0112,-84.7576,300.6,5.1,1,2024-02-19
37.7077,-87.6397,314.0,14.4,1,2024-02-20
37.2898,-85.4114,301.5,8.2,1,2024-02-20
37.5283,-87.1183,301.5,5.9,1,2024-02-20
37.5845,-87.9672,302.4,5.1,1,2024-02-20
37.5826,-87.9554,300.5,3.9,1,2024-02-20
36.9434,-84.3732,325.5,30.6,2,2024-02-21
36.9411,-84.3863,310.3,11.7,1,2024-02-21
36.953,-84.3759,327.5,32.8,2,2024-02-21
37.3341,-85.2607,325.7,34.9,2,2024-02-21
37.3315,-85.2751,308.2,11.5,1,2024-02-21
37.8344,-85.857,306.9,10.1,1,2024-02-21
37.947,-85.9299,308.8,12.6,1,2024-02-21
36.8559,-88.0196,305.7,7.9,1,2024-02-24
37.0684,-86.1717,303.7,3.2,1,2024-02-26
37.0311,-86.7837,308.2,7.5,1,2024-02-26
38.1394,-82.8663,308.7,5.7,1,2024-02-26
37.8683,-85.8,308.9,5.9,1,2024-02-26
37.8663,-85.8121,310.9,7.5,1,2024-02-26
37.8747,-85.8085,312.8,9.8,1,2024-02-26
37.9123,-85.8688,311.0,7.4,1,2024-02-26
37.9032,-86.0959,306.3,4.5,1,2024-02-26
38.6846,-82.9921,318.5,13.9,1,2024-02-26
37.3925,-83.1211,366.1,105.2,3,2024-03-04
37.3907,-83.1326,334.5,32.2,2,2024-03-04
37.3493,-85.2219,309.3,10.0,1,2024-03-04
37.1136,-84.3455,300.0,46.7,2,2024-03-11
37.1966,-88.0176,300.8,14.0,1,2024-03-11
37.7026,-82.6159,300.0,4.5,1,2024-03-11
37.294,-87.1972,339.1,109.5,3,2024-03-11
37.2986,-87.176,337.9,103.8,3,2024-03-11
37.2854,-87.2102,308.2,19.8,1,2024-03-11
37.2898,-87.1889,361.2,239.0,3,2024-03-11
37.2943,-87.1675,327.4,65.0,3,2024-03-11
36.8692,-88.0868,315.1,35.8,2,2024-03-11
36.8746,-88.0623,315.0,35.4,2,2024-03-11
37.0591,-85.3701,302.6,7.9,1,2024-03-11
38.3516,-83.9342,309.5,9.7,1,2024-03-12
37.6646,-84.2428,384.1,191.6,3,2024-03-12
37.6631,-84.2307,345.1,57.8,3,2024-03-12
36.7935,-84.4724,318.5,18.1,1,2024-03-12
36.792,-84.4605,313.0,12.3,1,2024-03-12
36.7875,-84.4248,323.3,22.2,2,2024-03-12
