latitude,longitude,brightness,frp,frp_category,acq_date
30.2438,-91.2198,321.1,23.0,2,2024-01-01
30.2423,-91.2311,304.9,8.2,1,2024-01-01
30.5583,-89.991,305.3,10.7,1,2024-01-01
30.7087,-91.5364,307.6,8.0,1,2024-01-01
30.9426,-92.1267,319.6,18.6,1,2024-01-01
30.9412,-92.1374,311.7,11.3,1,2024-01-01
31.6381,-92.9746,303.3,5.8,1,2024-01-01
31.8749,-93.7017,333.7,35.9,2,2024-01-01
31.8734,-93.7121,365.4,103.9,3,2024-01-01
30.5631,-91.3161,356.0,87.0,3,2024-01-01
30.5616,-91.3273,329.9,32.6,2,2024-01-01
30.5915,-91.3735,303.8,5.6,1,2024-01-01
30.6007,-91.3752,318.3,18.3,1,2024-01-01
30.7024,-91.5126,357.2,87.3,3,2024-01-01
30.701,-91.5237,336.4,41.2,2,2024-01-01
30.6995,-91.5348,310.5,9.8,1,2024-01-01
32.2277,-91.6572,305.4,8.6,1,2024-01-01
30.6757,-91.5854,306.5,79.5,3,2024-01-02
30.2841,-91.2753,311.6,117.5,3,2024-01-02
30.2845,-91.2793,308.3,91.2,3,2024-01-02
30.6016,-91.3482,305.2,63.3,3,2024-01-02
30.6025,-91.3564,305.1,66.9,3,2024-01-02
30.5618,-91.5941,309.0,93.3,3,2024-01-02
30.5612,-91.5974,307.5,76.8,3,2024-01-02
30.6755,-91.5933,305.9,75.7,3,2024-01-02
32.5927,-93.984,302.8,49.8,2,2024-01-02
30.8804,-91.814,302.6,45.8,2,2024-01-02
30.8788,-91.8186,302.6,46.4,2,2024-01-02
30.2464,-92.8325,306.0,10.9,1,2024-01-03
29.7575,-93.8764,310.2,13.1,1,2024-01-03
32.5129,-92.2408,301.0,5.3,1,2024-01-03
30.8289,-91.6525,309.1,10.4,1,2024-01-03
31.8258,-92.4712,307.8,11.7,1,2024-01-03
32.6411,-93.9151,304.8,59.1,3,2024-01-04
32.6422,-93.9498,324.5,174.8,3,2024-01-04
32.633,-93.9114,302.9,52.9,3,2024-01-04
32.6501,-93.9536,316.5,118.5,3,2024-01-04
30.0045,-90.5382,305.9,33.9,2,2024-01-04
30.0218,-90.5084,302.9,25.6,2,2024-01-04
30.0193,-90.5396,311.0,51.5,3,2024-01-04
30.289,-92.6842,305.2,21.2,2,2024-01-04
30.719,-91.6007,306.6,27.1,2,2024-01-04
30.7168,-91.6276,304.1,21.1,2,2024-01-04
30.6915,-93.2191,306.5,21.2,2,2024-01-04
30.925,-91.7965,300.6,12.6,1,2024-01-04
30.9228,-91.8227,332.6,124.5,3,2024-01-04
30.9153,-91.827,309.6,31.6,2,2024-01-04
30.9289,-91.8285,321.3,71.5,3,2024-01-04
30.9909,-92.0685,303.1,17.3,1,2024-01-04
