latitude,longitude,brightness,frp,frp_category,acq_date
38.1174,-75.7262,301.2,9.3,1,2024-02-01
38.12,-75.7121,300.2,8.5,1,2024-02-01
39.194,-77.1085,311.0,15.0,1,2024-02-06
39.1919,-77.121,303.3,9.1,1,2024-02-06
38.7718,-76.968,304.0,10.9,1,2024-02-07
39.1971,-77.0995,300.6,8.3,1,2024-02-07
38.3771,-75.9734,347.6,109.0,3,2024-02-21
38.3879,-75.9751,302.7,12.5,1,2024-02-21
39.5045,-75.8558,302.4,7.9,1,2024-02-25
39.3159,-76.9828,304.0,8.0,1,2024-03-07
38.3904,-76.0019,339.7,87.1,3,2024-03-12
38.387,-75.9843,310.0,20.9,2,2024-03-12
38.0918,-75.448,300.8,10.4,1,2024-03-12
38.3751,-76.0412,321.6,91.7,3,2024-03-12
38.387,-76.0415,318.8,75.0,3,2024-03-12
38.3827,-76.0099,301.0,19.4,1,2024-03-12
38.439,-76.2739,319.5,17.8,1,2024-03-13
38.4619,-76.6794,304.5,6.3,1,2024-03-13
39.5662,-77.702,308.9,5.2,1,2024-03-13
38.1491,-75.6167,315.3,13.6,1,2024-03-14
38.1472,-75.6048,302.3,3.7,1,2024-03-14
39.4335,-77.446,302.9,7.3,1,2024-03-24
38.5552,-75.9166,300.7,4.4,1,2024-03-25
38.5568,-75.9053,303.1,5.6,1,2024-03-25
39.6459,-77.6154,304.8,5.4,1,2024-04-10
39.688,-77.9198,308.9,7.1,1,2024-04-10
39.634,-77.7945,306.7,6.0,1,2024-04-13
38.2432,-75.4998,306.8,10.0,1,2024-04-16
38.2414,-75.5175,311.0,15.5,1,2024-04-16
38.1799,-75.3825,310.9,5.8,1,2024-04-18
39.2199,-75.8797,308.8,7.1,1,2024-04-20
39.1558,-76.7878,321.5,18.5,1,2024-04-20
39.4796,-76.2273,315.5,11.5,1,2024-04-20
38.7817,-76.0908,306.9,4.8,1,2024-04-20
39.2836,-75.922,301.0,4.1,1,2024-04-22
39.2756,-76.5389,307.5,6.1,1,2024-04-22
39.1741,-76.8346,305.3,5.8,1,2024-04-22
38.6543,-75.774,306.9,9.7,1,2024-04-22
38.2058,-76.5157,301.6,6.9,1,2024-04-22
38.1934,-76.4847,304.3,4.6,1,2024-04-23
39.4187,-76.1769,306.8,6.7,1,2024-04-23
39.5766,-77.6783,320.9,11.0,1,2024-04-29
38.2747,-75.4603,321.6,16.0,1,2024-04-30
38.2732,-75.472,319.7,14.1,1,2024-04-30
39.2697,-76.5443,319.4,5.9,1,2024-05-02
39.4811,-76.2296,319.5,11.5,1,2024-05-02
39.6244,-75.9489,309.2,4.8,1,2024-05-21
39.5944,-76.8551,314.1,7.2,1,2024-05-21
39.3745,-77.2775,311.0,6.4,1,2024-05-26
39.7191,-77.7195,310.0,5.5,1,2024-05-31
38.2931,-75.6419,345.2,51.9,3,2024-05-31
39.6383,-77.7869,316.9,7.8,1,2024-06-12
39.6253,-77.7952,324.0,11.5,1,2024-06-17
39.6289,-77.7894,316.2,4.6,1,2024-06-24
38.6499,-75.837,318.6,8.5,1,2024-06-24
39.4795,-76.2345,318.8,6.7,1,2024-07-06
39.4843,-76.6584,321.6,16.1,1,2024-07-06
39.1153,-77.2351,320.7,8.0,1,2024-07-16
39.374,-77.279,316.6,6.4,1,2024-07-16
39.48,-76.2329,315.1,5.4,1,2024-07-21
39.3709,-77.2792,310.7,8.2,1,2024-07-26
39.6014,-77.7638,316.8,6.9,1,2024-07-28
39.7211,-76.7475,349.8,88.1,3,2024-08-12
39.6087,-77.2962,304.5,35.0,2,2024-08-13
38.7858,-76.7371,307.5,7.3,1,2024-09-08
38.3898,-76.4106,307.5,6.8,1,2024-09-20
39.4806,-76.2345,305.8,5.3,1,2024-10-07
39.3143,-76.9775,302.9,6.6,1,2024-10-09
39.5687,-77.7231,310.2,13.6,1,2024-10-09
39.4444,-76.2174,307.3,7.5,1,2024-10-09
38.8319,-76.9757,305.7,4.7,1,2024-10-12
38.6248,-75.7075,310.6,9.0,1,2024-10-12
38.6186,-75.7159,317.8,19.2,1,2024-10-12
38.6277,-75.7229,311.4,10.0,1,2024-10-12
39.4451,-77.0557,310.5,7.6,1,2024-10-12
39.5978,-78.9468,307.6,8.3,1,2024-10-22
39.4063,-76.1831,305.1,11.4,1,2024-10-27
39.4047,-76.1978,302.7,9.3,1,2024-10-27
39.1104,-75.9643,306.8,7.2,1,2024-10-29
39.4072,-76.1904,303.3,23.9,2,2024-11-02
39.41,-76.1809,316.0,14.8,1,2024-11-03
39.4084,-76.1922,315.1,13.9,1,2024-11-03
39.4207,-76.1817,300.5,3.4,1,2024-11-05
39.4192,-76.1839,312.7,13.7,1,2024-11-05
39.4291,-76.187,308.5,9.0,1,2024-11-05
39.348,-76.65,393.8,262.8,3,2024-12-06
