latitude,longitude,brightness,frp,frp_category,acq_date
42.5947,-72.0338,313.2,17.8,1,2024-02-15
42.4402,-72.4485,301.9,6.6,1,2024-02-27
42.7283,-71.1207,300.9,6.0,1,2024-03-12
41.819,-70.6422,301.3,12.5,1,2024-03-13
41.8171,-70.6627,307.2,20.1,2,2024-03-13
41.817,-70.6487,310.4,23.7,2,2024-03-13
42.5626,-72.5864,300.1,6.5,1,2024-03-14
42.4867,-73.1629,304.4,8.2,1,2024-03-14
42.2542,-71.9752,300.7,6.8,1,2024-03-14
41.8306,-71.2808,304.1,11.1,1,2024-03-14
42.071,-72.7511,303.6,7.4,1,2024-03-14
42.1548,-73.2906,304.3,8.4,1,2024-03-14
41.8188,-70.6695,306.7,19.9,1,2024-03-14
41.8159,-70.6488,304.9,17.7,1,2024-03-14
41.8235,-70.6472,303.0,14.3,1,2024-03-14
42.1968,-72.5037,305.9,10.0,1,2024-03-21
42.3769,-73.3307,300.1,6.0,1,2024-04-16
41.6322,-70.5645,312.5,11.9,1,2024-04-17
41.6344,-70.5515,373.7,150.2,3,2024-04-17
42.5641,-72.5315,326.6,30.7,2,2024-04-29
41.9435,-71.1385,310.5,6.8,1,2024-05-07
41.8158,-70.6697,323.5,47.4,2,2024-05-13
41.8044,-70.6653,347.2,129.5,3,2024-05-13
42.5418,-71.5928,311.4,8.1,1,2024-05-25
42.0954,-71.0147,304.7,9.1,1,2024-06-17
41.9273,-70.6461,312.9,6.0,1,2024-06-21
42.1339,-71.0614,314.2,7.0,1,2024-06-26
42.1417,-71.0624,311.9,6.7,1,2024-07-01
42.5429,-71.5915,318.2,7.6,1,2024-07-08
42.0698,-72.032,314.7,8.3,1,2024-07-08
42.1694,-72.7354,312.0,5.2,1,2024-07-13
42.5442,-71.5907,321.2,12.5,1,2024-07-13
41.6685,-70.2952,311.3,22.8,2,2024-07-21
42.5486,-71.5928,315.0,10.9,1,2024-07-28
42.1381,-72.5567,316.6,8.7,1,2024-08-14
42.5408,-71.6013,310.1,7.4,1,2024-08-14
42.1078,-71.6749,310.0,7.2,1,2024-08-14
42.1074,-71.6807,309.1,6.6,1,2024-08-14
42.5465,-71.5912,309.6,8.1,1,2024-09-05
42.4521,-73.2347,310.3,6.6,1,2024-09-05
42.502,-70.9479,311.9,4.6,1,2024-09-14
42.5413,-71.6012,313.9,8.2,1,2024-09-14
42.5921,-72.5541,306.2,7.1,1,2024-09-27
42.632,-72.8998,303.7,6.1,1,2024-09-27
42.4214,-72.533,305.4,6.5,1,2024-09-27
42.4815,-73.169,306.0,7.2,1,2024-09-27
42.3197,-72.5426,303.9,5.6,1,2024-09-27
42.3116,-72.9491,302.3,5.3,1,2024-09-27
42.181,-72.3417,303.8,5.4,1,2024-09-27
41.8323,-71.2886,305.2,8.5,1,2024-09-27
42.1882,-72.5463,302.5,5.2,1,2024-10-01
42.0378,-71.6178,311.8,13.7,1,2024-10-06
42.1056,-71.6458,302.8,5.3,1,2024-10-06
42.5272,-72.0177,301.9,6.5,1,2024-10-06
42.1455,-72.4972,308.9,9.0,1,2024-10-06
42.2785,-72.0152,303.6,6.8,1,2024-10-06
42.2882,-72.0185,302.8,6.0,1,2024-10-06
42.5184,-71.6782,324.9,29.0,2,2024-10-06
42.0676,-72.7471,303.0,6.2,1,2024-10-11
42.2217,-71.7905,303.4,6.2,1,2024-10-19
42.1683,-72.1989,302.8,7.6,1,2024-10-19
42.2002,-72.5525,301.4,4.8,1,2024-10-19
42.0737,-72.9583,301.1,5.5,1,2024-10-19
42.4303,-73.2973,303.2,4.3,1,2024-10-21
42.4953,-70.9444,308.2,13.9,1,2024-10-27
42.2161,-71.7871,301.6,9.9,1,2024-10-28
41.7444,-71.0043,303.0,5.6,1,2024-10-31
41.8487,-70.5688,305.3,7.8,1,2024-10-31
42.0373,-72.3778,304.6,17.7,1,2024-11-01
41.7903,-71.0772,301.6,6.1,1,2024-11-05
42.6323,-71.0253,301.7,16.5,1,2024-11-18
42.6447,-71.0271,307.6,27.5,2,2024-11-18
42.1572,-73.3346,307.9,12.2,1,2024-11-20
42.1547,-73.3206,313.4,17.5,1,2024-11-20
42.1549,-73.3201,314.3,13.0,1,2024-11-20
42.1533,-73.332,330.9,30.9,2,2024-11-20
42.1797,-73.3386,307.5,8.7,1,2024-11-20
