latitude,longitude,brightness,frp,frp_category,acq_date
41.8623,-85.8513,302.1,8.8,1,2024-02-05
42.3019,-83.1535,302.9,19.4,1,2024-02-10
42.2921,-83.1599,307.9,9.5,1,2024-02-14
42.2902,-83.1674,301.0,4.0,1,2024-02-21
42.7117,-85.4952,301.9,3.6,1,2024-02-27
42.8443,-85.3854,309.0,7.9,1,2024-02-27
43.7049,-83.9668,304.7,11.9,1,2024-02-29
42.7152,-85.2984,314.7,14.3,1,2024-03-02
42.7136,-85.3112,314.2,13.9,1,2024-03-02
44.0911,-84.6778,301.0,3.1,1,2024-03-04
44.3143,-86.1923,301.6,2.5,1,2024-03-04
45.5792,-87.3794,303.4,11.6,1,2024-03-10
42.101,-83.3517,302.9,5.9,1,2024-03-11
44.49,-84.2936,302.0,9.0,1,2024-03-12
41.7985,-83.864,303.1,5.3,1,2024-03-13
42.7944,-85.6326,309.6,12.1,1,2024-03-13
42.7908,-85.628,304.1,6.3,1,2024-03-13
42.7939,-85.6442,303.6,5.5,1,2024-03-13
42.0855,-85.3859,305.1,7.8,1,2024-03-13
42.0822,-85.3689,306.1,8.9,1,2024-03-13
42.0784,-85.3766,305.8,7.7,1,2024-03-13
43.4805,-83.1635,304.8,8.0,1,2024-03-13
42.0699,-84.8253,303.4,7.4,1,2024-03-29
41.8735,-83.8427,307.1,6.9,1,2024-03-29
42.2939,-83.1551,303.6,27.6,2,2024-04-05
43.8533,-84.0206,304.5,7.7,1,2024-04-06
43.8559,-84.0355,302.8,6.3,1,2024-04-06
42.8232,-85.6754,301.0,3.0,1,2024-04-06
42.8212,-86.006,303.7,4.2,1,2024-04-06
42.749,-86.0747,301.5,3.0,1,2024-04-06
41.8117,-84.5206,317.9,31.9,2,2024-04-06
42.542,-84.8673,319.0,30.5,2,2024-04-06
42.538,-84.8869,328.1,51.4,3,2024-04-06
42.5405,-84.8715,326.7,49.3,2,2024-04-06
42.5364,-84.891,318.4,31.2,2,2024-04-06
42.1954,-85.0867,304.0,29.9,2,2024-04-07
44.3236,-84.7893,302.6,7.9,1,2024-04-07
44.4232,-84.3674,306.4,5.9,1,2024-04-08
42.6664,-84.2455,306.8,4.8,1,2024-04-08
41.8957,-83.9213,308.3,4.0,1,2024-04-08
44.4198,-84.3812,303.2,17.1,1,2024-04-08
44.7201,-84.6088,301.8,12.2,1,2024-04-08
42.2128,-84.3922,388.3,184.3,3,2024-04-09
42.091,-86.1966,304.9,5.2,1,2024-04-09
42.204,-84.3898,313.4,7.2,1,2024-04-09
42.2145,-84.3803,355.0,67.6,3,2024-04-09
43.2414,-84.5782,311.9,5.5,1,2024-04-09
44.0141,-82.8526,308.4,5.9,1,2024-04-10
44.0109,-82.86,307.4,5.5,1,2024-04-10
43.1603,-84.4612,304.9,9.6,1,2024-04-10
43.305,-83.0673,303.4,5.1,1,2024-04-10
46.2174,-84.5882,309.9,41.6,2,2024-04-10
43.3939,-85.6999,304.8,6.0,1,2024-04-13
42.5297,-83.0359,301.2,2.9,1,2024-04-13
43.9106,-86.4154,306.9,7.7,1,2024-04-13
45.8429,-87.9481,319.5,20.5,2,2024-04-13
42.2969,-85.3813,316.2,47.7,2,2024-04-13
44.8219,-84.5525,314.1,28.2,2,2024-04-13
44.8172,-84.5741,302.5,9.8,1,2024-04-13
42.5978,-86.0118,324.8,16.4,1,2024-04-14
42.5961,-86.0238,316.3,8.2,1,2024-04-14
42.6066,-86.0141,337.8,33.3,2,2024-04-14
42.6049,-86.0261,322.0,13.1,1,2024-04-14
43.774,-83.9563,310.8,11.1,1,2024-04-14
43.9292,-86.0697,307.1,3.5,1,2024-04-14
46.1139,-86.5109,322.4,21.4,2,2024-04-14
45.1077,-84.4016,326.4,31.6,2,2024-04-15
42.6369,-83.9023,309.0,6.2,1,2024-04-15
42.2935,-83.1641,314.5,6.8,1,2024-04-15
43.9159,-86.126,306.7,8.0,1,2024-04-15
43.8075,-82.8277,305.2,3.9,1,2024-04-15
46.2442,-86.7143,326.2,127.7,3,2024-04-15
46.2436,-86.7187,325.9,124.7,3,2024-04-15
42.2916,-83.16,310.8,15.3,1,2024-04-16
42.6563,-85.8514,306.3,8.0,1,2024-04-16
41.7947,-83.9196,309.5,6.3,1,2024-04-16
42.0807,-84.1046,308.0,5.5,1,2024-04-16
42.2944,-83.1668,303.3,5.4,1,2024-04-18
44.5446,-84.9105,310.2,25.1,2,2024-04-21
42.6124,-84.8854,313.9,11.2,1,2024-04-21
43.2864,-86.231,315.7,13.2,1,2024-04-21
43.2845,-86.2434,310.9,9.2,1,2024-04-21
44.5401,-84.9358,303.9,4.3,1,2024-04-21
44.4623,-86.2153,303.5,11.0,1,2024-04-22
44.5924,-84.0619,312.9,12.1,1,2024-04-25
46.2103,-84.3108,302.2,5.9,1,2024-04-25
46.058,-86.2249,314.2,15.3,1,2024-04-25
46.0564,-86.2109,305.1,8.1,1,2024-04-25
44.6275,-83.3577,300.5,3.9,1,2024-04-25
44.2094,-86.1559,310.5,10.9,1,2024-04-25
44.2078,-86.1429,322.4,22.3,2,2024-04-25
42.1331,-84.5424,308.1,7.3,1,2024-04-25
41.798,-84.2215,308.4,8.7,1,2024-04-25
43.1853,-84.8399,302.6,3.2,1,2024-04-25
42.1419,-84.5401,304.2,4.6,1,2024-04-25
44.1736,-86.1724,301.1,13.4,1,2024-04-25
46.1952,-84.3229,312.8,24.4,2,2024-04-25
46.196,-84.33,308.1,16.7,1,2024-04-25
42.9035,-83.2767,306.0,6.0,1,2024-04-26
43.7803,-82.881,315.6,15.2,1,2024-04-26
43.7787,-82.8964,318.6,19.3,1,2024-04-26
42.2966,-83.1585,320.5,16.4,1,2024-04-27
42.3017,-83.1505,323.0,18.1,1,2024-04-27
42.295,-83.1452,311.4,7.2,1,2024-04-27
42.2924,-83.1698,311.4,6.4,1,2024-04-30
42.2901,-83.1563,309.8,5.1,1,2024-04-30
42.2505,-83.3229,307.9,4.0,1,2024-04-30
42.3588,-85.595,313.1,8.4,1,2024-05-01
42.3572,-85.6086,318.6,14.1,1,2024-05-01
43.6129,-84.0342,319.1,12.7,1,2024-05-02
43.6068,-84.0415,327.5,23.7,2,2024-05-02
43.6145,-84.0475,314.5,8.3,1,2024-05-02
43.6115,-84.0331,309.5,18.7,1,2024-05-02
43.7024,-86.3668,306.6,3.8,1,2024-05-03
43.2285,-85.9534,309.4,7.9,1,2024-05-03
43.1523,-85.2058,301.3,2.7,1,2024-05-05
43.0626,-83.8483,304.9,3.4,1,2024-05-05
42.8237,-85.6836,311.2,8.3,1,2024-05-05
42.89,-85.5659,313.3,8.8,1,2024-05-05
46.334,-89.5057,300.8,4.1,1,2024-05-06
45.1708,-84.5438,301.9,19.2,1,2024-05-06
44.5289,-84.9207,321.4,96.2,3,2024-05-06
44.5189,-84.8826,306.5,28.8,2,2024-05-06
42.5746,-86.0194,316.1,13.6,1,2024-05-06
42.5729,-86.0353,317.9,15.7,1,2024-05-06
44.5267,-84.9194,315.6,16.4,1,2024-05-06
44.5249,-84.9393,314.7,14.7,1,2024-05-06
46.3596,-89.0961,309.9,6.1,1,2024-05-06
46.3578,-89.1102,311.0,7.1,1,2024-05-06
43.6809,-86.5145,307.0,5.2,1,2024-05-08
42.8238,-85.6757,308.8,6.4,1,2024-05-10
42.7512,-86.0784,308.7,5.8,1,2024-05-10
42.8225,-86.007,309.7,6.7,1,2024-05-10
43.5272,-83.0561,318.8,12.4,1,2024-05-10
43.8313,-85.8221,314.7,14.4,1,2024-05-10
45.9424,-86.6515,315.0,15.4,1,2024-05-10
46.0512,-88.2013,300.6,12.1,1,2024-05-14
46.053,-88.229,311.8,34.0,2,2024-05-14
44.884,-86.0542,301.6,9.5,1,2024-05-14
46.047,-88.212,302.1,26.0,2,2024-05-14
46.0402,-88.2472,301.0,25.3,2,2024-05-14
46.3933,-84.7403,317.4,49.3,2,2024-05-14
46.3997,-84.7137,301.8,15.0,1,2024-05-14
46.3811,-84.7344,309.2,27.5,2,2024-05-14
46.3938,-84.7332,329.9,89.7,3,2024-05-14
46.4033,-84.7393,313.3,129.5,3,2024-05-14
46.4005,-84.7436,312.5,113.6,3,2024-05-14
43.6626,-85.8397,313.4,14.1,1,2024-05-15
42.8294,-85.6793,309.1,6.1,1,2024-05-15
42.8264,-85.6634,309.4,7.0,1,2024-05-15
42.8179,-86.0065,310.4,6.1,1,2024-05-15
44.4986,-84.9487,316.9,19.8,1,2024-05-15
44.4998,-84.9398,343.2,43.9,2,2024-05-15
44.498,-84.952,310.1,5.1,1,2024-05-15
44.5102,-84.9355,334.3,29.2,2,2024-05-15
43.057,-83.2443,311.6,5.6,1,2024-05-15
43.0253,-84.5736,313.0,4.6,1,2024-05-15
43.6574,-85.837,316.1,10.5,1,2024-05-15
43.6555,-85.8493,332.8,30.1,2,2024-05-15
43.6535,-85.8616,307.5,4.1,1,2024-05-15
43.7419,-86.412,307.7,7.2,1,2024-05-15
43.7398,-86.4246,313.0,11.9,1,2024-05-15
44.3426,-83.6979,322.3,18.3,1,2024-05-15
44.3409,-83.7104,323.7,19.8,1,2024-05-15
44.5084,-84.9478,316.8,9.9,1,2024-05-15
46.0648,-86.1968,337.7,36.3,2,2024-05-15
46.0629,-86.2094,350.1,59.3,3,2024-05-15
46.0736,-86.1996,316.0,10.6,1,2024-05-15
46.0716,-86.2123,339.2,38.5,2,2024-05-15
46.65,-86.0749,304.8,5.1,1,2024-05-15
42.3332,-85.2933,311.6,7.1,1,2024-05-22
42.3034,-84.6492,317.6,10.1,1,2024-05-22
42.8202,-85.6798,312.4,6.3,1,2024-05-22
42.2916,-83.1691,323.9,13.6,1,2024-05-25
44.6004,-84.6816,304.1,3.6,1,2024-05-29
43.9058,-82.7676,305.4,4.1,1,2024-05-29
46.3753,-87.6788,319.1,26.5,2,2024-05-30
44.3847,-83.6381,303.9,18.7,1,2024-05-30
46.3703,-87.7001,336.4,40.5,2,2024-05-30
46.3686,-87.7148,315.6,10.9,1,2024-05-30
46.3815,-87.6875,318.1,13.3,1,2024-05-30
46.3798,-87.7023,366.0,121.4,3,2024-05-30
46.378,-87.7171,340.7,47.9,2,2024-05-30
42.8239,-85.6679,309.6,8.6,1,2024-06-06
42.8202,-86.0079,309.4,8.5,1,2024-06-06
45.0096,-84.9254,304.7,6.4,1,2024-06-10
42.0808,-84.3896,313.6,15.8,1,2024-06-10
46.3785,-87.6932,309.9,6.7,1,2024-06-13
42.7543,-86.07,314.9,5.3,1,2024-06-13
43.3873,-85.4644,311.0,6.7,1,2024-06-13
46.3851,-87.6454,305.2,3.1,1,2024-06-13
45.9771,-87.9768,302.0,2.2,1,2024-06-13
44.5999,-84.682,307.8,4.3,1,2024-06-15
42.3745,-83.274,321.6,9.8,1,2024-06-20
42.7518,-86.0774,322.1,8.6,1,2024-06-20
42.2954,-83.1634,329.0,19.1,1,2024-06-22
42.8234,-85.6793,315.2,11.4,1,2024-06-27
44.5956,-84.685,308.8,6.9,1,2024-06-27
44.4014,-84.3312,309.0,8.0,1,2024-06-27
42.2957,-83.1605,303.4,4.8,1,2024-06-30
46.6514,-88.5758,300.2,2.5,1,2024-06-30
42.2669,-85.2899,302.4,4.2,1,2024-06-30
41.7449,-83.5538,307.6,6.9,1,2024-06-30
42.266,-85.5185,306.1,38.6,2,2024-07-01
41.7456,-83.5554,309.3,3.5,1,2024-07-02
42.2925,-83.1616,305.4,7.0,1,2024-07-05
42.3016,-83.1587,302.0,4.9,1,2024-07-05
42.2994,-83.1458,305.0,6.8,1,2024-07-05
43.0194,-85.7345,314.9,8.0,1,2024-07-05
42.8186,-86.0071,315.1,10.1,1,2024-07-05
42.2987,-83.1565,301.2,5.1,1,2024-07-07
42.698,-84.6348,314.9,7.6,1,2024-07-07
41.7459,-83.557,313.9,5.2,1,2024-07-07
42.9588,-85.4935,310.4,6.3,1,2024-07-07
42.2736,-84.4487,312.6,4.7,1,2024-07-07
42.8234,-85.6889,319.8,10.7,1,2024-07-07
42.2923,-83.1653,311.3,11.5,1,2024-07-08
42.9565,-82.4511,325.5,34.7,2,2024-07-08
43.1815,-84.8434,310.5,6.3,1,2024-07-12
43.1437,-86.215,314.8,6.0,1,2024-07-12
42.7513,-86.0729,315.3,6.6,1,2024-07-12
42.3315,-85.2851,314.9,9.0,1,2024-07-12
46.5472,-87.4627,313.3,11.1,1,2024-07-14
42.2962,-83.1634,305.7,4.7,1,2024-07-15
44.1167,-86.151,304.5,6.5,1,2024-07-15
42.8201,-85.9979,312.2,11.3,1,2024-07-15
41.991,-84.9781,306.9,4.6,1,2024-07-17
43.0193,-85.7395,313.5,7.2,1,2024-07-17
42.5495,-84.8518,311.3,6.6,1,2024-07-17
46.3496,-84.8442,308.0,31.0,2,2024-07-18
43.4013,-83.0922,370.1,112.3,3,2024-07-19
43.3826,-85.4681,313.4,9.1,1,2024-07-19
42.7789,-84.6357,312.6,6.7,1,2024-07-19
42.2548,-85.1921,309.7,5.5,1,2024-07-19
46.3298,-84.8323,313.8,8.4,1,2024-07-19
46.3319,-84.8194,316.2,10.4,1,2024-07-19
42.2994,-83.1571,307.4,7.8,1,2024-07-20
44.077,-86.4816,307.5,9.8,1,2024-07-20
45.1342,-84.3045,313.3,12.3,1,2024-07-22
42.2973,-83.1618,301.6,4.4,1,2024-07-24
43.6885,-86.5133,308.5,5.8,1,2024-07-24
42.8206,-86.0122,314.3,7.5,1,2024-07-24
45.893,-84.7362,306.7,7.9,1,2024-07-27
43.9663,-83.0894,323.4,40.2,2,2024-07-28
43.9615,-83.1112,316.3,23.7,2,2024-07-28
43.9777,-83.0942,381.3,375.2,3,2024-07-28
42.2951,-83.1684,308.9,6.2,1,2024-08-01
44.9617,-85.6627,312.7,12.9,1,2024-08-02
44.5983,-84.6827,311.3,5.7,1,2024-08-03
42.7044,-84.6401,315.8,7.3,1,2024-08-03
41.9869,-84.9816,310.8,6.7,1,2024-08-03
46.2021,-85.2978,314.6,12.0,1,2024-08-05
46.2042,-85.2848,325.1,22.5,2,2024-08-05
42.303,-83.1533,318.0,12.5,1,2024-08-07
44.6011,-84.6887,307.5,5.6,1,2024-08-08
41.9904,-84.9809,305.4,5.0,1,2024-08-08
42.3356,-85.2809,312.2,9.4,1,2024-08-08
42.7215,-85.459,308.6,6.7,1,2024-08-08
42.8414,-85.8678,310.1,6.4,1,2024-08-08
42.822,-85.6675,313.1,5.7,1,2024-08-08
42.8244,-85.6812,314.2,6.5,1,2024-08-08
42.7806,-84.6325,308.9,7.5,1,2024-08-08
42.2863,-83.1658,325.5,17.5,1,2024-08-12
42.2938,-83.1595,302.2,4.6,1,2024-08-13
41.9882,-84.9848,306.8,7.4,1,2024-08-13
43.6836,-86.5156,305.6,6.8,1,2024-08-18
43.1437,-86.2109,307.0,4.5,1,2024-08-20
42.3863,-83.1472,309.5,27.2,2,2024-08-21
42.287,-83.1582,313.7,4.8,1,2024-08-22
42.2901,-83.1683,323.3,12.3,1,2024-08-22
42.824,-85.6794,314.2,6.7,1,2024-08-22
42.8187,-86.0069,311.8,8.5,1,2024-08-22
44.1509,-84.9073,318.0,14.1,1,2024-08-22
42.2892,-83.1618,303.2,5.6,1,2024-08-23
42.2967,-83.1594,318.2,12.3,1,2024-08-24
42.2937,-83.1563,303.5,6.5,1,2024-08-25
42.3002,-83.1497,304.6,8.9,1,2024-08-25
42.5169,-85.8054,310.1,4.6,1,2024-08-25
42.3345,-85.2795,314.1,8.2,1,2024-08-25
42.1016,-84.6753,312.0,8.9,1,2024-08-25
42.2967,-83.158,305.1,9.4,1,2024-08-26
43.1859,-84.841,311.8,6.1,1,2024-08-27
41.8021,-86.5842,307.6,9.2,1,2024-09-03
43.5979,-86.3266,307.3,8.3,1,2024-09-03
41.8012,-86.5823,310.2,7.9,1,2024-09-04
41.8016,-86.5763,311.8,9.7,1,2024-09-04
42.822,-86.0072,310.8,7.3,1,2024-09-04
43.5956,-86.3149,310.8,10.5,1,2024-09-04
42.2963,-83.1623,313.2,7.4,1,2024-09-08
42.2874,-83.1644,310.5,5.1,1,2024-09-08
43.7489,-86.3577,307.7,7.6,1,2024-09-09
42.2924,-83.173,301.9,7.4,1,2024-09-11
42.2912,-83.1606,300.8,6.4,1,2024-09-11
42.3845,-83.1231,305.0,10.8,1,2024-09-11
42.3907,-83.1317,300.4,6.6,1,2024-09-11
42.8723,-85.3911,321.1,21.8,2,2024-09-11
44.4911,-85.2755,308.9,29.6,2,2024-09-12
44.072,-84.176,311.2,30.6,2,2024-09-12
44.0839,-84.1527,307.3,19.8,1,2024-09-12
44.0757,-84.1852,306.1,16.4,1,2024-09-12
42.2937,-83.1703,305.0,8.4,1,2024-09-16
42.2963,-83.1556,306.8,9.9,1,2024-09-16
42.2969,-83.1492,318.6,23.6,2,2024-09-16
42.2995,-83.1634,302.9,8.3,1,2024-09-16
42.2948,-83.1596,320.3,13.7,1,2024-09-16
42.3288,-86.2514,313.6,8.3,1,2024-09-18
43.7644,-86.3677,308.6,11.4,1,2024-09-19
45.7681,-87.4401,306.0,9.4,1,2024-09-20
42.2967,-83.1603,303.1,6.4,1,2024-09-26
45.7713,-87.4324,306.8,6.5,1,2024-09-26
43.3621,-84.395,337.2,102.5,3,2024-09-27
43.3569,-84.4183,319.3,42.6,2,2024-09-27
44.8733,-84.9223,307.5,15.3,1,2024-09-27
42.9473,-85.4571,304.1,5.3,1,2024-09-30
42.2956,-83.1551,314.6,14.1,1,2024-10-01
43.7131,-86.4816,312.0,19.7,1,2024-10-01
42.3016,-83.141,306.4,11.4,1,2024-10-03
42.3038,-83.1537,323.7,27.9,2,2024-10-03
45.0144,-85.6645,306.1,5.9,1,2024-10-03
42.2949,-83.1635,306.5,5.9,1,2024-10-03
42.3002,-83.1541,313.5,9.4,1,2024-10-05
42.2932,-83.1621,312.5,6.2,1,2024-10-05
42.724,-83.2652,313.9,10.6,1,2024-10-05
43.564,-86.0306,300.9,2.7,1,2024-10-05
44.8427,-84.5881,313.8,10.6,1,2024-10-05
44.8515,-84.5909,308.2,5.9,1,2024-10-05
42.298,-83.1572,300.1,5.7,1,2024-10-06
43.7109,-84.7233,305.8,9.6,1,2024-10-07
43.707,-84.7422,318.2,28.6,2,2024-10-07
42.2811,-84.6631,312.1,27.6,2,2024-10-08
42.2787,-84.6603,327.9,30.9,2,2024-10-08
42.277,-84.6741,304.0,4.7,1,2024-10-08
43.2631,-86.0692,302.1,6.1,1,2024-10-10
45.021,-85.6534,301.0,4.0,1,2024-10-10
46.1858,-84.6056,301.0,4.9,1,2024-10-10
46.1876,-84.5931,300.7,4.7,1,2024-10-10
42.2987,-83.1568,301.6,5.7,1,2024-10-12
42.2739,-84.6494,305.2,9.0,1,2024-10-15
42.2748,-84.6497,316.5,17.0,1,2024-10-15
42.28,-84.6523,300.3,6.8,1,2024-10-17
42.3011,-83.1575,303.2,10.5,1,2024-10-19
44.5936,-85.4507,300.9,8.5,1,2024-10-21
43.8332,-83.2587,307.5,26.3,2,2024-10-21
43.8363,-83.2529,311.7,45.0,2,2024-10-21
43.8477,-83.2662,307.9,28.2,2,2024-10-21
46.2854,-86.5919,309.4,16.6,1,2024-10-22
42.2975,-83.1545,300.1,3.9,1,2024-10-27
43.1427,-85.8035,301.4,7.8,1,2024-11-01
45.7686,-87.4252,304.1,13.7,1,2024-11-02
44.305,-85.3016,315.0,25.7,2,2024-11-09
