latitude,longitude,brightness,frp,frp_category,acq_date
45.9368,-94.4451,303.7,10.5,1,2024-01-27
44.5175,-94.5276,304.3,9.9,1,2024-01-29
44.0811,-91.9822,304.5,10.1,1,2024-01-29
44.2772,-93.9502,309.0,12.2,1,2024-01-29
44.2596,-94.2858,323.2,26.5,2,2024-01-29
44.2574,-94.2989,317.1,19.9,1,2024-01-29
48.1839,-93.7539,313.1,21.5,2,2024-01-31
43.8685,-93.8273,324.6,26.9,2,2024-02-11
44.0209,-92.5821,301.0,9.2,1,2024-02-20
46.0519,-94.6106,310.9,15.4,1,2024-02-21
46.4162,-95.7513,306.1,10.0,1,2024-02-21
43.578,-92.3221,303.1,4.9,1,2024-02-22
44.1373,-92.6861,316.1,15.8,1,2024-02-22
44.1356,-92.6985,307.2,9.0,1,2024-02-22
44.4681,-95.6555,310.5,12.3,1,2024-02-22
44.466,-95.6683,319.6,20.5,2,2024-02-22
47.8734,-95.2424,304.6,36.8,2,2024-02-23
47.8714,-95.2742,305.4,38.5,2,2024-02-23
47.8794,-95.2799,301.8,32.8,2,2024-02-23
47.9638,-95.4144,345.3,116.9,3,2024-02-24
47.9594,-95.3936,300.8,14.8,1,2024-02-24
47.9531,-95.4194,302.3,16.7,1,2024-02-24
44.3639,-92.0272,301.5,8.5,1,2024-02-24
45.3944,-92.6745,303.9,10.2,1,2024-02-24
45.3921,-92.688,306.5,12.0,1,2024-02-24
47.9486,-95.4271,301.5,9.3,1,2024-02-24
43.8615,-93.951,300.7,6.6,1,2024-02-25
48.9289,-96.5551,307.9,17.7,1,2024-02-25
45.4257,-94.4264,301.4,7.8,1,2024-02-29
43.5023,-93.1274,302.7,3.9,1,2024-02-29
46.4056,-95.8235,303.6,12.0,1,2024-03-01
46.4108,-95.8293,306.3,14.6,1,2024-03-01
44.0834,-93.3122,302.4,6.4,1,2024-03-01
45.4613,-92.9674,304.0,8.2,1,2024-03-03
45.4596,-92.986,304.9,9.2,1,2024-03-03
46.1477,-96.2164,317.4,19.2,1,2024-03-03
46.1662,-96.2211,332.9,35.7,2,2024-03-03
46.1754,-96.2234,314.8,16.8,1,2024-03-03
46.1474,-96.2237,302.1,20.4,2,2024-03-04
46.158,-96.2282,336.7,83.5,3,2024-03-04
46.1541,-96.2474,329.2,63.8,3,2024-03-04
46.1597,-96.2344,302.8,19.6,1,2024-03-04
43.6793,-94.5145,313.5,9.0,1,2024-03-05
44.0239,-92.5892,302.6,5.1,1,2024-03-05
43.7723,-95.9943,320.7,18.8,1,2024-03-05
43.7702,-96.007,309.8,9.1,1,2024-03-05
43.5145,-92.2229,300.1,4.1,1,2024-03-06
43.5277,-92.3455,311.8,11.2,1,2024-03-07
45.1871,-96.0706,313.1,20.1,2,2024-03-08
45.1941,-96.0775,300.7,7.0,1,2024-03-08
46.2491,-92.7869,322.2,27.3,2,2024-03-09
46.251,-92.774,341.2,53.7,3,2024-03-09
43.7181,-95.33,300.4,6.7,1,2024-03-09
44.4233,-95.6737,304.5,22.8,2,2024-03-09
44.4298,-95.6467,345.4,180.6,3,2024-03-09
44.4253,-95.6676,322.6,71.1,3,2024-03-09
44.4316,-95.6405,338.1,138.0,3,2024-03-09
43.921,-91.5845,309.2,13.2,1,2024-03-10
44.2553,-92.4487,303.9,8.1,1,2024-03-10
44.2537,-92.4638,308.4,11.8,1,2024-03-10
44.348,-92.4438,308.0,10.3,1,2024-03-10
44.3463,-92.4593,312.5,14.6,1,2024-03-10
43.6317,-91.7237,328.2,40.1,2,2024-03-10
43.63,-91.74,304.8,9.1,1,2024-03-10
43.6896,-92.4104,306.7,5.6,1,2024-03-10
45.1853,-95.8483,378.2,155.7,3,2024-03-11
45.1837,-95.8353,344.0,53.7,3,2024-03-11
45.1763,-95.8505,346.8,59.6,3,2024-03-11
45.1747,-95.8375,328.8,29.5,2,2024-03-11
44.75,-94.0912,306.8,4.8,1,2024-03-11
44.7481,-94.0789,306.9,4.9,1,2024-03-11
43.5378,-92.4006,301.4,4.2,1,2024-03-11
46.1242,-95.4832,301.6,4.1,1,2024-03-11
46.1647,-94.7791,310.3,17.5,1,2024-03-12
46.1664,-94.7653,309.4,16.7,1,2024-03-12
46.2616,-96.1023,309.0,21.1,2,2024-03-12
46.1681,-94.4019,300.3,11.4,1,2024-03-12
46.2681,-96.0936,317.0,34.1,2,2024-03-12
46.2568,-96.0799,312.7,28.5,2,2024-03-12
44.0319,-92.499,309.5,5.0,1,2024-03-12
45.2037,-95.7264,322.1,17.8,1,2024-03-12
45.2014,-95.7401,315.8,10.8,1,2024-03-12
45.2653,-96.4469,341.2,53.0,3,2024-03-12
45.2711,-96.4405,323.9,23.8,2,2024-03-12
45.2686,-96.4548,338.9,49.2,2,2024-03-12
45.946,-95.2027,316.1,12.1,1,2024-03-12
45.9438,-95.2159,327.0,24.1,2,2024-03-12
45.9525,-95.2104,314.1,11.5,1,2024-03-12
45.9503,-95.2236,305.6,4.4,1,2024-03-12
46.2616,-96.1032,309.6,7.9,1,2024-03-12
46.2639,-96.0893,324.4,23.4,2,2024-03-12
44.1348,-92.2921,301.6,4.8,1,2024-03-13
45.2543,-96.2876,301.7,8.7,1,2024-03-14
45.257,-96.3022,322.3,29.4,2,2024-03-14
45.6906,-95.4851,305.9,15.5,1,2024-03-14
43.6998,-92.9265,307.6,13.6,1,2024-03-15
43.6883,-92.9283,315.2,27.9,2,2024-03-15
43.6866,-92.9071,308.5,15.9,1,2024-03-15
43.6911,-92.9338,312.7,21.3,2,2024-03-15
43.6892,-92.9126,322.7,40.5,2,2024-03-15
44.3651,-96.2417,309.5,8.5,1,2024-03-15
44.717,-95.1903,308.6,7.5,1,2024-03-15
45.4763,-93.7841,310.7,17.0,1,2024-03-15
45.472,-93.7704,302.4,8.6,1,2024-03-15
45.4824,-93.7725,313.5,22.4,2,2024-03-15
45.5075,-96.6019,306.2,7.0,1,2024-03-15
46.1805,-94.4157,307.9,15.4,1,2024-03-15
46.1787,-94.4332,337.8,63.0,3,2024-03-15
46.1769,-94.4507,329.9,45.9,2,2024-03-15
46.1872,-94.4528,334.2,54.5,3,2024-03-15
46.1974,-94.455,342.7,76.9,3,2024-03-15
46.1956,-94.4722,317.0,26.4,2,2024-03-15
45.3993,-95.2881,318.6,64.0,3,2024-03-18
45.3973,-95.3207,321.6,75.3,3,2024-03-18
45.4044,-95.2933,323.8,93.8,3,2024-03-18
45.4025,-95.326,315.8,61.9,3,2024-03-18
45.5632,-95.3201,301.6,23.6,2,2024-03-18
45.5683,-95.3252,300.6,22.3,2,2024-03-18
44.075,-94.8492,349.3,78.7,3,2024-03-19
44.0723,-94.8642,357.4,105.0,3,2024-03-19
44.0757,-94.856,349.9,82.0,3,2024-03-19
44.0729,-94.8711,323.5,25.0,2,2024-03-19
45.8959,-93.6321,340.8,50.0,2,2024-03-19
45.9003,-93.6055,342.2,52.8,3,2024-03-19
45.2106,-93.7151,306.2,7.6,1,2024-03-19
45.4313,-94.0129,306.6,7.8,1,2024-03-19
45.4289,-94.0266,313.1,13.4,1,2024-03-19
45.8914,-93.6024,303.5,6.8,1,2024-03-19
45.8891,-93.6157,395.0,249.0,3,2024-03-19
45.8869,-93.629,354.2,79.6,3,2024-03-19
45.8981,-93.6188,401.4,289.6,3,2024-03-19
47.1732,-95.9725,337.5,141.9,3,2024-03-20
47.1713,-95.9427,313.6,51.1,3,2024-03-20
47.1707,-95.9653,345.9,190.9,3,2024-03-20
47.9195,-95.3775,319.6,79.9,3,2024-03-22
47.9277,-95.4098,323.6,95.8,3,2024-03-22
47.9219,-95.4181,307.9,48.2,2,2024-03-22
47.9139,-95.3857,318.9,84.2,3,2024-03-22
47.9602,-95.6128,300.0,5.9,1,2024-03-22
47.968,-95.6068,303.5,9.2,1,2024-03-22
47.9663,-95.6212,300.8,7.4,1,2024-03-22
44.9737,-94.3807,300.5,6.4,1,2024-03-23
47.7045,-96.3205,399.0,281.8,3,2024-03-28
47.7028,-96.3063,327.2,29.8,2,2024-03-28
46.804,-96.3306,303.0,8.8,1,2024-03-28
47.7137,-96.3181,312.5,15.7,1,2024-03-28
47.6974,-96.3176,305.8,67.9,3,2024-03-28
44.2164,-93.6353,305.2,7.5,1,2024-03-30
44.0859,-94.0061,308.5,10.0,1,2024-03-30
43.6064,-91.6146,315.2,13.2,1,2024-03-30
43.8055,-93.2003,314.5,13.9,1,2024-03-30
43.5976,-91.6169,305.5,5.7,1,2024-03-30
46.0839,-95.672,303.8,7.5,1,2024-04-02
43.7451,-94.4836,307.7,8.4,1,2024-04-03
46.8722,-96.4672,304.3,8.2,1,2024-04-04
46.2857,-95.8939,301.2,6.1,1,2024-04-04
46.8705,-96.4497,323.8,33.3,2,2024-04-04
44.4209,-94.0883,302.5,3.6,1,2024-04-04
44.189,-94.7406,315.3,14.4,1,2024-04-04
48.1722,-95.9927,305.3,30.6,2,2024-04-04
48.9898,-96.9044,305.5,28.3,2,2024-04-04
48.1726,-95.9833,331.0,181.3,3,2024-04-04
48.171,-96.0295,322.0,116.2,3,2024-04-04
48.3222,-95.6207,304.6,40.4,2,2024-04-04
48.3382,-95.6217,305.1,42.7,2,2024-04-04
48.3297,-95.6253,312.7,78.6,3,2024-04-04
48.9915,-96.8618,305.1,28.6,2,2024-04-04
48.9888,-96.8662,305.2,28.8,2,2024-04-04
48.9873,-96.9089,301.9,17.2,1,2024-04-04
46.5305,-95.4213,300.8,7.1,1,2024-04-05
46.3055,-96.244,314.8,16.8,1,2024-04-05
46.2954,-96.2481,307.1,7.2,1,2024-04-05
44.4369,-94.3723,311.1,15.6,1,2024-04-05
43.9628,-94.2381,310.0,16.2,1,2024-04-05
43.5992,-93.449,324.3,19.0,1,2024-04-05
43.9915,-92.3321,304.6,4.0,1,2024-04-05
43.9741,-93.1079,321.6,15.3,1,2024-04-05
44.1641,-94.1306,311.1,7.8,1,2024-04-05
44.376,-92.8263,309.2,5.1,1,2024-04-05
44.665,-94.3199,328.0,22.1,2,2024-04-05
44.663,-94.3323,316.8,10.7,1,2024-04-05
46.0036,-96.0177,312.0,7.7,1,2024-04-05
45.6917,-95.4724,312.2,9.4,1,2024-04-05
46.5867,-93.6216,305.3,6.0,1,2024-04-05
44.8693,-93.3881,318.4,12.2,1,2024-04-05
46.2885,-96.2207,323.0,17.4,1,2024-04-05
46.2863,-96.2341,410.7,350.1,3,2024-04-05
46.284,-96.2476,337.2,37.1,2,2024-04-05
47.344,-95.6367,301.3,3.4,1,2024-04-05
47.4966,-96.5397,315.4,10.1,1,2024-04-05
47.5056,-96.5429,313.5,8.2,1,2024-04-05
47.5764,-96.2264,310.4,8.5,1,2024-04-05
48.2865,-95.5692,300.0,3.6,1,2024-04-05
48.8317,-96.1944,316.5,14.8,1,2024-04-05
44.0366,-93.0744,308.0,9.7,1,2024-04-06
43.7024,-91.7238,301.0,5.8,1,2024-04-06
43.8955,-93.6685,304.2,5.5,1,2024-04-06
43.6584,-96.2516,321.8,36.5,2,2024-04-06
43.6565,-96.2732,312.2,16.3,1,2024-04-06
45.1123,-93.8368,302.8,11.5,1,2024-04-06
45.1104,-93.8687,309.3,26.9,2,2024-04-06
45.1064,-93.8441,307.8,21.0,2,2024-04-06
45.1771,-95.1854,306.5,10.7,1,2024-04-06
46.5917,-94.8172,307.5,22.3,2,2024-04-06
48.1834,-95.9734,329.2,31.5,2,2024-04-09
48.1757,-95.9909,307.9,7.6,1,2024-04-09
48.174,-95.9757,306.5,6.4,1,2024-04-09
48.2802,-95.8489,320.6,20.3,2,2024-04-09
48.1851,-95.9886,346.6,65.9,3,2024-04-09
43.6689,-94.6056,302.3,3.8,1,2024-04-09
48.219,-95.6922,324.3,59.3,3,2024-04-09
48.2214,-95.7007,322.9,55.9,3,2024-04-09
48.2733,-95.8743,322.6,51.1,3,2024-04-09
48.2851,-95.8807,341.7,120.6,3,2024-04-09
48.279,-95.9069,337.5,99.4,3,2024-04-09
48.2728,-95.9332,331.0,75.4,3,2024-04-09
48.2908,-95.9133,373.3,358.8,3,2024-04-09
48.2865,-95.8856,339.6,109.8,3,2024-04-09
48.2921,-95.9181,362.9,266.1,3,2024-04-09
48.305,-96.6115,327.1,73.4,3,2024-04-09
48.2982,-96.64,327.9,77.1,3,2024-04-09
48.3172,-96.6182,333.2,99.6,3,2024-04-09
48.3104,-96.6467,336.8,117.4,3,2024-04-09
48.3032,-96.6147,313.3,30.0,2,2024-04-09
48.2962,-96.6432,309.3,20.3,2,2024-04-09
48.3154,-96.6215,347.6,177.5,3,2024-04-09
48.3085,-96.6499,335.8,110.4,3,2024-04-09
48.2829,-95.9569,334.4,300.5,3,2024-04-09
48.286,-95.905,325.3,196.8,3,2024-04-09
48.2852,-95.966,326.0,201.4,3,2024-04-09
48.284,-95.8959,322.2,169.7,3,2024-04-09
48.1702,-95.8034,321.3,30.9,2,2024-04-10
47.5593,-96.2349,303.8,6.7,1,2024-04-10
47.5553,-96.2151,310.9,16.0,1,2024-04-10
47.1812,-96.2985,316.9,25.4,2,2024-04-10
47.1771,-96.2787,310.2,15.3,1,2024-04-10
47.1222,-96.2379,309.9,15.0,1,2024-04-10
47.1214,-96.244,305.6,8.4,1,2024-04-10
47.1173,-96.2239,305.4,8.3,1,2024-04-10
48.1714,-95.7972,328.5,47.4,2,2024-04-10
48.1756,-95.8173,309.6,12.2,1,2024-04-10
44.6608,-93.0106,317.9,58.6,3,2024-04-10
44.6527,-92.978,316.9,57.0,3,2024-04-10
44.6637,-93.0823,311.2,33.0,2,2024-04-10
44.6703,-93.0112,314.5,46.5,2,2024-04-10
44.6623,-92.9783,322.2,79.6,3,2024-04-10
44.6728,-93.083,305.9,18.3,1,2024-04-10
44.0291,-94.2693,312.1,27.1,2,2024-04-10
44.5083,-93.1878,310.4,7.6,1,2024-04-10
43.5174,-92.1518,319.9,14.4,1,2024-04-10
44.0231,-94.2913,330.3,23.5,2,2024-04-10
44.2193,-93.515,341.3,44.5,2,2024-04-10
44.6615,-93.081,308.8,5.3,1,2024-04-10
44.6598,-93.0944,318.9,14.1,1,2024-04-10
46.5045,-94.304,322.5,19.8,1,2024-04-10
46.5028,-94.3174,312.4,10.2,1,2024-04-10
47.1182,-96.2322,310.4,7.6,1,2024-04-10
47.5628,-96.2418,309.6,6.6,1,2024-04-10
48.2017,-95.8489,340.3,43.2,2,2024-04-10
46.5575,-92.9982,302.0,5.3,1,2024-04-11
45.174,-94.4791,311.2,13.7,1,2024-04-12
46.1722,-94.4467,310.3,12.4,1,2024-04-12
46.1752,-94.4627,311.7,14.2,1,2024-04-12
47.3621,-96.0549,338.1,44.1,2,2024-04-12
47.7078,-96.2264,314.7,13.6,1,2024-04-12
43.6561,-95.8611,309.8,8.5,1,2024-04-12
43.6534,-95.8463,309.3,7.9,1,2024-04-12
45.3341,-96.3483,307.5,8.1,1,2024-04-12
44.0686,-93.0051,303.0,5.8,1,2024-04-12
44.1223,-94.7166,308.1,9.5,1,2024-04-12
44.302,-95.8611,326.6,28.0,2,2024-04-12
43.6056,-96.009,317.7,16.9,1,2024-04-12
43.6561,-95.8558,317.4,14.9,1,2024-04-12
43.9686,-94.3297,333.2,33.4,2,2024-04-12
43.9662,-94.3435,326.3,22.7,2,2024-04-12
45.167,-94.4872,308.8,6.3,1,2024-04-12
44.9759,-95.8308,313.5,10.6,1,2024-04-12
44.9731,-95.846,319.2,17.5,1,2024-04-12
45.4351,-95.6143,312.0,8.7,1,2024-04-12
45.336,-96.3664,325.8,30.7,2,2024-04-12
45.33,-96.3983,318.3,17.7,1,2024-04-12
47.7025,-96.2273,326.7,29.1,2,2024-04-12
47.6998,-96.2422,343.9,60.6,3,2024-04-12
47.7118,-96.231,359.0,102.9,3,2024-04-12
47.7091,-96.246,373.8,160.0,3,2024-04-12
47.7064,-96.2609,328.5,32.5,2,2024-04-12
47.7157,-96.2647,309.0,11.5,1,2024-04-12
48.5557,-96.3571,306.3,6.6,1,2024-04-12
43.9783,-91.4865,307.9,10.3,1,2024-04-13
43.9461,-92.0427,306.9,9.1,1,2024-04-13
43.8901,-91.3908,317.4,23.8,2,2024-04-13
43.9455,-92.028,307.0,9.1,1,2024-04-13
43.8879,-91.3974,312.6,15.1,1,2024-04-13
43.7018,-91.7141,311.9,15.1,1,2024-04-13
46.9818,-95.3547,362.5,593.3,3,2024-04-13
46.9878,-95.3948,318.1,91.5,3,2024-04-13
46.9758,-95.3516,362.0,581.4,3,2024-04-13
44.2725,-91.9466,322.0,53.4,3,2024-04-13
44.2814,-91.9559,316.7,31.9,2,2024-04-13
45.1278,-94.7056,316.4,14.8,1,2024-04-13
48.8081,-94.8977,306.3,6.8,1,2024-04-14
45.9213,-94.1019,306.5,3.4,1,2024-04-14
45.2478,-94.0816,315.5,10.4,1,2024-04-14
45.3825,-95.1709,310.3,6.1,1,2024-04-14
45.0517,-94.627,317.2,9.4,1,2024-04-14
45.0498,-94.6146,329.0,22.0,2,2024-04-14
44.627,-93.6232,314.2,6.2,1,2024-04-14
