latitude,longitude,brightness,frp,frp_category,acq_date
31.5622,-90.5202,300.4,6.8,1,2024-01-01
31.8398,-89.1508,301.8,10.1,1,2024-01-01
31.8894,-89.1889,302.6,11.3,1,2024-01-01
31.762,-90.384,301.9,8.4,1,2024-01-01
32.4255,-89.4898,301.2,10.1,1,2024-01-01
33.4573,-89.7843,311.0,20.6,2,2024-01-01
33.9632,-88.5417,304.0,17.6,1,2024-01-01
32.6357,-89.496,302.2,10.8,1,2024-01-01
32.6325,-89.5002,302.6,18.8,1,2024-01-02
30.51,-89.608,300.8,36.8,2,2024-01-02
30.5042,-89.6103,302.6,42.5,2,2024-01-02
32.5941,-88.9534,301.2,31.0,2,2024-01-02
31.3397,-89.5884,305.4,8.4,1,2024-01-03
31.3382,-89.5987,304.2,7.6,1,2024-01-03
31.4369,-89.5496,319.2,18.6,1,2024-01-03
31.4354,-89.5599,305.6,8.1,1,2024-01-03
31.4227,-89.1872,302.2,43.4,2,2024-01-04
31.8298,-90.6158,308.3,53.9,3,2024-01-04
31.8298,-90.6239,303.3,37.6,2,2024-01-04
33.933,-88.467,304.3,80.4,3,2024-01-04
33.2506,-89.7893,304.3,53.0,3,2024-01-04
33.9354,-88.418,304.0,80.6,3,2024-01-04
33.937,-88.4268,309.1,110.0,3,2024-01-04
34.0638,-89.2889,319.9,20.2,2,2024-01-10
33.4009,-89.1968,314.6,18.5,1,2024-01-11
31.6654,-90.6208,300.9,5.4,1,2024-01-12
31.3197,-90.5612,305.9,15.3,1,2024-01-12
33.4388,-88.5735,301.1,6.4,1,2024-01-12
31.3161,-90.5794,301.0,8.8,1,2024-01-12
31.323,-90.5532,301.0,25.5,2,2024-01-13
31.3186,-90.5757,305.3,33.6,2,2024-01-13
31.3224,-90.5585,307.4,40.5,2,2024-01-13
31.3199,-90.5696,304.6,11.9,1,2024-01-13
31.951,-88.579,306.5,21.4,2,2024-01-13
31.9572,-88.587,300.3,13.9,1,2024-01-13
31.1338,-89.3464,301.4,12.1,1,2024-01-14
31.7055,-89.662,300.0,8.8,1,2024-01-17
30.7263,-88.8569,303.4,14.6,1,2024-01-20
31.1004,-89.1582,301.1,11.1,1,2024-01-20
31.2643,-91.183,309.3,13.4,1,2024-01-20
31.2628,-91.1944,301.6,7.9,1,2024-01-20
31.2721,-91.1961,308.4,12.9,1,2024-01-20
31.2736,-91.1846,308.3,12.7,1,2024-01-20
32.4362,-89.0806,303.3,15.7,1,2024-01-20
33.4055,-90.7401,331.4,45.3,2,2024-01-20
33.404,-90.7529,331.4,45.2,2,2024-01-20
33.4077,-90.7473,305.4,14.0,1,2024-01-20
30.8687,-89.1039,304.4,51.1,3,2024-01-21
30.8611,-89.1372,300.4,38.7,2,2024-01-21
30.8653,-89.1069,307.1,61.2,3,2024-01-21
32.2182,-89.2917,311.5,12.9,1,2024-01-22
32.2648,-89.2969,310.2,11.6,1,2024-01-22
32.3383,-89.3601,305.8,8.0,1,2024-01-22
32.9464,-88.8318,304.1,9.2,1,2024-01-22
33.0214,-89.2261,348.0,62.0,3,2024-01-22
33.02,-89.2367,305.1,9.0,1,2024-01-22
33.4699,-89.6476,304.9,8.3,1,2024-01-22
33.4383,-88.5753,305.3,7.4,1,2024-01-29
32.2679,-90.0196,307.4,23.9,2,2024-01-30
33.7398,-90.5537,301.6,14.3,1,2024-01-30
31.3269,-89.5561,315.1,27.0,2,2024-01-31
31.5152,-88.9933,306.6,13.8,1,2024-01-31
31.4893,-89.1323,300.6,7.1,1,2024-01-31
31.3876,-90.2071,303.7,11.4,1,2024-01-31
31.4199,-90.9819,308.2,22.1,2,2024-01-31
31.432,-90.9854,302.2,11.2,1,2024-01-31
32.0544,-88.6491,338.0,66.4,3,2024-01-31
32.0518,-88.6635,317.4,25.6,2,2024-01-31
32.512,-88.408,300.4,6.9,1,2024-01-31
32.3406,-89.3589,301.3,7.7,1,2024-01-31
32.3437,-89.3665,302.4,9.1,1,2024-01-31
32.6279,-88.7425,305.3,11.7,1,2024-01-31
32.6254,-88.7567,300.8,7.5,1,2024-01-31
32.9188,-88.7818,307.9,13.5,1,2024-01-31
32.9417,-88.7729,310.9,17.6,1,2024-01-31
33.2412,-88.7815,300.2,8.0,1,2024-01-31
32.0179,-89.7858,306.1,14.7,1,2024-02-01
32.3553,-88.5151,301.7,17.3,1,2024-02-01
32.8518,-88.803,308.5,17.5,1,2024-02-01
32.8509,-88.7911,309.3,20.4,2,2024-02-01
32.8491,-88.8098,305.0,13.8,1,2024-02-01
33.7288,-90.5427,303.4,8.6,1,2024-02-01
34.965,-89.295,300.9,3.8,1,2024-02-03
34.5032,-89.2318,301.4,4.8,1,2024-02-03
33.4377,-88.5742,302.9,5.0,1,2024-02-05
32.6232,-89.2589,301.3,4.5,1,2024-02-05
32.7938,-89.0013,300.5,4.8,1,2024-02-05
32.6314,-90.367,301.1,5.7,1,2024-02-05
32.9346,-89.5026,303.1,6.7,1,2024-02-05
33.7008,-89.3586,310.5,11.4,1,2024-02-05
33.6989,-89.3702,303.3,6.0,1,2024-02-05
30.9113,-88.6161,304.9,11.7,1,2024-02-07
30.9062,-88.6197,303.2,8.9,1,2024-02-07
30.865,-89.1971,300.0,11.8,1,2024-02-07
31.8691,-88.4817,302.2,11.7,1,2024-02-07
32.5272,-88.4488,306.5,14.8,1,2024-02-07
32.5272,-88.4557,306.6,14.0,1,2024-02-07
33.2626,-89.0562,309.0,18.5,1,2024-02-07
33.2591,-89.074,307.0,16.1,1,2024-02-07
33.2597,-89.0602,316.0,32.3,2,2024-02-07
33.3161,-88.8352,303.5,11.5,1,2024-02-07
33.3127,-88.8525,305.1,13.8,1,2024-02-07
33.5948,-89.025,312.6,23.7,2,2024-02-07
33.5913,-89.0425,312.5,23.6,2,2024-02-07
33.6059,-89.0281,306.0,13.1,1,2024-02-07
34.2078,-88.4353,309.2,16.1,1,2024-02-07
34.2049,-88.4511,311.3,18.9,1,2024-02-07
34.2111,-88.4428,317.8,27.2,2,2024-02-07
32.9435,-89.5013,301.8,10.8,1,2024-02-13
31.8262,-89.1673,303.0,12.7,1,2024-02-13
33.4407,-88.5662,306.8,16.3,1,2024-02-13
33.4381,-88.5734,303.7,13.4,1,2024-02-13
30.8833,-88.4937,308.6,23.0,2,2024-02-13
30.8852,-88.4732,300.6,9.9,1,2024-02-13
30.8789,-88.4858,312.8,29.6,2,2024-02-13
30.7593,-89.0839,303.4,13.2,1,2024-02-13
31.0427,-88.464,302.8,12.8,1,2024-02-13
31.0388,-88.456,307.2,21.3,2,2024-02-13
31.1784,-90.7785,300.5,5.8,1,2024-02-13
31.1725,-90.7706,302.0,7.0,1,2024-02-13
31.1737,-90.665,303.3,9.2,1,2024-02-13
32.5032,-88.416,305.6,22.3,2,2024-02-14
33.1872,-88.7538,303.2,6.0,1,2024-02-15
32.1723,-90.6059,306.1,7.0,1,2024-02-15
30.7126,-88.6987,304.0,6.7,1,2024-02-15
30.7551,-89.2832,316.8,15.1,1,2024-02-15
31.7629,-89.1788,305.8,5.9,1,2024-02-15
31.7614,-89.1903,305.9,6.0,1,2024-02-15
33.2589,-88.8071,300.8,5.3,1,2024-02-15
33.2599,-89.0787,315.8,17.5,1,2024-02-15
34.0597,-88.4934,300.2,5.1,1,2024-02-15
31.3147,-89.7893,305.1,8.6,1,2024-02-15
31.4504,-89.394,301.1,5.7,1,2024-02-15
33.5544,-88.7924,303.8,21.8,2,2024-02-18
30.828,-88.9744,303.3,28.1,2,2024-02-18
30.9247,-89.5519,300.1,17.6,1,2024-02-18
31.4446,-90.9527,307.9,27.3,2,2024-02-18
31.9523,-89.1693,303.7,30.0,2,2024-02-18
32.2058,-89.8172,300.4,18.9,1,2024-02-18
33.049,-90.4014,302.4,18.3,1,2024-02-18
34.8288,-89.097,301.5,26.1,2,2024-02-18
31.8733,-88.4742,305.7,13.3,1,2024-02-19
31.0914,-88.6512,301.3,8.0,1,2024-02-19
31.1229,-88.983,306.5,16.3,1,2024-02-19
31.1209,-88.9875,307.0,17.8,1,2024-02-19
31.1321,-88.9905,301.2,10.0,1,2024-02-19
31.1419,-89.6644,332.7,82.7,3,2024-02-19
31.2282,-89.5733,305.9,17.5,1,2024-02-19
31.5685,-88.4694,303.1,10.6,1,2024-02-19
31.47,-89.1173,307.1,16.3,1,2024-02-19
31.4679,-89.1219,308.2,18.8,1,2024-02-19
31.4529,-89.793,301.0,10.3,1,2024-02-19
31.6728,-88.726,301.1,8.5,1,2024-02-19
32.5738,-88.7728,311.2,20.3,2,2024-02-19
32.9671,-88.3977,300.4,7.6,1,2024-02-19
32.8379,-90.2778,305.9,17.4,1,2024-02-19
32.834,-90.2971,303.1,13.4,1,2024-02-19
33.2214,-88.8567,306.9,14.0,1,2024-02-19
33.2184,-88.8722,307.7,14.8,1,2024-02-19
33.2319,-88.8595,308.3,15.3,1,2024-02-19
33.3409,-88.568,305.5,10.4,1,2024-02-19
33.3381,-88.583,318.4,27.2,2,2024-02-19
33.3461,-88.5761,344.5,85.6,3,2024-02-19
33.3433,-88.591,325.9,38.7,2,2024-02-19
33.0102,-90.7202,302.7,10.8,1,2024-02-19
33.4307,-89.0916,309.1,16.9,1,2024-02-19
33.4364,-89.083,302.3,9.4,1,2024-02-19
34.7125,-89.3053,319.2,30.4,2,2024-02-19
34.7095,-89.3212,312.4,20.0,1,2024-02-19
34.8799,-88.6401,301.1,5.7,1,2024-02-19
33.5003,-88.4172,302.3,6.4,1,2024-02-20
33.4382,-88.5668,306.4,8.3,1,2024-02-20
33.6569,-89.9911,306.2,7.9,1,2024-02-20
32.882,-90.1844,302.3,4.6,1,2024-02-20
32.1683,-89.9989,307.9,9.1,1,2024-02-20
32.0455,-89.575,301.4,5.4,1,2024-02-20
31.9321,-90.0281,306.4,8.4,1,2024-02-20
31.468,-89.8445,302.3,5.9,1,2024-02-20
31.3749,-89.3242,308.0,9.6,1,2024-02-20
31.2397,-89.5756,302.9,6.1,1,2024-02-20
31.1738,-89.4041,305.9,8.0,1,2024-02-20
31.1719,-89.3928,312.4,13.4,1,2024-02-20
30.5574,-89.4284,304.7,7.5,1,2024-02-20
30.5993,-89.4791,304.4,6.2,1,2024-02-20
30.5977,-89.493,305.8,7.6,1,2024-02-20
30.8313,-88.6097,306.8,9.7,1,2024-02-20
30.7854,-89.2631,305.5,7.7,1,2024-02-20
30.7863,-89.3499,312.2,13.4,1,2024-02-20
30.7966,-89.3514,337.0,56.7,3,2024-02-20
30.8783,-89.1891,304.7,6.5,1,2024-02-20
30.9029,-89.5032,313.5,16.3,1,2024-02-20
30.9013,-89.5171,317.6,21.6,2,2024-02-20
31.045,-89.3293,309.6,12.8,1,2024-02-20
31.0433,-89.3215,307.4,10.3,1,2024-02-20
31.0941,-89.6995,304.2,5.9,1,2024-02-20
31.0925,-89.7131,304.9,6.4,1,2024-02-20
31.0915,-89.7046,308.3,9.6,1,2024-02-20
31.2038,-89.2632,308.6,11.2,1,2024-02-20
31.1864,-89.5079,312.2,14.1,1,2024-02-20
31.2943,-88.6429,304.0,8.4,1,2024-02-20
31.2289,-89.5787,316.3,17.6,1,2024-02-20
31.2391,-89.5802,324.3,30.6,2,2024-02-20
31.131,-90.6633,307.0,6.1,1,2024-02-20
31.2018,-90.1626,307.6,8.1,1,2024-02-20
31.2311,-90.3426,306.7,7.3,1,2024-02-20
31.3854,-90.4191,305.2,5.7,1,2024-02-20
31.3836,-90.7608,314.9,14.2,1,2024-02-20
31.4889,-90.0526,320.1,22.8,2,2024-02-20
31.4874,-90.0658,306.5,7.3,1,2024-02-20
31.4018,-90.8504,305.4,6.3,1,2024-02-20
31.6653,-88.6893,312.2,17.0,1,2024-02-20
