latitude,longitude,brightness,frp,frp_category,acq_date
40.091,-94.5484,308.8,12.8,1,2024-01-01
36.6118,-90.5904,325.3,25.4,2,2024-01-03
36.871,-90.9793,304.8,8.4,1,2024-01-03
36.8241,-93.3411,310.0,13.3,1,2024-01-03
36.6133,-90.5794,313.2,13.9,1,2024-01-03
39.6533,-94.6634,302.6,9.0,1,2024-01-03
37.7271,-91.6366,309.6,11.7,1,2024-01-03
37.8909,-94.342,300.0,7.0,1,2024-01-03
40.2334,-94.0792,300.5,7.0,1,2024-01-29
40.2309,-94.0928,301.7,7.8,1,2024-01-29
39.6309,-93.0481,306.2,9.3,1,2024-02-03
39.5183,-94.6464,300.7,7.1,1,2024-02-05
38.4682,-90.8016,304.7,8.1,1,2024-02-05
38.4662,-90.8136,313.2,15.2,1,2024-02-05
38.4642,-90.8257,307.6,10.3,1,2024-02-05
38.9949,-93.8886,300.4,6.9,1,2024-02-05
38.9918,-93.9049,303.1,9.7,1,2024-02-05
38.9986,-93.8951,304.7,10.3,1,2024-02-05
39.2772,-93.1535,332.9,47.6,2,2024-02-05
39.7523,-93.2226,301.5,7.7,1,2024-02-05
40.1971,-95.3516,300.5,8.0,1,2024-02-05
37.3158,-89.8444,325.6,45.6,2,2024-02-06
38.3743,-91.2165,302.0,9.5,1,2024-02-06
37.3187,-89.8379,345.7,103.6,3,2024-02-06
37.3155,-89.8212,318.7,34.4,2,2024-02-06
37.3127,-89.8279,328.1,51.2,3,2024-02-06
38.0228,-91.2192,306.1,18.2,1,2024-02-07
40.3545,-94.8289,300.5,7.3,1,2024-02-08
37.7827,-93.3095,302.0,3.5,1,2024-02-08
38.6244,-91.0847,308.1,9.3,1,2024-02-08
38.698,-92.2704,321.7,20.6,2,2024-02-08
38.6964,-92.2831,337.9,45.4,2,2024-02-08
39.0508,-92.5944,308.3,8.0,1,2024-02-08
39.1523,-94.0187,343.2,49.2,2,2024-02-08
39.183,-94.4716,301.2,2.9,1,2024-02-08
39.2045,-92.0782,305.7,26.3,2,2024-02-09
40.091,-95.2713,312.9,57.6,3,2024-02-09
40.0902,-95.2632,315.3,67.7,3,2024-02-09
40.1561,-94.9087,303.4,10.6,1,2024-02-10
39.6185,-92.9585,315.1,16.2,1,2024-02-10
39.6274,-92.9609,342.5,52.6,3,2024-02-10
39.6255,-92.9727,321.7,22.2,2,2024-02-10
39.584,-93.286,303.7,8.1,1,2024-02-10
39.582,-93.298,302.2,7.1,1,2024-02-10
39.593,-93.2885,309.1,11.8,1,2024-02-10
39.5181,-94.0642,300.3,5.3,1,2024-02-10
39.8617,-92.1797,310.1,13.4,1,2024-02-10
39.942,-93.4861,307.6,9.2,1,2024-02-10
40.1585,-94.8952,302.9,10.2,1,2024-02-10
39.9655,-94.0677,303.1,10.0,1,2024-02-11
39.9675,-94.0798,347.1,66.6,3,2024-02-11
38.3451,-93.6729,301.8,12.7,1,2024-02-12
39.6234,-93.9114,332.3,36.1,2,2024-02-13
39.6219,-93.8992,326.6,28.2,2,2024-02-13
39.5869,-93.8443,307.1,8.4,1,2024-02-13
39.5778,-93.8462,301.0,4.5,1,2024-02-13
39.4768,-94.5132,379.4,177.7,3,2024-02-13
39.4752,-94.5005,332.9,39.5,2,2024-02-13
39.5045,-94.9489,302.6,7.5,1,2024-02-13
38.837,-93.2554,300.2,4.9,1,2024-02-13
37.5807,-93.1081,301.0,5.9,1,2024-02-13
37.502,-94.1607,302.5,6.9,1,2024-02-13
37.7867,-91.4234,302.6,6.4,1,2024-02-13
37.7955,-91.4212,310.2,11.7,1,2024-02-13
39.1646,-91.0221,302.4,9.4,1,2024-02-13
39.1674,-91.0154,304.5,12.7,1,2024-02-13
38.9858,-91.737,310.5,17.8,1,2024-02-13
38.9748,-91.7351,331.5,59.0,3,2024-02-13
38.7122,-91.6189,311.2,19.9,1,2024-02-13
38.342,-93.6759,302.2,5.5,1,2024-02-13
38.4556,-90.8275,308.8,18.3,1,2024-02-13
38.4567,-90.8411,300.6,8.2,1,2024-02-13
38.4586,-90.8207,305.2,14.1,1,2024-02-13
38.1227,-93.4666,305.3,8.5,1,2024-02-13
38.0885,-92.9529,313.2,15.3,1,2024-02-13
38.0901,-92.9381,331.9,45.2,2,2024-02-13
38.08,-92.9362,317.2,20.9,2,2024-02-13
38.0382,-93.1323,308.2,11.0,1,2024-02-13
38.0399,-93.1178,309.0,11.9,1,2024-02-13
37.8858,-94.0207,300.7,3.8,1,2024-02-13
38.161,-90.7195,304.1,13.4,1,2024-02-13
37.968,-91.1942,303.7,10.6,1,2024-02-13
37.9586,-91.1872,300.7,7.6,1,2024-02-13
37.5783,-94.4546,303.0,5.2,1,2024-02-13
37.5798,-94.4421,301.7,4.4,1,2024-02-13
37.7865,-91.4324,320.0,34.7,2,2024-02-13
37.2705,-93.9685,305.9,8.7,1,2024-02-13
39.4942,-92.4826,300.6,5.6,1,2024-02-13
39.2833,-93.1672,305.2,6.4,1,2024-02-13
39.6986,-92.4781,302.3,7.2,1,2024-02-13
39.5832,-94.3995,308.6,9.6,1,2024-02-13
39.871,-94.1056,306.2,8.9,1,2024-02-13
40.0385,-92.9333,307.1,13.7,1,2024-02-13
40.1099,-93.6888,307.5,10.1,1,2024-02-13
40.2998,-93.9035,303.0,5.1,1,2024-02-13
40.5589,-93.9573,306.7,9.0,1,2024-02-13
37.7953,-91.4285,301.9,9.6,1,2024-02-14
40.4419,-92.9187,303.6,22.2,2,2024-02-14
40.4389,-92.8962,301.8,20.9,2,2024-02-14
39.3657,-91.5857,314.3,66.4,3,2024-02-14
39.365,-91.5913,315.1,73.6,3,2024-02-14
38.8611,-93.3963,300.3,11.2,1,2024-02-14
37.6402,-94.5068,300.5,12.2,1,2024-02-14
37.2209,-93.0579,326.3,116.3,3,2024-02-14
37.214,-93.0278,321.6,94.1,3,2024-02-14
37.0567,-91.9732,300.2,15.0,1,2024-02-14
37.7325,-90.1285,317.2,39.6,2,2024-02-14
37.6693,-90.4851,305.0,16.5,1,2024-02-14
37.6922,-90.6957,302.5,12.3,1,2024-02-14
37.7347,-91.2367,304.7,16.4,1,2024-02-14
37.7325,-91.2429,302.9,13.7,1,2024-02-14
37.7453,-91.2469,304.0,16.1,1,2024-02-14
37.7876,-91.4274,302.3,13.6,1,2024-02-14
37.7839,-91.4305,302.7,15.0,1,2024-02-14
39.4709,-92.3828,301.6,15.9,1,2024-02-14
38.3913,-90.6896,312.4,32.3,2,2024-02-14
38.3865,-90.7122,300.5,10.5,1,2024-02-14
38.3937,-90.6975,317.0,41.9,2,2024-02-14
37.9915,-93.0948,329.9,136.9,3,2024-02-14
37.984,-93.1263,314.4,59.8,3,2024-02-14
38.777,-91.3944,314.2,41.9,2,2024-02-14
38.7715,-91.4192,302.6,16.2,1,2024-02-14
37.2086,-93.0753,302.3,10.1,1,2024-02-15
37.2069,-93.0596,325.6,41.6,2,2024-02-15
37.7881,-91.4258,312.0,13.0,1,2024-02-15
37.7865,-91.4375,306.3,8.8,1,2024-02-15
37.5189,-94.5627,302.1,6.4,1,2024-02-15
37.5171,-94.5742,306.7,9.5,1,2024-02-15
