latitude,longitude,brightness,acq_date
46.415,-110.634,307.0,2024-01-02
46.4103,-110.6047,310.5,2024-01-02
46.4082,-110.6178,371.4,2024-01-02
46.4171,-110.6209,341.0,2024-01-02
47.1756,-110.9649,300.4,2024-01-09
44.6074,-107.1349,311.9,2024-01-23
45.702,-104.7571,323.5,2024-01-23
45.2423,-111.9994,307.0,2024-01-24
46.5668,-111.4372,303.8,2024-01-24
46.2453,-110.5452,305.9,2024-01-26
46.5662,-111.2174,325.9,2024-01-26
46.3121,-108.4332,347.4,2024-01-28
46.3101,-108.4461,321.9,2024-01-28
46.8273,-111.2425,308.1,2024-01-29
46.8363,-111.2401,301.2,2024-01-29
46.8286,-111.2442,302.8,2024-01-30
45.3175,-106.3237,305.7,2024-01-30
47.8531,-104.2731,300.7,2024-01-31
47.585,-112.6658,313.7,2024-01-31
47.5939,-112.6683,300.6,2024-01-31
44.8902,-108.22,347.2,2024-02-13
44.8845,-108.2448,341.2,2024-02-13
46.9121,-108.9462,319.1,2024-02-20
46.9055,-108.9633,324.3,2024-02-20
46.9031,-108.9495,376.2,2024-02-20
44.445,-104.5061,319.1,2024-02-20
44.4439,-104.5073,308.5,2024-02-20
46.9048,-108.9595,330.6,2024-02-20
46.8924,-108.9521,300.0,2024-02-20
46.2169,-112.4552,305.4,2024-02-21
46.2281,-112.4672,322.9,2024-02-21
48.6333,-113.3651,313.2,2024-02-21
46.7362,-112.3647,311.3,2024-02-22
47.5506,-114.7489,321.7,2024-03-04
44.4022,-108.0424,302.7,2024-03-08
44.6596,-104.7336,320.2,2024-03-09
45.5001,-108.8792,301.7,2024-03-10
45.986,-108.0755,312.8,2024-03-10
45.1674,-106.3291,325.3,2024-03-10
45.1615,-106.2964,309.0,2024-03-10
45.1802,-106.2755,311.0,2024-03-10
45.1738,-106.3024,392.3,2024-03-10
46.5553,-112.0915,319.6,2024-03-12
46.8734,-112.6958,301.9,2024-03-14
46.5663,-112.0694,303.4,2024-03-14
46.8624,-113.1063,323.6,2024-03-14
44.4181,-108.1502,314.6,2024-03-15
44.4203,-108.1633,318.9,2024-03-15
44.42,-108.158,307.3,2024-03-15
46.381,-113.6166,300.6,2024-03-16
46.3724,-113.6129,300.6,2024-03-16
46.3762,-113.6313,305.2,2024-03-16
46.3321,-111.4899,307.8,2024-03-16
46.3375,-111.514,301.9,2024-03-16
46.3724,-113.6258,354.3,2024-03-16
46.3783,-113.6185,325.2,2024-03-16
46.3754,-113.6339,328.3,2024-03-16
46.3629,-113.6228,323.8,2024-03-16
46.3696,-113.6413,307.8,2024-03-16
44.5144,-107.9375,304.4,2024-03-17
47.0862,-111.9669,305.0,2024-03-17
48.9131,-115.0653,342.4,2024-03-18
47.6669,-110.7471,323.9,2024-03-18
47.6699,-110.7631,323.8,2024-03-18
47.6765,-110.7432,412.4,2024-03-18
47.6795,-110.7591,352.6,2024-03-18
44.5023,-108.3505,305.4,2024-03-18
45.5447,-113.9429,313.8,2024-03-18
45.4951,-108.9102,320.8,2024-03-18
47.6496,-110.721,340.3,2024-03-18
46.7642,-111.6714,322.2,2024-03-18
46.7609,-111.6878,300.9,2024-03-18
47.6098,-110.8238,316.6,2024-03-18
47.6194,-110.8278,322.6,2024-03-18
47.6525,-110.7053,357.8,2024-03-18
47.6437,-110.7525,334.6,2024-03-18
47.6408,-110.7683,337.0,2024-03-18
47.662,-110.7093,320.0,2024-03-18
47.6591,-110.725,312.4,2024-03-18
46.747,-111.7429,304.3,2024-03-19
46.7532,-111.7392,303.1,2024-03-19
47.7313,-110.7365,323.2,2024-03-19
47.7365,-110.8333,323.9,2024-03-19
47.7225,-110.745,314.6,2024-03-19
46.0553,-107.7723,310.2,2024-03-19
46.0535,-107.752,310.0,2024-03-19
46.056,-107.7651,318.9,2024-03-19
48.199,-112.549,300.4,2024-03-19
47.2268,-114.818,301.5,2024-03-19
44.9268,-108.0318,344.0,2024-03-19
44.9251,-108.0532,345.0,2024-03-19
44.937,-108.0555,314.3,2024-03-19
46.0885,-107.5148,307.7,2024-03-19
46.0476,-115.3066,337.4,2024-03-19
46.0564,-115.3091,332.8,2024-03-19
46.0546,-115.3218,311.8,2024-03-19
47.6485,-110.8298,307.0,2024-03-19
47.2212,-114.828,302.5,2024-03-19
47.6965,-110.6623,307.5,2024-03-19
48.3858,-113.9304,329.7,2024-03-19
48.384,-113.9453,309.4,2024-03-19
46.7485,-111.7418,322.0,2024-03-19
46.7468,-111.7579,311.8,2024-03-19
46.7584,-111.7445,368.5,2024-03-19
46.7568,-111.7598,381.8,2024-03-19
47.6149,-110.7986,310.2,2024-03-19
47.6131,-110.8176,309.7,2024-03-19
47.6503,-110.8107,311.4,2024-03-19
47.6698,-110.7168,321.9,2024-03-19
47.668,-110.7361,306.3,2024-03-19
47.6804,-110.7189,403.6,2024-03-19
47.6786,-110.7382,356.5,2024-03-19
46.8799,-112.7031,320.9,2024-03-20
47.2208,-113.5661,315.0,2024-03-20
44.3593,-108.2729,311.8,2024-03-20
45.5472,-113.9594,313.2,2024-03-20
44.457,-108.4642,308.1,2024-03-20
44.4545,-108.4497,308.3,2024-03-20
44.5279,-107.8423,313.5,2024-03-20
44.5238,-107.862,317.7,2024-03-20
44.9776,-109.0622,307.1,2024-03-20
46.0988,-107.5023,359.7,2024-03-20
46.0952,-107.5199,377.0,2024-03-20
46.1055,-107.5241,311.9,2024-03-20
47.2141,-113.5629,303.6,2024-03-20
46.4719,-114.168,306.9,2024-03-21
48.085,-114.4857,306.1,2024-03-31
48.096,-114.4737,312.7,2024-03-31
45.7317,-111.1952,307.7,2024-04-01
45.7334,-111.2078,301.1,2024-04-01
47.6285,-110.8456,309.0,2024-04-01
47.6232,-110.8691,324.7,2024-04-01
47.7245,-110.6925,313.8,2024-04-02
47.724,-110.6324,316.2,2024-04-02
47.7246,-110.7006,311.5,2024-04-02
47.7238,-110.6406,322.7,2024-04-02
46.4102,-108.6467,306.5,2024-04-02
46.4163,-108.6541,312.8,2024-04-02
46.426,-108.6465,302.4,2024-04-02
46.4235,-108.6797,362.3,2024-04-02
47.3664,-115.11,305.9,2024-04-02
47.3697,-115.1276,306.3,2024-04-02
45.2854,-106.0648,306.6,2024-04-02
45.2883,-106.0592,309.4,2024-04-02
46.4005,-108.651,313.3,2024-04-02
46.4098,-108.6873,314.6,2024-04-02
46.4143,-108.6438,350.1,2024-04-02
48.4635,-115.8348,301.8,2024-04-02
48.2951,-114.3682,303.9,2024-04-02
48.2985,-114.3858,312.0,2024-04-02
46.5611,-112.0705,315.3,2024-04-02
45.2899,-106.0752,316.5,2024-04-02
45.7516,-108.6578,310.6,2024-04-02
45.4595,-112.4769,310.9,2024-04-02
46.2587,-107.3556,316.5,2024-04-02
46.4139,-108.6574,310.7,2024-04-02
46.4121,-108.6727,317.9,2024-04-02
46.4217,-108.6748,316.7,2024-04-02
46.1662,-111.4273,313.5,2024-04-02
46.1644,-111.44,315.9,2024-04-02
46.5961,-113.9189,318.1,2024-04-02
45.956,-114.1854,313.8,2024-04-02
46.0436,-115.2847,310.3,2024-04-02
46.5564,-112.084,309.9,2024-04-02
46.0482,-115.2916,314.3,2024-04-02
46.5982,-113.9058,338.7,2024-04-02
47.35,-114.2749,311.8,2024-04-02
47.3483,-115.2588,305.0,2024-04-02
47.4061,-115.2417,306.3,2024-04-02
47.4037,-115.2559,302.0,2024-04-02
47.6083,-115.4836,328.7,2024-04-02
48.3835,-113.9206,355.8,2024-04-02
48.3815,-113.9337,337.5,2024-04-02
48.3186,-114.3996,306.2,2024-04-02
48.4752,-115.2309,316.7,2024-04-02
48.473,-115.2446,319.4,2024-04-02
46.2992,-111.4675,311.2,2024-04-03
47.1523,-107.6123,326.4,2024-04-03
46.5623,-112.1065,357.0,2024-04-03
46.5606,-112.0875,327.5,2024-04-03
46.3009,-111.4857,337.1,2024-04-03
46.156,-111.4355,310.0,2024-04-03
44.8052,-108.7228,319.9,2024-04-03
44.7961,-108.725,355.8,2024-04-03
44.7945,-108.7119,313.3,2024-04-03
46.2782,-106.9978,316.2,2024-04-03
46.2794,-107.0032,318.1,2024-04-03
46.2762,-106.4221,312.9,2024-04-04
45.6745,-108.6662,305.0,2024-04-05
45.6783,-111.114,306.6,2024-04-05
47.7394,-110.656,317.8,2024-04-10
47.7358,-110.6731,327.4,2024-04-10
47.7412,-110.6796,318.4,2024-04-10
44.9563,-113.3674,308.1,2024-04-10
44.957,-113.36,306.1,2024-04-10
47.613,-110.7465,334.1,2024-04-10
47.6059,-110.7458,332.5,2024-04-10
44.979,-113.391,328.3,2024-04-10
45.366,-112.0622,323.2,2024-04-10
47.6801,-110.8478,310.4,2024-04-11
47.6778,-110.8342,316.7,2024-04-11
45.5239,-111.4314,314.4,2024-04-11
45.5151,-111.4267,328.7,2024-04-11
47.1344,-110.0878,307.8,2024-04-11
45.5126,-111.45,312.6,2024-04-11
45.5059,-111.4291,327.2,2024-04-11
46.1479,-107.529,333.7,2024-04-11
46.1499,-107.5163,339.3,2024-04-11
46.1391,-107.5261,317.0,2024-04-11
46.1411,-107.5133,324.8,2024-04-11
47.69,-111.8506,307.5,2024-04-11
48.4766,-104.3507,379.5,2024-04-11
48.4894,-104.3239,312.0,2024-04-11
48.4876,-104.3386,315.8,2024-04-11
47.607,-111.8976,305.6,2024-04-11
47.6038,-111.9143,331.1,2024-04-11
47.6135,-111.9185,346.6,2024-04-11
47.6103,-111.9352,305.6,2024-04-11
47.6868,-111.8671,330.1,2024-04-11
47.5351,-111.8582,304.2,2024-04-12
47.5435,-111.8913,303.2,2024-04-12
44.5285,-109.267,300.3,2024-04-12
45.5175,-114.0035,340.3,2024-04-12
45.5266,-114.0062,326.2,2024-04-12
45.5249,-114.0199,359.7,2024-04-12
45.904,-113.6356,301.2,2024-04-12
45.5089,-114.0086,326.9,2024-04-12
47.655,-112.002,325.4,2024-04-12
47.5301,-111.9125,318.3,2024-04-12
47.5283,-111.9304,313.6,2024-04-12
47.5403,-111.9149,315.9,2024-04-12
47.6529,-111.389,356.6,2024-04-13
47.6438,-111.3913,363.3,2024-04-13
47.642,-111.3772,323.4,2024-04-13
47.5876,-111.9316,319.8,2024-04-13
45.3588,-108.8965,323.8,2024-04-13
45.3545,-108.9167,321.9,2024-04-13
46.2068,-111.4369,312.0,2024-04-13
46.2915,-112.3454,307.9,2024-04-13
47.6413,-111.6799,320.8,2024-04-13
45.8019,-113.9257,325.9,2024-04-13
45.8179,-113.9262,318.3,2024-04-13
45.8095,-113.9294,334.9,2024-04-13
48.2321,-105.2246,318.9,2024-04-14
48.5838,-116.0403,311.8,2024-04-14
48.5814,-116.026,313.0,2024-04-14
47.5553,-111.8211,312.2,2024-04-14
47.608,-115.4447,300.8,2024-04-14
45.6202,-109.2088,315.1,2024-04-14
45.6074,-109.2155,317.0,2024-04-14
45.6138,-109.2191,320.5,2024-04-14
45.6064,-109.1882,316.7,2024-04-14
44.5639,-106.2731,319.4,2024-04-14
44.551,-106.2268,310.6,2024-04-14
44.5732,-106.2735,317.8,2024-04-14
44.5605,-106.2271,310.8,2024-04-14
44.6916,-108.8281,314.7,2024-04-14
44.5556,-106.2929,319.2,2024-04-14
44.5679,-106.2766,324.5,2024-04-14
44.5662,-106.2951,320.1,2024-04-14
44.5545,-106.2681,331.3,2024-04-14
44.5573,-106.2743,339.0,2024-04-14
47.8252,-110.4549,318.8,2024-04-14
47.3806,-114.2967,315.6,2024-04-14
47.3894,-114.2997,316.0,2024-04-14
45.6046,-109.2104,318.1,2024-04-14
45.6029,-109.2249,316.7,2024-04-14
45.343,-111.5829,326.0,2024-04-14
45.3413,-111.5953,327.7,2024-04-14
45.3518,-111.5853,317.9,2024-04-14
46.1822,-105.7709,321.7,2024-04-14
45.8073,-113.9306,343.8,2024-04-14
45.8053,-113.9436,320.3,2024-04-14
45.8162,-113.9335,400.1,2024-04-14
45.8141,-113.9466,366.3,2024-04-14
45.825,-113.9366,377.9,2024-04-14
45.8229,-113.9495,356.3,2024-04-14
45.8511,-114.1828,313.9,2024-04-14
45.8663,-114.1464,314.6,2024-04-14
46.8904,-109.9059,320.4,2024-04-14
47.409,-107.2771,339.3,2024-04-14
47.4072,-107.296,335.9,2024-04-14
47.0421,-113.3489,329.0,2024-04-14
47.6054,-111.804,344.1,2024-04-14
47.173,-114.7159,330.5,2024-04-14
48.5841,-116.0265,312.9,2024-04-14
48.5817,-116.0402,323.2,2024-04-14
48.4691,-115.2517,324.0,2024-04-14
48.4668,-115.2654,326.1,2024-04-14
46.2928,-112.3625,310.8,2024-04-15
44.9507,-109.0928,335.6,2024-04-16
44.6951,-108.7116,323.2,2024-04-16
44.4011,-108.4439,331.0,2024-04-16
44.6932,-108.7239,328.4,2024-04-16
45.6294,-105.992,320.2,2024-04-16
45.6311,-105.9787,323.5,2024-04-16
45.2165,-112.7313,303.6,2024-04-18
45.2208,-112.7216,308.7,2024-04-19
46.7316,-111.7424,319.1,2024-04-19
47.495,-104.8419,307.6,2024-04-20
47.493,-104.8289,310.9,2024-04-20
48.3096,-111.8823,307.9,2024-04-20
48.3078,-111.8628,323.9,2024-04-20
47.9983,-112.2307,306.9,2024-04-20
45.8335,-111.3166,330.0,2024-04-20
45.7201,-108.8158,309.1,2024-04-20
45.7221,-108.8207,308.7,2024-04-20
46.7628,-111.7942,305.9,2024-04-20
46.7555,-111.8016,304.5,2024-04-20
47.6333,-111.9033,311.4,2024-04-20
47.6318,-111.9532,323.3,2024-04-20
48.8042,-114.9091,300.8,2024-04-20
48.8023,-114.9444,300.6,2024-04-20
48.7652,-115.2662,303.6,2024-04-20
48.8104,-114.9179,302.8,2024-04-20
47.9973,-112.3072,318.9,2024-04-22
47.9957,-112.2728,307.3,2024-04-22
47.9915,-112.3152,316.3,2024-04-22
47.9897,-112.2808,312.7,2024-04-22
47.6607,-111.8333,332.2,2024-04-22
47.668,-111.8913,337.2,2024-04-22
47.6549,-111.844,327.6,2024-04-22
48.4724,-115.8345,315.4,2024-04-22
48.4622,-115.8454,315.6,2024-04-22
47.6741,-111.8804,352.2,2024-04-22
45.5504,-113.9925,323.5,2024-04-22
45.5508,-113.9998,321.4,2024-04-22
47.6443,-111.8614,316.6,2024-04-22
47.6805,-111.9044,309.1,2024-04-22
47.6476,-116.0477,307.1,2024-04-22
48.4896,-114.6969,300.9,2024-04-23
48.4677,-108.5905,314.2,2024-04-23
