latitude,longitude,brightness,acq_date
42.8951,-102.6534,309.1,2024-01-23
42.9001,-102.6171,318.6,2024-01-23
42.7718,-100.8305,307.8,2024-01-25
42.6851,-99.9817,324.4,2024-01-30
42.6815,-99.9849,314.6,2024-01-30
41.7263,-99.3812,304.6,2024-01-31
40.1627,-95.8647,301.9,2024-01-31
40.1578,-95.8701,305.1,2024-01-31
42.125,-96.2016,301.6,2024-02-01
42.1234,-96.2139,310.1,2024-02-01
40.0792,-96.5417,302.9,2024-02-02
40.0763,-96.5465,300.7,2024-02-02
40.1971,-95.3516,300.5,2024-02-05
41.6536,-96.3609,301.0,2024-02-11
41.6553,-96.3727,303.5,2024-02-11
41.6625,-96.3588,305.9,2024-02-11
41.6466,-96.1906,310.2,2024-02-13
41.0233,-95.9636,303.8,2024-02-13
40.2578,-95.569,302.1,2024-02-13
40.2671,-95.571,302.4,2024-02-13
40.206,-96.265,304.0,2024-02-13
40.2045,-96.2771,320.3,2024-02-13
40.9129,-96.3502,307.4,2024-02-13
42.4781,-97.9449,300.9,2024-02-13
41.3019,-97.3153,306.5,2024-02-15
41.2996,-97.3286,300.8,2024-02-15
41.8785,-95.7714,312.9,2024-02-17
41.1241,-95.7113,304.6,2024-02-18
42.0415,-97.5291,304.3,2024-02-18
42.0682,-97.2529,314.7,2024-02-19
40.4086,-96.9555,312.5,2024-02-19
40.4125,-96.9747,303.7,2024-02-19
40.4091,-96.9519,302.0,2024-02-19
40.4005,-96.9863,302.6,2024-02-19
40.7048,-95.3324,305.3,2024-02-20
40.5146,-96.0634,304.4,2024-02-20
40.2429,-95.5499,334.5,2024-02-20
40.2413,-95.5615,328.1,2024-02-20
40.5575,-95.6142,326.4,2024-02-20
40.5559,-95.6259,368.8,2024-02-20
40.5648,-95.6281,307.7,2024-02-20
40.6432,-95.5921,308.1,2024-02-20
40.8687,-97.033,307.1,2024-02-20
41.7306,-96.0681,324.7,2024-02-20
41.9959,-97.4296,303.6,2024-02-20
42.2478,-97.8399,307.1,2024-02-20
42.5585,-99.8301,302.1,2024-02-20
42.2506,-97.8349,302.0,2024-02-21
41.7845,-97.8871,303.9,2024-02-21
40.0899,-98.5691,302.6,2024-02-21
40.3462,-95.9031,303.3,2024-02-21
40.6976,-95.3595,307.0,2024-02-21
40.8701,-98.0335,301.1,2024-02-21
40.7604,-97.2228,301.9,2024-02-21
40.7367,-95.8048,310.9,2024-02-21
40.739,-95.8137,310.0,2024-02-21
41.0653,-100.6349,331.1,2024-02-21
41.0635,-100.6544,339.2,2024-02-21
41.0637,-100.6404,343.9,2024-02-21
41.0619,-100.66,323.9,2024-02-21
41.2348,-95.9213,307.9,2024-02-22
40.4411,-95.3693,305.9,2024-02-22
41.2373,-95.9273,308.2,2024-02-22
42.2313,-95.6406,303.9,2024-02-22
41.0109,-98.6625,373.8,2024-02-23
41.0093,-98.6776,317.8,2024-02-23
41.0209,-98.6644,348.5,2024-02-23
41.0192,-98.6795,318.3,2024-02-23
42.374,-98.1346,305.6,2024-02-24
40.6918,-95.5518,305.1,2024-02-24
40.6851,-95.5235,304.0,2024-02-24
40.6979,-95.5546,301.6,2024-02-24
40.6913,-95.5261,309.1,2024-02-24
40.6795,-95.5417,305.7,2024-02-24
40.6909,-95.5462,330.1,2024-02-24
40.6865,-95.5669,344.7,2024-02-24
42.5359,-97.0742,301.2,2024-02-25
41.3601,-98.0763,308.4,2024-02-25
41.3582,-98.0529,301.0,2024-02-25
40.637,-95.6553,308.0,2024-02-25
40.6316,-95.6622,302.8,2024-02-25
40.6299,-95.6458,308.0,2024-02-25
40.537,-96.7875,310.5,2024-02-25
40.0845,-96.2017,316.2,2024-02-25
40.5387,-96.8066,317.8,2024-02-25
40.6286,-95.6556,317.4,2024-02-25
41.3954,-95.9482,314.6,2024-02-25
41.3938,-95.9617,308.8,2024-02-25
41.3401,-98.1517,307.6,2024-02-25
41.9561,-96.0695,399.5,2024-02-25
41.9545,-96.0832,390.5,2024-02-25
41.9655,-96.0715,316.6,2024-02-25
41.6437,-98.8134,338.9,2024-02-25
41.642,-98.8252,331.3,2024-02-25
42.9596,-98.4581,308.8,2024-02-25
42.9701,-98.4483,309.1,2024-02-25
42.9684,-98.4604,330.2,2024-02-25
41.1607,-97.0368,309.9,2024-02-26
41.0956,-97.4242,307.4,2024-02-26
40.759,-97.3503,308.6,2024-02-26
41.2248,-100.6736,313.7,2024-02-26
41.2231,-100.662,345.2,2024-02-26
41.217,-100.6936,344.1,2024-02-26
41.2153,-100.682,380.7,2024-02-26
41.2136,-100.6704,349.9,2024-02-26
41.212,-100.6588,311.1,2024-02-26
41.2082,-100.6958,308.4,2024-02-26
40.7608,-101.6474,328.3,2024-02-26
40.7592,-101.6357,305.7,2024-02-26
40.7535,-101.6611,337.8,2024-02-26
40.7519,-101.6494,349.6,2024-02-26
41.9715,-97.0938,305.3,2024-02-26
41.7863,-96.9902,307.6,2024-02-26
41.2873,-97.6466,325.7,2024-02-26
41.1819,-100.3083,339.4,2024-02-26
41.1799,-100.3367,347.0,2024-02-26
41.1779,-100.3648,329.6,2024-02-26
41.2013,-100.2251,342.1,2024-02-26
41.1992,-100.254,349.1,2024-02-26
41.1972,-100.2818,336.0,2024-02-26
41.1952,-100.3099,362.5,2024-02-26
41.1932,-100.3383,340.2,2024-02-26
41.2167,-100.1982,413.1,2024-02-26
41.2146,-100.2268,399.7,2024-02-26
41.2126,-100.2555,361.9,2024-02-26
41.1942,-100.5064,335.7,2024-02-26
41.1901,-100.5612,319.2,2024-02-26
41.19,-100.3142,374.5,2024-02-26
41.1881,-100.3427,349.8,2024-02-26
41.1863,-100.3707,328.1,2024-02-26
41.1826,-100.4263,321.2,2024-02-26
41.2127,-100.1737,343.2,2024-02-26
41.2108,-100.2024,400.9,2024-02-26
41.2089,-100.231,363.6,2024-02-26
41.207,-100.2597,353.3,2024-02-26
41.1939,-100.4558,339.1,2024-02-26
41.1921,-100.4833,334.8,2024-02-26
41.1902,-100.5107,329.7,2024-02-26
41.2242,-100.204,379.0,2024-02-26
41.2223,-100.2327,420.8,2024-02-26
41.2204,-100.2612,387.5,2024-02-26
41.1995,-100.5675,322.2,2024-02-26
41.2357,-100.2342,347.1,2024-02-26
41.2338,-100.2627,347.5,2024-02-26
41.2319,-100.2908,363.6,2024-02-26
41.2452,-100.2925,364.9,2024-02-26
41.2432,-100.3208,379.8,2024-02-26
41.2413,-100.3488,376.3,2024-02-26
41.2546,-100.3505,335.9,2024-02-26
41.2526,-100.3786,345.2,2024-02-26
41.2506,-100.4066,349.0,2024-02-26
41.2487,-100.4343,380.1,2024-02-26
41.2467,-100.4621,384.9,2024-02-26
41.2447,-100.4898,406.0,2024-02-26
41.5048,-100.6526,350.9,2024-02-26
41.5028,-100.6799,308.9,2024-02-26
41.5178,-100.6541,335.1,2024-02-26
41.5158,-100.6815,313.2,2024-02-26
41.5162,-100.6313,313.2,2024-02-26
41.5144,-100.6588,353.4,2024-02-26
40.4113,-96.9761,305.3,2024-02-27
40.3747,-96.9197,300.2,2024-02-27
40.6851,-97.1478,313.0,2024-02-28
40.3539,-95.4227,300.1,2024-02-28
40.6506,-95.9707,306.6,2024-02-29
40.6581,-95.9608,305.8,2024-02-29
41.111,-96.0694,306.0,2024-02-29
41.4161,-95.8333,304.6,2024-02-29
40.2204,-95.473,321.6,2024-03-01
40.2187,-95.4905,312.9,2024-03-01
40.2861,-95.6135,303.7,2024-03-01
40.2968,-95.6152,304.9,2024-03-01
40.4139,-96.5602,319.1,2024-03-01
40.424,-96.5621,324.5,2024-03-01
41.2927,-99.0818,308.8,2024-03-01
41.2911,-99.0945,314.8,2024-03-01
41.5765,-99.9479,322.9,2024-03-01
41.5855,-99.95,317.2,2024-03-01
42.0838,-97.3677,305.4,2024-03-03
41.3858,-99.9108,317.3,2024-03-04
41.3877,-99.8871,306.9,2024-03-04
42.7384,-98.1585,311.1,2024-03-04
40.8833,-98.3505,305.3,2024-03-04
42.9743,-98.4545,305.9,2024-03-04
42.7427,-98.1639,309.8,2024-03-04
40.337,-96.3251,323.7,2024-03-05
40.3518,-95.5938,310.8,2024-03-05
40.3399,-95.5494,319.2,2024-03-05
40.3463,-95.6012,305.7,2024-03-05
40.3346,-95.5567,320.8,2024-03-05
40.3435,-96.327,314.7,2024-03-05
40.3285,-96.3341,311.9,2024-03-05
40.4382,-95.4784,307.0,2024-03-05
40.6133,-95.3917,302.8,2024-03-05
41.2608,-99.867,300.7,2024-03-05
41.2567,-99.8866,301.6,2024-03-05
42.9712,-98.4459,321.1,2024-03-05
42.9725,-98.4364,316.5,2024-03-05
40.7116,-95.5464,300.2,2024-03-06
41.2531,-99.8667,341.9,2024-03-06
41.2628,-99.8686,331.8,2024-03-06
41.2645,-99.8541,334.3,2024-03-06
41.2547,-99.8523,420.5,2024-03-06
42.3723,-99.1066,303.1,2024-03-06
41.2563,-99.8378,316.0,2024-03-06
41.6415,-97.6598,313.2,2024-03-09
40.4668,-96.497,304.3,2024-03-09
40.6153,-97.134,302.4,2024-03-09
40.9074,-98.6581,308.5,2024-03-09
41.7253,-99.2846,307.1,2024-03-09
42.7613,-98.222,301.3,2024-03-09
42.7594,-98.2099,309.4,2024-03-09
42.1262,-97.4966,300.9,2024-03-09
42.0499,-97.8904,305.1,2024-03-09
41.6435,-97.6721,301.7,2024-03-09
40.5253,-97.1525,310.0,2024-03-09
40.0199,-97.261,301.9,2024-03-09
40.0221,-97.2738,303.8,2024-03-09
40.3654,-97.251,300.3,2024-03-09
40.1464,-95.8643,303.1,2024-03-09
40.516,-97.1551,308.3,2024-03-09
42.6692,-99.4457,307.0,2024-03-09
42.681,-99.4442,308.3,2024-03-09
41.5265,-98.888,310.8,2024-03-09
41.5253,-98.9179,302.6,2024-03-09
41.5273,-98.88,306.6,2024-03-09
42.6778,-99.4453,307.7,2024-03-09
42.6788,-99.4408,308.6,2024-03-09
40.3914,-97.2628,302.6,2024-03-10
40.3897,-97.2206,304.4,2024-03-10
40.3808,-97.229,305.8,2024-03-10
41.8341,-99.0558,315.4,2024-03-10
41.8261,-99.023,339.5,2024-03-10
40.913,-96.3604,309.6,2024-03-10
41.4279,-95.7749,304.7,2024-03-10
41.4227,-95.81,304.7,2024-03-10
41.4209,-95.8216,305.6,2024-03-10
41.8146,-99.0278,390.4,2024-03-10
41.8122,-99.0414,359.6,2024-03-10
41.824,-99.0308,315.8,2024-03-10
41.8216,-99.0444,323.5,2024-03-10
40.6533,-95.5662,308.5,2024-03-10
40.5379,-97.4824,307.2,2024-03-10
41.6569,-95.6207,315.4,2024-03-11
40.6364,-95.4719,303.7,2024-03-11
41.7006,-99.5719,327.4,2024-03-11
41.5195,-98.125,319.7,2024-03-11
41.5176,-98.1493,315.9,2024-03-11
41.5229,-98.1334,326.4,2024-03-11
41.6934,-99.5449,324.3,2024-03-11
41.6915,-99.5649,328.7,2024-03-11
41.691,-99.55,319.6,2024-03-11
41.7023,-99.5518,341.1,2024-03-11
41.5453,-99.3947,312.1,2024-03-12
41.549,-99.4132,307.9,2024-03-12
41.641,-99.1077,306.4,2024-03-12
41.6449,-99.1268,307.5,2024-03-12
41.428,-99.0552,312.5,2024-03-12
40.003,-98.54,310.7,2024-03-12
41.3295,-98.573,317.4,2024-03-12
41.3251,-98.5936,314.1,2024-03-12
41.3408,-98.5771,343.0,2024-03-12
41.3365,-98.5978,337.1,2024-03-12
41.4164,-99.0508,316.4,2024-03-12
42.7411,-97.8533,317.7,2024-03-12
42.8232,-97.9663,310.9,2024-03-12
42.8981,-98.4592,322.8,2024-03-12
42.8942,-98.4783,312.7,2024-03-12
42.8978,-98.464,326.2,2024-03-12
42.7448,-97.8354,316.7,2024-03-12
42.7487,-97.8492,322.3,2024-03-12
41.7944,-99.7994,314.4,2024-03-12
41.7996,-99.7758,322.1,2024-03-12
41.6442,-99.1323,359.2,2024-03-12
41.5576,-99.4102,326.8,2024-03-12
41.6394,-99.1258,333.8,2024-03-12
41.5494,-99.4268,318.2,2024-03-12
41.5543,-99.4042,337.0,2024-03-12
40.736,-95.8811,302.1,2024-03-13
40.0095,-95.7818,305.1,2024-03-13
40.0067,-95.7744,318.8,2024-03-13
40.0112,-95.764,307.1,2024-03-13
40.0148,-97.0572,315.3,2024-03-15
40.0132,-97.0687,306.3,2024-03-15
40.0236,-97.0594,332.2,2024-03-15
40.022,-97.0709,328.4,2024-03-15
40.8874,-96.8347,312.6,2024-03-15
40.8857,-96.8465,314.0,2024-03-15
40.8825,-98.5147,311.7,2024-03-15
41.2478,-96.8988,303.4,2024-03-15
41.2952,-98.4804,310.9,2024-03-15
41.3065,-98.4778,315.8,2024-03-15
41.9002,-95.6492,318.0,2024-03-15
41.5619,-97.8712,306.5,2024-03-15
41.8986,-95.6621,326.3,2024-03-15
42.0464,-95.8003,303.8,2024-03-15
41.5806,-99.68,306.1,2024-03-15
41.5895,-99.6827,305.7,2024-03-15
41.6744,-99.5037,379.5,2024-03-15
41.6725,-99.5158,338.9,2024-03-15
41.6833,-99.5062,319.7,2024-03-15
41.6814,-99.5183,311.7,2024-03-15
42.8293,-97.8736,387.3,2024-03-15
42.8157,-98.3605,309.1,2024-03-15
41.4007,-95.7804,303.3,2024-03-16
40.7294,-95.8803,301.5,2024-03-16
40.6866,-95.6688,307.3,2024-03-16
40.6847,-95.6568,302.5,2024-03-16
41.1207,-103.5953,301.3,2024-03-16
41.1217,-103.6106,305.9,2024-03-16
41.1318,-103.6125,341.2,2024-03-16
41.1335,-103.5969,328.2,2024-03-16
40.395,-95.5941,302.9,2024-03-17
40.393,-95.6064,304.8,2024-03-17
41.2379,-98.5574,311.9,2024-03-18
41.4887,-96.5798,302.9,2024-03-18
41.2396,-98.5502,322.4,2024-03-18
41.2362,-98.5392,312.6,2024-03-18
40.4133,-95.7959,304.9,2024-03-18
40.417,-97.1837,303.8,2024-03-18
40.4154,-97.1689,312.3,2024-03-18
40.081,-97.2264,304.2,2024-03-18
40.219,-97.8195,311.7,2024-03-18
40.2221,-97.8083,307.0,2024-03-18
40.2204,-97.8269,305.6,2024-03-18
40.4156,-97.1723,304.2,2024-03-18
40.7488,-97.6331,311.0,2024-03-18
40.8416,-100.4339,334.5,2024-03-18
40.84,-100.4478,404.2,2024-03-18
40.8384,-100.4618,355.7,2024-03-18
40.8513,-100.4357,325.7,2024-03-18
40.8496,-100.4497,382.6,2024-03-18
40.848,-100.4638,359.2,2024-03-18
40.8541,-100.4431,348.6,2024-03-18
40.8525,-100.4571,364.0,2024-03-18
40.8637,-100.445,309.3,2024-03-18
40.8621,-100.4591,318.9,2024-03-18
41.2338,-98.5485,309.1,2024-03-18
41.2183,-99.7085,335.9,2024-03-18
41.2167,-99.7238,328.4,2024-03-18
41.8017,-95.5242,314.6,2024-03-18
41.5072,-99.6722,323.6,2024-03-18
41.5056,-99.688,321.6,2024-03-18
41.5542,-99.4218,324.3,2024-03-18
41.65,-99.057,316.3,2024-03-18
41.6483,-99.074,341.6,2024-03-18
41.6605,-99.059,336.1,2024-03-18
41.6588,-99.076,346.7,2024-03-18
41.7003,-98.8744,320.3,2024-03-18
41.6986,-98.8916,320.3,2024-03-18
42.7507,-98.1185,319.8,2024-03-18
42.9073,-97.7514,304.5,2024-03-18
42.9139,-98.0685,304.0,2024-03-18
42.9149,-98.0553,305.4,2024-03-18
42.8117,-97.8029,337.3,2024-03-19
42.7989,-97.791,311.5,2024-03-19
42.8018,-97.8064,315.4,2024-03-19
42.8088,-97.7872,332.3,2024-03-19
41.5648,-99.6024,315.1,2024-03-19
41.9555,-97.6245,305.9,2024-03-19
41.9453,-97.6279,306.1,2024-03-19
41.7621,-98.9435,316.4,2024-03-19
41.6939,-98.9716,321.0,2024-03-19
41.5624,-99.5888,333.6,2024-03-19
40.6479,-95.7456,327.1,2024-03-19
40.6474,-95.7745,305.1,2024-03-19
40.6429,-95.7529,327.9,2024-03-19
40.515,-95.7129,315.5,2024-03-19
40.5033,-95.7172,316.2,2024-03-19
40.4987,-95.6953,348.3,2024-03-19
40.4916,-95.7214,312.9,2024-03-19
40.487,-95.6996,347.0,2024-03-19
40.3959,-95.5958,309.9,2024-03-19
41.1815,-99.7154,326.1,2024-03-19
41.1791,-99.7018,306.1,2024-03-19
40.0141,-97.2875,306.7,2024-03-19
40.0033,-97.2913,312.7,2024-03-19
40.1178,-95.3112,316.3,2024-03-19
40.1142,-95.3292,319.2,2024-03-19
40.125,-95.3329,320.7,2024-03-19
40.0116,-97.2994,315.3,2024-03-19
40.0135,-97.3071,312.2,2024-03-19
40.4853,-95.703,324.3,2024-03-19
40.4815,-95.7214,314.3,2024-03-19
40.8848,-100.5039,361.3,2024-03-19
40.6476,-95.7726,339.9,2024-03-19
40.6438,-95.7912,312.9,2024-03-19
40.7621,-100.0379,318.1,2024-03-19
40.7542,-100.0701,354.0,2024-03-19
40.7642,-100.0433,327.3,2024-03-19
40.7562,-100.0754,340.0,2024-03-19
40.8707,-100.4979,361.2,2024-03-19
40.8623,-100.5319,321.9,2024-03-19
41.5593,-99.5863,314.3,2024-03-19
41.7549,-98.9388,308.1,2024-03-19
41.7487,-98.9653,307.5,2024-03-19
41.7675,-98.9439,367.6,2024-03-19
41.7614,-98.9705,358.0,2024-03-19
41.6321,-99.5227,341.9,2024-03-19
41.6253,-99.5514,321.8,2024-03-19
42.6523,-98.193,354.2,2024-03-19
42.6473,-98.2159,324.0,2024-03-19
42.6492,-98.1739,309.1,2024-03-19
42.644,-98.1967,354.4,2024-03-19
42.8076,-97.7986,316.6,2024-03-19
42.8189,-97.8037,339.2,2024-03-19
42.8143,-97.8256,341.7,2024-03-19
42.8242,-97.8106,341.4,2024-03-19
42.8194,-97.8324,337.3,2024-03-19
42.8767,-97.8564,315.1,2024-03-19
42.8719,-97.8785,316.7,2024-03-19
41.709,-103.5956,313.2,2024-03-19
41.7124,-103.6045,310.4,2024-03-19
40.8764,-100.5379,330.2,2024-03-19
40.8709,-100.5021,362.9,2024-03-19
40.8623,-100.5361,315.8,2024-03-19
40.885,-100.508,359.9,2024-03-19
40.8765,-100.5419,320.2,2024-03-19
41.174,-99.7241,307.9,2024-03-19
41.0658,-100.2285,313.2,2024-03-19
41.3648,-99.7834,310.4,2024-03-19
41.952,-97.6391,311.4,2024-03-19
41.5656,-99.5822,308.4,2024-03-19
41.5588,-99.6112,309.0,2024-03-19
41.6919,-98.9715,320.7,2024-03-19
41.7046,-98.9765,314.9,2024-03-19
40.5215,-101.5102,311.8,2024-03-19
40.5251,-101.515,312.7,2024-03-19
40.8796,-100.463,307.8,2024-03-19
40.8779,-100.5188,334.6,2024-03-19
40.8957,-100.5197,341.6,2024-03-19
40.8775,-100.4675,310.3,2024-03-19
40.8762,-100.5229,328.1,2024-03-19
40.8939,-100.5241,344.2,2024-03-19
40.7761,-95.8215,300.3,2024-03-20
40.7743,-95.7995,304.2,2024-03-20
40.1791,-95.3249,301.8,2024-03-20
40.0882,-95.3236,305.9,2024-03-20
40.1597,-96.5207,310.1,2024-03-20
40.1698,-96.5266,302.6,2024-03-20
40.1574,-96.5282,303.5,2024-03-20
41.7886,-103.7659,304.2,2024-03-20
41.7849,-103.7607,302.3,2024-03-20
40.2305,-95.4231,307.7,2024-03-20
40.3135,-95.507,310.3,2024-03-20
40.3119,-95.5221,330.7,2024-03-20
40.751,-95.8634,313.0,2024-03-20
41.4208,-95.6978,311.5,2024-03-20
41.4956,-95.5583,319.1,2024-03-20
41.2005,-99.6943,340.4,2024-03-20
41.1988,-99.7059,344.5,2024-03-20
41.7783,-95.4847,346.3,2024-03-20
41.5752,-99.5956,316.3,2024-03-20
41.6385,-99.2078,305.1,2024-03-20
41.6369,-99.2197,303.7,2024-03-20
41.5857,-99.5861,358.2,2024-03-20
41.584,-99.5979,312.9,2024-03-20
41.6479,-99.2168,328.0,2024-03-20
41.6462,-99.2287,328.5,2024-03-20
41.6924,-98.9557,327.8,2024-03-20
41.6567,-99.219,344.4,2024-03-20
41.6551,-99.2309,337.6,2024-03-20
41.7029,-98.9459,323.6,2024-03-20
41.7013,-98.9579,343.4,2024-03-20
41.6072,-99.7687,321.0,2024-03-20
41.6056,-99.7805,333.8,2024-03-20
41.6724,-99.3702,324.7,2024-03-20
41.6812,-99.3725,339.0,2024-03-20
41.6796,-99.3843,311.9,2024-03-20
42.1969,-96.2226,318.6,2024-03-20
42.2068,-96.2246,313.8,2024-03-20
42.4217,-98.4496,313.3,2024-03-20
42.8282,-96.5774,338.9,2024-03-20
42.8265,-96.5923,351.2,2024-03-20
42.838,-96.5794,321.2,2024-03-20
42.8363,-96.5944,331.1,2024-03-20
42.8033,-98.0673,310.2,2024-03-20
42.8085,-98.0742,310.2,2024-03-20
42.8232,-98.1851,311.2,2024-03-20
42.8215,-98.1981,344.2,2024-03-20
42.5504,-96.7964,329.8,2024-03-21
42.5442,-96.799,325.5,2024-03-21
41.5715,-99.5781,325.6,2024-03-21
42.2637,-96.0399,317.1,2024-03-21
40.2361,-96.211,323.7,2024-03-21
40.1755,-95.4851,302.8,2024-03-21
40.9061,-97.1274,311.4,2024-03-21
41.6455,-99.3651,309.9,2024-03-21
41.6471,-99.377,327.4,2024-03-21
41.7257,-98.9428,318.1,2024-03-21
41.724,-98.9311,317.2,2024-03-21
41.171,-95.6782,300.5,2024-03-21
40.226,-96.2177,304.8,2024-03-21
40.2258,-96.2219,303.8,2024-03-21
40.9672,-95.3103,309.2,2024-03-22
40.9657,-95.3244,314.5,2024-03-22
41.384,-100.0174,303.4,2024-03-22
41.7157,-103.1286,304.0,2024-03-23
40.0047,-95.8241,316.1,2024-03-27
40.1548,-95.8754,305.9,2024-03-27
40.1137,-96.5399,310.2,2024-03-27
41.0781,-97.6441,316.4,2024-03-27
41.042,-97.9604,300.6,2024-03-27
41.6081,-97.1455,301.8,2024-03-27
42.1178,-95.9018,323.1,2024-03-27
42.3567,-97.0639,302.4,2024-03-27
40.571,-96.492,309.0,2024-03-27
40.8465,-95.5032,310.6,2024-03-27
42.306,-96.1536,300.6,2024-03-28
42.0435,-95.3642,305.2,2024-03-28
42.0521,-96.6595,303.9,2024-03-28
42.0433,-96.6616,316.5,2024-03-28
41.9358,-97.0964,305.7,2024-03-28
