latitude,longitude,brightness,frp,frp_category,acq_date
36.1636,-115.6198,306.4,10.8,1,2024-01-10
36.1601,-115.6421,312.0,14.6,1,2024-01-10
35.7769,-114.959,362.8,101.6,3,2024-01-17
35.775,-114.9707,347.7,60.8,3,2024-01-17
35.7841,-114.973,340.0,45.4,2,2024-01-17
35.7932,-114.9753,313.5,10.8,1,2024-01-17
35.811,-114.9745,305.1,5.6,1,2024-01-17
40.3314,-115.4647,303.8,12.3,1,2024-01-31
39.5851,-119.539,307.1,9.3,1,2024-02-10
40.8898,-118.6766,305.3,13.1,1,2024-02-20
40.9662,-117.5128,302.2,5.6,1,2024-02-20
41.945,-119.7412,301.0,61.4,3,2024-02-22
41.9591,-119.7424,303.9,76.2,3,2024-02-22
41.9358,-119.7322,332.1,36.6,2,2024-02-22
41.9448,-119.7352,300.3,5.4,1,2024-02-22
39.0137,-114.2366,328.5,33.2,2,2024-02-24
36.5117,-114.7463,308.0,5.1,1,2024-03-01
35.9009,-114.9507,319.7,6.8,1,2024-03-19
36.0822,-115.0603,312.2,5.2,1,2024-03-27
41.9259,-116.0991,315.5,17.1,1,2024-04-02
39.6839,-114.0664,321.1,25.2,2,2024-04-07
41.7063,-118.2411,325.1,36.4,2,2024-04-12
41.7023,-118.2359,324.0,35.0,2,2024-04-12
40.1286,-118.4607,314.0,10.1,1,2024-04-16
41.9936,-118.5669,311.0,15.8,1,2024-04-17
38.6528,-119.4898,319.9,13.1,1,2024-04-19
36.5241,-114.7614,325.9,5.6,1,2024-04-19
40.6954,-116.1354,312.0,5.2,1,2024-05-03
37.2164,-115.8396,324.7,25.6,2,2024-05-15
39.1055,-119.888,328.2,25.8,2,2024-05-20
39.5824,-119.5178,331.3,27.6,2,2024-05-28
39.6435,-119.3127,335.8,22.6,2,2024-05-30
39.6417,-119.3011,329.7,14.7,1,2024-05-30
41.0208,-117.6331,338.6,29.5,2,2024-06-01
39.4401,-118.7207,326.8,18.4,1,2024-06-08
39.5631,-119.7662,316.9,13.7,1,2024-06-12
39.5738,-119.7566,311.1,8.9,1,2024-06-12
39.572,-119.7684,345.1,53.7,3,2024-06-12
39.5702,-119.7802,310.1,8.0,1,2024-06-12
39.7481,-119.3374,336.1,81.5,3,2024-06-12
39.7431,-119.347,331.6,55.4,3,2024-06-12
39.0098,-118.849,352.5,41.2,2,2024-06-14
39.0081,-118.8603,368.2,84.6,3,2024-06-14
41.8207,-119.565,326.9,16.4,1,2024-06-26
41.823,-119.5784,393.1,242.2,3,2024-06-26
41.8116,-119.5668,361.0,71.4,3,2024-06-26
41.8292,-119.5716,361.1,71.4,3,2024-06-26
41.831,-119.5599,367.0,89.7,3,2024-06-26
41.8186,-119.5809,392.7,197.1,3,2024-06-26
41.8204,-119.5691,451.1,718.5,3,2024-06-26
41.8222,-119.5574,447.6,674.2,3,2024-06-26
41.8241,-119.5457,351.4,48.8,2,2024-06-26
41.808,-119.5904,327.0,7.1,1,2024-06-26
41.8098,-119.5786,352.8,50.9,3,2024-06-26
41.8803,-115.4381,327.4,16.4,1,2024-06-26
41.8153,-119.5432,333.4,17.6,1,2024-06-26
41.8135,-119.555,354.0,55.0,3,2024-06-26
38.0012,-118.4636,301.6,7.3,1,2024-06-27
37.9998,-118.477,315.0,18.6,1,2024-06-27
37.9983,-118.49,316.3,19.7,1,2024-06-27
41.8178,-119.5588,311.6,17.3,1,2024-06-27
41.8149,-119.5521,305.7,12.1,1,2024-06-27
41.8133,-119.5664,303.9,11.0,1,2024-06-27
37.9978,-118.4517,322.7,38.2,2,2024-06-27
38.0033,-118.4969,390.9,771.7,3,2024-06-27
37.9981,-118.4598,390.3,772.4,3,2024-06-27
37.996,-118.489,394.9,861.2,3,2024-06-27
37.994,-118.518,332.3,63.7,3,2024-06-27
38.0121,-118.4591,380.3,580.8,3,2024-06-27
38.01,-118.4887,398.4,940.8,3,2024-06-27
38.0052,-118.4677,410.9,1286.5,3,2024-06-27
38.0088,-118.4502,307.5,53.7,3,2024-06-28
38.0001,-118.4862,300.9,31.4,2,2024-06-28
38.0228,-118.4591,310.8,64.1,3,2024-06-28
38.0145,-118.4939,301.9,31.7,2,2024-06-28
38.0058,-118.4534,302.6,36.5,2,2024-06-28
38.0198,-118.4625,317.3,97.7,3,2024-06-28
38.0113,-118.497,301.0,30.5,2,2024-06-28
40.8428,-116.93,337.8,15.9,1,2024-06-28
40.8451,-116.917,338.4,16.5,1,2024-06-28
37.9975,-118.4627,339.6,42.3,2,2024-06-28
37.9943,-118.4791,344.5,59.5,3,2024-06-28
38.0211,-118.4552,332.7,22.0,2,2024-06-28
38.0179,-118.4716,332.3,22.0,2,2024-06-28
39.5828,-119.5227,338.0,32.9,2,2024-07-01
39.5798,-119.5068,331.0,16.2,1,2024-07-01
41.8518,-118.5444,372.3,522.0,3,2024-07-07
41.8619,-118.5165,375.1,568.5,3,2024-07-07
41.8527,-118.5527,364.4,383.7,3,2024-07-07
41.8759,-118.5225,362.0,349.6,3,2024-07-07
41.8667,-118.5591,362.0,342.9,3,2024-07-07
41.8896,-118.5296,344.7,148.1,3,2024-07-07
41.8806,-118.5652,340.2,98.4,3,2024-07-07
41.8214,-118.5106,379.0,1174.2,3,2024-07-07
41.8198,-118.5631,365.0,706.4,3,2024-07-07
41.8389,-118.5136,356.0,489.6,3,2024-07-07
41.8373,-118.5639,381.7,1230.7,3,2024-07-07
41.8563,-118.5147,353.0,418.4,3,2024-07-07
41.8251,-118.4716,335.5,156.5,3,2024-07-07
41.8239,-118.5188,381.4,1260.8,3,2024-07-07
41.8225,-118.5727,363.2,652.1,3,2024-07-07
41.8413,-118.5214,362.1,638.7,3,2024-07-07
41.8399,-118.5731,372.8,913.0,3,2024-07-07
41.8588,-118.5223,348.4,334.2,3,2024-07-07
40.0162,-114.5194,323.7,29.1,2,2024-07-08
40.0188,-114.5051,331.9,43.1,2,2024-07-08
40.0214,-114.4904,305.9,8.7,1,2024-07-08
39.1397,-116.4904,303.0,11.5,1,2024-07-08
40.0259,-114.5225,316.5,19.7,1,2024-07-08
40.0154,-114.5136,344.9,72.8,3,2024-07-08
40.0284,-114.5083,323.2,28.7,2,2024-07-08
40.018,-114.499,324.2,30.1,2,2024-07-08
39.1436,-116.4915,331.4,8.8,1,2024-07-08
40.4749,-115.5959,301.4,7.9,1,2024-07-10
40.7038,-119.6972,341.9,73.3,3,2024-07-22
40.7088,-119.6746,339.6,66.3,3,2024-07-22
40.7652,-119.7062,331.2,111.6,3,2024-07-24
40.7549,-119.7461,351.9,335.4,3,2024-07-24
40.7696,-119.7538,330.9,106.4,3,2024-07-24
40.7751,-119.719,345.0,249.2,3,2024-07-24
40.7645,-119.7592,350.5,315.3,3,2024-07-24
40.7645,-119.7054,368.5,768.8,3,2024-07-24
40.7588,-119.7473,374.5,910.0,3,2024-07-24
40.7607,-119.7011,338.1,216.7,3,2024-07-24
40.786,-119.76,331.6,119.4,3,2024-07-24
40.7795,-119.7518,387.5,1323.5,3,2024-07-24
40.7812,-119.7059,366.9,725.4,3,2024-07-24
40.7627,-119.7516,384.6,1224.9,3,2024-07-24
40.7946,-119.7246,309.5,28.2,2,2024-07-25
40.7612,-119.7034,320.7,64.2,3,2024-07-25
40.7548,-119.7315,315.1,45.1,2,2024-07-25
40.7869,-119.7144,313.2,37.3,2,2024-07-25
40.7804,-119.7432,306.9,21.3,2,2024-07-25
40.7925,-119.7407,312.5,12.9,1,2024-07-25
40.7909,-119.728,340.3,50.3,3,2024-07-25
40.7892,-119.7153,302.1,5.9,1,2024-07-25
40.7456,-119.7008,323.7,7.2,1,2024-07-25
40.7474,-119.7124,356.3,63.7,3,2024-07-25
40.7544,-119.6985,347.0,42.0,2,2024-07-25
40.7562,-119.7101,380.1,142.2,3,2024-07-25
40.7579,-119.7217,326.2,10.5,1,2024-07-25
40.7656,-119.7017,334.4,19.0,1,2024-07-25
40.7849,-119.7087,367.0,92.3,3,2024-07-25
40.7867,-119.7204,402.4,254.9,3,2024-07-25
40.7884,-119.7319,404.2,266.4,3,2024-07-25
40.7902,-119.7435,355.3,58.7,3,2024-07-25
40.7937,-119.7065,332.3,17.1,1,2024-07-25
40.7954,-119.7181,342.8,33.0,2,2024-07-25
40.7972,-119.7296,335.7,21.2,2,2024-07-25
40.7452,-119.6957,347.4,36.4,2,2024-07-25
40.7432,-119.7077,385.8,168.5,3,2024-07-25
40.758,-119.6742,337.0,23.9,2,2024-07-25
40.7561,-119.6862,433.1,536.4,3,2024-07-25
40.7541,-119.6984,435.5,560.7,3,2024-07-25
40.7521,-119.7103,388.1,182.6,3,2024-07-25
40.7502,-119.7224,332.3,13.2,1,2024-07-25
40.765,-119.6889,384.5,167.6,3,2024-07-25
40.763,-119.7009,378.9,140.2,3,2024-07-25
40.761,-119.7129,332.9,14.4,1,2024-07-25
40.7591,-119.725,345.7,37.6,2,2024-07-25
40.7878,-119.7207,358.2,70.9,3,2024-07-25
40.7858,-119.7328,360.2,76.7,3,2024-07-25
40.7838,-119.745,328.0,11.5,1,2024-07-25
40.7967,-119.7232,332.6,19.5,1,2024-07-25
40.7947,-119.7354,351.4,54.7,3,2024-07-25
40.7927,-119.7476,340.5,32.0,2,2024-07-25
40.7314,-119.6692,344.0,50.8,3,2024-07-26
40.7298,-119.6809,309.5,8.2,1,2024-07-26
40.7464,-119.6245,308.1,7.1,1,2024-07-26
40.7448,-119.6362,323.4,19.9,1,2024-07-26
40.7417,-119.6596,315.3,12.0,1,2024-07-26
40.7402,-119.6713,349.8,61.7,3,2024-07-26
40.7386,-119.683,364.0,97.5,3,2024-07-26
40.7371,-119.6947,337.0,38.5,2,2024-07-26
40.7552,-119.6266,308.8,7.4,1,2024-07-26
40.7537,-119.6383,323.1,19.2,1,2024-07-26
