latitude,longitude,brightness,frp,frp_category,acq_date
39.348,-74.7803,305.0,14.4,1,2024-02-09
39.3593,-74.7821,301.4,9.8,1,2024-02-09
39.6949,-74.8185,328.2,46.2,2,2024-02-16
39.6965,-74.8029,304.9,14.3,1,2024-02-16
39.3433,-74.8988,307.8,10.9,1,2024-02-26
40.213,-74.5372,350.2,68.4,3,2024-03-01
39.6625,-75.0688,300.8,5.8,1,2024-03-01
40.2145,-74.5251,350.7,69.5,3,2024-03-01
40.0011,-74.7325,312.3,11.0,1,2024-03-03
40.0629,-74.5925,304.8,5.1,1,2024-03-03
40.0688,-74.7721,303.4,3.9,1,2024-03-03
40.1656,-74.6343,303.4,4.1,1,2024-03-03
40.2732,-74.0998,303.1,3.5,1,2024-03-03
40.2474,-74.2574,308.4,6.3,1,2024-03-03
40.4006,-74.5707,302.6,3.4,1,2024-03-03
40.456,-74.8563,316.5,14.5,1,2024-03-03
40.4538,-74.869,304.6,4.6,1,2024-03-03
40.5526,-74.7185,309.1,8.1,1,2024-03-03
40.5144,-74.945,305.1,6.1,1,2024-03-03
40.5235,-74.9477,306.1,6.8,1,2024-03-03
40.6635,-75.1633,305.1,5.1,1,2024-03-03
40.5546,-74.706,303.8,4.3,1,2024-03-03
39.9335,-74.8457,319.7,18.7,1,2024-03-03
39.9778,-74.6994,325.8,25.7,2,2024-03-03
39.9757,-74.7119,304.9,5.0,1,2024-03-03
39.9763,-74.765,319.3,17.1,1,2024-03-03
39.7051,-74.4321,316.7,36.2,2,2024-03-12
39.6694,-74.3784,313.4,29.9,2,2024-03-12
39.6809,-74.3869,315.4,34.8,2,2024-03-12
39.6757,-74.4106,322.6,55.0,3,2024-03-12
39.6603,-74.3462,336.4,38.8,2,2024-03-13
39.6587,-74.3587,346.9,59.3,3,2024-03-13
39.6679,-74.3606,320.3,17.3,1,2024-03-13
39.8301,-74.8792,346.8,57.2,3,2024-03-13
39.8285,-74.8912,336.6,37.9,2,2024-03-13
39.8391,-74.8811,334.8,35.3,2,2024-03-13
39.8375,-74.8932,328.4,25.8,2,2024-03-13
39.6338,-74.9177,344.0,54.6,3,2024-03-14
41.1498,-74.6368,303.0,4.1,1,2024-03-14
40.2593,-74.087,306.3,6.4,1,2024-03-14
39.6318,-74.9054,314.3,12.3,1,2024-03-14
39.4052,-75.226,305.0,4.2,1,2024-03-14
39.3179,-74.8677,315.6,10.8,1,2024-03-14
39.3088,-74.8702,324.3,21.4,2,2024-03-14
39.3067,-74.8578,320.9,17.5,1,2024-03-14
40.8157,-75.0208,309.7,11.0,1,2024-03-16
40.4799,-74.3192,302.5,3.2,1,2024-03-16
39.8742,-74.6175,303.3,6.1,1,2024-03-16
39.3566,-74.9131,315.4,40.3,2,2024-03-16
39.652,-74.595,317.1,30.3,2,2024-03-17
39.663,-74.3703,310.1,17.1,1,2024-03-17
39.6613,-74.3628,313.7,23.9,2,2024-03-17
39.6483,-74.6131,312.9,23.4,2,2024-03-17
39.745,-74.8279,322.4,41.9,2,2024-03-17
39.5482,-74.844,312.4,28.9,2,2024-03-18
40.1567,-74.5967,310.4,16.0,1,2024-03-19
40.0473,-74.4544,300.3,27.1,2,2024-03-22
40.1605,-74.5829,310.2,40.5,2,2024-03-25
39.4334,-74.6884,316.4,10.0,1,2024-04-15
39.7522,-74.9383,317.9,11.4,1,2024-04-15
39.6929,-74.2752,303.5,2.5,1,2024-04-20
40.1919,-74.5886,309.8,6.2,1,2024-04-20
39.5855,-75.2398,308.7,11.5,1,2024-04-22
40.8987,-74.5829,305.4,8.1,1,2024-04-22
40.8957,-74.5672,312.4,15.1,1,2024-04-22
40.6183,-75.145,301.1,5.5,1,2024-04-22
40.6189,-75.1504,301.6,6.0,1,2024-04-22
40.2001,-74.5723,305.1,8.8,1,2024-04-22
40.19,-74.5756,305.6,9.4,1,2024-04-22
40.1234,-74.7198,302.7,6.5,1,2024-04-22
40.7723,-74.0757,320.5,7.8,1,2024-04-29
40.2033,-74.5778,316.0,8.8,1,2024-04-29
40.0946,-74.8228,317.4,8.0,1,2024-04-29
39.915,-74.311,313.0,3.8,1,2024-05-02
39.593,-75.2267,317.7,7.6,1,2024-05-02
39.591,-75.2388,321.8,12.1,1,2024-05-02
40.5323,-74.6316,313.6,8.1,1,2024-05-21
40.7799,-74.0716,325.9,15.5,1,2024-05-24
39.7406,-75.4075,320.6,10.9,1,2024-05-26
40.5326,-74.3879,319.0,7.9,1,2024-05-28
40.5309,-74.3763,317.2,6.2,1,2024-05-28
39.6984,-74.2729,316.9,10.3,1,2024-05-28
40.5734,-74.402,317.6,8.1,1,2024-06-07
40.2969,-74.4954,317.0,7.9,1,2024-06-07
39.9772,-74.8025,318.1,10.4,1,2024-06-07
40.0118,-74.5167,310.7,9.5,1,2024-06-22
40.021,-74.5193,325.9,26.4,2,2024-06-22
40.0189,-74.5321,305.6,5.3,1,2024-06-22
40.015,-74.5077,303.0,5.6,1,2024-06-22
40.0038,-74.5109,318.8,22.1,2,2024-06-22
40.0137,-74.5129,319.8,23.9,2,2024-06-22
39.7654,-75.3815,312.9,9.0,1,2024-07-04
40.1946,-74.5644,310.7,10.2,1,2024-07-04
39.7787,-74.6209,348.8,54.9,3,2024-07-06
39.6955,-74.2727,314.1,6.6,1,2024-07-06
39.8056,-74.6138,339.1,35.0,2,2024-07-06
39.7902,-74.6012,352.8,67.3,3,2024-07-06
40.8294,-74.0584,330.7,14.0,1,2024-07-06
40.8269,-74.0644,326.5,29.5,2,2024-07-08
40.9559,-74.0719,317.5,8.0,1,2024-07-11
39.7371,-75.401,315.8,5.9,1,2024-07-11
40.1936,-74.5712,315.8,12.5,1,2024-07-13
40.1928,-74.5578,313.5,16.3,1,2024-07-14
40.1996,-74.5839,319.9,10.7,1,2024-07-16
40.3881,-74.4454,319.4,11.2,1,2024-07-28
40.5343,-74.3966,323.8,13.6,1,2024-07-30
40.3385,-74.6359,310.6,9.2,1,2024-08-12
40.3276,-74.6396,314.8,16.1,1,2024-08-12
39.7656,-75.3699,314.7,13.8,1,2024-08-12
39.4886,-74.6018,309.1,4.9,1,2024-08-14
39.4296,-75.282,311.1,5.8,1,2024-08-14
40.5909,-74.2347,321.4,9.8,1,2024-08-16
40.5476,-74.4694,323.2,14.3,1,2024-08-16
39.8586,-75.0981,311.0,5.5,1,2024-08-21
39.7921,-75.1155,309.1,6.0,1,2024-08-21
40.8844,-74.7158,307.9,6.3,1,2024-08-24
40.5212,-74.3232,317.9,9.7,1,2024-08-24
40.3895,-74.4554,314.2,11.0,1,2024-08-24
39.9108,-74.1945,300.1,12.4,1,2024-09-10
40.4535,-74.3345,315.2,10.4,1,2024-09-10
40.4444,-74.1456,318.1,14.1,1,2024-09-10
40.4468,-74.1592,318.6,14.7,1,2024-09-10
40.1291,-74.421,316.0,15.4,1,2024-09-10
40.1267,-74.7198,310.2,6.8,1,2024-09-10
40.0738,-74.5832,312.7,8.9,1,2024-09-10
40.2333,-74.3128,312.1,8.9,1,2024-09-10
39.4126,-74.5375,311.4,6.6,1,2024-09-10
39.4996,-75.2257,314.1,7.8,1,2024-09-12
40.1684,-74.6511,318.1,11.6,1,2024-09-12
40.1663,-74.6638,334.5,33.8,2,2024-09-12
40.6118,-75.1581,311.9,9.5,1,2024-09-12
39.9865,-74.4673,315.5,20.6,2,2024-09-14
40.4142,-74.4926,309.0,13.7,1,2024-10-06
40.4257,-74.4969,307.9,10.9,1,2024-10-06
39.4053,-75.2743,321.2,16.3,1,2024-10-09
40.0406,-74.8282,304.7,3.4,1,2024-10-09
40.0023,-74.4787,305.6,29.0,2,2024-10-18
40.0053,-74.4844,304.4,25.6,2,2024-10-18
40.0069,-74.4623,321.3,15.9,1,2024-10-19
40.0052,-74.4737,320.5,15.2,1,2024-10-19
39.9982,-74.4601,312.8,7.4,1,2024-10-19
39.9792,-74.4673,321.8,79.0,3,2024-10-20
39.9773,-74.4994,308.7,29.0,2,2024-10-20
39.7767,-74.6005,308.7,9.1,1,2024-10-21
39.9832,-74.4464,327.4,35.6,2,2024-10-21
39.9802,-74.462,346.4,82.8,3,2024-10-21
40.2766,-74.5654,306.2,7.0,1,2024-10-24
40.0415,-74.5975,304.4,4.8,1,2024-10-24
39.9766,-74.616,301.7,4.4,1,2024-10-24
39.9721,-74.6231,303.6,6.0,1,2024-10-24
40.0026,-74.4859,334.7,49.5,2,2024-10-26
39.9999,-74.5002,316.0,19.5,1,2024-10-26
40.7564,-74.9636,308.8,12.6,1,2024-10-26
39.9911,-74.504,303.0,11.0,1,2024-10-27
40.0022,-74.5058,303.7,12.2,1,2024-10-27
