latitude,longitude,brightness,frp,frp_category,acq_date
40.9098,-72.7503,303.4,7.3,1,2024-02-27
43.5338,-73.3868,300.9,4.4,1,2024-02-27
43.5472,-73.3638,301.6,4.9,1,2024-02-27
44.9301,-73.6797,313.4,16.3,1,2024-02-27
42.1546,-79.5966,304.8,8.0,1,2024-03-05
43.2573,-77.1283,301.9,7.6,1,2024-03-07
42.3288,-77.3218,302.4,19.8,1,2024-03-12
44.0684,-76.1204,309.7,14.3,1,2024-03-12
42.3864,-76.6016,306.8,12.3,1,2024-03-12
42.3108,-77.0396,319.7,23.5,2,2024-03-12
42.3084,-77.0462,312.2,16.7,1,2024-03-12
42.306,-77.0326,309.5,14.3,1,2024-03-12
42.2146,-76.5156,305.7,10.5,1,2024-03-12
42.2048,-76.5183,300.3,6.0,1,2024-03-12
42.1826,-76.8473,302.2,6.4,1,2024-03-12
42.1518,-79.6023,304.7,5.8,1,2024-03-13
43.1608,-77.131,306.3,5.6,1,2024-03-13
43.1591,-77.143,307.2,6.1,1,2024-03-13
40.7299,-73.3745,305.2,5.6,1,2024-03-14
40.8663,-72.7258,310.7,12.8,1,2024-03-22
44.4918,-75.7097,303.7,4.7,1,2024-04-01
41.0208,-72.485,306.6,8.3,1,2024-04-09
40.7546,-73.2002,310.0,6.7,1,2024-04-22
43.1735,-73.7369,300.8,4.1,1,2024-04-22
40.7571,-73.1863,308.0,5.5,1,2024-04-22
42.4813,-73.813,301.8,3.9,1,2024-04-22
41.6376,-74.2226,317.2,20.2,2,2024-04-22
41.6404,-74.2077,322.4,27.2,2,2024-04-22
41.1889,-74.2738,306.9,5.2,1,2024-04-24
42.4675,-75.2631,302.4,3.8,1,2024-04-25
40.8855,-72.8526,333.9,37.4,2,2024-04-29
40.883,-72.8386,326.8,25.4,2,2024-04-29
40.8837,-72.8596,312.3,6.9,1,2024-04-29
40.8813,-72.8457,334.0,37.8,2,2024-04-29
41.0733,-73.8182,315.0,8.0,1,2024-04-29
41.0712,-73.8056,319.7,12.7,1,2024-04-29
42.8551,-77.0018,302.3,3.6,1,2024-05-02
42.7023,-77.7257,310.0,7.0,1,2024-05-02
42.7078,-77.7196,306.9,5.0,1,2024-05-02
41.2316,-74.3792,311.5,4.6,1,2024-05-02
41.2298,-74.391,317.4,9.9,1,2024-05-02
41.7336,-74.4232,313.5,7.0,1,2024-05-02
42.5927,-77.0532,304.7,4.8,1,2024-05-14
42.0746,-78.4397,302.7,3.1,1,2024-05-14
42.9053,-77.3003,310.6,6.8,1,2024-05-26
42.1105,-77.2116,303.9,3.4,1,2024-05-26
42.1114,-77.1512,307.9,6.4,1,2024-05-26
42.9049,-77.3036,305.2,4.2,1,2024-05-31
43.0224,-78.385,313.6,7.9,1,2024-05-31
43.3495,-76.6203,305.0,8.7,1,2024-06-05
41.5006,-74.247,312.4,7.7,1,2024-06-07
43.1749,-73.7344,306.1,4.4,1,2024-06-14
40.6188,-74.1836,319.5,6.4,1,2024-06-14
42.1008,-75.8335,313.5,9.8,1,2024-06-17
43.0262,-77.4394,312.9,6.2,1,2024-06-17
42.9003,-73.6889,314.3,5.2,1,2024-06-19
43.3012,-78.4079,314.0,17.2,1,2024-06-20
41.9289,-74.0029,309.2,10.1,1,2024-06-22
40.7518,-73.5071,321.6,8.3,1,2024-07-01
41.3425,-74.2863,314.2,11.0,1,2024-07-01
42.4825,-73.8003,313.9,6.8,1,2024-07-06
43.045,-74.8577,310.4,3.6,1,2024-07-06
42.1549,-76.8769,311.0,15.2,1,2024-07-08
40.7769,-73.0688,317.7,8.6,1,2024-07-11
42.0794,-78.4352,312.1,9.8,1,2024-07-13
42.985,-74.4095,311.0,5.2,1,2024-07-13
42.3211,-77.6535,312.6,10.2,1,2024-07-14
43.1767,-73.7407,307.6,5.5,1,2024-07-16
42.3411,-77.3173,304.3,8.3,1,2024-07-20
44.692,-73.5164,310.3,7.1,1,2024-07-20
41.5004,-74.2462,310.0,12.3,1,2024-07-21
41.3496,-74.2803,313.7,7.7,1,2024-07-28
41.3957,-74.3403,311.8,6.2,1,2024-07-28
42.7819,-73.9841,318.2,8.9,1,2024-07-28
42.9887,-74.3983,309.2,4.6,1,2024-07-28
43.064,-73.8264,312.3,7.1,1,2024-07-28
40.6931,-73.811,319.8,7.2,1,2024-07-30
43.1731,-73.733,306.7,4.2,1,2024-08-14
40.7644,-73.1979,322.8,16.4,1,2024-08-14
40.7621,-73.1847,323.1,17.8,1,2024-08-14
40.5563,-73.919,312.6,9.6,1,2024-08-16
40.7868,-73.1432,308.3,5.5,1,2024-08-21
43.3594,-78.4844,306.5,6.6,1,2024-08-22
42.8809,-73.9699,306.0,5.9,1,2024-08-24
43.1731,-73.738,304.4,5.3,1,2024-08-24
42.6961,-77.1371,309.3,10.7,1,2024-08-27
40.8987,-73.853,311.7,5.9,1,2024-09-02
43.3041,-77.9571,308.3,7.6,1,2024-09-03
43.0316,-77.4414,303.8,4.9,1,2024-09-03
42.4618,-76.7383,313.2,9.2,1,2024-09-05
43.0003,-76.9789,307.7,4.9,1,2024-09-05
44.8273,-74.4467,304.5,6.5,1,2024-09-10
42.8945,-74.1553,302.2,4.5,1,2024-09-10
44.8481,-74.1405,305.2,5.3,1,2024-09-15
42.4789,-77.2787,312.0,9.8,1,2024-09-20
42.7393,-76.6557,306.3,5.5,1,2024-09-20
44.5674,-75.0996,305.5,6.1,1,2024-09-20
43.0212,-76.8807,310.1,6.8,1,2024-09-20
42.6928,-78.0672,307.1,5.3,1,2024-09-22
42.6938,-74.9259,302.5,2.6,1,2024-09-22
43.2212,-77.2951,318.3,42.0,2,2024-09-28
43.2223,-77.288,318.3,39.9,2,2024-09-28
43.2197,-77.2868,301.2,6.4,1,2024-09-30
43.218,-77.3026,305.0,9.9,1,2024-09-30
42.7512,-77.2489,303.9,6.0,1,2024-10-04
42.3114,-75.6763,310.0,11.0,1,2024-10-04
