latitude,longitude,brightness,frp,frp_category,acq_date
34.6069,-77.5439,302.5,9.0,1,2024-01-02
35.1037,-79.3645,306.0,8.2,1,2024-01-02
35.1156,-79.3509,318.5,19.5,1,2024-01-02
35.1559,-79.1205,306.7,10.2,1,2024-01-02
35.3886,-81.3575,305.2,8.5,1,2024-01-02
36.2915,-77.1822,304.6,12.1,1,2024-01-02
36.3081,-78.0839,314.2,18.8,1,2024-01-02
34.3199,-78.7652,308.3,11.9,1,2024-01-04
34.8131,-78.9735,302.2,7.9,1,2024-01-04
34.9313,-79.5405,302.7,9.6,1,2024-01-04
35.0458,-79.3039,319.7,24.2,2,2024-01-04
35.1595,-79.0918,301.1,7.0,1,2024-01-04
35.1656,-79.0864,307.5,12.2,1,2024-01-04
35.1418,-79.3981,314.1,18.6,1,2024-01-04
35.4992,-79.8508,309.6,13.0,1,2024-01-04
35.5088,-79.8532,321.5,27.5,2,2024-01-04
35.5065,-79.866,305.4,10.8,1,2024-01-04
36.2773,-80.8222,302.3,10.8,1,2024-01-04
35.7961,-77.8689,300.6,5.9,1,2024-01-11
35.3494,-77.478,303.4,7.2,1,2024-01-11
35.0536,-79.3448,300.1,7.3,1,2024-01-11
35.1459,-78.9474,303.9,9.7,1,2024-01-11
34.821,-80.5444,301.0,15.7,1,2024-01-18
35.8548,-78.0214,300.6,9.5,1,2024-01-18
36.4296,-76.9848,300.2,9.2,1,2024-01-18
35.1435,-78.9531,303.2,13.6,1,2024-01-18
35.3493,-79.5846,306.5,20.7,2,2024-01-18
35.8367,-80.4847,303.9,11.9,1,2024-01-19
36.4079,-77.0372,310.8,17.3,1,2024-01-21
36.3533,-76.8,307.4,17.3,1,2024-01-21
36.5328,-77.768,302.6,11.2,1,2024-01-21
36.3556,-76.8132,300.8,12.1,1,2024-01-21
34.8734,-80.243,318.6,19.8,1,2024-01-21
35.0709,-79.173,313.3,13.8,1,2024-01-21
35.0798,-79.1748,317.7,18.0,1,2024-01-21
35.0783,-79.1858,323.6,24.0,2,2024-01-21
35.4226,-79.4281,301.5,8.2,1,2024-01-21
35.964,-80.7964,303.3,41.2,2,2024-01-22
33.9847,-78.1544,307.1,9.4,1,2024-01-26
35.1252,-79.2546,301.9,4.6,1,2024-01-28
34.2654,-78.6292,382.9,164.8,3,2024-01-28
34.2638,-78.6399,309.1,7.8,1,2024-01-28
34.267,-78.6186,396.4,230.8,3,2024-01-28
35.0845,-79.2722,306.0,39.7,2,2024-01-29
34.156,-78.3882,304.0,41.3,2,2024-01-29
35.5137,-77.0867,322.5,25.0,2,2024-01-30
34.1633,-78.3814,314.4,17.9,1,2024-01-30
34.1618,-78.3863,314.2,17.4,1,2024-01-30
34.6543,-77.9975,307.0,12.9,1,2024-01-30
34.5748,-78.4484,331.6,47.8,2,2024-01-30
34.9473,-79.4124,311.4,21.1,2,2024-01-30
34.9444,-79.4274,305.8,14.2,1,2024-01-30
35.0289,-79.2624,303.3,9.7,1,2024-01-30
35.0262,-79.2771,307.2,13.6,1,2024-01-30
35.0352,-79.2707,311.5,18.8,1,2024-01-30
35.4988,-76.8474,307.6,10.0,1,2024-01-30
35.4969,-76.8589,306.1,8.8,1,2024-01-30
35.0427,-79.4618,320.0,33.4,2,2024-01-30
35.5118,-77.0984,305.6,9.3,1,2024-01-30
35.6372,-77.3094,303.0,6.6,1,2024-01-30
35.6352,-77.3214,301.8,5.7,1,2024-01-30
36.4719,-77.4718,305.9,10.5,1,2024-01-30
35.5944,-81.1582,301.4,7.0,1,2024-01-31
35.5965,-81.1702,306.9,11.0,1,2024-01-31
35.5896,-81.1652,302.8,8.9,1,2024-01-31
35.1083,-77.8314,304.3,16.9,1,2024-02-01
35.1048,-77.8255,302.6,15.2,1,2024-02-01
36.424,-76.0785,302.1,6.5,1,2024-02-02
34.6367,-77.5154,303.7,48.7,2,2024-02-03
35.1825,-79.0342,316.4,18.1,1,2024-02-04
35.1844,-79.0229,308.9,11.7,1,2024-02-04
34.4971,-78.4497,347.7,63.4,3,2024-02-04
34.4953,-78.4608,308.7,11.3,1,2024-02-04
34.506,-78.4518,314.2,16.1,1,2024-02-04
35.0786,-79.6797,304.0,23.6,2,2024-02-05
35.5532,-80.3466,315.9,41.9,2,2024-02-05
35.5513,-80.3691,300.5,11.1,1,2024-02-05
35.6507,-80.5691,304.5,16.2,1,2024-02-05
35.6488,-80.591,300.5,9.9,1,2024-02-05
35.5438,-81.9414,302.8,10.1,1,2024-02-05
34.9458,-79.3993,309.3,21.7,2,2024-02-06
34.9421,-79.4177,313.3,28.3,2,2024-02-06
34.943,-79.4053,318.1,40.2,2,2024-02-06
35.0925,-79.0686,311.9,24.2,2,2024-02-06
35.0912,-79.0732,310.4,21.4,2,2024-02-06
35.1416,-80.2284,300.1,13.2,1,2024-02-06
35.7958,-78.1406,300.5,8.9,1,2024-02-06
35.5011,-80.3642,317.6,44.4,2,2024-02-06
35.4969,-80.3847,304.9,19.5,1,2024-02-06
35.4937,-80.3688,314.7,37.9,2,2024-02-06
35.5056,-80.3724,305.2,19.1,1,2024-02-06
34.7457,-77.9781,319.3,26.1,2,2024-02-07
36.3468,-77.6228,302.4,10.0,1,2024-02-07
36.0009,-77.1775,305.2,14.1,1,2024-02-07
35.9984,-77.1637,300.0,9.8,1,2024-02-07
35.5215,-77.6816,310.6,16.4,1,2024-02-07
35.1915,-77.7504,301.8,8.9,1,2024-02-07
34.9134,-77.7574,303.3,9.8,1,2024-02-07
35.1029,-79.0791,301.3,7.4,1,2024-02-07
35.101,-79.0673,303.8,9.3,1,2024-02-07
34.7419,-78.3198,300.7,8.4,1,2024-02-07
34.9709,-77.6792,304.0,13.8,1,2024-02-07
34.9692,-77.6973,301.5,10.6,1,2024-02-07
34.8126,-79.3834,311.2,16.5,1,2024-02-07
