latitude,longitude,brightness,frp,frp_category,acq_date
41.4602,-81.6748,301.7,10.0,1,2024-01-03
41.6227,-84.7279,305.0,20.2,2,2024-01-04
41.4582,-81.6739,301.2,6.5,1,2024-02-04
40.703,-80.6738,303.8,9.4,1,2024-02-07
40.7535,-81.4374,301.3,3.6,1,2024-02-09
40.8677,-83.9938,301.9,4.6,1,2024-02-09
41.2743,-84.2491,302.5,7.0,1,2024-02-09
39.0861,-84.0982,320.6,19.5,1,2024-02-14
39.486,-84.3875,302.8,5.0,1,2024-02-14
40.1781,-83.7312,336.5,37.7,2,2024-02-14
40.1886,-83.7219,301.3,4.4,1,2024-02-14
40.1869,-83.7334,314.8,13.6,1,2024-02-14
40.5003,-83.6171,300.3,4.2,1,2024-02-14
40.6368,-84.3787,300.8,4.6,1,2024-02-14
41.0905,-81.5223,300.9,14.1,1,2024-02-15
41.4677,-81.6685,304.9,11.4,1,2024-02-21
38.8313,-83.6633,301.2,6.0,1,2024-02-21
39.8725,-80.8177,302.1,4.5,1,2024-02-21
39.8867,-83.8005,302.1,4.1,1,2024-02-21
40.3831,-84.4041,302.5,5.4,1,2024-02-21
40.8451,-82.4179,301.6,5.1,1,2024-02-21
40.5376,-84.5938,309.6,10.5,1,2024-02-21
41.0134,-84.5931,302.2,4.1,1,2024-02-21
41.465,-81.6662,308.4,14.6,1,2024-02-26
40.6781,-82.0502,304.9,5.7,1,2024-02-26
41.0954,-82.6744,313.9,12.5,1,2024-02-26
41.2604,-82.3886,306.4,9.0,1,2024-02-27
41.4524,-81.6684,301.2,4.4,1,2024-02-27
41.2549,-82.3003,301.1,5.1,1,2024-02-27
39.7215,-84.1107,304.1,7.1,1,2024-03-03
39.7188,-84.0961,315.4,19.2,1,2024-03-03
41.267,-84.2654,304.8,26.7,2,2024-03-03
41.4612,-81.6738,312.2,6.9,1,2024-03-04
41.4626,-81.68,309.2,7.0,1,2024-03-05
41.4606,-81.6678,308.9,6.7,1,2024-03-05
39.8332,-82.9412,300.5,3.1,1,2024-03-11
41.4523,-81.6802,305.1,5.4,1,2024-03-11
41.4611,-81.6826,303.9,4.7,1,2024-03-11
41.4631,-81.6789,303.5,3.7,1,2024-03-12
41.4527,-81.6756,304.5,4.7,1,2024-03-12
39.7252,-83.9532,300.8,3.8,1,2024-03-12
39.4523,-82.1578,304.7,6.0,1,2024-03-12
39.799,-84.0418,308.7,18.3,1,2024-03-13
39.8037,-84.0636,311.6,23.7,2,2024-03-13
39.3399,-82.3006,319.2,26.4,2,2024-03-13
39.3411,-82.3058,317.2,23.8,2,2024-03-13
39.4424,-82.1374,318.3,25.0,2,2024-03-13
39.4391,-82.1544,310.9,13.9,1,2024-03-13
40.7519,-81.4395,306.8,6.3,1,2024-03-13
40.8458,-82.8876,305.6,6.9,1,2024-03-13
41.4575,-81.6746,308.4,6.5,1,2024-03-13
41.5674,-84.0435,307.0,14.6,1,2024-03-16
41.5707,-84.05,308.3,16.6,1,2024-03-16
40.7548,-81.4287,303.3,4.2,1,2024-03-16
40.7533,-81.441,306.8,6.7,1,2024-03-16
