latitude,longitude,brightness,frp,frp_category,acq_date
35.3719,-96.26,311.8,14.1,1,2024-01-01
36.2091,-98.6705,303.7,11.8,1,2024-01-01
36.6636,-100.4136,328.9,55.1,3,2024-01-01
35.4559,-94.4922,321.2,22.0,2,2024-01-03
35.4543,-94.4815,301.1,7.0,1,2024-01-03
34.3854,-95.6206,303.1,8.8,1,2024-01-03
34.0505,-95.1296,300.1,6.4,1,2024-01-03
34.0445,-95.1183,332.1,53.2,3,2024-01-03
34.0417,-95.1331,317.6,26.3,2,2024-01-03
34.0548,-95.121,318.6,28.6,2,2024-01-03
34.052,-95.1359,311.5,18.8,1,2024-01-03
35.4534,-94.4927,301.3,8.2,1,2024-01-03
34.3761,-95.626,311.8,20.6,2,2024-01-10
34.6381,-98.3556,301.9,8.8,1,2024-01-11
35.0685,-95.9218,303.7,11.0,1,2024-01-13
35.1187,-99.494,302.9,9.5,1,2024-01-16
34.384,-96.8142,301.0,29.7,2,2024-01-17
35.9369,-96.6769,300.2,8.4,1,2024-01-18
34.391,-96.8241,303.5,9.6,1,2024-01-18
34.3889,-96.812,320.8,25.7,2,2024-01-18
34.2067,-95.3289,308.4,12.3,1,2024-01-18
34.3831,-96.8163,318.7,18.6,1,2024-01-18
34.9445,-97.2328,328.4,28.9,2,2024-01-18
34.943,-97.2439,307.3,8.8,1,2024-01-18
34.0945,-95.8228,302.5,9.3,1,2024-01-20
34.3957,-96.833,309.4,15.3,1,2024-01-20
34.4086,-95.6165,317.4,20.7,2,2024-01-20
34.1797,-97.519,304.8,17.1,1,2024-01-29
34.1727,-97.5093,306.5,22.2,2,2024-01-29
34.4375,-97.2097,306.6,7.6,1,2024-01-30
34.6243,-98.3804,313.6,11.5,1,2024-01-30
34.4358,-97.1987,301.8,4.8,1,2024-01-30
34.2167,-97.4581,317.1,16.0,1,2024-01-30
33.8783,-96.8631,307.0,5.9,1,2024-01-30
34.2076,-95.8432,308.1,8.2,1,2024-01-30
34.206,-95.8561,306.1,6.7,1,2024-01-30
34.1058,-97.3132,306.4,4.4,1,2024-01-30
34.2198,-97.2825,310.6,8.0,1,2024-01-30
34.5247,-95.9234,311.3,10.9,1,2024-01-30
34.5298,-95.964,319.7,18.4,1,2024-01-30
34.5411,-95.9528,331.6,35.3,2,2024-01-30
35.1561,-97.6486,314.4,11.1,1,2024-01-30
35.6019,-96.9594,305.8,6.3,1,2024-01-30
35.6004,-96.9717,303.8,4.9,1,2024-01-30
35.6517,-99.2783,317.4,11.5,1,2024-01-30
35.6501,-99.2891,332.8,28.6,2,2024-01-30
36.0204,-96.5338,309.8,10.4,1,2024-01-30
36.1329,-96.5993,301.8,4.1,1,2024-01-30
35.903,-99.2612,308.8,5.3,1,2024-01-30
35.9014,-99.2721,306.5,3.9,1,2024-01-30
36.2763,-96.4372,302.9,5.6,1,2024-01-30
35.9118,-99.2632,309.3,5.9,1,2024-01-30
35.9102,-99.2741,305.9,3.9,1,2024-01-30
36.1996,-97.4634,318.3,16.5,1,2024-01-30
36.1981,-97.4754,303.9,4.3,1,2024-01-30
36.2089,-97.4653,312.0,10.2,1,2024-01-30
36.0883,-98.5254,321.3,17.8,1,2024-01-30
36.0972,-98.5273,338.0,39.3,2,2024-01-30
36.3,-98.6624,316.3,12.8,1,2024-01-30
34.5343,-95.9272,301.2,7.9,1,2024-01-31
36.5695,-100.2578,336.9,73.6,3,2024-01-31
36.5723,-100.2426,300.4,14.9,1,2024-01-31
36.0679,-99.9532,310.4,37.5,2,2024-01-31
36.0623,-99.9275,318.6,62.0,3,2024-01-31
34.4222,-97.1913,306.1,42.3,2,2024-01-31
33.9527,-97.3761,304.3,34.4,2,2024-01-31
33.9541,-97.3843,305.5,41.1,2,2024-01-31
34.8576,-94.7944,302.2,20.4,2,2024-01-31
34.8589,-94.7993,302.7,21.8,2,2024-01-31
34.4189,-97.1869,304.9,38.1,2,2024-01-31
33.9558,-97.3853,314.0,87.1,3,2024-01-31
33.9385,-97.3841,325.7,179.2,3,2024-01-31
33.942,-97.3925,331.6,246.2,3,2024-01-31
34.0618,-96.7654,311.1,11.3,1,2024-02-01
34.1245,-96.8866,303.5,6.3,1,2024-02-01
34.9451,-97.9352,301.8,5.3,1,2024-02-01
34.9436,-97.9215,300.5,4.5,1,2024-02-01
34.1988,-97.4069,301.0,3.9,1,2024-02-01
34.1971,-96.925,304.8,4.3,1,2024-02-01
34.0457,-96.8889,308.3,6.4,1,2024-02-01
34.1191,-96.8883,306.3,5.1,1,2024-02-01
34.088,-97.1971,307.1,5.4,1,2024-02-01
34.3894,-95.6131,308.5,7.8,1,2024-02-01
34.3878,-95.6237,325.8,23.4,2,2024-02-01
34.4714,-95.2527,302.5,3.6,1,2024-02-01
34.362,-95.9895,305.9,5.1,1,2024-02-01
34.4802,-95.2546,303.1,4.2,1,2024-02-01
34.4787,-95.2653,308.0,7.3,1,2024-02-01
34.4615,-95.9396,326.3,21.7,2,2024-02-01
34.4599,-95.9503,323.1,18.0,1,2024-02-01
34.4703,-95.9416,321.5,16.8,1,2024-02-01
34.4687,-95.9523,317.7,13.1,1,2024-02-01
34.5874,-96.3264,324.5,20.2,2,2024-02-01
34.5857,-96.3373,314.8,10.7,1,2024-02-01
34.8666,-94.8024,309.7,8.1,1,2024-02-01
34.8489,-95.2593,309.3,7.8,1,2024-02-01
34.8293,-97.3171,305.5,4.4,1,2024-02-01
34.8275,-97.3286,304.7,3.8,1,2024-02-01
34.8217,-99.0713,308.3,9.6,1,2024-02-01
34.8194,-99.0846,310.3,11.5,1,2024-02-01
35.6705,-95.1907,304.3,3.8,1,2024-02-01
35.6778,-95.2034,305.6,4.8,1,2024-02-01
34.0334,-95.3358,304.1,3.8,1,2024-02-01
34.1215,-95.3067,308.4,6.9,1,2024-02-01
34.0503,-96.0286,309.3,7.2,1,2024-02-01
33.9715,-97.0631,335.2,34.6,2,2024-02-01
33.9805,-97.0652,361.8,95.3,3,2024-02-01
33.9787,-97.0765,329.9,25.9,2,2024-02-01
33.9931,-97.0398,313.5,10.3,1,2024-02-01
33.9913,-97.051,326.6,22.1,2,2024-02-01
33.9894,-97.0623,328.7,25.4,2,2024-02-01
33.9876,-97.0736,323.5,19.4,1,2024-02-01
33.9985,-97.0645,340.6,44.8,2,2024-02-01
33.9967,-97.0758,315.6,11.2,1,2024-02-01
34.0562,-96.7643,309.2,6.6,1,2024-02-01
35.6461,-99.3175,309.0,8.0,1,2024-02-01
36.6728,-97.0901,307.5,5.6,1,2024-02-01
36.6746,-97.0789,307.1,5.5,1,2024-02-01
36.5156,-96.1708,316.4,13.5,1,2024-02-01
35.7198,-95.6217,311.4,9.0,1,2024-02-01
35.7544,-97.3308,303.9,3.5,1,2024-02-01
35.6484,-99.3041,319.9,20.4,2,2024-02-01
35.6491,-99.3108,326.8,29.8,2,2024-02-01
36.5369,-94.6668,300.1,10.0,1,2024-02-02
34.2653,-97.4014,302.1,25.2,2,2024-02-05
34.4834,-95.3769,305.1,7.1,1,2024-02-06
34.4866,-95.3982,302.7,5.5,1,2024-02-06
34.485,-95.3876,307.7,8.8,1,2024-02-06
34.1204,-95.3033,314.2,14.0,1,2024-02-06
34.123,-97.384,300.4,4.2,1,2024-02-06
35.3014,-95.9404,306.4,10.8,1,2024-02-06
34.1151,-95.3063,305.9,6.5,1,2024-02-06
34.4925,-95.3772,303.5,4.1,1,2024-02-06
34.5308,-95.3547,311.5,11.2,1,2024-02-06
34.5293,-95.3666,305.6,6.4,1,2024-02-06
36.7848,-96.3881,320.4,33.6,2,2024-02-08
36.7865,-96.4049,313.8,23.0,2,2024-02-08
36.789,-96.3978,321.4,33.1,2,2024-02-08
34.0542,-96.7644,307.0,11.5,1,2024-02-08
33.9266,-95.9165,306.2,8.9,1,2024-02-08
34.2021,-96.9252,306.0,6.2,1,2024-02-08
34.4563,-96.8358,313.8,13.2,1,2024-02-08
34.9369,-96.1385,310.2,8.7,1,2024-02-08
34.935,-96.1502,310.3,8.8,1,2024-02-08
34.6661,-98.4931,307.0,8.6,1,2024-02-08
35.3799,-95.8756,308.6,7.0,1,2024-02-08
35.5867,-95.0396,309.7,7.3,1,2024-02-08
35.9476,-94.7904,324.1,19.9,1,2024-02-08
36.2053,-94.7445,327.0,22.9,2,2024-02-08
36.2037,-94.7554,330.9,27.6,2,2024-02-08
36.2141,-94.7465,325.3,21.0,2,2024-02-08
36.2125,-94.7574,344.7,50.1,3,2024-02-08
36.2108,-94.7683,311.5,8.5,1,2024-02-08
35.7144,-98.312,310.4,13.0,1,2024-02-08
36.379,-94.8197,315.3,11.6,1,2024-02-08
36.4425,-97.1025,335.6,41.7,2,2024-02-08
36.4405,-97.1149,337.3,44.8,2,2024-02-08
36.4463,-97.109,322.7,23.2,2,2024-02-08
36.7439,-95.5234,313.4,15.9,1,2024-02-13
36.7396,-95.5308,303.1,8.1,1,2024-02-13
36.2158,-95.8299,300.4,5.7,1,2024-02-13
36.0244,-96.5325,301.0,7.6,1,2024-02-13
34.4965,-96.7088,355.2,72.9,3,2024-02-13
34.4949,-96.7195,382.2,162.3,3,2024-02-13
34.4933,-96.7302,306.5,5.2,1,2024-02-13
34.6776,-96.7946,301.8,3.9,1,2024-02-13
34.676,-96.8054,300.4,3.1,1,2024-02-13
33.9672,-97.2609,304.3,4.8,1,2024-02-13
34.3587,-97.0044,304.5,5.6,1,2024-02-13
34.357,-97.0152,305.0,6.1,1,2024-02-13
34.417,-96.8618,302.3,4.2,1,2024-02-13
35.6313,-99.8784,307.0,8.6,1,2024-02-13
36.7517,-98.2909,323.5,21.6,2,2024-02-13
36.8007,-96.9344,313.4,11.2,1,2024-02-13
36.7759,-96.9174,305.5,6.0,1,2024-02-13
36.8624,-94.8046,302.6,5.3,1,2024-02-13
36.5238,-96.2933,317.6,15.0,1,2024-02-13
36.5253,-96.2824,315.2,12.9,1,2024-02-13
36.0483,-98.5732,304.1,5.5,1,2024-02-13
35.4593,-95.4665,314.7,13.3,1,2024-02-13
35.4512,-94.4871,304.4,5.9,1,2024-02-13
35.4527,-94.4755,302.4,4.7,1,2024-02-13
34.7832,-97.7273,304.6,5.9,1,2024-02-13
36.8856,-98.2098,310.0,15.1,1,2024-02-14
36.8827,-98.1946,317.6,25.5,2,2024-02-14
35.2438,-99.9101,300.7,5.1,1,2024-02-14
35.2341,-99.9126,300.4,4.9,1,2024-02-14
33.8776,-94.9137,301.5,23.9,2,2024-02-14
34.5342,-95.3752,313.2,31.0,2,2024-02-15
34.5324,-95.3561,314.7,34.7,2,2024-02-15
36.5055,-98.4458,304.9,12.1,1,2024-02-15
34.5058,-95.4241,316.5,15.0,1,2024-02-15
34.524,-95.3759,314.6,13.4,1,2024-02-15
34.5219,-95.3884,319.1,17.9,1,2024-02-15
34.8257,-94.6882,310.2,9.1,1,2024-02-15
34.9877,-94.4844,306.6,5.3,1,2024-02-15
34.9858,-94.496,307.7,5.9,1,2024-02-15
35.1038,-94.5198,309.4,6.5,1,2024-02-15
35.1019,-94.5315,316.5,12.9,1,2024-02-15
35.2551,-94.7281,308.0,6.5,1,2024-02-15
35.2788,-94.7586,306.6,5.4,1,2024-02-15
35.2631,-94.8534,305.7,4.6,1,2024-02-15
35.2776,-94.882,309.7,7.8,1,2024-02-15
35.3218,-95.6653,301.7,4.8,1,2024-02-15
35.4599,-95.4555,313.3,11.6,1,2024-02-15
35.4577,-95.468,324.1,24.4,2,2024-02-15
35.4634,-95.4632,324.4,26.2,2,2024-02-15
35.4613,-95.4757,303.4,4.8,1,2024-02-15
35.6834,-95.1149,307.8,7.7,1,2024-02-15
35.6846,-95.1657,313.6,11.9,1,2024-02-15
35.6826,-95.1779,306.9,6.2,1,2024-02-15
35.6919,-95.1802,369.3,133.2,3,2024-02-15
35.6898,-95.1924,340.1,48.9,2,2024-02-15
35.6988,-95.176,330.1,32.4,2,2024-02-15
35.6967,-95.1882,351.0,75.2,3,2024-02-15
35.7913,-94.7391,304.9,4.3,1,2024-02-15
35.8873,-94.5571,303.8,3.5,1,2024-02-15
35.8955,-94.5526,307.9,6.5,1,2024-02-15
35.8936,-94.5642,304.3,4.0,1,2024-02-15
36.0969,-94.6876,304.0,3.9,1,2024-02-15
36.1531,-94.6844,311.0,9.8,1,2024-02-15
35.5256,-98.549,320.2,40.0,2,2024-02-15
35.522,-98.567,300.7,8.6,1,2024-02-15
36.3609,-94.6643,302.5,4.1,1,2024-02-15
35.9295,-97.4166,302.4,7.0,1,2024-02-15
36.0588,-97.2194,304.3,8.7,1,2024-02-15
36.069,-97.2222,312.7,18.2,1,2024-02-15
35.6914,-99.9101,323.9,60.3,3,2024-02-15
36.4267,-97.8116,311.3,18.5,1,2024-02-15
36.4237,-97.8276,305.7,11.6,1,2024-02-15
36.4302,-97.8178,311.2,16.9,1,2024-02-15
36.5051,-98.4407,301.6,7.3,1,2024-02-15
36.5017,-98.458,300.2,5.9,1,2024-02-15
34.5199,-95.3767,303.6,7.4,1,2024-02-18
34.7264,-98.1705,305.5,10.2,1,2024-02-18
34.033,-96.1887,301.7,6.2,1,2024-02-18
34.0315,-96.1779,300.1,5.2,1,2024-02-18
34.0255,-96.1893,300.4,3.7,1,2024-02-18
34.283,-94.7445,303.3,8.8,1,2024-02-18
34.2799,-94.7719,300.5,6.4,1,2024-02-18
34.2783,-94.7855,308.3,13.2,1,2024-02-18
34.0414,-96.9883,313.0,11.7,1,2024-02-18
34.0399,-96.9994,301.5,3.8,1,2024-02-18
34.34,-95.4864,302.4,7.2,1,2024-02-18
34.4523,-94.687,306.3,11.5,1,2024-02-18
34.3794,-95.9151,308.6,10.3,1,2024-02-18
34.5122,-95.3807,301.5,5.1,1,2024-02-18
34.5218,-95.3826,304.2,7.6,1,2024-02-18
34.4208,-96.4017,303.0,5.5,1,2024-02-18
34.4161,-96.7999,303.0,4.7,1,2024-02-18
