latitude,longitude,brightness,frp,frp_category,acq_date
43.8235,-119.1197,314.1,20.7,2,2024-01-01
42.9951,-121.3537,318.2,25.3,2,2024-01-03
42.5133,-121.8346,305.0,13.8,1,2024-01-03
42.5256,-121.8234,305.2,13.8,1,2024-01-03
42.5229,-121.8382,337.1,59.3,3,2024-01-03
43.0044,-121.3571,314.9,21.7,2,2024-01-03
43.0019,-121.3712,308.9,15.6,1,2024-01-03
43.0014,-121.3602,321.7,30.8,2,2024-01-04
42.999,-121.3744,328.3,40.6,2,2024-01-04
44.7327,-119.9404,315.0,19.8,1,2024-01-04
42.9921,-121.3568,304.2,14.0,1,2024-01-04
42.5176,-121.8337,308.8,57.2,3,2024-01-05
42.5185,-121.8504,300.4,21.9,2,2024-01-05
42.5216,-121.8563,303.1,24.3,2,2024-01-05
42.365,-121.9324,314.9,19.9,1,2024-01-07
43.2662,-124.0504,302.5,11.7,1,2024-01-15
42.2127,-122.8651,302.3,11.1,1,2024-01-25
42.2237,-122.8373,303.3,8.2,1,2024-01-28
42.3512,-119.7411,304.3,9.6,1,2024-01-29
43.9436,-121.0515,312.6,16.9,1,2024-01-29
43.9408,-121.0663,313.9,18.3,1,2024-01-29
42.147,-121.9426,314.6,15.3,1,2024-02-01
42.1453,-121.9544,315.8,16.8,1,2024-02-01
45.2279,-123.1677,300.5,5.1,1,2024-02-01
43.3382,-123.0612,307.0,13.5,1,2024-02-03
42.2398,-122.8612,309.0,12.4,1,2024-02-06
42.2307,-122.8593,311.0,14.3,1,2024-02-06
42.3282,-123.0112,312.1,16.7,1,2024-02-08
42.2233,-122.8614,312.5,16.8,1,2024-02-08
42.4762,-122.9041,317.2,20.2,2,2024-02-08
42.223,-120.5217,324.3,34.2,2,2024-02-10
42.2294,-122.8708,305.1,17.4,1,2024-02-10
42.2281,-122.8653,306.2,18.4,1,2024-02-10
45.8625,-117.5675,300.1,7.8,1,2024-02-10
42.5534,-122.7101,311.4,11.9,1,2024-02-13
42.2872,-122.9618,309.7,11.0,1,2024-02-13
42.5518,-122.7219,308.8,9.7,1,2024-02-13
42.0403,-123.5636,314.9,49.2,2,2024-02-21
42.3775,-120.2924,303.3,16.9,1,2024-02-24
44.8891,-119.8088,300.7,5.6,1,2024-02-24
42.2199,-120.5228,336.3,50.1,3,2024-02-25
42.2182,-120.537,327.6,34.9,2,2024-02-25
42.2294,-120.5251,330.1,40.1,2,2024-02-25
44.4818,-119.8226,306.3,27.6,2,2024-03-07
45.226,-123.1701,304.2,6.9,1,2024-03-08
42.2298,-122.8375,311.6,14.0,1,2024-03-09
43.7664,-117.0444,303.6,3.5,1,2024-03-12
43.8292,-117.0953,300.5,4.7,1,2024-03-13
42.2316,-122.8413,306.2,23.7,2,2024-03-13
45.2318,-123.1687,300.4,4.8,1,2024-03-14
45.8895,-119.5813,314.4,16.8,1,2024-03-14
45.5639,-117.5147,302.3,5.2,1,2024-03-14
42.2264,-122.8473,304.1,5.8,1,2024-03-15
43.6594,-121.5014,301.0,6.2,1,2024-03-15
44.8711,-121.0775,310.8,7.7,1,2024-03-15
45.7062,-119.4562,308.4,7.0,1,2024-03-15
45.0663,-119.8672,324.0,20.9,2,2024-03-16
45.0645,-119.8549,309.9,8.7,1,2024-03-16
44.3556,-117.6555,306.4,7.2,1,2024-03-16
44.0778,-120.9689,309.7,6.6,1,2024-03-16
42.3458,-123.0231,300.1,5.4,1,2024-03-16
42.3442,-123.0109,302.5,6.5,1,2024-03-16
43.9842,-117.355,311.1,18.7,1,2024-03-16
43.8774,-120.4661,306.6,37.0,2,2024-03-16
45.945,-118.4787,309.7,22.5,2,2024-03-17
43.9004,-120.4575,303.8,22.5,2,2024-03-17
43.8886,-120.4346,303.7,22.0,2,2024-03-17
43.8963,-120.4665,325.6,101.3,3,2024-03-17
43.9658,-117.3501,310.7,5.0,1,2024-03-17
43.8847,-120.4556,317.1,11.4,1,2024-03-17
43.8828,-120.4679,357.0,76.0,3,2024-03-17
43.8809,-120.4802,327.8,22.1,2,2024-03-17
43.879,-120.4925,318.5,13.2,1,2024-03-17
43.8938,-120.4651,314.6,10.3,1,2024-03-17
44.4885,-118.0107,314.1,7.6,1,2024-03-17
44.4868,-118.0234,317.3,10.4,1,2024-03-17
44.8304,-120.6583,308.7,4.2,1,2024-03-17
44.8284,-120.6708,313.2,7.6,1,2024-03-17
45.5042,-117.425,310.6,5.7,1,2024-03-17
45.1653,-122.9129,305.7,4.8,1,2024-03-17
45.4242,-122.2864,306.0,5.2,1,2024-03-17
44.0344,-119.5841,314.5,17.1,1,2024-03-18
44.0327,-119.57,316.2,19.0,1,2024-03-18
44.7999,-122.6162,301.5,6.7,1,2024-03-18
44.0935,-119.3111,308.3,9.9,1,2024-03-18
44.0919,-119.2976,307.7,10.1,1,2024-03-18
44.0482,-119.5749,338.3,46.8,2,2024-03-18
44.0389,-119.5771,361.1,106.5,3,2024-03-18
44.0297,-119.5924,302.3,38.0,2,2024-03-18
43.7464,-123.6586,317.3,25.9,2,2024-03-18
43.7355,-123.6567,327.8,45.2,2,2024-03-18
45.2323,-123.1631,304.1,6.2,1,2024-03-19
45.4315,-122.2873,302.7,4.9,1,2024-03-19
45.0749,-123.391,302.8,6.5,1,2024-03-19
44.0388,-119.5907,340.9,99.1,3,2024-03-19
44.0373,-119.5749,306.3,14.5,1,2024-03-19
44.0305,-119.6002,314.6,27.3,2,2024-03-19
