latitude,longitude,brightness,acq_date
40.8295,-79.9444,310.2,2024-02-06
40.8285,-79.9338,315.3,2024-02-06
40.0668,-80.4435,312.7,2024-02-06
40.0635,-80.4608,313.8,2024-02-06
40.8325,-79.9284,303.0,2024-02-06
40.9614,-80.4338,300.7,2024-02-09
40.3858,-79.8604,301.4,2024-02-21
40.3937,-79.8558,309.6,2024-02-25
40.396,-79.8518,301.1,2024-02-26
40.0011,-74.7325,312.3,2024-03-03
40.0688,-74.7721,303.4,2024-03-03
39.9681,-76.2169,304.0,2024-03-03
40.1817,-76.0101,304.6,2024-03-03
40.456,-74.8563,316.5,2024-03-03
40.4538,-74.869,304.6,2024-03-03
40.5526,-74.7185,309.1,2024-03-03
40.5144,-74.945,305.1,2024-03-03
40.5235,-74.9477,306.1,2024-03-03
40.4285,-76.2611,303.4,2024-03-03
40.4583,-76.2103,306.4,2024-03-03
40.4557,-76.2245,305.9,2024-03-03
40.4373,-76.3247,302.6,2024-03-03
40.4346,-76.3391,303.4,2024-03-03
40.424,-76.3969,306.7,2024-03-03
40.6635,-75.1633,305.1,2024-03-03
40.4735,-76.3514,318.0,2024-03-03
40.5546,-74.706,303.8,2024-03-03
39.9335,-74.8457,319.7,2024-03-03
39.9778,-74.6994,325.8,2024-03-03
39.9757,-74.7119,304.9,2024-03-03
39.9763,-74.765,319.3,2024-03-03
42.1546,-79.5966,304.8,2024-03-05
39.8107,-75.6511,303.8,2024-03-12
42.2146,-76.5156,305.7,2024-03-12
42.2048,-76.5183,300.3,2024-03-12
42.1826,-76.8473,302.2,2024-03-12
39.8214,-75.6477,334.7,2024-03-12
39.818,-75.6303,325.8,2024-03-12
39.8073,-75.6338,300.5,2024-03-12
39.8301,-74.8792,346.8,2024-03-13
39.8285,-74.8912,336.6,2024-03-13
39.8391,-74.8811,334.8,2024-03-13
39.8375,-74.8932,328.4,2024-03-13
40.4201,-76.7057,327.1,2024-03-13
40.6495,-77.0325,305.1,2024-03-13
40.6667,-76.977,305.0,2024-03-13
40.665,-76.9885,318.0,2024-03-13
40.7602,-79.5725,317.8,2024-03-13
42.1518,-79.6023,304.7,2024-03-13
41.4429,-77.3198,302.1,2024-03-14
41.4413,-77.308,301.3,2024-03-14
40.6095,-75.3227,310.4,2024-03-14
40.6893,-78.7268,307.6,2024-03-14
40.0267,-77.6926,310.5,2024-03-14
