latitude,longitude,brightness,frp,frp_category,acq_date
41.6714,-71.2574,300.9,5.9,1,2024-03-12
41.957,-71.5163,305.1,10.0,1,2024-03-12
41.4118,-71.7331,301.8,4.6,1,2024-03-17
41.9622,-71.5166,315.8,15.3,1,2024-03-17
41.9601,-71.5292,316.4,16.0,1,2024-03-17
41.4097,-71.746,305.6,7.2,1,2024-03-17
41.603,-71.4348,305.0,3.3,1,2024-04-09
41.6069,-71.437,307.8,4.3,1,2024-05-13
41.6019,-71.4309,311.5,6.2,1,2024-05-25
41.6046,-71.4261,311.0,9.3,1,2024-06-02
41.6054,-71.4375,318.5,7.0,1,2024-07-08
41.6057,-71.44,311.5,7.8,1,2024-08-14
41.6119,-71.6593,307.6,7.0,1,2024-08-23
41.6008,-71.4395,314.7,10.9,1,2024-08-23
41.6041,-71.435,313.5,8.0,1,2024-08-26
41.6126,-71.6574,307.8,5.4,1,2024-08-26
41.5999,-71.43,307.4,7.5,1,2024-09-05
41.4118,-71.7436,304.2,8.6,1,2024-10-06
41.5592,-71.5051,305.0,7.8,1,2024-10-06
41.9604,-71.5248,310.6,12.5,1,2024-10-06
41.4061,-71.7467,301.8,6.2,1,2024-10-11
41.7341,-71.5202,300.5,4.3,1,2024-11-05
41.4863,-71.6258,302.3,5.2,1,2024-11-07
41.4869,-71.6315,302.1,5.5,1,2024-11-07
41.5173,-71.6873,302.6,6.1,1,2024-11-07
