latitude,longitude,brightness,frp,frp_category,acq_date
32.7287,-80.722,305.4,9.0,1,2024-01-02
33.4873,-80.96,300.8,5.7,1,2024-01-02
33.6551,-80.8322,304.1,7.6,1,2024-01-02
34.0693,-80.3535,306.2,8.2,1,2024-01-02
33.6505,-80.8275,315.9,17.0,1,2024-01-04
33.0378,-81.0655,316.0,17.2,1,2024-01-04
33.0364,-81.055,300.3,6.4,1,2024-01-04
33.0371,-81.0691,312.5,22.0,2,2024-01-04
33.034,-81.0851,303.6,10.8,1,2024-01-04
33.0344,-81.0617,304.6,14.0,1,2024-01-04
33.0315,-81.0777,317.9,33.0,2,2024-01-04
34.0389,-80.8811,319.6,31.9,2,2024-01-04
34.036,-80.8962,317.4,28.6,2,2024-01-04
34.0492,-80.884,308.2,14.7,1,2024-01-04
32.6564,-81.3314,305.2,14.1,1,2024-01-05
32.6591,-81.3374,300.5,8.6,1,2024-01-05
33.2062,-80.8856,306.3,18.1,1,2024-01-05
33.3373,-81.4839,301.6,10.5,1,2024-01-05
32.9266,-81.352,319.7,106.2,3,2024-01-15
33.0179,-79.8839,306.2,15.1,1,2024-01-18
33.0172,-79.882,300.1,10.0,1,2024-01-18
32.7727,-80.5976,305.6,23.8,2,2024-01-18
32.7773,-80.5753,302.5,17.9,1,2024-01-18
32.7775,-80.5826,315.0,43.6,2,2024-01-18
32.7728,-80.6049,302.5,17.1,1,2024-01-18
33.2979,-81.5902,322.4,79.7,3,2024-01-18
33.3118,-81.5747,326.4,89.8,3,2024-01-18
33.7947,-80.5096,305.9,24.8,2,2024-01-18
33.9021,-80.5023,302.8,18.6,1,2024-01-18
33.8978,-80.5231,300.1,15.2,1,2024-01-18
33.9983,-80.8165,305.0,24.1,2,2024-01-18
34.6378,-81.3998,300.3,21.6,2,2024-01-18
34.4478,-80.2821,304.2,13.5,1,2024-01-19
32.6756,-80.7257,307.5,17.2,1,2024-01-19
32.5397,-81.0597,306.2,8.9,1,2024-01-19
32.5382,-81.0713,300.5,5.3,1,2024-01-19
32.5706,-81.0414,327.6,31.1,2,2024-01-19
32.7406,-80.413,312.1,15.2,1,2024-01-19
32.7899,-80.1965,305.8,10.2,1,2024-01-19
33.0089,-79.8858,316.0,20.8,2,2024-01-19
33.2202,-79.5492,322.1,28.2,2,2024-01-19
33.6649,-79.6438,304.8,10.2,1,2024-01-19
33.6562,-79.6514,328.1,40.0,2,2024-01-19
34.4461,-80.294,325.9,34.5,2,2024-01-19
33.6634,-79.658,316.3,22.8,2,2024-01-19
33.8126,-80.4938,309.0,84.4,3,2024-01-20
33.8061,-80.4992,314.1,109.6,3,2024-01-20
32.7835,-81.1981,300.3,6.8,1,2024-01-21
33.0198,-79.7171,317.0,18.5,1,2024-01-21
33.0183,-79.7276,307.9,11.5,1,2024-01-21
34.0251,-81.6039,302.4,8.8,1,2024-01-21
34.0233,-81.6151,304.7,10.3,1,2024-01-21
33.8706,-79.2265,303.1,70.7,3,2024-01-22
33.882,-79.2279,306.8,89.9,3,2024-01-22
33.8503,-79.6662,302.3,42.8,2,2024-01-22
33.8439,-79.6704,303.4,46.5,2,2024-01-22
33.006,-79.8875,304.9,4.7,1,2024-01-26
33.0187,-79.8772,301.8,6.3,1,2024-01-28
33.0171,-79.8838,307.4,8.0,1,2024-01-28
34.2771,-80.1749,302.5,4.9,1,2024-01-28
33.3639,-80.3212,306.6,8.1,1,2024-01-28
32.6685,-81.3405,307.7,31.9,2,2024-01-29
32.6687,-81.346,304.6,23.8,2,2024-01-29
32.6641,-81.3234,302.7,20.5,2,2024-01-29
33.6404,-79.1296,331.1,153.0,3,2024-01-29
32.5785,-81.1199,307.3,25.3,2,2024-01-29
32.6105,-81.324,305.5,19.4,1,2024-01-29
32.6134,-81.3316,306.3,21.9,2,2024-01-29
33.0374,-79.7839,311.0,47.2,2,2024-01-29
33.237,-79.5273,300.9,22.6,2,2024-01-29
33.2349,-79.5566,301.0,22.8,2,2024-01-29
34.5961,-80.2009,316.8,62.9,3,2024-01-29
34.6099,-80.2022,327.1,102.0,3,2024-01-29
34.6032,-80.1781,304.7,28.1,2,2024-01-29
34.6012,-80.2065,335.6,151.5,3,2024-01-29
33.0195,-79.8849,301.7,9.5,1,2024-01-30
33.8846,-79.2328,310.5,22.3,2,2024-01-30
34.6961,-80.0796,303.8,19.8,1,2024-01-30
32.3285,-80.6203,305.1,13.5,1,2024-01-30
32.7106,-80.4201,329.8,71.0,3,2024-01-30
32.7068,-80.439,313.8,31.6,2,2024-01-30
32.7221,-80.4234,303.4,13.5,1,2024-01-30
32.787,-80.5694,311.2,26.5,2,2024-01-30
32.7832,-80.5886,319.2,43.2,2,2024-01-30
32.7678,-80.8167,300.2,11.4,1,2024-01-30
32.9762,-81.0819,304.0,16.3,1,2024-01-30
33.3381,-81.6014,312.9,34.7,2,2024-01-30
33.3336,-81.6233,309.6,27.6,2,2024-01-30
33.3548,-81.5833,316.7,42.7,2,2024-01-30
33.3504,-81.605,361.1,265.2,3,2024-01-30
33.3459,-81.6269,328.9,79.6,3,2024-01-30
33.3389,-81.6062,324.8,65.2,3,2024-01-30
33.3558,-81.5881,332.2,88.0,3,2024-01-30
33.3512,-81.6097,356.1,223.1,3,2024-01-30
33.8102,-80.1143,303.1,10.1,1,2024-01-30
34.0484,-79.2316,310.3,17.9,1,2024-01-30
33.8428,-80.4836,301.6,11.2,1,2024-01-30
33.6381,-81.8326,302.1,15.0,1,2024-01-30
33.6335,-81.8547,321.4,60.0,3,2024-01-30
32.8003,-80.8219,304.5,43.7,2,2024-02-01
33.4565,-80.8142,320.0,19.0,1,2024-02-02
33.455,-80.8036,308.7,9.8,1,2024-02-02
35.1007,-82.3052,302.6,20.4,2,2024-02-03
35.0997,-82.3112,305.3,26.5,2,2024-02-03
33.1894,-81.5285,300.0,23.3,2,2024-02-03
33.6024,-80.2635,307.6,51.3,3,2024-02-03
32.6962,-80.5343,306.7,48.4,2,2024-02-03
32.6903,-80.5387,309.9,58.2,3,2024-02-03
33.0866,-81.1585,305.1,33.4,2,2024-02-03
33.1412,-81.0281,302.8,28.5,2,2024-02-03
33.1404,-81.0359,300.5,21.6,2,2024-02-03
34.5766,-80.1487,309.1,15.4,1,2024-02-04
34.5788,-80.1361,305.3,12.2,1,2024-02-04
34.4641,-80.3024,300.0,10.3,1,2024-02-05
34.461,-80.2859,305.9,16.9,1,2024-02-05
34.4564,-80.31,318.9,50.8,3,2024-02-05
34.4583,-80.2885,308.2,27.2,2,2024-02-05
34.6095,-80.2333,303.0,17.5,1,2024-02-06
34.605,-80.2547,302.9,17.1,1,2024-02-06
34.6639,-81.4158,317.2,60.4,3,2024-02-06
34.6583,-81.4412,305.4,29.3,2,2024-02-06
35.0424,-82.2512,301.0,18.6,1,2024-02-06
33.7636,-80.4282,310.8,35.3,2,2024-02-06
34.5312,-80.2684,303.6,8.4,1,2024-02-07
34.5295,-80.2575,304.3,8.7,1,2024-02-07
34.1644,-79.4236,303.5,8.7,1,2024-02-07
34.5735,-82.7216,306.7,9.5,1,2024-02-07
33.7311,-80.247,344.9,57.8,3,2024-02-07
33.7293,-80.2361,303.9,8.1,1,2024-02-07
33.7221,-80.249,304.1,8.0,1,2024-02-07
33.1391,-79.6154,301.6,8.5,1,2024-02-07
33.053,-81.3837,328.9,30.7,2,2024-02-07
32.6927,-80.5381,300.8,7.3,1,2024-02-07
32.5791,-81.2087,304.7,7.4,1,2024-02-07
32.5776,-81.2197,312.1,12.8,1,2024-02-07
32.6921,-80.5399,307.8,11.0,1,2024-02-07
33.0351,-79.7142,337.9,55.2,3,2024-02-07
33.0336,-79.727,311.4,15.7,1,2024-02-07
32.9318,-80.7434,306.0,8.7,1,2024-02-07
33.136,-79.6312,300.5,6.6,1,2024-02-07
33.2089,-79.3673,313.9,19.4,1,2024-02-07
33.2058,-80.8359,305.9,8.3,1,2024-02-07
33.2151,-80.8376,308.3,10.2,1,2024-02-07
33.2498,-81.0087,301.5,5.3,1,2024-02-07
33.4215,-79.81,318.1,22.6,2,2024-02-07
33.5015,-81.3242,305.3,7.4,1,2024-02-07
33.7238,-80.2431,300.7,4.7,1,2024-02-07
33.7223,-80.2555,300.7,4.4,1,2024-02-07
33.7263,-80.2492,306.1,9.0,1,2024-02-07
33.72,-80.4618,315.7,15.7,1,2024-02-07
33.7185,-80.474,340.6,53.2,3,2024-02-07
33.7295,-80.4635,307.8,9.4,1,2024-02-07
33.728,-80.4757,321.5,23.2,2,2024-02-07
33.9179,-79.479,305.8,11.7,1,2024-02-07
33.7948,-81.8205,312.4,11.7,1,2024-02-07
33.821,-81.7643,309.3,9.7,1,2024-02-07
33.9006,-81.723,300.8,5.5,1,2024-02-07
34.2317,-79.3942,301.3,6.4,1,2024-02-07
34.2302,-79.4081,301.4,6.6,1,2024-02-07
33.9548,-82.2071,307.2,8.2,1,2024-02-07
