latitude,longitude,brightness,frp,frp_category,acq_date
44.276,-103.4646,315.1,33.5,2,2024-01-06
44.2776,-103.4831,332.4,70.3,3,2024-01-06
44.2762,-103.4898,309.2,26.6,2,2024-01-06
44.2745,-103.4713,327.9,60.4,3,2024-01-06
44.2669,-103.5094,311.1,30.5,2,2024-01-06
44.26,-103.5101,310.4,17.2,1,2024-01-06
44.2693,-103.5133,341.3,61.8,3,2024-01-06
44.2741,-103.4861,364.1,125.9,3,2024-01-06
44.2765,-103.4726,309.6,16.8,1,2024-01-06
44.843,-97.0908,311.7,16.3,1,2024-01-30
44.8414,-97.078,310.8,15.6,1,2024-01-30
45.5535,-98.5872,319.5,30.6,2,2024-01-30
45.7852,-98.8032,301.3,10.5,1,2024-01-30
43.7391,-103.3586,314.1,14.2,1,2024-01-31
43.7459,-103.3425,316.4,16.1,1,2024-01-31
43.7482,-103.3559,377.2,163.9,3,2024-01-31
43.7368,-103.3453,306.7,7.8,1,2024-01-31
43.0826,-97.4228,305.0,25.8,2,2024-02-12
43.0777,-97.4003,310.8,36.2,2,2024-02-12
43.0689,-99.7807,325.7,27.4,2,2024-02-20
44.6967,-100.0904,304.7,9.7,1,2024-02-20
43.306,-98.3386,305.9,13.0,1,2024-02-22
43.3149,-98.3407,325.6,30.4,2,2024-02-22
43.5129,-97.188,304.9,19.5,1,2024-02-24
43.5037,-97.2044,301.2,12.3,1,2024-02-24
42.9596,-98.4581,308.8,6.6,1,2024-02-25
42.9701,-98.4483,309.1,6.6,1,2024-02-25
42.9684,-98.4604,330.2,27.7,2,2024-02-25
43.4545,-96.9815,308.7,13.0,1,2024-02-25
43.8973,-98.1801,306.1,6.6,1,2024-02-26
45.6735,-97.9876,311.7,19.3,1,2024-02-28
43.8764,-97.9828,303.7,10.5,1,2024-02-29
42.9743,-98.4545,305.9,36.9,2,2024-03-04
42.9712,-98.4459,321.1,24.5,2,2024-03-05
42.9725,-98.4364,316.5,18.5,1,2024-03-05
43.3103,-97.1644,302.6,4.3,1,2024-03-05
43.064,-98.9605,329.4,42.4,2,2024-03-06
43.0668,-98.9714,325.5,35.4,2,2024-03-06
43.0686,-98.9542,322.1,29.4,2,2024-03-06
45.872,-96.6608,300.5,11.6,1,2024-03-07
44.5964,-97.66,319.3,19.5,1,2024-03-09
44.5945,-97.6476,305.4,8.4,1,2024-03-09
44.3042,-96.6134,324.4,92.4,3,2024-03-09
44.2985,-96.6065,321.8,77.2,3,2024-03-09
44.2966,-96.644,305.1,27.9,2,2024-03-09
44.291,-96.6373,312.1,43.1,2,2024-03-09
43.1348,-98.9685,312.3,58.8,3,2024-03-09
43.1328,-99.0079,307.4,38.2,2,2024-03-09
43.133,-98.9761,316.6,78.8,3,2024-03-09
43.6212,-98.0914,303.6,23.8,2,2024-03-09
43.628,-98.0964,308.3,44.1,2,2024-03-09
43.0446,-98.2071,315.5,11.4,1,2024-03-10
43.0557,-98.1973,323.8,20.7,2,2024-03-10
43.0536,-98.2099,340.5,45.1,2,2024-03-10
43.1134,-98.964,319.9,14.5,1,2024-03-10
43.1248,-98.9538,337.2,39.7,2,2024-03-10
43.1226,-98.9672,323.2,18.3,1,2024-03-10
44.8282,-98.6969,303.1,4.8,1,2024-03-10
44.8261,-98.7098,305.4,6.1,1,2024-03-10
45.6344,-98.4861,307.8,58.0,3,2024-03-11
45.6339,-98.488,307.8,60.6,3,2024-03-11
45.9326,-97.3591,316.7,27.2,2,2024-03-12
44.2294,-96.8596,310.4,18.0,1,2024-03-12
43.6324,-98.0699,310.5,13.1,1,2024-03-12
42.8232,-97.9663,310.9,8.8,1,2024-03-12
43.3531,-97.6454,340.0,62.3,3,2024-03-12
43.3498,-97.6623,316.0,11.9,1,2024-03-12
43.3616,-97.6369,317.8,15.4,1,2024-03-12
43.3582,-97.654,349.8,94.3,3,2024-03-12
43.62,-96.4556,314.5,8.1,1,2024-03-12
43.6141,-97.897,312.7,9.9,1,2024-03-12
43.6244,-97.9011,328.1,36.1,2,2024-03-12
44.2223,-96.8589,314.9,11.6,1,2024-03-12
45.2628,-96.4613,313.1,9.8,1,2024-03-12
45.9234,-97.3685,314.0,11.7,1,2024-03-12
45.9262,-97.3532,317.2,15.0,1,2024-03-12
45.933,-97.3722,318.1,16.5,1,2024-03-12
43.2,-97.6713,316.0,11.0,1,2024-03-15
43.1983,-97.6834,307.1,4.1,1,2024-03-15
43.3252,-98.6129,308.8,5.2,1,2024-03-15
43.3235,-98.6249,328.4,23.6,2,2024-03-15
42.9073,-97.7514,304.5,9.9,1,2024-03-18
42.9139,-98.0685,304.0,8.6,1,2024-03-18
42.9149,-98.0553,305.4,9.7,1,2024-03-18
43.205,-97.6748,311.7,11.9,1,2024-03-19
43.2029,-97.6689,308.3,8.1,1,2024-03-19
42.8767,-97.8564,315.1,23.4,2,2024-03-19
42.8719,-97.8785,316.7,27.2,2,2024-03-19
45.2309,-97.466,302.1,10.5,1,2024-03-19
45.0982,-97.3576,313.3,21.2,2,2024-03-19
45.0944,-97.3766,310.7,18.2,1,2024-03-19
45.1001,-97.3654,325.7,44.4,2,2024-03-19
42.8265,-96.5923,351.2,86.0,3,2024-03-20
42.838,-96.5794,321.2,23.9,2,2024-03-20
42.8363,-96.5944,331.1,39.1,2,2024-03-20
42.8033,-98.0673,310.2,9.2,1,2024-03-20
42.8085,-98.0742,310.2,9.2,1,2024-03-20
44.9787,-97.6883,306.1,8.2,1,2024-03-22
44.9805,-97.676,304.2,6.8,1,2024-03-22
43.0915,-96.8418,303.8,7.6,1,2024-03-28
43.0418,-96.594,300.3,26.7,2,2024-03-28
43.0352,-96.589,302.3,32.7,2,2024-03-28
45.0109,-96.5829,300.0,4.2,1,2024-04-02
44.1359,-97.403,302.9,6.3,1,2024-04-04
43.807,-97.77,304.0,6.3,1,2024-04-04
43.1211,-101.6556,331.3,47.1,2,2024-04-04
45.9344,-98.0058,307.1,19.6,1,2024-04-04
43.1828,-102.4075,311.5,14.7,1,2024-04-06
43.1812,-102.4202,313.5,16.4,1,2024-04-06
43.1903,-102.4223,362.6,105.0,3,2024-04-06
43.1887,-102.435,338.5,47.6,2,2024-04-06
43.6709,-97.9667,309.4,9.4,1,2024-04-06
44.2141,-97.5234,313.5,14.1,1,2024-04-06
44.2122,-97.5423,316.3,18.3,1,2024-04-06
44.2154,-97.529,320.2,27.1,2,2024-04-06
44.2136,-97.5479,309.0,9.6,1,2024-04-06
45.7055,-97.8881,300.8,5.0,1,2024-04-09
43.8098,-96.4766,319.3,16.3,1,2024-04-12
43.9761,-97.6606,317.2,10.8,1,2024-04-12
43.6502,-97.9477,310.5,5.8,1,2024-04-12
43.349,-96.7683,310.7,5.5,1,2024-04-12
43.2928,-98.0413,322.8,15.0,1,2024-04-12
43.2907,-98.0286,329.5,23.3,2,2024-04-12
43.9996,-103.3617,312.1,10.9,1,2024-04-12
43.283,-98.5612,319.9,12.6,1,2024-04-12
43.2791,-98.5365,332.5,27.1,2,2024-04-12
43.281,-98.5489,379.1,151.5,3,2024-04-12
45.5361,-98.767,312.5,7.3,1,2024-04-12
44.903,-96.9009,314.5,13.6,1,2024-04-12
44.898,-97.2579,315.9,13.1,1,2024-04-12
44.0021,-96.8168,314.2,10.2,1,2024-04-12
42.8434,-97.9705,322.1,31.9,2,2024-04-12
43.5919,-96.4544,315.1,11.4,1,2024-04-12
43.5886,-96.4714,314.5,10.3,1,2024-04-12
43.2969,-98.5621,347.8,130.0,3,2024-04-12
43.2922,-98.5841,317.1,22.1,2,2024-04-12
43.675,-97.8966,363.7,194.1,3,2024-04-12
43.6707,-97.9167,345.2,100.5,3,2024-04-12
44.1387,-97.7684,321.3,21.9,2,2024-04-12
44.1348,-97.7878,317.2,14.0,1,2024-04-12
44.1386,-97.7732,325.8,30.1,2,2024-04-12
44.5088,-97.694,312.4,10.0,1,2024-04-12
44.0003,-100.3345,313.7,26.6,2,2024-04-12
44.8089,-97.2778,309.7,8.2,1,2024-04-12
44.1444,-98.4085,312.5,45.6,2,2024-04-13
44.1011,-97.5335,310.6,33.0,2,2024-04-13
44.0906,-97.5399,309.7,30.2,2,2024-04-13
43.8523,-96.7035,323.1,111.9,3,2024-04-13
44.0886,-100.1893,353.1,222.5,3,2024-04-13
44.0817,-100.1603,338.9,119.6,3,2024-04-13
44.0759,-100.1953,324.8,53.6,3,2024-04-13
44.069,-100.1665,321.2,38.6,2,2024-04-13
44.0931,-100.1925,325.6,56.8,3,2024-04-13
44.0863,-100.1633,327.3,62.6,3,2024-04-13
44.0803,-100.1987,343.4,154.4,3,2024-04-13
44.0736,-100.1696,345.2,165.7,3,2024-04-13
43.3553,-98.014,365.1,110.3,3,2024-04-13
43.3647,-98.0161,365.6,112.5,3,2024-04-13
45.24,-96.4797,320.1,12.0,1,2024-04-13
45.2382,-96.4976,327.2,24.4,2,2024-04-13
45.0177,-99.0673,325.0,13.0,1,2024-04-13
44.9588,-97.4482,314.5,8.9,1,2024-04-14
44.9572,-97.435,312.3,7.2,1,2024-04-14
45.1499,-97.28,317.0,11.5,1,2024-04-14
