latitude,longitude,brightness,frp,frp_category,acq_date
35.0442,-90.1659,302.7,18.5,1,2024-01-07
35.0475,-88.2827,302.5,11.3,1,2024-01-10
35.8175,-88.1762,305.4,12.0,1,2024-01-22
35.0387,-90.1683,308.3,10.1,1,2024-01-29
35.2996,-88.6033,312.6,14.2,1,2024-02-03
35.5926,-83.8196,304.0,20.8,2,2024-02-03
35.6055,-83.8214,308.5,30.2,2,2024-02-03
35.1658,-86.0933,325.6,23.9,2,2024-02-05
35.1666,-86.0893,307.8,6.3,1,2024-02-05
35.1651,-86.1005,311.8,9.3,1,2024-02-05
35.3073,-85.3629,310.9,10.2,1,2024-02-05
35.3537,-85.7126,305.1,5.9,1,2024-02-05
36.1737,-82.906,304.9,8.6,1,2024-02-05
36.2897,-86.0834,304.4,5.4,1,2024-02-05
36.3658,-86.1283,308.0,7.7,1,2024-02-05
36.5639,-87.5224,342.7,47.2,2,2024-02-05
36.5623,-87.5334,323.8,20.6,2,2024-02-05
36.5727,-87.5244,313.6,10.7,1,2024-02-05
36.6094,-87.6637,327.5,25.5,2,2024-02-05
36.6078,-87.6747,309.1,8.5,1,2024-02-05
36.3636,-87.8455,301.0,23.1,2,2024-02-06
36.3751,-87.8515,300.3,19.3,1,2024-02-06
36.1121,-82.6586,311.7,14.1,1,2024-02-07
35.5349,-85.954,304.3,5.0,1,2024-02-07
35.1212,-84.9528,304.7,5.4,1,2024-02-07
35.1195,-84.9639,312.3,11.0,1,2024-02-07
35.3564,-84.0868,304.9,6.6,1,2024-02-07
35.2126,-85.9463,300.3,3.8,1,2024-02-07
35.2205,-85.9427,302.6,5.5,1,2024-02-07
35.2641,-85.7951,313.0,13.1,1,2024-02-07
35.2621,-85.8068,301.3,4.4,1,2024-02-07
35.5886,-83.8281,353.5,69.8,3,2024-02-07
35.5871,-83.8389,358.3,81.7,3,2024-02-07
35.599,-83.8193,306.1,6.5,1,2024-02-07
35.5975,-83.8301,342.1,46.9,2,2024-02-07
35.5959,-83.8409,343.2,48.8,2,2024-02-07
35.6063,-83.832,328.8,27.3,2,2024-02-07
35.6048,-84.0941,303.8,4.8,1,2024-02-07
35.6032,-84.105,303.1,4.4,1,2024-02-07
35.477,-85.5714,341.9,50.3,3,2024-02-07
35.4751,-85.5828,350.5,68.6,3,2024-02-07
35.486,-85.5736,305.2,6.9,1,2024-02-07
35.4842,-85.5851,315.9,15.3,1,2024-02-07
35.4688,-85.9688,313.1,12.1,1,2024-02-07
35.4669,-85.9806,304.1,5.0,1,2024-02-07
35.6429,-85.4045,302.9,4.6,1,2024-02-07
35.6411,-85.4159,304.4,5.5,1,2024-02-07
35.7226,-85.1386,300.7,3.5,1,2024-02-07
35.6796,-88.0833,303.0,7.3,1,2024-02-07
36.2725,-86.0425,310.0,10.1,1,2024-02-07
36.5621,-87.6172,310.6,12.5,1,2024-02-07
36.5597,-87.6306,325.2,30.9,2,2024-02-07
35.4674,-87.0585,307.6,15.1,1,2024-02-08
35.3432,-88.7147,303.4,7.9,1,2024-02-08
35.1354,-88.5855,301.0,5.7,1,2024-02-08
36.6232,-85.8642,303.1,6.7,1,2024-02-14
36.1597,-85.9778,301.3,5.2,1,2024-02-14
