latitude,longitude,brightness,frp,frp_category,acq_date
31.7996,-103.2413,304.1,22.1,2,2024-01-01
28.0583,-97.4363,306.8,11.7,1,2024-01-01
31.4229,-94.3453,307.5,19.7,1,2024-01-01
31.507,-100.6963,302.5,7.4,1,2024-01-01
30.6822,-94.151,301.6,5.9,1,2024-01-01
30.6892,-98.2013,302.6,10.6,1,2024-01-01
30.6865,-98.2163,303.3,11.4,1,2024-01-01
32.2197,-94.8638,305.9,8.3,1,2024-01-01
31.2661,-100.2376,300.6,12.6,1,2024-01-01
32.2286,-94.8657,301.2,5.4,1,2024-01-01
31.9288,-99.3636,354.1,150.1,3,2024-01-01
31.9256,-99.3804,316.8,32.8,2,2024-01-01
31.7898,-94.6549,304.0,7.6,1,2024-01-01
31.9167,-94.6657,300.4,5.5,1,2024-01-01
30.8503,-93.8855,304.6,42.7,2,2024-01-02
30.8472,-93.8932,303.4,39.0,2,2024-01-02
33.6851,-96.5939,312.9,14.9,1,2024-01-03
33.7207,-97.5383,307.0,11.8,1,2024-01-03
33.8446,-95.1718,323.8,25.2,2,2024-01-03
33.7107,-96.6477,300.5,6.6,1,2024-01-03
33.6836,-96.5825,309.8,12.6,1,2024-01-03
29.5348,-99.6113,304.1,11.2,1,2024-01-03
31.4573,-94.8733,300.1,9.8,1,2024-01-03
31.2746,-95.9911,317.4,39.9,2,2024-01-03
33.4294,-94.8278,310.5,66.1,3,2024-01-04
33.4305,-94.8338,311.0,64.9,3,2024-01-04
26.2949,-97.8912,312.6,38.9,2,2024-01-04
30.7541,-94.9678,300.2,7.5,1,2024-01-04
32.1639,-94.101,302.9,14.3,1,2024-01-04
31.3525,-96.1738,300.0,5.7,1,2024-01-04
32.1696,-94.1071,303.0,14.7,1,2024-01-04
31.8846,-97.854,302.8,6.0,1,2024-01-04
31.8831,-97.8657,332.9,39.2,2,2024-01-04
31.8925,-97.8674,304.9,7.6,1,2024-01-04
32.3225,-94.7715,306.6,17.4,1,2024-01-04
32.3208,-94.7891,312.3,25.6,2,2024-01-04
32.2541,-96.3772,302.3,9.9,1,2024-01-04
33.0218,-94.6223,313.9,31.0,2,2024-01-04
28.9801,-98.8763,301.7,16.3,1,2024-01-05
