state,month,frp_category,fire_count,total_brightness,total_frp
louisiana,1,1,93,28504.4,1102.0
louisiana,1,2,66,20816.9,2006.6
louisiana,1,3,37,12078.5,3288.9
louisiana,2,1,272,84542.0,3085.0
louisiana,2,2,125,39640.3,3735.8
louisiana,2,3,104,35463.0,12881.3
louisiana,3,1,64,19772.4,621.5
louisiana,3,2,27,8537.3,916.3
louisiana,3,3,26,8695.5,2429.0
louisiana,4,1,114,35499.3,1025.0
louisiana,4,2,34,10926.2,1048.3
louisiana,4,3,7,2420.8,604.9
louisiana,5,1,28,8764.8,277.1
louisiana,5,2,20,6422.9,562.9
louisiana,5,3,6,2095.2,623.1
louisiana,6,1,98,30896.2,1009.4
louisiana,6,2,61,19471.1,1946.1
louisiana,6,3,32,10811.0,3477.2
louisiana,7,1,58,18281.6,578.0
louisiana,7,2,21,6725.0,710.1
louisiana,7,3,10,3310.4,659.7
louisiana,8,1,220,69978.0,2434.0
louisiana,8,2,120,39239.4,3955.9
louisiana,8,3,130,45307.8,17518.1
louisiana,9,1,141,44363.7,1487.2
louisiana,9,2,62,19852.9,1913.2
louisiana,9,3,48,16207.8,5212.7
louisiana,10,1,472,148627.4,5338.5
louisiana,10,2,316,102427.3,10492.1
louisiana,10,3,183,62648.0,20931.7
louisiana,11,1,334,103154.1,3432.1
louisiana,11,2,100,32079.5,2967.7
louisiana,11,3,51,17354.8,5350.6
louisiana,12,1,337,103830.0,3400.8
louisiana,12,2,148,46963.9,4652.8
louisiana,12,3,70,23843.7,12505.2
alaska,4,1,6,1839.8999999999999,68.6
alaska,4,2,4,1264.0,135.1
alaska,4,3,2,703.5,206.6
alaska,5,1,23,7057.3,250.7
alaska,5,2,13,4181.0,433.7
alaska,5,3,3,1017.4000000000001,338.1
alaska,6,1,754,236324.2,9504.2
alaska,6,2,1034,335808.7,33777.3
alaska,6,3,1315,464625.9,255360.0
alaska,7,1,275,85613.5,3465.4
alaska,7,2,302,97803.2,10232.9
alaska,7,3,375,129456.1,64027.3
alaska,8,1,76,23579.5,936.5
alaska,8,2,122,39597.7,4172.0
alaska,8,3,118,41387.4,19062.9
alaska,9,1,2,604.7,29.9
alaska,10,1,1,302.2,9.2
maryland,2,1,8,2425.4,81.5
maryland,2,3,1,347.6,109.0
maryland,3,1,11,3363.0,101.7
maryland,3,2,1,310.0,20.9
maryland,3,3,3,980.1,253.8
maryland,4,1,20,6197.4,176.7
maryland,5,1,6,1883.2,41.3
maryland,5,3,1,345.2,51.9
maryland,6,1,4,1275.7,32.4
maryland,7,1,7,2220.3,57.7
maryland,8,2,1,304.5,35.0
maryland,8,3,1,349.8,88.1
maryland,9,1,2,615.0,14.1
maryland,10,1,13,4004.4,119.7
maryland,11,1,5,1552.8,54.8
maryland,11,2,1,303.3,23.9
maryland,12,3,1,393.8,262.8
wisconsin,2,1,9,2730.2,69.6
wisconsin,2,3,1,356.4,81.5
wisconsin,3,1,58,17763.4,563.2
wisconsin,3,2,27,8565.7,841.8
wisconsin,3,3,21,6821.4,1836.4
wisconsin,4,1,111,34245.9,973.5
wisconsin,4,2,43,13670.3,1382.4
wisconsin,4,3,28,9055.2,3031.5
wisconsin,5,1,115,35659.6,846.7
wisconsin,5,2,16,5106.8,472.7
wisconsin,5,3,7,2514.1,1107.2
wisconsin,6,1,30,9339.9,217.9
wisconsin,7,1,52,16177.4,387.7
wisconsin,8,1,31,9593.7,236.8
wisconsin,8,2,3,921.5999999999999,67.0
wisconsin,8,3,5,1633.5,635.1999999999999
wisconsin,9,1,26,7967.7,197.1
