latitude,longitude,brightness,acq_date
39.1947,-111.0112,304.5,2024-01-04
37.4291,-112.3,307.4,2024-01-10
37.6057,-112.6605,325.9,2024-01-10
37.6042,-112.6726,329.6,2024-01-10
37.6739,-112.4877,306.6,2024-01-17
39.4549,-112.4046,310.0,2024-01-31
39.4531,-112.4162,310.6,2024-01-31
39.5369,-112.2999,319.0,2024-01-31
39.2059,-110.9914,306.6,2024-02-26
40.3749,-109.9692,302.2,2024-02-28
37.4462,-113.455,307.5,2024-02-29
37.435,-113.4559,327.2,2024-02-29
37.3853,-113.5283,311.5,2024-03-07
40.7547,-112.0416,301.5,2024-03-09
41.8816,-110.0849,323.6,2024-03-20
41.2837,-112.1752,329.6,2024-03-22
41.2857,-112.1487,331.8,2024-03-22
40.3815,-109.3303,316.2,2024-03-22
37.6838,-112.5055,305.2,2024-03-26
37.6855,-112.4942,351.4,2024-03-26
37.6944,-112.4963,325.1,2024-03-26
38.2785,-113.0062,310.4,2024-03-27
39.7436,-112.3128,301.4,2024-03-27
40.8308,-112.0101,303.6,2024-04-09
40.7549,-112.0375,311.4,2024-04-09
40.1604,-110.0525,325.2,2024-04-10
40.7558,-112.0409,309.7,2024-04-11
41.4505,-112.0429,309.4,2024-04-13
39.9021,-112.8086,313.4,2024-04-13
40.3231,-109.8314,320.7,2024-04-13
40.2642,-110.0479,321.3,2024-04-13
40.3328,-110.6856,314.9,2024-04-13
40.3542,-110.3256,307.1,2024-04-16
39.5427,-112.3198,309.2,2024-04-16
39.5396,-112.3038,323.7,2024-04-16
38.9763,-112.303,311.0,2024-04-18
40.3607,-110.3269,319.6,2024-04-18
39.5036,-111.5153,309.7,2024-04-18
40.3553,-110.3391,309.9,2024-04-18
40.3555,-110.3284,318.3,2024-04-19
40.667,-112.4422,315.1,2024-04-23
40.7591,-112.0351,313.6,2024-04-23
39.8863,-113.6851,328.7,2024-04-23
39.888,-113.6965,320.5,2024-04-23
38.6213,-112.0584,316.4,2024-04-23
38.2795,-112.4111,316.0,2024-04-23
37.721,-112.2249,316.7,2024-04-24
37.7132,-112.2331,312.8,2024-04-24
37.7204,-112.2363,323.9,2024-04-24
37.7185,-112.2436,322.3,2024-04-24
38.5963,-112.0571,345.8,2024-04-24
38.6069,-112.0475,367.1,2024-04-24
38.6054,-112.0589,399.7,2024-04-24
37.717,-112.23,322.0,2024-04-24
38.097,-111.2903,313.8,2024-04-30
38.0882,-111.2925,328.2,2024-04-30
38.2877,-113.0388,318.1,2024-05-01
38.1767,-112.498,326.4,2024-05-03
38.1736,-112.514,317.8,2024-05-03
40.7299,-112.0054,315.8,2024-05-03
40.7534,-112.0416,316.5,2024-05-03
41.2121,-112.028,311.0,2024-05-03
38.0864,-111.3023,320.9,2024-05-04
37.168,-113.4291,321.6,2024-05-08
41.0999,-112.0449,311.3,2024-05-10
40.7596,-112.0398,317.3,2024-05-15
41.0988,-112.0433,322.9,2024-05-15
40.7552,-112.0435,320.5,2024-05-15
38.1803,-112.5125,339.3,2024-05-16
38.1864,-112.5043,333.0,2024-05-16
38.1848,-112.52,328.7,2024-05-16
37.5424,-112.5722,352.1,2024-05-17
37.544,-112.5832,360.0,2024-05-17
37.5353,-112.5851,341.2,2024-05-17
37.5337,-112.5742,363.1,2024-05-17
38.6117,-111.4811,330.6,2024-05-19
38.5959,-111.4758,335.1,2024-05-19
38.6032,-111.4853,351.9,2024-05-19
38.7735,-110.0748,327.8,2024-05-20
38.7718,-110.0861,335.5,2024-05-20
40.7612,-112.0392,318.6,2024-05-27
38.1722,-112.4964,317.4,2024-06-01
38.6196,-112.022,324.7,2024-06-01
38.169,-112.493,300.1,2024-06-02
38.6139,-112.0395,301.3,2024-06-02
40.6234,-111.1452,320.9,2024-06-04
40.6218,-111.1603,341.2,2024-06-04
40.6318,-111.1624,366.9,2024-06-04
40.6316,-111.1668,325.0,2024-06-05
40.2568,-110.2223,303.6,2024-06-06
40.6346,-111.1604,342.7,2024-06-06
40.6315,-111.159,327.2,2024-06-06
40.6299,-111.1705,336.1,2024-06-06
41.0672,-112.8727,341.1,2024-06-06
38.1676,-112.4896,304.4,2024-06-07
37.1538,-113.0406,348.8,2024-06-07
37.1557,-113.0179,357.9,2024-06-07
40.2567,-110.2202,300.9,2024-06-08
40.6351,-111.169,332.3,2024-06-08
40.6332,-111.1661,319.7,2024-06-08
39.8216,-111.9,331.4,2024-06-09
39.8186,-111.8957,326.2,2024-06-09
40.6017,-111.1138,322.0,2024-06-09
40.6327,-111.1628,322.5,2024-06-10
40.6013,-111.1192,313.7,2024-06-10
40.6324,-111.1578,319.2,2024-06-10
40.2504,-110.2267,300.2,2024-06-11
40.6094,-111.1073,319.2,2024-06-11
40.6185,-111.0929,333.0,2024-06-11
40.6154,-111.117,326.3,2024-06-11
40.597,-111.1185,332.9,2024-06-11
40.6079,-111.1028,339.4,2024-06-11
40.6064,-111.1148,348.8,2024-06-11
40.6048,-111.1272,320.3,2024-06-11
40.617,-111.105,348.5,2024-06-11
41.8743,-110.3116,334.8,2024-06-11
41.8727,-110.3253,335.2,2024-06-11
38.1829,-112.4349,311.3,2024-06-13
38.1755,-112.4683,310.4,2024-06-13
38.1961,-112.4391,357.7,2024-06-13
38.189,-112.4715,349.1,2024-06-13
38.1899,-112.4432,367.0,2024-06-13
38.1825,-112.4757,337.6,2024-06-13
38.6161,-111.4968,309.7,2024-06-13
38.1919,-112.4502,329.8,2024-06-13
38.1842,-112.4663,305.1,2024-06-13
38.1903,-112.4367,319.2,2024-06-13
38.1936,-112.4641,323.7,2024-06-13
38.1998,-112.4347,304.9,2024-06-13
38.6228,-111.4919,300.8,2024-06-13
38.1891,-112.4348,328.8,2024-06-13
38.1911,-112.4469,362.2,2024-06-13
38.1931,-112.4589,372.7,2024-06-13
38.1969,-112.44,321.7,2024-06-13
38.199,-112.4522,350.8,2024-06-13
38.6209,-111.484,334.9,2024-06-13
38.6233,-111.4982,366.0,2024-06-13
38.1819,-112.4487,328.1,2024-06-13
38.1839,-112.4609,328.3,2024-06-13
38.1859,-112.4728,321.5,2024-06-13
38.1985,-112.4531,347.8,2024-06-13
38.6101,-111.4999,328.3,2024-06-13
38.6195,-111.5022,440.3,2024-06-13
38.6218,-111.4896,417.9,2024-06-13
38.6384,-111.5076,351.3,2024-06-13
38.1784,-112.4488,375.2,2024-06-13
38.1755,-112.4644,380.0,2024-06-13
38.1913,-112.4355,375.9,2024-06-13
38.1884,-112.4509,403.6,2024-06-13
38.1855,-112.4667,373.4,2024-06-13
38.1826,-112.4828,360.1,2024-06-13
40.6159,-111.1037,318.1,2024-06-13
40.713,-112.023,333.0,2024-06-13
38.1857,-112.4412,305.1,2024-06-14
38.1842,-112.4524,315.1,2024-06-14
38.1828,-112.4635,310.6,2024-06-14
38.1916,-112.4655,307.3,2024-06-14
38.6462,-111.4986,306.3,2024-06-14
38.182,-112.465,304.8,2024-06-14
38.191,-112.4728,335.5,2024-06-14
38.1705,-112.4511,370.5,2024-06-14
38.169,-112.4679,378.1,2024-06-14
38.1831,-112.437,378.2,2024-06-14
38.1816,-112.4536,433.6,2024-06-14
38.1799,-112.4706,421.2,2024-06-14
38.1784,-112.4868,333.3,2024-06-14
38.1925,-112.4565,338.5,2024-06-14
38.1839,-112.4705,303.7,2024-06-15
38.1949,-112.4769,300.5,2024-06-15
38.1859,-112.4756,305.6,2024-06-16
38.1908,-112.4687,301.0,2024-06-16
38.6385,-111.5157,348.6,2024-06-16
38.6308,-111.5009,353.0,2024-06-16
38.6401,-111.5026,438.2,2024-06-16
38.6292,-111.5138,345.2,2024-06-16
38.636,-111.5164,304.8,2024-06-17
38.6501,-111.4961,302.4,2024-06-17
38.6404,-111.5083,402.7,2024-06-17
38.6389,-111.4924,327.1,2024-06-17
38.6296,-111.5095,323.8,2024-06-17
38.6365,-111.5204,347.1,2024-06-17
38.6276,-111.5126,340.4,2024-06-17
40.4867,-110.0935,320.8,2024-06-18
40.4922,-110.0632,314.0,2024-06-18
40.4894,-110.0787,375.9,2024-06-18
40.4994,-110.0816,316.5,2024-06-18
40.4967,-110.0965,302.4,2024-06-18
40.4793,-110.0759,372.1,2024-06-18
37.237,-112.3484,309.2,2024-06-28
37.2338,-112.3656,307.2,2024-06-28
37.2284,-112.346,324.3,2024-06-28
37.2332,-112.3379,338.5,2024-06-28
37.2374,-112.3581,348.1,2024-06-28
37.2334,-112.3529,353.4,2024-06-28
38.1932,-112.4651,382.0,2024-06-29
38.1881,-112.4681,365.0,2024-06-29
39.3426,-112.468,302.5,2024-06-30
39.3404,-112.4655,330.7,2024-06-30
38.1915,-112.4687,330.3,2024-07-01
38.9411,-109.8171,328.3,2024-07-02
38.1665,-112.4351,423.4,2024-07-02
38.161,-112.4605,365.4,2024-07-02
38.162,-112.4393,305.1,2024-07-03
38.1993,-112.4711,311.0,2024-07-03
38.187,-112.4836,301.2,2024-07-03
38.1786,-112.4761,306.4,2024-07-03
38.1734,-112.4747,334.0,2024-07-03
38.16,-112.4457,387.1,2024-07-03
38.1678,-112.459,444.1,2024-07-03
38.1663,-112.4709,416.0,2024-07-03
38.1648,-112.4832,333.3,2024-07-03
38.177,-112.4611,363.9,2024-07-03
