latitude,longitude,brightness,frp,frp_category,acq_date
38.8707,-78.6118,305.5,11.6,1,2024-01-02
36.5669,-79.4415,310.2,13.0,1,2024-01-04
36.8032,-79.4658,304.1,9.8,1,2024-01-04
36.8053,-79.4536,308.9,13.5,1,2024-01-04
37.1456,-79.3636,303.5,4.9,1,2024-01-26
37.6656,-78.9501,302.3,10.8,1,2024-02-04
37.6635,-78.9439,302.4,10.9,1,2024-02-04
36.6391,-79.716,320.7,20.8,2,2024-02-04
36.6247,-79.688,314.0,13.7,1,2024-02-04
36.6228,-79.6997,328.6,30.2,2,2024-02-04
36.6319,-79.702,338.0,44.1,2,2024-02-04
36.641,-79.7043,344.1,56.7,3,2024-02-04
38.3594,-77.9257,303.8,6.7,1,2024-02-04
36.6893,-80.5122,315.2,36.0,2,2024-02-06
36.6832,-80.5151,315.2,37.8,2,2024-02-06
38.0955,-79.8048,305.1,16.0,1,2024-02-06
38.092,-79.8227,312.4,25.6,2,2024-02-06
38.5737,-77.5157,304.0,10.5,1,2024-02-06
38.5714,-77.5289,306.2,12.2,1,2024-02-06
36.6666,-78.026,300.4,11.7,1,2024-02-07
36.8361,-77.297,306.6,23.1,2,2024-02-07
36.8343,-77.3178,308.8,26.9,2,2024-02-07
36.8758,-77.26,303.6,17.7,1,2024-02-07
36.7795,-79.0437,306.6,14.6,1,2024-02-07
36.5825,-80.8676,313.3,16.0,1,2024-02-07
36.7826,-79.0498,304.8,11.8,1,2024-02-07
36.5861,-80.8606,303.9,8.0,1,2024-02-07
36.5846,-80.8735,306.2,9.9,1,2024-02-07
37.0676,-77.8782,310.1,25.0,2,2024-02-07
36.6728,-82.1829,308.8,8.4,1,2024-02-07
36.6978,-82.8935,305.2,6.4,1,2024-02-07
37.3642,-81.9629,305.4,7.2,1,2024-02-07
38.0483,-76.6069,319.5,59.4,3,2024-02-07
38.0463,-76.6312,317.6,53.5,3,2024-02-07
38.0502,-78.0491,300.1,11.5,1,2024-02-07
38.3293,-78.3323,304.9,15.8,1,2024-02-07
36.756,-81.9647,301.1,3.8,1,2024-02-07
38.1494,-77.3664,303.4,19.7,1,2024-02-08
37.0061,-78.7789,314.4,56.1,3,2024-02-08
38.1377,-77.3623,316.2,45.5,2,2024-02-08
39.2592,-78.1426,308.0,10.1,1,2024-02-09
38.5121,-77.5042,301.4,4.8,1,2024-02-09
38.008,-78.7833,304.2,8.9,1,2024-02-14
38.0047,-78.7883,301.3,7.3,1,2024-02-14
37.49,-78.0833,309.0,16.5,1,2024-02-18
36.9717,-76.8084,312.9,18.1,1,2024-02-18
36.9568,-78.3873,316.0,17.2,1,2024-02-19
37.0161,-78.7622,302.4,10.5,1,2024-02-19
37.0128,-78.7672,308.0,19.0,1,2024-02-19
36.8001,-82.3314,302.8,5.8,1,2024-02-19
38.1659,-79.5693,332.8,67.3,3,2024-02-19
38.1642,-79.5869,338.5,83.7,3,2024-02-19
36.9583,-77.7491,302.7,19.9,1,2024-02-20
37.0432,-77.8498,304.7,23.4,2,2024-02-20
36.9996,-77.851,313.5,15.6,1,2024-02-21
36.998,-77.864,312.5,14.6,1,2024-02-21
37.002,-77.8569,302.2,6.5,1,2024-02-21
36.9652,-78.7779,310.9,12.1,1,2024-02-21
36.9637,-78.7899,306.3,8.5,1,2024-02-21
37.234,-82.0389,301.2,4.0,1,2024-02-21
36.6217,-82.9827,302.4,8.0,1,2024-02-22
36.9618,-78.3847,302.9,5.8,1,2024-02-26
36.9633,-78.396,306.3,7.9,1,2024-02-26
36.8308,-76.8545,302.7,10.0,1,2024-02-26
37.0239,-77.9195,304.8,7.3,1,2024-02-26
37.0348,-77.9212,311.7,16.1,1,2024-02-26
38.0567,-79.3571,304.7,10.9,1,2024-03-05
37.6665,-78.4785,302.0,4.1,1,2024-03-07
37.009,-77.8661,302.1,4.2,1,2024-03-11
37.0075,-77.8779,306.9,7.3,1,2024-03-11
38.3514,-79.0678,305.2,6.4,1,2024-03-11
38.6097,-77.5377,306.0,8.9,1,2024-03-12
37.977,-76.8241,318.3,26.4,2,2024-03-12
37.9728,-76.8312,311.3,15.4,1,2024-03-12
37.0858,-77.8832,305.5,8.5,1,2024-03-12
36.5504,-76.8974,301.9,9.1,1,2024-03-12
36.8325,-81.311,300.2,3.7,1,2024-03-12
36.5479,-76.9009,311.3,59.5,3,2024-03-12
37.9788,-76.819,305.7,29.3,2,2024-03-12
37.9758,-76.822,308.0,36.7,2,2024-03-12
38.6126,-77.5122,338.0,38.2,2,2024-03-13
36.9719,-77.9514,331.2,29.5,2,2024-03-13
37.1961,-76.5981,310.0,5.1,1,2024-03-13
36.981,-77.9538,317.2,12.9,1,2024-03-13
37.0519,-80.8766,311.1,14.4,1,2024-03-13
38.6144,-77.5007,320.2,15.0,1,2024-03-13
38.5106,-78.4357,308.9,8.1,1,2024-03-13
38.5086,-78.4479,312.2,10.9,1,2024-03-13
38.7297,-78.5254,356.7,76.4,3,2024-03-14
38.7211,-78.5335,320.0,15.4,1,2024-03-14
38.7196,-78.5221,325.8,21.6,2,2024-03-14
38.5273,-77.5397,308.5,4.1,1,2024-03-14
38.5169,-77.5305,311.3,6.2,1,2024-03-14
37.6289,-75.7864,304.4,4.2,1,2024-03-14
37.6199,-75.7887,303.7,3.6,1,2024-03-14
37.2013,-76.5997,305.8,4.2,1,2024-03-14
36.6727,-78.6569,304.9,4.5,1,2024-03-14
36.6712,-78.6459,308.2,6.5,1,2024-03-14
38.7312,-78.5368,312.9,8.2,1,2024-03-14
38.7145,-78.5525,334.4,96.4,3,2024-03-14
38.7016,-78.552,323.0,52.9,3,2024-03-14
36.7731,-81.383,315.2,16.0,1,2024-03-14
38.6943,-78.5782,320.1,0.0,1,2024-03-15
37.1998,-76.6007,300.0,2.8,1,2024-03-16
38.032,-79.7673,308.8,7.8,1,2024-03-16
38.7721,-78.3981,304.4,5.5,1,2024-03-16
38.7636,-78.9259,353.6,345.0,3,2024-03-20
38.7495,-78.931,322.7,104.9,3,2024-03-20
37.1981,-76.6037,304.9,3.6,1,2024-03-20
38.5282,-77.4855,308.6,7.0,1,2024-03-20
38.5238,-77.5112,305.9,4.3,1,2024-03-20
38.5215,-77.5241,310.1,8.1,1,2024-03-20
38.6072,-77.9328,307.3,7.1,1,2024-03-20
38.6211,-78.1559,317.1,17.2,1,2024-03-20
38.6307,-78.1588,311.6,10.8,1,2024-03-20
38.6596,-78.0534,322.1,23.7,2,2024-03-20
38.5115,-78.9792,311.0,12.3,1,2024-03-20
38.5088,-78.994,355.7,114.7,3,2024-03-20
38.5216,-78.9819,314.8,17.5,1,2024-03-20
38.5189,-78.9967,342.1,71.3,3,2024-03-20
38.5161,-79.0117,313.6,15.9,1,2024-03-20
38.6346,-78.5909,311.5,12.2,1,2024-03-20
38.6321,-78.6045,319.4,21.9,2,2024-03-20
38.6909,-78.3396,325.6,32.5,2,2024-03-20
38.6445,-78.5935,324.6,29.3,2,2024-03-20
38.642,-78.6072,337.9,55.1,3,2024-03-20
38.6794,-78.5716,333.7,45.9,2,2024-03-20
38.6891,-78.5751,340.2,60.7,3,2024-03-20
38.7113,-78.5093,352.4,94.1,3,2024-03-20
38.7508,-78.9234,345.6,79.6,3,2024-03-20
