latitude,longitude,brightness,acq_date
47.1817,-123.0725,307.0,2024-01-11
48.1534,-124.4712,307.4,2024-01-16
45.8625,-117.5675,300.1,2024-02-10
46.1302,-122.4063,307.1,2024-02-14
46.4342,-117.62,322.3,2024-02-22
46.4324,-117.6331,317.2,2024-02-22
46.4431,-117.6225,313.1,2024-02-22
46.4413,-117.6356,315.3,2024-02-22
46.6823,-118.5101,305.0,2024-02-22
46.6841,-118.4972,304.1,2024-02-22
46.7374,-120.7706,306.7,2024-02-23
46.2758,-119.821,306.2,2024-03-04
46.2702,-119.8254,308.4,2024-03-04
45.7462,-120.2333,302.5,2024-03-05
47.5671,-122.3696,302.6,2024-03-05
48.0387,-122.9049,319.0,2024-03-05
46.4728,-119.4238,312.5,2024-03-06
46.4745,-119.4379,303.7,2024-03-06
46.4068,-118.7262,301.2,2024-03-06
46.953,-119.2661,319.5,2024-03-07
46.0132,-119.8885,303.5,2024-03-07
46.5348,-118.7227,301.1,2024-03-07
46.7496,-117.8137,319.6,2024-03-09
46.7526,-117.8298,314.9,2024-03-09
46.4261,-117.4912,300.8,2024-03-09
46.2976,-119.9199,303.0,2024-03-12
46.5161,-120.4449,309.0,2024-03-12
46.2944,-119.9249,310.1,2024-03-12
46.8051,-119.3587,310.1,2024-03-14
46.2939,-119.9259,304.9,2024-03-14
46.8033,-119.3487,300.8,2024-03-14
46.8063,-119.3647,304.0,2024-03-14
45.8895,-119.5813,314.4,2024-03-14
46.4592,-117.452,308.1,2024-03-14
46.4566,-117.4668,324.3,2024-03-14
46.4385,-117.5687,303.7,2024-03-14
46.4359,-117.5835,312.3,2024-03-14
45.5639,-117.5147,302.3,2024-03-14
46.4293,-117.5649,344.8,2024-03-14
46.4266,-117.5796,337.9,2024-03-14
46.7982,-117.8507,309.3,2024-03-14
46.8497,-119.4115,317.8,2024-03-14
46.8464,-119.4287,313.2,2024-03-14
46.8468,-119.417,324.0,2024-03-14
46.5008,-119.1151,303.8,2024-03-15
46.4983,-119.1208,304.5,2024-03-15
46.5162,-119.1671,303.6,2024-03-15
45.7062,-119.4562,308.4,2024-03-15
45.7111,-122.7264,307.4,2024-03-15
46.2866,-118.1777,305.5,2024-03-15
46.3134,-118.0046,304.2,2024-03-15
46.2974,-118.1796,311.4,2024-03-15
46.4195,-117.4454,305.4,2024-03-15
46.4212,-117.431,306.1,2024-03-15
46.4532,-117.4573,308.4,2024-03-15
46.3958,-118.108,303.9,2024-03-15
46.4814,-120.3587,312.7,2024-03-16
47.4699,-122.0492,300.4,2024-03-16
46.9111,-119.7949,306.8,2024-03-16
46.7911,-119.2374,310.0,2024-03-16
47.1923,-117.8008,335.8,2024-03-16
47.1971,-117.7788,310.6,2024-03-16
46.6534,-119.1047,325.6,2024-03-16
