latitude,longitude,brightness,frp,frp_category,acq_date
39.3818,-78.0866,308.3,10.8,1,2024-02-09
39.3786,-78.0862,303.3,4.4,1,2024-02-09
39.3999,-78.0554,306.7,10.4,1,2024-02-19
39.2899,-80.9999,307.0,11.7,1,2024-02-19
37.69,-81.7295,304.3,5.9,1,2024-02-21
38.15,-81.7443,304.6,5.5,1,2024-02-21
38.2667,-81.0092,303.0,5.4,1,2024-02-21
39.8741,-80.8061,311.8,10.9,1,2024-02-21
37.6956,-81.7232,302.5,8.8,1,2024-02-26
37.6921,-81.7352,303.8,4.5,1,2024-02-26
37.3058,-81.7475,310.4,15.8,1,2024-03-13
37.8124,-82.1132,306.0,14.1,1,2024-03-14
38.6225,-79.1851,308.5,8.9,1,2024-03-16
38.1119,-82.565,300.5,7.0,1,2024-03-19
38.459,-79.3165,304.3,10.8,1,2024-03-20
39.1397,-78.9497,309.7,12.9,1,2024-03-20
38.9194,-79.0704,322.8,29.1,2,2024-03-20
38.9098,-78.9042,310.2,14.1,1,2024-03-20
38.907,-78.9195,332.7,48.9,2,2024-03-20
38.9095,-79.0777,336.5,55.7,3,2024-03-20
38.7805,-79.0947,321.3,29.8,2,2024-03-20
38.9066,-79.0823,311.9,13.7,1,2024-03-20
39.04,-78.5872,320.8,25.5,2,2024-03-20
39.1013,-78.5982,311.3,13.7,1,2024-03-20
39.0987,-78.612,319.6,23.6,2,2024-03-20
38.9165,-79.0861,334.3,51.0,3,2024-03-20
38.9035,-78.9165,307.8,53.0,3,2024-03-21
39.0289,-78.5714,302.6,40.7,2,2024-03-21
39.0272,-78.6003,301.6,38.3,2,2024-03-21
38.7874,-79.0758,303.2,10.5,1,2024-03-21
38.7773,-79.0784,309.2,16.4,1,2024-03-21
38.9191,-78.8885,312.0,16.6,1,2024-03-21
38.9007,-78.9072,308.9,14.4,1,2024-03-21
38.8991,-78.8929,316.9,23.5,2,2024-03-21
37.3009,-81.7529,303.2,4.0,1,2024-03-21
37.3103,-81.7549,303.5,4.3,1,2024-03-21
37.7749,-82.2245,300.7,4.7,1,2024-03-21
37.7734,-82.2367,306.9,8.8,1,2024-03-21
37.9075,-82.3579,308.1,8.3,1,2024-03-21
37.9059,-82.3701,305.8,6.6,1,2024-03-21
38.7796,-79.074,327.9,54.9,3,2024-03-21
38.7779,-79.0914,311.0,22.5,2,2024-03-21
38.8963,-78.9109,327.3,55.0,3,2024-03-21
38.9091,-78.8951,302.9,12.2,1,2024-03-21
38.8688,-78.8538,316.5,36.4,2,2024-03-22
38.8977,-78.9022,302.4,17.5,1,2024-03-22
39.0177,-78.6144,306.6,19.7,1,2024-03-22
38.899,-78.9091,304.9,17.8,1,2024-03-22
39.5257,-80.9525,303.3,5.2,1,2024-03-28
37.5141,-81.5576,305.7,4.4,1,2024-03-30
37.9742,-80.7018,322.1,18.3,1,2024-03-30
37.9723,-80.7137,322.1,18.2,1,2024-03-30
38.4706,-81.0096,302.5,3.8,1,2024-04-08
38.2952,-80.7967,301.1,4.1,1,2024-04-08
39.5192,-80.9488,315.8,7.2,1,2024-04-16
38.3781,-79.7366,304.3,16.4,1,2024-04-18
38.3598,-79.7329,332.3,31.3,2,2024-04-18
38.3578,-79.7452,329.1,26.3,2,2024-04-18
38.3644,-79.7393,345.9,57.8,3,2024-04-18
38.3623,-79.7517,318.8,13.2,1,2024-04-18
38.3737,-79.7413,341.7,48.6,2,2024-04-18
38.3715,-79.7541,331.7,30.5,2,2024-04-18
38.3851,-79.7313,309.7,5.2,1,2024-04-18
38.9994,-78.7162,337.3,35.2,2,2024-04-18
38.9975,-78.7279,328.6,22.4,2,2024-04-18
39.0083,-78.7187,362.8,93.9,3,2024-04-18
39.0064,-78.7304,317.2,10.7,1,2024-04-18
39.5084,-80.9661,301.6,3.8,1,2024-04-22
39.3542,-81.2639,319.8,18.5,1,2024-04-22
39.3558,-81.2757,305.1,6.4,1,2024-04-22
37.9059,-81.2568,305.6,9.2,1,2024-04-24
39.1228,-79.6617,308.6,11.3,1,2024-04-26
39.559,-78.8352,310.2,6.3,1,2024-05-02
39.0081,-78.7149,317.5,20.6,2,2024-05-02
39.0054,-78.7002,311.7,13.8,1,2024-05-02
38.4801,-80.585,308.5,5.4,1,2024-05-02
39.013,-78.7051,383.1,306.7,3,2024-05-02
39.0096,-78.7226,366.3,188.3,3,2024-05-02
39.0236,-78.7092,320.0,24.0,2,2024-05-02
37.6786,-80.8438,307.0,8.4,1,2024-05-03
37.8547,-81.3449,306.2,3.1,1,2024-05-21
40.0575,-80.606,307.3,7.1,1,2024-05-24
39.4153,-78.0029,314.1,10.8,1,2024-05-31
38.956,-81.9254,309.5,6.3,1,2024-05-31
37.4484,-81.5825,311.3,9.2,1,2024-06-03
38.3621,-81.6996,314.6,7.4,1,2024-06-05
