latitude,longitude,brightness,frp,frp_category,acq_date
46.6478,-91.2296,356.4,81.5,3,2024-02-05
42.9137,-88.8497,301.6,10.3,1,2024-02-18
43.8346,-90.7691,300.4,4.3,1,2024-02-22
44.0969,-88.8656,302.4,7.3,1,2024-02-25
42.8226,-89.1526,300.5,3.8,1,2024-02-27
44.304,-91.3849,306.7,11.0,1,2024-02-27
44.3045,-91.3755,304.0,8.4,1,2024-02-27
43.7395,-91.0513,305.0,7.8,1,2024-02-27
43.7378,-91.0677,307.3,10.0,1,2024-02-27
42.5841,-89.9643,302.3,6.7,1,2024-02-29
42.8974,-90.5161,311.0,12.7,1,2024-03-01
44.0259,-88.2308,303.4,40.0,2,2024-03-02
44.0278,-88.2366,300.9,29.5,2,2024-03-02
42.9022,-89.7101,308.5,7.7,1,2024-03-02
42.9001,-89.7228,315.7,13.8,1,2024-03-02
43.1073,-88.8998,302.3,3.9,1,2024-03-02
43.1897,-90.2776,321.8,22.1,2,2024-03-02
43.1874,-90.2908,354.2,81.4,3,2024-03-02
43.1966,-90.2938,351.9,72.0,3,2024-03-02
42.7871,-88.5132,301.7,3.6,1,2024-03-02
43.1943,-90.307,328.7,28.1,2,2024-03-02
43.1921,-90.3202,324.8,25.5,2,2024-03-02
43.1967,-90.3269,351.0,76.4,3,2024-03-02
42.6945,-89.7813,308.5,7.6,1,2024-03-02
43.3713,-90.6218,316.8,20.2,2,2024-03-02
42.6859,-88.3395,304.7,5.8,1,2024-03-03
43.5831,-89.603,310.0,14.1,1,2024-03-05
44.0497,-90.6969,302.5,6.2,1,2024-03-05
44.0519,-90.7027,302.0,6.0,1,2024-03-05
44.076,-90.6636,309.8,12.9,1,2024-03-05
44.0743,-90.6781,300.4,4.9,1,2024-03-05
42.9852,-91.1097,310.8,12.9,1,2024-03-06
44.0655,-90.1573,306.8,7.0,1,2024-03-07
43.2014,-90.047,322.3,19.9,1,2024-03-07
43.0357,-89.976,312.3,11.7,1,2024-03-07
42.9989,-89.7861,314.1,11.7,1,2024-03-07
43.039,-88.9788,306.2,6.8,1,2024-03-07
44.0549,-90.167,303.5,5.1,1,2024-03-07
44.0742,-90.1598,325.3,22.5,2,2024-03-07
42.6044,-90.3769,300.6,6.7,1,2024-03-10
43.2707,-89.5591,328.5,56.2,3,2024-03-10
43.2821,-89.5607,317.2,32.3,2,2024-03-10
43.2952,-89.5421,308.2,16.6,1,2024-03-10
43.3986,-89.6699,328.9,60.6,3,2024-03-10
43.3967,-89.6912,310.8,23.6,2,2024-03-10
44.1998,-89.6377,304.9,8.7,1,2024-03-11
44.1968,-89.6217,300.1,4.7,1,2024-03-11
