state,month,fire_count,total_brightness,total_frp
louisiana,1,196,61399.8,6397.5
louisiana,2,501,159645.3,19702.1
louisiana,3,117,37005.2,3966.8
louisiana,4,155,48846.3,2678.2
louisiana,5,54,17282.9,1463.1
louisiana,6,191,61178.3,6432.7
louisiana,7,89,28317.0,1947.8
louisiana,8,470,154525.2,23908.0
louisiana,9,251,80424.4,8613.1
louisiana,10,971,313702.7,36762.3
louisiana,11,485,152588.4,11750.4
louisiana,12,555,174637.6,20558.8
alaska,4,12,3807.3999999999996,410.3
alaska,5,39,12255.7,1022.5
alaska,6,3103,1036758.8,298641.5
alaska,7,952,312872.8,77725.6
alaska,8,316,104564.6,24171.4
alaska,9,2,604.7,29.9
alaska,10,1,302.2,9.2
maryland,2,9,2773.0,190.5
maryland,3,15,4653.1,376.4
maryland,4,20,6197.4,176.7
maryland,5,7,2228.4,93.2
maryland,6,4,1275.7,32.4
maryland,7,7,2220.3,57.7
maryland,8,2,654.3,123.1
maryland,9,2,615.0,14.1
maryland,10,13,4004.4,119.7
maryland,11,6,1856.1,78.7
maryland,12,1,393.8,262.8
wisconsin,2,10,3086.6,151.1
wisconsin,3,106,33150.5,3241.4
wisconsin,4,182,56971.4,5387.4
wisconsin,5,138,43280.5,2426.6
wisconsin,6,30,9339.9,217.9
wisconsin,7,52,16177.4,387.7
wisconsin,8,39,12148.8,939.0
wisconsin,9,37,11801.1,1834.9
wisconsin,10,30,9526.0,1027.7
wisconsin,11,2,628.7,38.1
wisconsin,12,1,301.4,10.6
florida,1,428,135145.7,12856.5
florida,2,1368,434034.0,41115.1
florida,3,823,263485.4,29935.5
florida,4,895,290548.2,34518.2
florida,5,389,127059.3,12949.6
florida,6,271,87651.3,8063.3
florida,7,173,55357.0,3665.0
florida,8,201,64184.1,3962.4
florida,9,112,35413.4,1496.3
florida,10,332,105482.3,6858.6
florida,11,472,149353.6,10755.2
florida,12,512,160276.8,13166.7
georgia,1,636,197916.8,15941.3
georgia,2,1572,492865.0,32488.6
georgia,3,1260,395633.7,21854.1
georgia,4,613,192748.3,11459.9
georgia,5,169,54138.4,3809.8
georgia,6,184,59376.0,4613.6
georgia,7,130,41443.1,2206.6
georgia,8,328,105538.7,10443.0
georgia,9,226,72583.7,6646.2
georgia,10,753,239584.6,26372.1
georgia,11,285,89157.4,6754.0
georgia,12,623,196069.1,21209.3
tennessee,1,4,1218.9,51.9
tennessee,2,117,36436.7,1803.1
tennessee,3,276,86504.9,6287.9
tennessee,4,85,26604.5,2966.6
tennessee,5,34,10609.8,345.4
tennessee,6,112,35524.3,1736.8
tennessee,7,69,21787.2,831.6
tennessee,8,103,32483.0,1200.1
tennessee,9,79,24866.6,1297.6
tennessee,10,175,54746.3,4433.7
tennessee,11,29,8910.8,356.40000000000003
tennessee,12,9,2763.7,221.5
minnesota,1,7,2174.9,110.6
minnesota,2,23,7085.4,456.5
minnesota,3,122,38918.8,4789.7
minnesota,4,333,106431.4,13284.7
minnesota,5,182,58281.6,6238.9
minnesota,6,19,5966.8,254.4
minnesota,7,28,8738.4,331.7
minnesota,8,19,5976.1,292.1
minnesota,9,91,28698.1,2127.2
minnesota,10,68,21198.4,1537.6
minnesota,11,18,5582.3,337.7
minnesota,12,5,1560.1,93.1
iowa,1,1,316.4,22.7
iowa,2,241,75413.2,5851.6
iowa,3,471,146783.1,9633.5
iowa,4,655,209094.2,17902.5
iowa,5,54,17162.6,942.0
iowa,6,26,8170.5,221.1
iowa,7,29,9028.4,255.2
iowa,8,27,8446.7,357.6
iowa,9,40,12392.5,520.2
iowa,10,55,17122.6,1253.9
iowa,11,16,4887.5,207.4
iowa,12,18,5526.6,335.6
missouri,1,10,3076.5,116.3
missouri,2,653,203732.8,15472.4
missouri,3,1024,321122.6,31110.8
missouri,4,358,112528.1,6306.7
missouri,5,53,16596.0,445.4
missouri,6,113,37142.9,6004.5
missouri,7,48,15101.0,529.0
missouri,8,96,30802.0,3470.4
missouri,9,292,95039.2,12430.1
missouri,10,572,183126.0,17544.5
missouri,11,60,18449.4,917.9
missouri,12,66,20614.6,2236.9
michigan,2,7,2129.5,65.1
michigan,3,17,5192.5,136.2
michigan,4,83,25921.4,1573.1
michigan,5,76,23982.6,1667.6
michigan,6,20,6207.4,149.8
michigan,7,43,13514.4,922.6
michigan,8,36,11217.4,323.5
michigan,9,32,9912.4,494.0
michigan,10,33,10169.3,434.6
michigan,11,3,920.5,47.2
idaho,1,2,613.2,31.9
idaho,2,2,625.3,58.2
idaho,3,64,20147.8,1468.4
idaho,4,118,37610.4,4486.5
idaho,5,193,64183.2,14630.5
idaho,6,194,64453.9,18116.8
idaho,7,536,176227.0,56385.3
idaho,8,4344,1452461.2,467137.4
idaho,9,3572,1180273.5,372920.1
idaho,10,2284,749277.3,268227.4
idaho,11,229,72320.1,8208.9
idaho,12,28,8764.9,1209.5
california,1,137,42984.8,3529.5
california,2,83,25578.3,1093.7
california,3,291,90631.5,4555.7
california,4,318,100762.1,7572.6
california,5,327,106056.3,10915.6
california,6,803,269017.8,92071.3
california,7,4836,1677317.4,958065.1
california,8,1369,459049.2,173106.6
california,9,1404,479025.4,288208.2
california,10,738,237421.4,35087.7
california,11,603,192171.0,26668.9
california,12,190,59710.8,8907.0
connecticut,2,1,300.4,9.4
connecticut,3,4,1209.3,26.1
connecticut,4,1,303.9,4.3
connecticut,5,1,312.4,12.2
connecticut,6,6,1876.9,72.6
connecticut,7,7,2209.5,146.5
connecticut,8,2,627.3,14.100000000000001
connecticut,9,10,3117.8,99.5
connecticut,10,7,2154.3,72.1
connecticut,11,1,314.9,18.7
texas,1,575,178515.8,11949.9
texas,2,1432,463299.0,100515.5
texas,3,747,234726.8,16004.2
texas,4,466,148242.2,11228.2
texas,5,317,101865.3,7375.3
texas,6,382,122095.8,7519.5
texas,7,372,119221.4,10302.2
texas,8,433,139990.7,14835.3
texas,9,589,189098.0,15190.8
texas,10,492,156596.2,14131.7
texas,11,521,162603.8,11604.1
texas,12,476,147296.9,8334.5
virginia,1,5,1532.2,52.8
virginia,2,61,18895.0,1212.9
virginia,3,126,39732.6,3511.5
virginia,4,148,46973.6,4572.8
virginia,5,82,25754.0,1235.1
virginia,6,68,21650.4,1574.6000000000001
virginia,7,53,16687.3,459.7
virginia,8,65,20591.8,1428.8999999999999
virginia,9,37,11511.9,679.1
virginia,10,101,31914.6,3862.7
virginia,11,45,13890.5,629.1
